dpID,site,table,years_available_averaged,siteID,plotID,namedLocation,plotType,sampleID,sampleCode,n_raw_records,analyticalRepNumber_mean_2018_2024,dryMass_mean_2018_2024,ligninPercent_mean_2018_2024,cellulosePercent_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,analyticalRepNumber_mean_2018_2024_unit,dryMass_mean_2018_2024_unit,ligninPercent_mean_2018_2024_unit,cellulosePercent_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10026.001,CPER,cfc_lignin,2021,CPER,CPER_001,CPER_001.basePlot.cfc,distributed,ksKoEZPUTMUlW39hHxdk9+006Mu/kkNtFtyUSPgQC1I=,A00000123517,1,1,0.474,2.66,27.5,2021,2021,number,gram,percent,percent,NA,NA
DP1.10026.001,CPER,cfc_lignin,2021,CPER,CPER_002,CPER_002.basePlot.cfc,distributed,ksKoEZPUTMWQ6eRrulNTBaVnlHg1TebA/yaWY7hi94Q=,A00000123518,1,1,0.471,2.15,26.03,2021,2021,number,gram,percent,percent,NA,NA
DP1.10026.001,CPER,cfc_lignin,2021,CPER,CPER_003,CPER_003.basePlot.cfc,distributed,ksKoEZPUTMVQWixGSBe1EVGgkprDL+9t+WWSbmqq/44=,A00000123521,1,1,0.494,2.57,22.55,2021,2021,number,gram,percent,percent,NA,NA
DP1.10026.001,CPER,cfc_lignin,2021,CPER,CPER_004,CPER_004.basePlot.cfc,distributed,ksKoEZPUTMWrrRQ9N/oTbDjFRcCCEmYqyhKHEXltk8A=,A00000123573,1,1,0.479,2.6,25.34,2021,2021,number,gram,percent,percent,NA,NA
DP1.10026.001,CPER,cfc_lignin,2021,CPER,CPER_005,CPER_005.basePlot.cfc,distributed,ksKoEZPUTMXdKHgac6Fr6G5ymk7/UEFkewP7gKyDg7U=,A00000123526,1,1,0.469,2.31,26.1,2021,2021,number,gram,percent,percent,NA,NA
DP1.10026.001,CPER,cfc_lignin,2021,CPER,CPER_006,CPER_006.basePlot.cfc,distributed,ksKoEZPUTMUsUTlNYDmhM2YVcI8vcfV+IVEZpJGJhyM=,A00000123534,1,1,0.496,2.29,24.65,2021,2021,number,gram,percent,percent,NA,NA
DP1.10026.001,CPER,cfc_lignin,2021,CPER,CPER_007,CPER_007.basePlot.cfc,distributed,ksKoEZPUTMUPv1VMlI9VDH7ME/nDs87N8rVP1pQY0tE=,A00000123532,1,1,0.479,4.35,24.62,2021,2021,number,gram,percent,percent,NA,NA
DP1.10026.001,CPER,cfc_lignin,2021,CPER,CPER_010,CPER_010.basePlot.cfc,distributed,ksKoEZPUTMUhmTpUtUCHTcsLkA001IzOoZM91dwvA1I=,A00000123530,1,1,0.484,4.73,24.84,2021,2021,number,gram,percent,percent,NA,NA
DP1.10026.001,CPER,cfc_lignin,2021,CPER,CPER_011,CPER_011.basePlot.cfc,distributed,ksKoEZPUTMVVHw/c63tsEC/iD7rmPXui4g87J7Lp87U=,A00000123529,1,1,0.477,2.47,28.72,2021,2021,number,gram,percent,percent,NA,NA
DP1.10026.001,CPER,cfc_lignin,2021,CPER,CPER_012,CPER_012.basePlot.cfc,distributed,ksKoEZPUTMW0bPmx2TShBdlbGk9oofN3HO9kv4m0Ky8=,A00000123528,1,1,0.498,2.6,26.4,2021,2021,number,gram,percent,percent,NA,NA
DP1.10026.001,CPER,cfc_lignin,2021,CPER,CPER_013,CPER_013.basePlot.cfc,distributed,ksKoEZPUTMVlpq8NpYxm0oJCYb1EPusGvZJWOQ1+Qf0=,A00000123515,1,1,0.484,2.86,25.77,2021,2021,number,gram,percent,percent,NA,NA
DP1.10026.001,CPER,cfc_lignin,2021,CPER,CPER_014,CPER_014.basePlot.cfc,distributed,ksKoEZPUTMXyhQDUAyCwJnSytBtBtcwclxdLyix9ZBM=,A00000123516,1,1,0.457,2.6,25.66,2021,2021,number,gram,percent,percent,NA,NA
DP1.10026.001,CPER,cfc_lignin,2021,CPER,CPER_015,CPER_015.basePlot.cfc,distributed,ksKoEZPUTMXl1neEOpCoU2tSj08NgBGiu81s9oT2cHw=,A00000123527,1,1,0.491,2.54,26.38,2021,2021,number,gram,percent,percent,NA,NA
DP1.10026.001,CPER,cfc_lignin,2021,CPER,CPER_016,CPER_016.basePlot.cfc,distributed,ksKoEZPUTMXS1Wg6J0LQJs9ST58+zug6nslftXO3GJM=,A00000123535,1,1,0.489,2.76,26.36,2021,2021,number,gram,percent,percent,NA,NA
DP1.10026.001,CPER,cfc_lignin,2021,CPER,CPER_045,CPER_045.basePlot.cfc,tower,ksKoEZPUTMXr7DSwqW//h+OsN/gdxL9d2kNADCx4Sk4=,A00000123574,1,1,0.498,4.44,26.03,2021,2021,number,gram,percent,percent,NA,NA
DP1.10026.001,CPER,cfc_lignin,2021,CPER,CPER_046,CPER_046.basePlot.cfc,tower,ksKoEZPUTMWjZaCfqTZzv+Mna4X8Vdg3o8lDzZtZ3xM=,A00000123509,1,1,0.464,5.72,29.7,2021,2021,number,gram,percent,percent,NA,NA
DP1.10026.001,CPER,cfc_lignin,2021,CPER,CPER_047,CPER_047.basePlot.cfc,tower,ksKoEZPUTMXFkuvCs9tNQIGDCZ2es4Afuro6BknS6/U=,A00000123575,1,1,0.478,2.75,27.07,2021,2021,number,gram,percent,percent,NA,NA
DP1.10026.001,CPER,cfc_lignin,2021,CPER,CPER_048,CPER_048.basePlot.cfc,tower,ksKoEZPUTMWPo7uxiyChdZhw+Uy9438cr3bLDg2YWME=,A00000123510,1,1,0.464,2.67,27.1,2021,2021,number,gram,percent,percent,NA,NA
