dpID,site,table,years_available_averaged,siteID,plotID,namedLocation,plotType,sampleID,sampleCode,n_raw_records,analyticalRepNumber_mean_2018_2024,dryMass_mean_2018_2024,digestVolume_mean_2018_2024,foliarPhosphorusConc_mean_2018_2024,foliarPotassiumConc_mean_2018_2024,foliarCalciumConc_mean_2018_2024,foliarMagnesiumConc_mean_2018_2024,foliarSulfurConc_mean_2018_2024,foliarManganeseConc_mean_2018_2024,foliarIronConc_mean_2018_2024,foliarCopperConc_mean_2018_2024,foliarBoronConc_mean_2018_2024,foliarZincConc_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,analyticalRepNumber_mean_2018_2024_unit,dryMass_mean_2018_2024_unit,digestVolume_mean_2018_2024_unit,foliarPhosphorusConc_mean_2018_2024_unit,foliarPotassiumConc_mean_2018_2024_unit,foliarCalciumConc_mean_2018_2024_unit,foliarMagnesiumConc_mean_2018_2024_unit,foliarSulfurConc_mean_2018_2024_unit,foliarManganeseConc_mean_2018_2024_unit,foliarIronConc_mean_2018_2024_unit,foliarCopperConc_mean_2018_2024_unit,foliarBoronConc_mean_2018_2024_unit,foliarZincConc_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10026.001,ORNL,cfc_elements,2022,ORNL,ORNL_001,ORNL_001.basePlot.cfc,distributed,vOIarzMvGlhj7CHFnOl9L8YLdCEG4KD0z1z8547xKtw=,A00000220095,1,1,0.197,25,0.148,0.844,0.465,0.121,0.128,2136,28.7,8.2,15.8,15.5,2022,2022,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,ORNL,cfc_elements,2022,ORNL,ORNL_001,ORNL_001.basePlot.cfc,distributed,vOIarzMvGliomfRb1ZhTvJWTMYGaOxt9mX1Zl6YFEqw=,A00000220094,1,1,0.197,25,0.129,0.73,0.36,0.073,0.126,2491,31.2,6.9,16.3,16.7,2022,2022,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,ORNL,cfc_elements,2022,ORNL,ORNL_001,ORNL_001.basePlot.cfc,distributed,vOIarzMvGlj4/fQ0h/EiQs/hkm+Sh8J7RK/LofkgDyI=,A00000220096,1,1,0.2,25,0.093,0.565,1.623,0.269,0.101,2490,40.5,2.6,13.3,10.9,2022,2022,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,ORNL,cfc_elements,2022,ORNL,ORNL_002,ORNL_002.basePlot.cfc,distributed,vOIarzMvGlh7NBdJ8CKuDAmt7sOBvVvwlPVkuc8/B50=,A00000220137,1,1,0.2,25,0.117,0.82,0.496,0.141,0.106,765.9,30,8,18.6,23.2,2022,2022,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,ORNL,cfc_elements,2022,ORNL,ORNL_002,ORNL_002.basePlot.cfc,distributed,vOIarzMvGlidirXgNn33cq3oo0TPWpH4j6jKSR+cZYg=,A00000220139,1,1,0.204,25,0.123,0.839,0.943,0.29,0.156,1635,34,8.2,19.1,41.1,2022,2022,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,ORNL,cfc_elements,2022,ORNL,ORNL_002,ORNL_002.basePlot.cfc,distributed,vOIarzMvGlieMp1k4SFbjEtHda6MZBtIEPj82xun31g=,A00000220138,1,1,0.203,25,0.097,0.837,0.838,0.229,0.143,1468,59.8,7.1,24.8,25.2,2022,2022,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,ORNL,cfc_elements,2022,ORNL,ORNL_003,ORNL_003.basePlot.cfc,distributed,vOIarzMvGlhTaPpgXHoCHTNNmkAEvo/guBpC2KEkUSA=,A00000220097,1,1,0.195,25,0.217,2.079,0.648,0.194,0.295,317.3,56.3,8.9,25.4,16.9,2022,2022,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,ORNL,cfc_elements,2022,ORNL,ORNL_003,ORNL_003.basePlot.cfc,distributed,vOIarzMvGlihlAl4Y1Jx7lF6Z95t9bqcKFym5xdIoys=,A00000220100,1,1,0.203,25,0.136,0.897,1.068,0.148,0.121,611.5,35.5,8.5,21.5,14.1,2022,2022,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,ORNL,cfc_elements,2022,ORNL,ORNL_003,ORNL_003.basePlot.cfc,distributed,vOIarzMvGljHMNklPbryM9ZdJiZc+AvaQAPkT0JVUm8=,A00000220098,1,1,0.198,25,0.173,0.977,0.521,0.172,0.144,479.9,41.5,7.5,26.3,21.4,2022,2022,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,ORNL,cfc_elements,2022,ORNL,ORNL_006,ORNL_006.basePlot.cfc,distributed,vOIarzMvGlgbyQZJ28HP5vm0IPkO8h+mskLhFHmDJ48=,A00000220112,1,1,0.2,25,0.137,1.568,1.667,0.493,0.154,486.6,31.8,8.6,20.9,17,2022,2022,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
