dpID,site,table,years_available_averaged,siteID,namedLocation,plotType,sampleID,sampleCode,n_raw_records,freshMass_mean_2018_2024,dryMass_mean_2018_2024,scannedLeafNumber_mean_2018_2024,leafArea_mean_2018_2024,percentGreen_mean_2018_2024,leafMassPerArea_mean_2018_2024,dryMassFraction_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,freshMass_mean_2018_2024_unit,dryMass_mean_2018_2024_unit,scannedLeafNumber_mean_2018_2024_unit,leafArea_mean_2018_2024_unit,percentGreen_mean_2018_2024_unit,leafMassPerArea_mean_2018_2024_unit,dryMassFraction_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_001.basePlot.cfc,distributed,AU8RPrEDsn46MGM8xPZVW4C9i47UwNBDmCY5zHCrSYE=,A00000316459,1,4,1.795,45,16954.9,100,105.9,0.449,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_001.basePlot.cfc,distributed,AU8RPrEDsn5czm+F9CFovrj0esb146mOh/TdgYNQO2Y=,A00000316457,1,6.72,2.809,20,8577,100,327.5,0.418,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_001.basePlot.cfc,distributed,AU8RPrEDsn6eWgJSslldzClAdmRA5bZFBGaQsO4qhQc=,A00000316405,1,147.786,66.012,1,301060.5,100,219.3,0.447,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_001.basePlot.cfc,distributed,AU8RPrEDsn71mJc3348pJ2cWiAIRhKOfD8RZjTvpzx8=,A00000316458,1,5.233,2.061,8,19330.7,100,106.6,0.394,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_002.basePlot.cfc,distributed,AU8RPrEDsn4xY1xhsO8Yc3SjPEA+dD3mNt4n4Iv2gf0=,A00000316456,1,7.58,3.153,38,13135.1,100,240,0.416,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_003.basePlot.cfc,distributed,AU8RPrEDsn6LOOSV+TnpetiIvCb+5TMCWHGeF84jv/U=,A00000316453,1,4.602,2.499,41,21622.2,100,115.6,0.543,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_003.basePlot.cfc,distributed,AU8RPrEDsn74ORFRNmvzbqwVKFtwljjm2evEsYGUrFc=,A00000316454,1,4.706,2.741,20,15475.7,100,177.1,0.582,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_004.basePlot.cfc,distributed,AU8RPrEDsn6WJZQ36cIn2GyEsMSeDbqIf4l3i04wP3Y=,A00000316452,1,6.459,2.41,18,25380.9,100,95,0.373,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_005.basePlot.cfc,distributed,AU8RPrEDsn68kRhcWY8dYSwh4+eCT/wwxzvtR92MTSs=,A00000316451,1,4.47,2.048,47,14860.3,100,137.8,0.458,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_007.basePlot.cfc,distributed,AU8RPrEDsn5x1ycTGw8Ioy+EVy75K2Ovb1jnIk9AfdQ=,A00000316450,1,2.902,1.818,3,11719.3,100,155.1,0.626,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_007.basePlot.cfc,distributed,AU8RPrEDsn7f72vWzZu8eFogCyDeLf1AxYXblqJ6XcU=,A00000316449,1,6.167,3.654,33,14947.4,100,244.5,0.593,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_008.basePlot.cfc,distributed,AU8RPrEDsn5hpAvum0jHhKWGmsXm/l6GA2bEo758IlY=,A00000316455,1,4.545,2.676,4,18615.5,85,143.8,0.589,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_009.basePlot.cfc,distributed,AU8RPrEDsn4sItZpwvSsGaSoB2zug8vkeC/DXJRUvH4=,A00000316446,1,3.789,1.844,6,20142.1,100,91.5,0.487,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_009.basePlot.cfc,distributed,AU8RPrEDsn5m2LuhpQJYg65iJCzK2qGto5uFcJvx1RE=,A00000316447,1,8.116,4.596,25,30189.8,100,152.2,0.566,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_009.basePlot.cfc,distributed,AU8RPrEDsn5peFNdlc9HevTzVrTchA93JVikHtVm8zI=,A00000316467,1,6.155,3.195,17,23377.4,100,136.7,0.519,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_009.basePlot.cfc,distributed,AU8RPrEDsn5raJdjoeB1JKYTlrKnFqqMVW8Q/y5R6B8=,A00000316404,1,5.219,2.411,10,27810,100,86.7,0.462,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_010.basePlot.cfc,distributed,AU8RPrEDsn6NX6NnyIH8DnCaFO99YeKWnXiW/kMg5ss=,A00000316462,1,6.877,2.813,22,11095.6,100,253.5,0.409,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_010.basePlot.cfc,distributed,AU8RPrEDsn73wVw8YQ+JCet2Y1EESVlKasjO0Mcdpps=,A00000316445,1,4.798,2.85,17,24104.3,100,118.2,0.594,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_011.basePlot.cfc,distributed,AU8RPrEDsn76iZ9KcptDFBNqqBpRR5WOULzRUvt7uB0=,A00000316465,1,5.755,3.593,16,16830.1,98,213.5,0.624,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_011.basePlot.cfc,distributed,AU8RPrEDsn78lR62GH0UVRLoi2hgP4goZplgFX18mIM=,A00000316463,1,7.377,3.065,40,9812.1,100,312.4,0.415,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_016.basePlot.cfc,distributed,AU8RPrEDsn5F9RoamkIOfWEX1I3LyU0CoHZ24R0lQXE=,A00000316403,1,3.251,1.523,48,15843.9,100,96.1,0.468,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_016.basePlot.cfc,distributed,AU8RPrEDsn5IHvRcnWzjze7AcDVlesHd1m/JkCNL5GU=,A00000316468,1,3.707,1.596,51,8709.6,100,183.2,0.431,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_026.basePlot.cfc,tower,AU8RPrEDsn5ez3p/rUL+15C2sa6txiUaHVyytN9GePk=,A00000316476,1,2.445,1.309,72,12861.4,100,101.8,0.535,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_026.basePlot.cfc,tower,AU8RPrEDsn6X9HAwZcdwTR5JTrdAewqOxiucGodt6tc=,A00000316408,1,6.13,2.859,33,11925.9,100,239.7,0.466,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_027.basePlot.cfc,tower,AU8RPrEDsn6LUoeG3ednMAs3l2srPTAvk6loy4mMhuo=,A00000316409,1,2.575,1.499,2,10782.5,100,139,0.582,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_028.basePlot.cfc,tower,AU8RPrEDsn5chPyr1E+mFnIRoDqXoloax84ygSSb640=,A00000316411,1,7.571,3.01,30,11699.4,100,257.3,0.398,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_031.basePlot.cfc,tower,AU8RPrEDsn5GIdY8TSpycvd3IetBlbyOFJbG0pj6QMU=,A00000317010,1,5.344,2.163,30,10387,100,208.2,0.405,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_031.basePlot.cfc,tower,AU8RPrEDsn6oYLFQTXyLUeIOHeJispA2I9oOcOuPX9s=,A00000317000,1,1.678,0.933,1,7293,100,127.9,0.556,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,OSBS,cfc_LMA,2021,OSBS,OSBS_048.basePlot.cfc,distributed,AU8RPrEDsn4A01TF7dMGrmtOSOnQ6lc1tOACTkWb/Q0=,A00000131809,1,4.246,2.317,22,22985,100,100.8,0.546,2021,2021,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
