dpID,site,table,years_available_averaged,siteID,plotID,namedLocation,plotType,sampleID,sampleCode,n_raw_records,extractionLength_mean_2018_2024,freshMass_mean_2018_2024,solventVolume_mean_2018_2024,analyticalRepNumber_mean_2018_2024,extractChlAConc_mean_2018_2024,extractChlBConc_mean_2018_2024,extractCarotConc_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,extractionLength_mean_2018_2024_unit,freshMass_mean_2018_2024_unit,solventVolume_mean_2018_2024_unit,analyticalRepNumber_mean_2018_2024_unit,extractChlAConc_mean_2018_2024_unit,extractChlBConc_mean_2018_2024_unit,extractCarotConc_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10026.001,SRER,cfc_chlorophyll,2021,SRER,SRER_001,SRER_001.basePlot.cfc,distributed,jf4sOIyMYqyumbH8dK84wnPxXccKIg5smaJZ/4Q66mE=,A00000279889,1,48,1.3064,20,1,5.5,2.15,1.83,2021,2021,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,SRER,cfc_chlorophyll,2021,SRER,SRER_001,SRER_001.basePlot.cfc,distributed,jf4sOIyMYqzqOH83ww6JBfXFbXRkAbZaWwfx9LmlmwI=,A00000279754,1,48,0.0863,20,1,13.88,3.13,3.62,2021,2021,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,SRER,cfc_chlorophyll,2021,SRER,SRER_002,SRER_002.basePlot.cfc,distributed,jf4sOIyMYqwVxe5c4Fd1ygQZ4hNhshRIE4GQrKE+t74=,A00000279887,1,48,0.0761,20,1,7.38,1.48,2.12,2021,2021,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,SRER,cfc_chlorophyll,2021,SRER,SRER_002,SRER_002.basePlot.cfc,distributed,jf4sOIyMYqxbxXm4XPGCewWwvP5TuojKaggPobynB6Q=,A00000279747,1,48,0.1128,20,1,10.36,2.2,2.64,2021,2021,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,SRER,cfc_chlorophyll,2021,SRER,SRER_002,SRER_002.basePlot.cfc,distributed,jf4sOIyMYqxdyL0XwKLMSZ9IkxmNUHal6KSBbdulf6M=,A00000279750,1,48,0.1141,20,1,9.28,1.97,2.66,2021,2021,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,SRER,cfc_chlorophyll,2021,SRER,SRER_002,SRER_002.basePlot.cfc,distributed,jf4sOIyMYqzx568Z6NmRmUomSSmcnM38zV1eNEbYQ/M=,A00000279891,1,48,1.3362,20,1,5.19,1.66,1.75,2021,2021,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,SRER,cfc_chlorophyll,2021,SRER,SRER_003,SRER_003.basePlot.cfc,distributed,jf4sOIyMYqwChBBhHdmN/wScOWPDeljSx5v5Km1oBmE=,A00000279752,1,48,0.1167,20,1,12.04,2.24,3.46,2021,2021,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,SRER,cfc_chlorophyll,2021,SRER,SRER_003,SRER_003.basePlot.cfc,distributed,jf4sOIyMYqxH5lh5NevTPhIf4NCcV/LCq3qPCer7AAM=,A00000279893,1,48,1.146,20,1,3.97,0.99,1.3,2021,2021,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,SRER,cfc_chlorophyll,2021,SRER,SRER_003,SRER_003.basePlot.cfc,distributed,jf4sOIyMYqxtK6NJ70WgOKezBCAQSNDzPBkrPRbNJ98=,A00000279895,1,48,0.1985,20,1,7.14,1.76,2.62,2021,2021,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,SRER,cfc_chlorophyll,2021,SRER,SRER_004,SRER_004.basePlot.cfc,distributed,jf4sOIyMYqwTQkxTxQGMl28vT/y90y3vGPWp7M9YaVU=,A00000279886,1,48,0.0876,20,1,5.56,1.74,0.92,2021,2021,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,SRER,cfc_chlorophyll,2021,SRER,SRER_004,SRER_004.basePlot.cfc,distributed,jf4sOIyMYqx6wVGq6P1DjblFVlArBUH/SZYkuqpjvdk=,A00000279773,1,48,0.1141,20,1,8.62,2.24,2.02,2021,2021,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,SRER,cfc_chlorophyll,2021,SRER,SRER_004,SRER_004.basePlot.cfc,distributed,jf4sOIyMYqx6wVGq6P1DjdLjlCab33GcXJ22P381QjQ=,A00000279774,1,48,0.1185,20,1,8.63,2.09,1.94,2021,2021,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,SRER,cfc_chlorophyll,2021,SRER,SRER_004,SRER_004.basePlot.cfc,distributed,jf4sOIyMYqyHHfxnzFnK7vbsreNOK3iDPT05w3J3eNM=,A00000279711,1,48,0.6768,20,1,4.03,0.95,1.34,2021,2021,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,SRER,cfc_chlorophyll,2021,SRER,SRER_004,SRER_004.basePlot.cfc,distributed,jf4sOIyMYqyjZ9X7sKVR9U623BPgOeXOl4iPotUNw4w=,A00000279771,1,48,0.1123,20,1,10.32,2.14,3.01,2021,2021,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,SRER,cfc_chlorophyll,2021,SRER,SRER_004,SRER_004.basePlot.cfc,distributed,jf4sOIyMYqyjZ9X7sKVR9WbW9tfoIlNgluZuqN3i2yk=,A00000279770,1,48,0.1835,20,1,9.02,2.04,2.9,2021,2021,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,SRER,cfc_chlorophyll,2021,SRER,SRER_005,SRER_005.basePlot.cfc,distributed,jf4sOIyMYqxMWHGAj1ejBy2XZjXwob9UYmnDS8pMq6w=,A00000279764,1,48,0.1121,20,1,13.01,2.93,2.86,2021,2021,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
