dpID,site,table,years_available_averaged,siteID,plotID,namedLocation,plotType,sampleID,sampleCode,n_raw_records,extractionLength_mean_2018_2024,freshMass_mean_2018_2024,solventVolume_mean_2018_2024,analyticalRepNumber_mean_2018_2024,extractChlAConc_mean_2018_2024,extractChlBConc_mean_2018_2024,extractCarotConc_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,extractionLength_mean_2018_2024_unit,freshMass_mean_2018_2024_unit,solventVolume_mean_2018_2024_unit,analyticalRepNumber_mean_2018_2024_unit,extractChlAConc_mean_2018_2024_unit,extractChlBConc_mean_2018_2024_unit,extractCarotConc_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10026.001,STEI,cfc_chlorophyll,2022,STEI,STEI_001,STEI_001.basePlot.cfc,distributed,VIe0/2w3fNdGg8ZdiqmQlNlOr20+UpuJvUCrLWl755s=,A00000358684,1,48,0.0963,20,1,8.74,2.22,2.35,2022,2022,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,STEI,cfc_chlorophyll,2022,STEI,STEI_001,STEI_001.basePlot.cfc,distributed,VIe0/2w3fNdp78ByyJA8EFjCoqDnFwaXQtvg+v8qGt4=,A00000358663,1,48,0.0945,20,1,7.13,1.86,1.87,2022,2022,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,STEI,cfc_chlorophyll,2022,STEI,STEI_001,STEI_001.basePlot.cfc,distributed,VIe0/2w3fNeKiqeEFmkbTs9QFEyiE/IgZxcA8Dbkb5k=,A00000358700,1,48,0.0948,20,1,9.76,3.12,2.21,2022,2022,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,STEI,cfc_chlorophyll,2022,STEI,STEI_002,STEI_002.basePlot.cfc,distributed,VIe0/2w3fNcn3zJhSf83pdbJFqmmyeiAhPHMvnkGMd4=,A00000358654,1,48,0.0937,20,1,4.73,1.28,1.37,2022,2022,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,STEI,cfc_chlorophyll,2022,STEI,STEI_003,STEI_003.basePlot.cfc,distributed,VIe0/2w3fNcNrKRjyzmNZjPw0FpnIzoEFXPbDM4DReI=,A00000358670,1,48,0.0936,20,1,7.2,2.19,2,2022,2022,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,STEI,cfc_chlorophyll,2022,STEI,STEI_003,STEI_003.basePlot.cfc,distributed,VIe0/2w3fNdC6482kBzsUz+jtbq68YxAsmoE90paeNQ=,A00000358661,1,48,0.0947,20,1,6.42,1.65,1.79,2022,2022,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,STEI,cfc_chlorophyll,2022,STEI,STEI_003,STEI_003.basePlot.cfc,distributed,VIe0/2w3fNeiYDd1kvOxg1EPuYicsV8eUlHYYePX1PQ=,A00000358667,1,48,0.0873,20,1,7.66,2.22,1.8,2022,2022,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,STEI,cfc_chlorophyll,2022,STEI,STEI_004,STEI_004.basePlot.cfc,distributed,VIe0/2w3fNfBXMoEYn4UHpUVD27O6vHTQhQMl2a6XPc=,A00000358678,1,48,0.0918,20,1,5.6,1.4,1.9,2022,2022,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,STEI,cfc_chlorophyll,2022,STEI,STEI_004,STEI_004.basePlot.cfc,distributed,VIe0/2w3fNfkpyROGrcCGENSQWPrugpZyYl1BknTjcY=,A00000358676,1,48,0.0965,20,1,9.67,2.78,2.5,2022,2022,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,STEI,cfc_chlorophyll,2022,STEI,STEI_005,STEI_005.basePlot.cfc,distributed,VIe0/2w3fNcwfo4c4at4Ep7MsiZq7HoKjlT6vcQlh3Y=,A00000358681,1,48,0.0967,20,1,7.08,2.03,2.1,2022,2022,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
