dpID,site,table,years_available_averaged,siteID,plotID,namedLocation,plotType,sampleID,sampleCode,n_raw_records,analyticalRepNumber_mean_2018_2024,dryMass_mean_2018_2024,ligninPercent_mean_2018_2024,cellulosePercent_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,analyticalRepNumber_mean_2018_2024_unit,dryMass_mean_2018_2024_unit,ligninPercent_mean_2018_2024_unit,cellulosePercent_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10026.001,WOOD,cfc_lignin,2021,WOOD,WOOD_001,WOOD_001.basePlot.cfc,distributed,xZ/4LGAq2g67m1KX+4fS/ZpJumSgrcTVZxKcPi3ZECM=,A00000238693,1,1,0.485,4.03,28.63,2021,2021,number,gram,percent,percent,NA,NA
DP1.10026.001,WOOD,cfc_lignin,2021,WOOD,WOOD_002,WOOD_002.basePlot.cfc,distributed,xZ/4LGAq2g6TUwymTuahBnmOKHlluJzertA4nR3gNaQ=,A00000238694,1,1,0.493,4.26,26.29,2021,2021,number,gram,percent,percent,NA,NA
DP1.10026.001,WOOD,cfc_lignin,2021,WOOD,WOOD_003,WOOD_003.basePlot.cfc,distributed,xZ/4LGAq2g4AJlIzew7Wf+AsfzLSQDQQpy76ANXLCTA=,A00000238695,1,1,0.476,3.23,28.81,2021,2021,number,gram,percent,percent,NA,NA
DP1.10026.001,WOOD,cfc_lignin,2021,WOOD,WOOD_004,WOOD_004.basePlot.cfc,distributed,xZ/4LGAq2g5Rur2MuF0BDWEOLn07S0hdDV2LSwCgs5k=,A00000238696,1,1,0.504,4.58,26.96,2021,2021,number,gram,percent,percent,NA,NA
DP1.10026.001,WOOD,cfc_lignin,2021,WOOD,WOOD_005,WOOD_005.basePlot.cfc,distributed,xZ/4LGAq2g7nI++B8hJ/gl8nsd5H8A9KGX6un6dW7ek=,A00000238697,1,1,0.502,5.27,21.44,2021,2021,number,gram,percent,percent,NA,NA
DP1.10026.001,WOOD,cfc_lignin,2021,WOOD,WOOD_006,WOOD_006.basePlot.cfc,distributed,xZ/4LGAq2g63XXbJ/Ii4dFjuS+ihGjn+54/9AYR3h7U=,A00000238698,1,1,0.469,3.99,29.58,2021,2021,number,gram,percent,percent,NA,NA
DP1.10026.001,WOOD,cfc_lignin,2021,WOOD,WOOD_007,WOOD_007.basePlot.cfc,distributed,xZ/4LGAq2g6obzXPzJjcvZ0c1GOAeJhG7lFu+oCGKoY=,A00000238699,1,1,0.459,2.68,31.25,2021,2021,number,gram,percent,percent,NA,NA
DP1.10026.001,WOOD,cfc_lignin,2021,WOOD,WOOD_008,WOOD_008.basePlot.cfc,distributed,xZ/4LGAq2g6Qj6dihqFckAB9FijJ3chBCHOUco4zaHk=,A00000238700,1,1,0.492,3.56,30.14,2021,2021,number,gram,percent,percent,NA,NA
DP1.10026.001,WOOD,cfc_lignin,2021,WOOD,WOOD_009,WOOD_009.basePlot.cfc,distributed,xZ/4LGAq2g7M7/vSyUFd08QcgiwCnmwzUjbEz74PaDA=,A00000238701,1,1,0.5,3.58,30.96,2021,2021,number,gram,percent,percent,NA,NA
DP1.10026.001,WOOD,cfc_lignin,2021,WOOD,WOOD_010,WOOD_010.basePlot.cfc,distributed,xZ/4LGAq2g62z+5tzOwCpdDL65x3d9WHKVtyQmwby6Q=,A00000238702,1,1,0.478,2.96,31.82,2021,2021,number,gram,percent,percent,NA,NA
DP1.10026.001,WOOD,cfc_lignin,2021,WOOD,WOOD_011,WOOD_011.basePlot.cfc,distributed,xZ/4LGAq2g44ZHIuUy5iJrSQV/0sxR1JLGJpIp7E5sQ=,A00000238703,1,1,0.465,4.85,21.55,2021,2021,number,gram,percent,percent,NA,NA
DP1.10026.001,WOOD,cfc_lignin,2021,WOOD,WOOD_012,WOOD_012.basePlot.cfc,distributed,xZ/4LGAq2g4MoekU/ZcIUKoGCV8wDE24naYEbjhetZU=,A00000238704,1,1,0.499,5.62,33.68,2021,2021,number,gram,percent,percent,NA,NA
DP1.10026.001,WOOD,cfc_lignin,2021,WOOD,WOOD_013,WOOD_013.basePlot.cfc,distributed,xZ/4LGAq2g5DV3y9M8/BtZAF86XgMObfgDUdrFHtex4=,A00000238705,1,1,0.504,4.45,26.58,2021,2021,number,gram,percent,percent,NA,NA
DP1.10026.001,WOOD,cfc_lignin,2021,WOOD,WOOD_021,WOOD_021.basePlot.cfc,distributed,xZ/4LGAq2g6Tiw5iTs+UIBHgwN3e3w0NlZfNx0jtMaQ=,A00000238706,1,1,0.492,10.62,34.57,2021,2021,number,gram,percent,percent,NA,NA
DP1.10026.001,WOOD,cfc_lignin,2021,WOOD,WOOD_022,WOOD_022.basePlot.cfc,distributed,xZ/4LGAq2g5ZG/Idao9B4X4/uabet50/itNWfr+cAg8=,A00000238707,1,1,0.495,12.92,41.13,2021,2021,number,gram,percent,percent,NA,NA
DP1.10026.001,WOOD,cfc_lignin,2021,WOOD,WOOD_024,WOOD_024.basePlot.cfc,distributed,xZ/4LGAq2g5beUPdIU14aP1ycy4Rb23dQewaxb2x/0A=,A00000238708,1,1,0.481,6.83,35.86,2021,2021,number,gram,percent,percent,NA,NA
DP1.10026.001,WOOD,cfc_lignin,2021,WOOD,WOOD_042,WOOD_042.basePlot.cfc,tower,xZ/4LGAq2g7s0BFr7jQjhvn5ALEagPeuwHfKTC8onI0=,A00000238709,1,1,0.48,4,16.81,2021,2021,number,gram,percent,percent,NA,NA
DP1.10026.001,WOOD,cfc_lignin,2021,WOOD,WOOD_043,WOOD_043.basePlot.cfc,tower,xZ/4LGAq2g5RAbC90CFX0ziFhVi4d+79aj+P6+L/V48=,A00000238710,1,1,0.46,2.86,28.73,2021,2021,number,gram,percent,percent,NA,NA
DP1.10026.001,WOOD,cfc_lignin,2021,WOOD,WOOD_044,WOOD_044.basePlot.cfc,tower,xZ/4LGAq2g5NM+G6kbU3sz53txMJTgIAS96c3I5Q9Lc=,A00000238711,1,1,0.475,4.76,33.43,2021,2021,number,gram,percent,percent,NA,NA
DP1.10026.001,WOOD,cfc_lignin,2021,WOOD,WOOD_045,WOOD_045.basePlot.cfc,tower,xZ/4LGAq2g625hRtYPCK3qBJogqQfDJDNm5GDwwaRbk=,A00000238712,1,1,0.488,4.95,25.47,2021,2021,number,gram,percent,percent,NA,NA
