dpID,site,table,years_available_averaged,siteID,plotID,namedLocation,plotType,subplotID,individualID,sampleID,sampleCode,plantStatus,taxonID,scientificName,n_raw_records,decimalLatitude_mean_2018_2024,decimalLongitude_mean_2018_2024,coordinateUncertainty_mean_2018_2024,elevation_mean_2018_2024,elevationUncertainty_mean_2018_2024,clipCellNumber_mean_2018_2024,clipLength_mean_2018_2024,clipWidth_mean_2018_2024,percentCoverClip_mean_2018_2024,subsample1Height_mean_2018_2024,subsample2Height_mean_2018_2024,subsample3Height_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,decimalLatitude_mean_2018_2024_unit,decimalLongitude_mean_2018_2024_unit,coordinateUncertainty_mean_2018_2024_unit,elevation_mean_2018_2024_unit,elevationUncertainty_mean_2018_2024_unit,clipCellNumber_mean_2018_2024_unit,clipLength_mean_2018_2024_unit,clipWidth_mean_2018_2024_unit,percentCoverClip_mean_2018_2024_unit,subsample1Height_mean_2018_2024_unit,subsample2Height_mean_2018_2024_unit,subsample3Height_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10026.001,YELL,cfc_fieldData,"2020,2023",YELL,YELL_002,YELL_002.basePlot.cfc,distributed,NA,NEON.PLA.D12.YELL.00004,fNVWi/NGi2ivNEbQHX8tPJ5EDfKiibWx4MUrDYYi9yk=,A00000114961,OK,ARTR2,Artemisia tridentata Nutt.,1,44.932467,-110.634896,20,2125.1,0.02,NA,NA,NA,NA,0.5,NA,NA,2020,2020,decimalDegree,decimalDegree,meter,meter,meter,NA,meter,meter,percent,meter,meter,meter,NA,NA
DP1.10026.001,YELL,cfc_fieldData,"2020,2023",YELL,YELL_003,YELL_003.basePlot.cfc,distributed,NA,NEON.PLA.D12.YELL.00336,fNVWi/NGi2gYEIEkiO1fkInJ3jEB+vmf37pS1kyJZpE=,A00000114945,OK,ARTR2,Artemisia tridentata Nutt.,1,44.954777,-110.533202,20.1,2120.8,0.1,NA,NA,NA,NA,0.7,NA,NA,2020,2020,decimalDegree,decimalDegree,meter,meter,meter,NA,meter,meter,percent,meter,meter,meter,NA,NA
DP1.10026.001,YELL,cfc_fieldData,"2020,2023",YELL,YELL_004,YELL_004.basePlot.cfc,distributed,31_400,NA,fNVWi/NGi2iut4prg+fvF/l0UtU7MvrpO47L2zWMrgs=,A00000380687,OK,NA,NA,1,44.962834,-110.593234,20.1,1991.5,0.1,39,2,0.1,35,NA,NA,NA,2023,2023,decimalDegree,decimalDegree,meter,meter,meter,NA,meter,meter,percent,meter,meter,meter,NA,NA
DP1.10026.001,YELL,cfc_fieldData,"2020,2023",YELL,YELL_004,YELL_004.basePlot.cfc,distributed,NA,NEON.PLA.D12.YELL.00384,fNVWi/NGi2gmQ0TwEMDzWwt/qPwaI2ry/pBVtQLi2Dg=,A00000380674,OK,ARTR2,Artemisia tridentata Nutt.,1,44.962834,-110.593234,20.1,1991.5,0.1,NA,NA,NA,NA,0.6,NA,NA,2023,2023,decimalDegree,decimalDegree,meter,meter,meter,NA,meter,meter,percent,meter,meter,meter,NA,NA
DP1.10026.001,YELL,cfc_fieldData,"2020,2023",YELL,YELL_005,YELL_005.basePlot.cfc,distributed,NA,NEON.PLA.D12.YELL.02199Z,fNVWi/NGi2gcOAp7tP04SqjQqoNiT8C1JX758/CNZLk=,A00000380695,OK,ARTR2,Artemisia tridentata Nutt.,1,44.948383,-110.631377,20.1,2112,0.1,NA,NA,NA,NA,0.7,NA,NA,2023,2023,decimalDegree,decimalDegree,meter,meter,meter,NA,meter,meter,percent,meter,meter,meter,NA,NA
DP1.10026.001,YELL,cfc_fieldData,"2020,2023",YELL,YELL_005,YELL_005.basePlot.cfc,distributed,NA,NEON.PLA.D12.YELL.02199Z,fNVWi/NGi2gcOAp7tP04SuRxX93pnvR/25b/Pzm5kBA=,B00000038601,OK,ARTR2,Artemisia tridentata Nutt.,1,44.948383,-110.631377,20.1,2112,0.1,NA,NA,NA,NA,0.5,NA,NA,2020,2020,decimalDegree,decimalDegree,meter,meter,meter,NA,meter,meter,percent,meter,meter,meter,NA,NA
DP1.10026.001,YELL,cfc_fieldData,"2020,2023",YELL,YELL_006,YELL_006.basePlot.cfc,distributed,31_400,NA,fNVWi/NGi2jFLy3DgzoUB1Th+bwBVSoVlvWDbxT71cQ=,A00000380676,OK,NA,NA,1,44.971091,-110.562787,20,2049.7,0.05,140,2,0.1,95,NA,NA,NA,2023,2023,decimalDegree,decimalDegree,meter,meter,meter,NA,meter,meter,percent,meter,meter,meter,NA,NA
DP1.10026.001,YELL,cfc_fieldData,"2020,2023",YELL,YELL_006,YELL_006.basePlot.cfc,distributed,NA,NEON.PLA.D12.YELL.00114,fNVWi/NGi2iAZhABwkpprxYCXrUajpHr5mgH+j6BEhI=,A00000117102,OK,PSME,Pseudotsuga menziesii (Mirb.) Franco,1,44.971091,-110.562787,20,2049.7,0.05,NA,NA,NA,NA,4.8,NA,NA,2020,2020,decimalDegree,decimalDegree,meter,meter,meter,NA,meter,meter,percent,meter,meter,meter,NA,NA
DP1.10026.001,YELL,cfc_fieldData,"2020,2023",YELL,YELL_006,YELL_006.basePlot.cfc,distributed,NA,NEON.PLA.D12.YELL.02893Z,fNVWi/NGi2j2HApBFpp6H2BYrGIwNzL9LhIIjE/s8ok=,A00000380677,OK,POTR5,Populus tremuloides Michx.,1,44.971091,-110.562787,20,2049.7,0.05,NA,NA,NA,NA,1,NA,NA,2023,2023,decimalDegree,decimalDegree,meter,meter,meter,NA,meter,meter,percent,meter,meter,meter,NA,NA
DP1.10026.001,YELL,cfc_fieldData,"2020,2023",YELL,YELL_006,YELL_006.basePlot.cfc,distributed,NA,NEON.PLA.D12.YELL.02894Z,fNVWi/NGi2iAZhABwkppr5PqwZwf86KbPfVFydj3rVA=,A00000380678,OK,PSME,Pseudotsuga menziesii (Mirb.) Franco,1,44.971091,-110.562787,20,2049.7,0.05,NA,NA,NA,NA,11.1,NA,NA,2023,2023,decimalDegree,decimalDegree,meter,meter,meter,NA,meter,meter,percent,meter,meter,meter,NA,NA
DP1.10026.001,YELL,cfc_fieldData,"2020,2023",YELL,YELL_006,YELL_006.basePlot.cfc,distributed,NA,NEON.PLA.D12.YELL.02895Z,fNVWi/NGi2ihlJjexJq80EdgCuGlSdGNA8mkC8wilLI=,A00000380675,OK,ARTR2,Artemisia tridentata Nutt.,1,44.971091,-110.562787,20,2049.7,0.05,NA,NA,NA,NA,1.1,NA,NA,2023,2023,decimalDegree,decimalDegree,meter,meter,meter,NA,meter,meter,percent,meter,meter,meter,NA,NA
DP1.10026.001,YELL,cfc_fieldData,"2020,2023",YELL,YELL_007,YELL_007.basePlot.cfc,distributed,31_400,NA,fNVWi/NGi2guGOVoVb+wXVy4SXVVDhelYiZJThTDqiE=,A00000380672,OK,NA,NA,1,44.917831,-110.428945,20.2,2084.2,0.29,41,2,0.1,85,NA,NA,NA,2023,2023,decimalDegree,decimalDegree,meter,meter,meter,NA,meter,meter,percent,meter,meter,meter,NA,NA
