uid,namedLocation,domainID,siteID,plotType,sampleID,sampleCode,collectDate,lmaSampleID,lmaSampleCode,lmaSampleCondition,tissueDescriptor,scanDate,scannedBy,freshMass,ovenStartDate,ovenEndDate,dryMass,weighedBy,scannedLeafNumber,leafArea,percentGreen,leafMassPerArea,dryMassFraction,measuredBy,remarks,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
893b54ab-a79c-4ff4-9316-4637266a9137,BLAN_031.basePlot.cfc,D02,BLAN,tower,9bPqo9r3ZrMLlECH3r51rpuDDNxgCfYnWXZ2WVggK0g=,NA,2020-08-17T13:37:00Z,9bPqo9r3ZrMLlECH3r51rpuDDNxgCfYnBLdCJgNnwwk=,NA,OK,NA,2020-08-18T18:19:00Z,0000-0003-1337-5330,1.242,2020-08-18T18:23:00Z,2020-08-25T14:00:00Z,0.274,0000-0003-4806-3126,12,9677.9,100,28.3,0.221,0000-0001-9247-047X,NA,NA,20260106T154903Z,RELEASE-2026,DP1.10026.001,BLAN,2020,cfc_LMA
4f6a09e3-d0a3-4234-ae38-e75ff780b761,BLAN_055.basePlot.cfc,D02,BLAN,tower,9bPqo9r3ZrNX8vJey56QuUi0m54y7uQSF2Hnko2yMS0=,NA,2020-08-17T14:05:00Z,9bPqo9r3ZrNX8vJey56QuUi0m54y7uQS6p2lOSo5cMk=,NA,OK,NA,2020-08-18T13:03:00Z,0000-0003-1337-5330,6.133,2020-08-18T13:05:00Z,2020-08-25T14:15:00Z,2.65,0000-0003-4806-3126,16,22934.8,99,115.5,0.432,0000-0001-9247-047X,NA,NA,20260106T154903Z,RELEASE-2026,DP1.10026.001,BLAN,2020,cfc_LMA
cfffd225-29ac-46ee-84e0-5365bb2d98e4,BLAN_038.basePlot.cfc,D02,BLAN,tower,9bPqo9r3ZrOuujdlsPoIq4EihTERhNJ6/UKTopMT/98=,NA,2020-08-17T14:21:00Z,9bPqo9r3ZrOuujdlsPoIq4EihTERhNJ6PjQEqAjL84M=,NA,OK,NA,2020-08-18T19:00:00Z,0000-0003-1337-5330,1.609,2020-08-18T19:04:00Z,2020-08-25T14:15:00Z,0.406,0000-0003-4806-3126,12,12549.1,96,32.4,0.252,0000-0001-9247-047X,NA,NA,20260106T154903Z,RELEASE-2026,DP1.10026.001,BLAN,2020,cfc_LMA
7d6c88f6-8dd7-4b28-9294-5bdcf13ef573,BLAN_055.basePlot.cfc,D02,BLAN,tower,9bPqo9r3ZrP/IYACrQCXJFUZanIvngSCUrocq1vSxvQ=,NA,2020-08-17T15:16:00Z,9bPqo9r3ZrP/IYACrQCXJFUZanIvngSCoi04WmPFDInU2ki1dnvJCg==,NA,OK,NA,2020-08-19T20:09:00Z,0000-0003-4806-3126,0.966,2020-08-19T20:13:00Z,2020-08-25T14:00:00Z,0.452,0000-0003-4806-3126,84,1478.2,100,305.8,0.468,0000-0001-9247-047X,true needles small and appressed to stem. Individual branching segments treated as leaves for purpose of leaf count,NA,20260106T154903Z,RELEASE-2026,DP1.10026.001,BLAN,2020,cfc_LMA
10ecab44-0215-48da-b4bc-9ddc9505dce3,BLAN_032.basePlot.cfc,D02,BLAN,tower,9bPqo9r3ZrNNEzYCrLK71mIqtpxFH1DjRyJHEM+vNUk=,NA,2020-08-17T15:23:00Z,9bPqo9r3ZrNNEzYCrLK71mIqtpxFH1Djl/zgRZxTM/I=,NA,OK,NA,2020-08-18T17:30:00Z,0000-0003-1337-5330,2.586,2020-08-18T17:34:00Z,2020-08-25T14:15:00Z,0.821,0000-0003-4806-3126,22,15808.7,95,51.9,0.317,0000-0001-9247-047X,NA,NA,20260106T154903Z,RELEASE-2026,DP1.10026.001,BLAN,2020,cfc_LMA
9492a5c1-b442-4b78-a353-fce7c6dc072b,BLAN_007.basePlot.cfc,D02,BLAN,distributed,9bPqo9r3ZrOsn06XKPtJ1O0w+dNuMAVax80FA8RIrFk=,NA,2020-08-17T16:15:00Z,9bPqo9r3ZrOsn06XKPtJ1O0w+dNuMAVawvAafk18vao=,NA,OK,NA,2020-08-18T15:16:00Z,0000-0003-1337-5330,4.409,2020-08-18T15:15:00Z,2020-08-25T14:15:00Z,1.314,0000-0003-4806-3126,3,20794.4,99,63.2,0.298,0000-0001-9247-047X,NA,NA,20260106T154903Z,RELEASE-2026,DP1.10026.001,BLAN,2020,cfc_LMA
97a69554-58cc-4e12-97c2-ced03a496e82,BLAN_004.basePlot.cfc,D02,BLAN,distributed,9bPqo9r3ZrNKBQJ6HsoC4TGiO2QF5gZSIMK2YUcWTdY=,NA,2020-08-17T17:07:00Z,9bPqo9r3ZrNKBQJ6HsoC4TGiO2QF5gZSi1lelyaSUyM=,NA,OK,NA,2020-08-19T13:15:00Z,0000-0003-4806-3126,1.415,2020-08-19T13:45:00Z,2020-08-25T14:00:00Z,0.365,0000-0003-4806-3126,16,10297.7,99,35.4,0.258,0000-0001-9247-047X,NA,NA,20260106T154903Z,RELEASE-2026,DP1.10026.001,BLAN,2020,cfc_LMA
088850c2-82a0-4a9b-808d-c7ce104e0bfd,BLAN_057.basePlot.cfc,D02,BLAN,tower,9bPqo9r3ZrNBZGPowHLWA4CG0XmR9dOqYYGox6S95Og=,NA,2020-08-17T17:27:00Z,9bPqo9r3ZrNBZGPowHLWA4CG0XmR9dOqM4Bdt34TqSc=,NA,OK,NA,2020-08-18T14:17:00Z,0000-0003-1337-5330,7.347,2020-08-18T14:18:00Z,2020-08-25T14:00:00Z,2.835,0000-0003-4806-3126,5,23186.1,100,122.3,0.386,0000-0001-9247-047X,NA,NA,20260106T154903Z,RELEASE-2026,DP1.10026.001,BLAN,2020,cfc_LMA
b27fe7d4-3529-4fe1-864e-ba0265211ad0,BLAN_017.basePlot.cfc,D02,BLAN,distributed,9bPqo9r3ZrOJJg0At4sPvXNcGU2Ut1rG5uPQwEei5FE=,NA,2020-08-17T17:46:00Z,9bPqo9r3ZrOJJg0At4sPvXNcGU2Ut1rGZAmFigGLZHQxlam0Ktpy4w==,NA,OK,NA,2020-08-18T15:39:00Z,0000-0003-1337-5330,3.147,2020-08-18T15:39:00Z,2020-08-25T14:15:00Z,1.433,0000-0003-4806-3126,1,15382.2,100,93.2,0.455,0000-0001-9247-047X,NA,NA,20260106T154903Z,RELEASE-2026,DP1.10026.001,BLAN,2020,cfc_LMA
dd3d5ffb-5b72-4aad-9d21-73e11f02ba63,BLAN_003.basePlot.cfc,D02,BLAN,distributed,9bPqo9r3ZrPVekffnzp8zQJqybz5Src1qoUuM2P/8ds=,NA,2020-08-17T17:57:00Z,9bPqo9r3ZrPVekffnzp8zQJqybz5Src1joPO0KeVaDE=,NA,OK,NA,2020-08-19T12:33:00Z,0000-0003-4806-3126,2.033,2020-08-19T13:07:00Z,2020-08-25T14:00:00Z,0.51,0000-0003-4806-3126,5,15421,99,33.1,0.251,0000-0001-9247-047X,NA,NA,20260106T154903Z,RELEASE-2026,DP1.10026.001,BLAN,2020,cfc_LMA
