uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,collectDate,aopCollectDate,samplingImpractical,subplotID,sampleType,samplingMethod,sampleID,sampleCode,sampleCondition,chlorophyllSampleID,chlorophyllSampleCode,chlorophyllSamplePrepMethod,chlorophyllSampleCondition,clipCellNumber,clipID,clipLength,clipWidth,percentCoverClip,toxicodendronPossible,vstTag,tagID,individualID,taxonID,scientificName,plantStatus,canopyStatus,canopyPosition,leafSamplePosition,subsample1Height,subsample2Height,subsample3Height,crownPolygonID,crownPolygonConfidence,previousPolygon,shapefileID,collectedBy,recordedBy,remarks,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
609d29d4-67b3-427c-a9a1-d1a39cc93b56,CLBJ_036.basePlot.cfc,D11,CLBJ,CLBJ_036,distributed,grasslandHerbaceous,WGS84,33.397578,-97.57995,20.1,288,0.1,NEON.DOC.001024vF,2019-04-23T12:42:00Z,2019-04-20,NA,31_400,Herbaceous clip strip,clippers,+Bzwz4UdNwRYjy4phFff3L4XJ7qJgPp/zsoYipfmFRY=,A00000052514,OK,+Bzwz4UdNwRYjy4phFff3L4XJ7qJgPp/ycamqMgXBu8=,B00000001985,NA,OK,9,CLBJ_036_009,2,0.1,96,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-2251-7487,NA,NA,20260106T155048Z,RELEASE-2026,DP1.10026.001,CLBJ,2019,cfc_fieldData
69b845fb-1165-41c2-83c0-bdb6b2b34147,CLBJ_045.basePlot.cfc,D11,CLBJ,CLBJ_045,distributed,deciduousForest,WGS84,33.403397,-97.568252,20.1,263.9,0.1,NEON.DOC.001024vF,2019-04-25T15:44:00Z,2019-04-20,NA,NA,Woody individual,line launcher,+Bzwz4UdNwSU5gsAdDne07ynO3o3GktYtE3CEi2ae/Q=,A00000052502,OK,+Bzwz4UdNwSU5gsAdDne07ynO3o3GktYO935wWk6rL4=,B00000001967,NA,OK,NA,NA,NA,NA,NA,NA,Y,01604,NEON.PLA.D11.CLBJ.01604,ULCR,Ulmus crassifolia Nutt.,OK,NA,NA,NA,5.9,2.7,NA,NA,NA,NA,NA,0000-0002-3973-0882,0000-0002-2543-4353,NA,NA,20260106T155048Z,RELEASE-2026,DP1.10026.001,CLBJ,2019,cfc_fieldData
d8da380f-7a0e-48eb-9315-75cbc977df77,CLBJ_045.basePlot.cfc,D11,CLBJ,CLBJ_045,distributed,deciduousForest,WGS84,33.403397,-97.568252,20.1,263.9,0.1,NEON.DOC.001024vF,2019-04-26T13:06:00Z,2019-04-20,NA,NA,Woody individual,pole pruner,+Bzwz4UdNwSU5gsAdDne07ynO3o3GktY7eyXTxniqsw=,A00000052475,OK,+Bzwz4UdNwSU5gsAdDne07ynO3o3GktYV+RI3SzAfoE=,B00000001965,NA,OK,NA,NA,NA,NA,NA,NA,Y,01626,NEON.PLA.D11.CLBJ.01626,ULCR,Ulmus crassifolia Nutt.,OK,NA,NA,NA,4.1,NA,NA,NA,NA,NA,NA,0000-0002-3973-0882,0000-0001-7269-5663,NA,NA,20260106T155048Z,RELEASE-2026,DP1.10026.001,CLBJ,2019,cfc_fieldData
fa5887e0-9f8b-492f-b648-cb0860795737,CLBJ_046.basePlot.cfc,D11,CLBJ,CLBJ_046,distributed,deciduousForest,WGS84,33.403571,-97.58341,20.1,275,0.1,NEON.DOC.001024vF,2019-04-26T14:41:00Z,2019-04-20,NA,NA,Woody individual,pole pruner,+Bzwz4UdNwSG0wol2osEg1E1CjGXLYprvTXIhJ3vDPk=,A00000052484,OK,+Bzwz4UdNwSG0wol2osEg1E1CjGXLYprIdHkJ3o5IKGXavvqWIqNYw==,B00000001974,NA,OK,NA,NA,NA,NA,NA,NA,Y,01009,NEON.PLA.D11.CLBJ.01009,MORU2,Morus rubra L.,OK,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,0000-0002-3973-0882,0000-0001-7269-5663,NA,NA,20260106T155048Z,RELEASE-2026,DP1.10026.001,CLBJ,2019,cfc_fieldData
0039e3d6-404d-45df-8bcb-6ffe066677bd,CLBJ_046.basePlot.cfc,D11,CLBJ,CLBJ_046,distributed,deciduousForest,WGS84,33.403571,-97.58341,20.1,275,0.1,NEON.DOC.001024vF,2019-04-26T15:32:00Z,2019-04-20,NA,NA,Woody individual,pole pruner,+Bzwz4UdNwQYf/ZQCK5zmRdLxJcVl/JmdPLikAvGCmY=,A00000052503,OK,+Bzwz4UdNwQYf/ZQCK5zmRdLxJcVl/JmSuMPY8UiLm8=,B00000001982,NA,OK,NA,NA,NA,NA,NA,NA,Y,01002,NEON.PLA.D11.CLBJ.01002,ULAL,Ulmus alata Michx.,OK,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,0000-0002-3973-0882,0000-0001-7269-5663,NA,NA,20260106T155048Z,RELEASE-2026,DP1.10026.001,CLBJ,2019,cfc_fieldData
b0794ae7-94c2-4b24-9365-c862c80e93ac,CLBJ_046.basePlot.cfc,D11,CLBJ,CLBJ_046,distributed,deciduousForest,WGS84,33.403571,-97.58341,20.1,275,0.1,NEON.DOC.001024vF,2019-04-26T16:03:00Z,2019-04-20,NA,NA,Woody individual,pole pruner,+Bzwz4UdNwQYuepfUJobhJLHajbMaQ+0RllsFOTXie4=,A00000053139,OK,+Bzwz4UdNwQYuepfUJobhJLHajbMaQ+0jSQ/6tNMpMno9ZGpNp14zQ==,B00000001980,NA,OK,NA,NA,NA,NA,NA,NA,Y,02536,NEON.PLA.D11.CLBJ.02536,QUMA3,Quercus marilandica Münchh.,OK,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,0000-0002-3973-0882,0000-0001-7269-5663,NA,NA,20260106T155048Z,RELEASE-2026,DP1.10026.001,CLBJ,2019,cfc_fieldData
4dd4bff0-1985-4ebe-aadd-08f6bd80db5a,CLBJ_046.basePlot.cfc,D11,CLBJ,CLBJ_046,distributed,deciduousForest,WGS84,33.403571,-97.58341,20.1,275,0.1,NEON.DOC.001024vF,2019-04-26T16:40:00Z,2019-04-20,NA,NA,Woody individual,pole pruner,+Bzwz4UdNwQYf/ZQCK5zmbU9BDiZIcX3aFlaSARJu9E=,A00000052496,OK,+Bzwz4UdNwQYf/ZQCK5zmbU9BDiZIcX3qCUdArW+nb8=,B00000001976,NA,OK,NA,NA,NA,NA,NA,NA,Y,02539,NEON.PLA.D11.CLBJ.02539,ULAL,Ulmus alata Michx.,OK,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,0000-0002-3973-0882,0000-0001-7269-5663,NA,NA,20260106T155048Z,RELEASE-2026,DP1.10026.001,CLBJ,2019,cfc_fieldData
9efaf7f7-6efd-495e-b65d-9bcc57edbea7,CLBJ_046.basePlot.cfc,D11,CLBJ,CLBJ_046,distributed,deciduousForest,WGS84,33.403571,-97.58341,20.1,275,0.1,NEON.DOC.001024vF,2019-04-26T17:04:00Z,2019-04-20,NA,NA,Woody individual,pole pruner,+Bzwz4UdNwQ53udWiQpPXxASa5MDZ1qEkcYCbqDl6A0=,A00000052501,OK,+Bzwz4UdNwQ53udWiQpPXxASa5MDZ1qEUO0WVcMPEYM=,B00000001978,NA,OK,NA,NA,NA,NA,NA,NA,Y,02580,NEON.PLA.D11.CLBJ.02580,QUST,Quercus stellata Wangenh.,OK,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,0000-0002-3973-0882,0000-0001-7269-5663,NA,NA,20260106T155048Z,RELEASE-2026,DP1.10026.001,CLBJ,2019,cfc_fieldData
f20cfac7-bcd7-4ed4-ab6d-6b9c664dcb59,CLBJ_008.basePlot.cfc,D11,CLBJ,CLBJ_008,tower,deciduousForest,WGS84,33.399913,-97.569922,10.1,271.9,0.1,NEON.DOC.001024vF,2019-05-01T15:24:00Z,2019-04-20,NA,NA,Woody individual,NA,+Bzwz4UdNwRm75lM8x4fJBl26iHojXpebp75eDv4hho=,A00000052492,OK,+Bzwz4UdNwRm75lM8x4fJBl26iHojXpesv82eXgFky0=,B00000001983,NA,OK,NA,NA,NA,NA,NA,NA,Y,00946,NEON.PLA.D11.CLBJ.00946,PRME,Prunus mexicana S. Watson,OK,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,0000-0002-3973-0882,0000-0002-2251-7487,NA,NA,20260106T155803Z,RELEASE-2026,DP1.10026.001,CLBJ,2019,cfc_fieldData
3c851dad-59c9-4ffc-83b3-8fd84d8a641f,CLBJ_008.basePlot.cfc,D11,CLBJ,CLBJ_008,tower,deciduousForest,WGS84,33.399913,-97.569922,10.1,271.9,0.1,NEON.DOC.001024vF,2019-05-01T15:43:00Z,2019-04-20,NA,NA,Woody individual,NA,+Bzwz4UdNwTYEi43NI3OFIXqxKbBj/O0wH0zBSX57b0=,A00000052500,OK,+Bzwz4UdNwTYEi43NI3OFIXqxKbBj/O0/MY6cFSVGDo=,B00000001970,NA,OK,NA,NA,NA,NA,NA,NA,Y,00943,NEON.PLA.D11.CLBJ.00943,ULAL,Ulmus alata Michx.,OK,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,0000-0002-3973-0882,0000-0002-2251-7487,NA,NA,20260106T155803Z,RELEASE-2026,DP1.10026.001,CLBJ,2019,cfc_fieldData
f513f61b-7cf0-434b-a0c9-a450f5908ae8,CLBJ_008.basePlot.cfc,D11,CLBJ,CLBJ_008,tower,deciduousForest,WGS84,33.399913,-97.569922,10.1,271.9,0.1,NEON.DOC.001024vF,2019-05-01T16:06:00Z,2019-04-20,NA,NA,Woody individual,NA,+Bzwz4UdNwQ9acRmof3NoJG9SKzfhQbdvhFyqPdQT6Q=,A00000052474,OK,+Bzwz4UdNwQ9acRmof3NoJG9SKzfhQbd1KaW2EGtTxM=,B00000001966,NA,OK,NA,NA,NA,NA,NA,NA,Y,00988,NEON.PLA.D11.CLBJ.00988,QUST,Quercus stellata Wangenh.,Insect damaged,NA,NA,NA,6.7,NA,NA,NA,NA,NA,NA,0000-0002-3973-0882,0000-0002-2251-7487,NA,NA,20260106T155803Z,RELEASE-2026,DP1.10026.001,CLBJ,2019,cfc_fieldData
df505694-0c97-485e-8a70-f936b5b6e221,CLBJ_028.basePlot.cfc,D11,CLBJ,CLBJ_028,tower,deciduousForest,WGS84,33.401799,-97.570531,10.1,265.1,0.1,NEON.DOC.001024vF,2019-05-01T17:17:00Z,2019-04-20,NA,NA,Woody individual,pole pruner,+Bzwz4UdNwQY3pXezZndGeoLzgGN3+Sle4mW8L5O1w8=,A00000052495,OK,+Bzwz4UdNwQY3pXezZndGeoLzgGN3+SldfLRtJAz10s=,B00000001972,NA,OK,NA,NA,NA,NA,NA,NA,Y,01030,NEON.PLA.D11.CLBJ.01030,CELA,Celtis laevigata Willd.,OK,NA,NA,NA,5.4,NA,NA,NA,NA,NA,NA,0000-0002-3973-0882,0000-0002-2251-7487,NA,NA,20260106T155803Z,RELEASE-2026,DP1.10026.001,CLBJ,2019,cfc_fieldData
8874e663-e6e1-4081-9b9e-6e9c14af0d61,CLBJ_028.basePlot.cfc,D11,CLBJ,CLBJ_028,tower,deciduousForest,WGS84,33.401799,-97.570531,10.1,265.1,0.1,NEON.DOC.001024vF,2019-05-01T17:36:00Z,2019-04-20,NA,NA,Woody individual,pole pruner,+Bzwz4UdNwRKSsqgjm3lw4fVy8CXkZnVQE8Hd+e9dD4=,A00000052472,OK,+Bzwz4UdNwRKSsqgjm3lw4fVy8CXkZnV+5e3bm5gNGk=,B00000001988,NA,OK,NA,NA,NA,NA,NA,NA,Y,02012,NEON.PLA.D11.CLBJ.02012,JUVI,Juniperus virginiana L.,OK,NA,NA,NA,4.8,5.6,NA,NA,NA,NA,NA,0000-0002-3973-0882,0000-0002-2251-7487,NA,NA,20260106T155803Z,RELEASE-2026,DP1.10026.001,CLBJ,2019,cfc_fieldData
