uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,cnSampleID,cnSampleCode,collectDate,analysisDate,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
d7046a51-9ce8-4a99-9083-a0cdb8152b36,CLBJ_041.basePlot.cfc,D11,CLBJ,CLBJ_041,distributed,+Bzwz4UdNwTbcq+85vzPJcvK57GikbmTM480sL3Abdg=,A00000420741,+Bzwz4UdNwTbcq+85vzPJcvK57GikbmT9tpnqxasEH0=,A00000420549,2024-06-04T14:35:00Z,2024-11-16,N,-2.7,-29.4,2.05,49.74,24.3,OK,OK,OK,OK,1,NA,SIRFER Lab at University of Utah,NEON_vegIso_SOPv1.0,Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta Plus Advantage IRMS with Conflo III Interface,ElFtGy1kV49xqNP00HfxQA==,CEsVaiaTMHo=,NA,20260106T154545Z,RELEASE-2026,DP1.10026.001,CLBJ,2024,cfc_carbonNitrogen
83bef28e-522a-4a2d-a953-a393cefb6a11,CLBJ_041.basePlot.cfc,D11,CLBJ,CLBJ_041,distributed,+Bzwz4UdNwTYyt9k90H0Zdd7hch/Nb7MPeX2N8CvSE8=,A00000420742,+Bzwz4UdNwTYyt9k90H0Zdd7hch/Nb7MuZE0W7IYJsBmNplx2dfjog==,A00000420603,2024-06-04T14:35:00Z,2024-11-16,N,-1.5,-29.5,2.38,50.48,21.2,OK,OK,OK,OK,1,NA,SIRFER Lab at University of Utah,NEON_vegIso_SOPv1.0,Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta Plus Advantage IRMS with Conflo III Interface,ElFtGy1kV49xqNP00HfxQA==,CEsVaiaTMHo=,NA,20260106T154545Z,RELEASE-2026,DP1.10026.001,CLBJ,2024,cfc_carbonNitrogen
ccd413d6-7aab-4f78-a04a-9cef10c07147,CLBJ_051.basePlot.cfc,D11,CLBJ,CLBJ_051,distributed,+Bzwz4UdNwRkjoE9n1+vrCzTy8K2buNwEOVXuIiiP3w=,A00000421154,+Bzwz4UdNwRkjoE9n1+vrCzTy8K2buNwmBdJYXDfhoU=,A00000420635,2024-06-04T17:27:00Z,2024-11-14,N,-3.5,-29.5,1.57,49.72,31.7,OK,OK,OK,OK,1,NA,SIRFER Lab at University of Utah,NEON_vegIso_SOPv1.0,Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta Plus Advantage IRMS with Conflo III Interface,ElFtGy1kV49xqNP00HfxQA==,CEsVaiaTMHo=,NA,20260106T154545Z,RELEASE-2026,DP1.10026.001,CLBJ,2024,cfc_carbonNitrogen
8e517692-f92b-41f4-a0a4-98781a6aab2c,CLBJ_051.basePlot.cfc,D11,CLBJ,CLBJ_051,distributed,+Bzwz4UdNwSSXDA8VhTykweEQUv/LN+bugSRiDRu21Y=,A00000420740,+Bzwz4UdNwSSXDA8VhTykweEQUv/LN+bX1C2Ge9O4R0=,A00000420606,2024-06-04T17:27:00Z,2024-11-14,N,-3.8,-30.7,1.08,50.04,46.2,OK,OK,OK,OK,1,NA,SIRFER Lab at University of Utah,NEON_vegIso_SOPv1.0,Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta Plus Advantage IRMS with Conflo III Interface,ElFtGy1kV49xqNP00HfxQA==,CEsVaiaTMHo=,NA,20260106T154545Z,RELEASE-2026,DP1.10026.001,CLBJ,2024,cfc_carbonNitrogen
ee79b5cf-8c8a-4318-9854-8825d0ee7b58,CLBJ_032.basePlot.cfc,D11,CLBJ,CLBJ_032,distributed,+Bzwz4UdNwR8QoErHxHC0u7jNX8uVEfREUq4VMxeC0o=,A00000421245,+Bzwz4UdNwR8QoErHxHC0u7jNX8uVEfRmo9h+g8FYhY=,A00000420564,2024-05-14T15:03:00Z,2024-11-16,N,-3.5,-30.2,1.33,44.61,33.5,OK,OK,OK,OK,1,NA,SIRFER Lab at University of Utah,NEON_vegIso_SOPv1.0,Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta Plus Advantage IRMS with Conflo III Interface,ElFtGy1kV49xqNP00HfxQA==,CEsVaiaTMHo=,NA,20260106T155259Z,RELEASE-2026,DP1.10026.001,CLBJ,2024,cfc_carbonNitrogen
97b8b16a-5e7a-4a34-8b4d-aa0860d4ddc8,CLBJ_041.basePlot.cfc,D11,CLBJ,CLBJ_041,distributed,+Bzwz4UdNwSgSPMNhaN+WL9dB6FoXdytbxaOVyPvnk0=,A00000419751,+Bzwz4UdNwSgSPMNhaN+WL9dB6FoXdytY2l9ctK1n3M=,A00000420628,2024-05-14T16:43:00Z,2024-11-16,N,-2.9,-28.8,1.29,45.64,35.5,OK,OK,OK,OK,1,NA,SIRFER Lab at University of Utah,NEON_vegIso_SOPv1.0,Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta Plus Advantage IRMS with Conflo III Interface,ElFtGy1kV49xqNP00HfxQA==,CEsVaiaTMHo=,NA,20260106T155259Z,RELEASE-2026,DP1.10026.001,CLBJ,2024,cfc_carbonNitrogen
2650bd43-5720-4a6e-919c-070b75061fb8,CLBJ_025.basePlot.cfc,D11,CLBJ,CLBJ_025,tower,+Bzwz4UdNwTesgxgVegeknyWNr3V8n3Xy7CzG1kFaHk=,A00000419770,+Bzwz4UdNwTesgxgVegeknyWNr3V8n3XPiYmxakhKLzDYB5mMaCmPQ==,A00000420570,2024-05-15T14:55:00Z,2024-11-16,N,1.1,-28.6,2,49.92,24.9,OK,OK,OK,OK,1,NA,SIRFER Lab at University of Utah,NEON_vegIso_SOPv1.0,Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta Plus Advantage IRMS with Conflo III Interface,ElFtGy1kV49xqNP00HfxQA==,CEsVaiaTMHo=,NA,20260106T155259Z,RELEASE-2026,DP1.10026.001,CLBJ,2024,cfc_carbonNitrogen
9bbc2299-e292-4d8c-8d41-c3d359c27561,CLBJ_001.basePlot.cfc,D11,CLBJ,CLBJ_001,tower,+Bzwz4UdNwRuKiaPM//J3gE48RZtHLlQyFu/iKmACek=,A00000419769,+Bzwz4UdNwRuKiaPM//J3gE48RZtHLlQFksYjjrXp7g=,A00000420579,2024-05-15T15:46:00Z,2024-11-15,N,-1.8,-26.9,1.31,43.65,33.4,OK,OK,OK,OK,1,NA,SIRFER Lab at University of Utah,NEON_vegIso_SOPv1.0,Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta Plus Advantage IRMS with Conflo III Interface,ElFtGy1kV49xqNP00HfxQA==,CEsVaiaTMHo=,NA,20260106T155259Z,RELEASE-2026,DP1.10026.001,CLBJ,2024,cfc_carbonNitrogen
76c2c92d-8ff1-4ec1-810d-aa4b35c0429c,CLBJ_001.basePlot.cfc,D11,CLBJ,CLBJ_001,tower,+Bzwz4UdNwRGtRw0dtxs1wl2LPHPpLnQUAOawvKOEnU=,A00000419771,+Bzwz4UdNwRGtRw0dtxs1wl2LPHPpLnQ5H+tLIS1MeQ=,A00000420554,2024-05-15T15:46:00Z,2024-11-15,N,-1.9,-30.1,1.84,49.42,26.8,OK,OK,OK,OK,1,NA,SIRFER Lab at University of Utah,NEON_vegIso_SOPv1.0,Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta Plus Advantage IRMS with Conflo III Interface,ElFtGy1kV49xqNP00HfxQA==,CEsVaiaTMHo=,NA,20260106T155259Z,RELEASE-2026,DP1.10026.001,CLBJ,2024,cfc_carbonNitrogen
413e04d7-6f6d-4f29-8f64-442ef09316d7,CLBJ_034.basePlot.cfc,D11,CLBJ,CLBJ_034,distributed,+Bzwz4UdNwQUqBQSfrjofjY0KfpE95q3bj39xcnXW50=,A00000421252,+Bzwz4UdNwQUqBQSfrjofjY0KfpE95q381tHhFWqbnY=,A00000420572,2024-05-21T14:08:00Z,2024-11-16,N,-2.5,-21.7,1.57,45.71,29.2,OK,OK,OK,OK,1,NA,SIRFER Lab at University of Utah,NEON_vegIso_SOPv1.0,Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta Plus Advantage IRMS with Conflo III Interface,ElFtGy1kV49xqNP00HfxQA==,CEsVaiaTMHo=,NA,20260106T155259Z,RELEASE-2026,DP1.10026.001,CLBJ,2024,cfc_carbonNitrogen
