uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,collectDate,ovenStartDate,ovenEndDate,sampleCondition,cnSampleID,cnSampleCode,ligninSampleID,ligninSampleBarcode,archiveSampleID,archiveSampleCode,archiveMass,toxicodendronPossible,processedBy,remarks,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
69f56aa1-38fe-4685-92fe-56e6a799b549,CPER_047.basePlot.cfc,D10,CPER,CPER_047,tower,ksKoEZPUTMXFkuvCs9tNQIGDCZ2es4Afuro6BknS6/U=,A00000123575,2021-05-25T17:21:00Z,2021-05-27T23:00:00Z,2021-06-01T23:00:00Z,OK,ksKoEZPUTMXFkuvCs9tNQIGDCZ2es4AfAZmURTRRSgA=,A00000123106,ksKoEZPUTMXFkuvCs9tNQIGDCZ2es4AfRi9Hx3xrlj8=,A00000123122,ksKoEZPUTMXFkuvCs9tNQIGDCZ2es4AfA0lS8qIfwj4=,A00000123092,6.71,NA,0000-0001-5102-1299,NA,NA,20260106T155537Z,RELEASE-2026,DP1.10026.001,CPER,2021,cfc_chemistrySubsampling
9c4ed5b4-af0e-498c-9878-3fcb6e04666a,CPER_046.basePlot.cfc,D10,CPER,CPER_046,tower,ksKoEZPUTMWjZaCfqTZzv+Mna4X8Vdg3o8lDzZtZ3xM=,A00000123509,2021-05-25T18:17:00Z,2021-05-27T23:00:00Z,2021-06-01T23:00:00Z,OK,ksKoEZPUTMWjZaCfqTZzv+Mna4X8Vdg3jVScbDjXE9I=,A00000123112,ksKoEZPUTMWjZaCfqTZzv+Mna4X8Vdg3aKwj4a3Dp5I=,A00000123091,ksKoEZPUTMWjZaCfqTZzv+Mna4X8Vdg3ZeGbBcRgA5A=,A00000123161,5.53,NA,0000-0002-3407-4177,NA,NA,20260106T155537Z,RELEASE-2026,DP1.10026.001,CPER,2021,cfc_chemistrySubsampling
2fed120a-a2b8-4fca-8a1f-274022b56792,CPER_045.basePlot.cfc,D10,CPER,CPER_045,tower,ksKoEZPUTMXr7DSwqW//h+OsN/gdxL9d2kNADCx4Sk4=,A00000123574,2021-05-25T18:41:00Z,2021-05-27T23:00:00Z,2021-06-01T23:00:00Z,OK,ksKoEZPUTMXr7DSwqW//h+OsN/gdxL9dtla3No3hzJU=,A00000247666,ksKoEZPUTMXr7DSwqW//h+OsN/gdxL9dpqsMuC5tIxc=,A00000247663,ksKoEZPUTMXr7DSwqW//h+OsN/gdxL9d2YgcmUiiB+0=,A00000247677,1.5,N,0000-0002-3407-4177,NA,NA,20260106T155537Z,RELEASE-2026,DP1.10026.001,CPER,2021,cfc_chemistrySubsampling
a6635f15-ff4a-438f-a238-e558e161e9bd,CPER_048.basePlot.cfc,D10,CPER,CPER_048,tower,ksKoEZPUTMWPo7uxiyChdZhw+Uy9438cr3bLDg2YWME=,A00000123510,2021-05-25T19:09:00Z,2021-05-27T23:00:00Z,2021-06-01T23:00:00Z,OK,ksKoEZPUTMWPo7uxiyChdZhw+Uy9438cHhCPvcS7L7E=,A00000123093,ksKoEZPUTMWPo7uxiyChdZhw+Uy9438cPH5bWQMBJdE=,A00000123108,ksKoEZPUTMWPo7uxiyChdZhw+Uy9438c7UfRQDK+lwQ=,A00000123129,4.38,NA,0000-0002-3407-4177,NA,NA,20260106T155537Z,RELEASE-2026,DP1.10026.001,CPER,2021,cfc_chemistrySubsampling
191bfc8e-e441-4bde-8168-7b750df52513,CPER_013.basePlot.cfc,D10,CPER,CPER_013,distributed,ksKoEZPUTMVlpq8NpYxm0oJCYb1EPusGvZJWOQ1+Qf0=,A00000123515,2021-06-01T17:42:00Z,2021-06-03T22:00:00Z,2021-06-14T21:00:00Z,OK,ksKoEZPUTMVlpq8NpYxm0oJCYb1EPusGoHimH5TfIRs=,A00000247680,ksKoEZPUTMVlpq8NpYxm0oJCYb1EPusGTfsTYtcA4vM=,A00000123115,ksKoEZPUTMVlpq8NpYxm0oJCYb1EPusGX963lNH5Xdo=,A00000123111,3.2,NA,0000-0002-3407-4177,NA,NA,20260106T155338Z,RELEASE-2026,DP1.10026.001,CPER,2021,cfc_chemistrySubsampling
898d48bc-0867-4acf-a784-d3c0f9f5ab69,CPER_003.basePlot.cfc,D10,CPER,CPER_003,distributed,ksKoEZPUTMVQWixGSBe1EVGgkprDL+9t+WWSbmqq/44=,A00000123521,2021-06-01T18:16:00Z,2021-06-03T22:00:00Z,2021-06-14T21:00:00Z,OK,ksKoEZPUTMVQWixGSBe1EVGgkprDL+9tEYPIEOf5Eqc=,A00000247658,ksKoEZPUTMVQWixGSBe1EVGgkprDL+9tg9Os/mjiikc=,A00000123135,ksKoEZPUTMVQWixGSBe1EVGgkprDL+9toKE/aQb7RZ4=,B00000098439,3.73,NA,0000-0001-5102-1299,NA,NA,20260106T155338Z,RELEASE-2026,DP1.10026.001,CPER,2021,cfc_chemistrySubsampling
a93ca91c-1c5d-44ff-b108-47dedbdb0399,CPER_004.basePlot.cfc,D10,CPER,CPER_004,distributed,ksKoEZPUTMWrrRQ9N/oTbDjFRcCCEmYqyhKHEXltk8A=,A00000123573,2021-06-01T19:41:00Z,2021-06-03T22:00:00Z,2021-06-14T21:00:00Z,OK,ksKoEZPUTMWrrRQ9N/oTbDjFRcCCEmYqcaqxsCBOYew=,A00000123145,ksKoEZPUTMWrrRQ9N/oTbDjFRcCCEmYqCTQXzJT3vAc=,A00000247657,ksKoEZPUTMWrrRQ9N/oTbDjFRcCCEmYqINf8pip7sk0=,A00000247652,2.52,N,0000-0002-9505-7784,NA,NA,20260106T155338Z,RELEASE-2026,DP1.10026.001,CPER,2021,cfc_chemistrySubsampling
1b4777d9-de5e-40a0-b7c7-4adbb47d81c5,CPER_014.basePlot.cfc,D10,CPER,CPER_014,distributed,ksKoEZPUTMXyhQDUAyCwJnSytBtBtcwclxdLyix9ZBM=,A00000123516,2021-06-01T20:49:00Z,2021-06-03T22:00:00Z,2021-06-14T21:00:00Z,OK,ksKoEZPUTMXyhQDUAyCwJnSytBtBtcwcAiGNZiVMH1c=,A00000247681,ksKoEZPUTMXyhQDUAyCwJnSytBtBtcwcmraxb14+jk8=,A00000247682,ksKoEZPUTMXyhQDUAyCwJnSytBtBtcwcaL50sz/d6Sw=,A00000123118,3.1,N,0000-0001-7448-1116,NA,NA,20260106T155338Z,RELEASE-2026,DP1.10026.001,CPER,2021,cfc_chemistrySubsampling
2f9a1bb2-fcb6-4626-903a-21244f5a274e,CPER_006.basePlot.cfc,D10,CPER,CPER_006,distributed,ksKoEZPUTMUsUTlNYDmhM2YVcI8vcfV+IVEZpJGJhyM=,A00000123534,2021-06-02T14:47:00Z,2021-06-03T22:00:00Z,2021-06-14T21:00:00Z,OK,ksKoEZPUTMUsUTlNYDmhM2YVcI8vcfV+Kto7buX+XD4=,A00000247655,ksKoEZPUTMUsUTlNYDmhM2YVcI8vcfV+o1izoXhP43k=,A00000247654,ksKoEZPUTMUsUTlNYDmhM2YVcI8vcfV+PjkP0sRPh2A=,A00000123157,1.57,NA,0000-0002-3407-4177,NA,NA,20260106T155338Z,RELEASE-2026,DP1.10026.001,CPER,2021,cfc_chemistrySubsampling
60a12018-b278-4335-aea6-0e49a87dbbe5,CPER_001.basePlot.cfc,D10,CPER,CPER_001,distributed,ksKoEZPUTMUlW39hHxdk9+006Mu/kkNtFtyUSPgQC1I=,A00000123517,2021-06-02T15:07:00Z,2021-06-03T22:00:00Z,2021-06-14T21:00:00Z,OK,ksKoEZPUTMUlW39hHxdk9+006Mu/kkNtTCJ+BzImU00=,A00000123158,ksKoEZPUTMUlW39hHxdk9+006Mu/kkNtMCq+MQ6vH08=,A00000247676,ksKoEZPUTMUlW39hHxdk9+006Mu/kkNt9WAvqOY4HW8=,A00000123163,3.54,NA,0000-0001-5102-1299,NA,NA,20260106T155338Z,RELEASE-2026,DP1.10026.001,CPER,2021,cfc_chemistrySubsampling
