uid,namedLocation,domainID,siteID,plotType,sampleID,sampleCode,collectDate,lmaSampleID,lmaSampleCode,lmaSampleCondition,tissueDescriptor,scanDate,scannedBy,freshMass,ovenStartDate,ovenEndDate,dryMass,weighedBy,scannedLeafNumber,leafArea,percentGreen,leafMassPerArea,dryMassFraction,measuredBy,remarks,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
8894530b-409c-44e0-bb51-7c9fdf3ac5e0,DCFS_005.basePlot.cfc,D09,DCFS,distributed,v88ICFxFvSwgZkh4ogkDKbH7s7QdHB5NyTEjy2fQGQU=,A00000327425,2023-06-20T14:49:00Z,v88ICFxFvSwgZkh4ogkDKbH7s7QdHB5Nwv5GzPVPEbQ=,NA,OK,leaf,2023-06-23T15:40:00Z,0000-0001-9009-8643,0.973,2023-06-23T15:40:00Z,2023-07-06T14:40:00Z,0.34,0000-0002-3991-0445,34,4558.2,95,74.6,0.35,0000-0003-0035-8320,NA,NA,20260106T160205Z,RELEASE-2026,DP1.10026.001,DCFS,2023,cfc_LMA
fb38489a-83bc-4c51-a904-3b67f2daabf1,DCFS_006.basePlot.cfc,D09,DCFS,distributed,v88ICFxFvSwJre5bh6WOjug72tCqxReypyhywhNNJDg=,A00000327426,2023-06-20T19:12:00Z,v88ICFxFvSwJre5bh6WOjug72tCqxRey8KLwMIRzw48=,NA,OK,leaf,2023-06-23T16:35:00Z,0000-0001-9009-8643,1.886,2023-06-23T16:39:00Z,2023-07-06T14:40:00Z,0.416,0009-0000-8940-8632,27,7103.3,95,58.5,0.22,NA,NA,NA,20260106T160205Z,RELEASE-2026,DP1.10026.001,DCFS,2023,cfc_LMA
b0eb8168-a505-48fc-9d43-5f1621dec3ae,DCFS_004.basePlot.cfc,D09,DCFS,distributed,v88ICFxFvSxmT84U8WZ1hxTaFip/DdCaAYVEj4AgOpw=,A00000327424,2023-06-20T19:21:00Z,v88ICFxFvSxmT84U8WZ1hxTaFip/DdCa8Ium4E0wiaA=,NA,OK,leaf,2023-06-23T15:05:00Z,0000-0001-9009-8643,1.316,2023-06-23T15:18:00Z,2023-07-06T14:40:00Z,0.53,0000-0002-3991-0445,24,6704.3,95,79.1,0.403,0000-0003-0035-8320,NA,NA,20260106T160205Z,RELEASE-2026,DP1.10026.001,DCFS,2023,cfc_LMA
1f0c3246-9dce-4ba5-8a53-8fb13cd3c17f,DCFS_009.basePlot.cfc,D09,DCFS,distributed,v88ICFxFvSzqhe7PHgMrWa3ldfdpme32JoeCWYe83/4=,A00000327429,2023-06-20T22:15:00Z,v88ICFxFvSzqhe7PHgMrWa3ldfdpme32UXk04mzlXIg=,NA,OK,leaf,2023-06-23T15:57:00Z,0000-0001-9009-8643,1.073,2023-06-23T16:00:00Z,2023-07-06T14:40:00Z,0.369,0000-0002-3991-0445,44,4716.1,99,78.2,0.344,NA,NA,NA,20260106T160205Z,RELEASE-2026,DP1.10026.001,DCFS,2023,cfc_LMA
676dc33a-d595-4a41-ab25-f6f0d979e0bb,DCFS_003.basePlot.cfc,D09,DCFS,distributed,v88ICFxFvSwXO3O0Smu0I5V9yFgULaLbABCGRR8bkxs=,A00000327423,2023-06-20T23:46:00Z,v88ICFxFvSwXO3O0Smu0I5V9yFgULaLbe7oqjYehb1s=,NA,OK,leaf,2023-06-23T16:16:00Z,0000-0001-9009-8643,1.756,2023-06-23T16:18:00Z,2023-07-06T14:40:00Z,0.527,0000-0002-3991-0445,21,7734.2,95,68.1,0.3,0000-0003-0035-8320,NA,NA,20260106T160205Z,RELEASE-2026,DP1.10026.001,DCFS,2023,cfc_LMA
62cfd435-de7f-4879-9b3b-bdd5c9076102,DCFS_065.basePlot.cfc,D09,DCFS,tower,v88ICFxFvSzXzlUtmZ8NrLuFRzV8uEIiO/G2jfrTuwA=,A00000327450,2023-06-21T14:40:00Z,v88ICFxFvSzXzlUtmZ8NrLuFRzV8uEIiGhje1YaU6WQ=,NA,OK,leaf,2023-06-23T21:42:00Z,0000-0001-9009-8643,1.338,2023-06-23T21:46:00Z,2023-07-06T14:40:00Z,0.499,0000-0002-3991-0445,29,6277.2,90,79.5,0.373,NA,NA,NA,20260106T160205Z,RELEASE-2026,DP1.10026.001,DCFS,2023,cfc_LMA
89f180e5-0fde-4d67-be6f-3f2b43e18ae3,DCFS_062.basePlot.cfc,D09,DCFS,tower,v88ICFxFvSxRuLTUkcJFpu3QqWtRgay919QBuMMgF/4=,A00000327452,2023-06-21T15:22:00Z,v88ICFxFvSxRuLTUkcJFpu3QqWtRgay9hZ5TuvglaFQ=,NA,OK,leaf,2023-06-23T20:32:00Z,0000-0003-0035-8320,2.494,2023-06-23T20:34:00Z,2023-07-06T14:40:00Z,0.73,0000-0002-3991-0445,20,11125.7,95,65.6,0.293,NA,NA,NA,20260106T160205Z,RELEASE-2026,DP1.10026.001,DCFS,2023,cfc_LMA
1fad4d38-f2ea-472b-842b-ca0158198581,DCFS_014.basePlot.cfc,D09,DCFS,distributed,v88ICFxFvSx1hbtDE4wIytpRg1dpggadzDJlm22uTgc=,A00000327434,2023-06-21T16:02:00Z,v88ICFxFvSx1hbtDE4wIytpRg1dpggadfwEiTiODOIw=,NA,OK,leaf,2023-06-23T21:57:00Z,0000-0001-9009-8643,2.01,2023-06-23T21:57:00Z,2023-07-06T14:40:00Z,0.703,0000-0002-3991-0445,25,9200.4,90,76.4,0.35,NA,NA,NA,20260106T160205Z,RELEASE-2026,DP1.10026.001,DCFS,2023,cfc_LMA
b6a9a7a1-46fe-4d03-8065-ee248333281c,DCFS_067.basePlot.cfc,D09,DCFS,tower,v88ICFxFvSwfx5GY6iRkcIuUkR8gBkG2Vk7eI4pyKNI=,A00000327449,2023-06-21T16:05:00Z,v88ICFxFvSwfx5GY6iRkcIuUkR8gBkG2CYwcV5YRCSI=,NA,OK,leaf,2023-06-23T18:37:00Z,0000-0003-0035-8320,0.787,2023-06-23T19:03:00Z,2023-07-06T14:40:00Z,0.341,0009-0000-8940-8632,40,3608.5,95,94.4,0.433,NA,NA,NA,20260106T160205Z,RELEASE-2026,DP1.10026.001,DCFS,2023,cfc_LMA
dffbca4b-baa2-4f40-9a1f-5082b943e43e,DCFS_015.basePlot.cfc,D09,DCFS,distributed,v88ICFxFvSz6/mCR0HEATIB6xn9hHwoWa3g6d5b4DXw=,A00000327435,2023-06-21T16:58:00Z,v88ICFxFvSz6/mCR0HEATIB6xn9hHwoWbmc+QsQfj+A=,NA,OK,leaf,2023-06-23T20:17:00Z,0000-0003-0035-8320,1.257,2023-06-23T20:17:00Z,2023-07-06T14:40:00Z,0.46,0000-0002-3991-0445,24,6570.6,95,70.1,0.366,NA,NA,NA,20260106T160205Z,RELEASE-2026,DP1.10026.001,DCFS,2023,cfc_LMA
