uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,cnSampleID,cnSampleCode,collectDate,analysisDate,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
b719dc30-e3ca-485f-88dd-e56a89324c6c,DEJU_057.basePlot.cfc,D19,DEJU,DEJU_057,tower,gl9c5nxc3EP5A0B4j1xWdYP9Q5v6jBL1WIarcT9Yxug=,A00000427925,gl9c5nxc3EP5A0B4j1xWdYP9Q5v6jBL1WhajTyjtu5M=,A00000430108,2023-07-18T20:15:00Z,2023-12-18,N,-5.3,-30.3,2.33,53.15,22.8,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,ZjWX5bqkyMQiRv1XOCD7+A==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20260106T160104Z,RELEASE-2026,DP1.10026.001,DEJU,2023,cfc_carbonNitrogen
db8f80f6-6414-48fb-bb21-249b3fde3bd6,DEJU_057.basePlot.cfc,D19,DEJU,DEJU_057,tower,gl9c5nxc3EN4Ry3TrsytFdwMt4yg4x8IlLrdB9MMLmQ=,A00000427929,gl9c5nxc3EN4Ry3TrsytFdwMt4yg4x8ILfG17MNqFuU=,A00000430105,2023-07-18T20:15:00Z,2023-12-18,N,-5.1,-27.9,0.88,51.58,58.9,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,ZjWX5bqkyMQiRv1XOCD7+A==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20260106T160104Z,RELEASE-2026,DP1.10026.001,DEJU,2023,cfc_carbonNitrogen
75307916-7468-4a76-a692-9e97b6db7703,DEJU_049.basePlot.cfc,D19,DEJU,DEJU_049,tower,gl9c5nxc3EMtJxZIneb9L5xTbmyIIVRYAC/4R6emLaI=,A00000427926,gl9c5nxc3EMtJxZIneb9L5xTbmyIIVRYoATNATaBWjs=,A00000430080,2023-07-18T21:54:00Z,2023-12-18,N,-6.5,-30.4,2.74,52.82,19.3,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,ZjWX5bqkyMQiRv1XOCD7+A==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20260106T160104Z,RELEASE-2026,DP1.10026.001,DEJU,2023,cfc_carbonNitrogen
85d510bf-1295-487c-9fe9-b9a8843a81f3,DEJU_049.basePlot.cfc,D19,DEJU,DEJU_049,tower,gl9c5nxc3ENwdau/W0gB2QM5tiCBtSOxY2BsrotxQlM=,A00000427928,gl9c5nxc3ENwdau/W0gB2QM5tiCBtSOxUQ/cpX8dCvU=,A00000430140,2023-07-18T21:54:00Z,2023-12-18,N,-5.8,-28.5,0.63,52.18,83,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,ZjWX5bqkyMQiRv1XOCD7+A==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20260106T160104Z,RELEASE-2026,DP1.10026.001,DEJU,2023,cfc_carbonNitrogen
949e10df-dfbd-4188-a121-80f7e4f85cc7,DEJU_049.basePlot.cfc,D19,DEJU,DEJU_049,tower,gl9c5nxc3EMiL81NeZfTL++c3c6wggAYioFnaJ2VVdc=,A00000427922,gl9c5nxc3EMiL81NeZfTL++c3c6wggAY2mNu9RmJHE4=,A00000430077,2023-07-18T21:54:00Z,2023-12-18,N,-6.7,-28.1,0.75,52.29,69.6,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,ZjWX5bqkyMQiRv1XOCD7+A==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20260106T160104Z,RELEASE-2026,DP1.10026.001,DEJU,2023,cfc_carbonNitrogen
6dd0bf0d-31c9-48b8-b9ba-b85291313ff0,DEJU_048.basePlot.cfc,D19,DEJU,DEJU_048,tower,gl9c5nxc3EOgNktBNQN7g1i/u8SgQqh93JXw31Co6L8=,A00000428599,gl9c5nxc3EOgNktBNQN7g1i/u8SgQqh99ppx5TvH024=,A00000430049,2023-07-18T23:28:00Z,2023-12-18,N,-4.9,-29.9,0.76,52.5,68.8,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,ZjWX5bqkyMQiRv1XOCD7+A==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20260106T160104Z,RELEASE-2026,DP1.10026.001,DEJU,2023,cfc_carbonNitrogen
4d8d141c-d8cd-47b0-86de-0f1cdbd2d349,DEJU_048.basePlot.cfc,D19,DEJU,DEJU_048,tower,gl9c5nxc3EOgNktBNQN7gxjaLA2txszVOLKkVXnIAaI=,A00000427923,gl9c5nxc3EOgNktBNQN7gxjaLA2txszVxDk1wnon9PM=,A00000430067,2023-07-18T23:28:00Z,2023-12-18,N,-3.1,-27.2,0.88,53.33,60.3,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,ZjWX5bqkyMQiRv1XOCD7+A==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20260106T160104Z,RELEASE-2026,DP1.10026.001,DEJU,2023,cfc_carbonNitrogen
4455afd6-2179-4255-8139-da79c82c257e,DEJU_050.basePlot.cfc,D19,DEJU,DEJU_050,tower,gl9c5nxc3ENMgnIc2CU8FxWM1MD1mty+E6M9e3uE/A8=,A00000427921,gl9c5nxc3ENMgnIc2CU8FxWM1MD1mty+d87rngbp6hg=,A00000430092,2023-07-19T00:31:00Z,2023-12-18,N,-5.1,-28,0.94,52.06,55.5,OK,OK,OK,OK,2,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,ZjWX5bqkyMQiRv1XOCD7+A==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20260106T160104Z,RELEASE-2026,DP1.10026.001,DEJU,2023,cfc_carbonNitrogen
d1bd2537-54ac-425c-9b59-9dbd55a2f6ae,DEJU_050.basePlot.cfc,D19,DEJU,DEJU_050,tower,gl9c5nxc3ENMgnIc2CU8FxWM1MD1mty+E6M9e3uE/A8=,A00000427921,gl9c5nxc3ENMgnIc2CU8FxWM1MD1mty+d87rngbp6hg=,A00000430092,2023-07-19T00:31:00Z,2023-12-18,N,-5.2,-28,0.94,51.74,55,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,ZjWX5bqkyMQiRv1XOCD7+A==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20260106T160104Z,RELEASE-2026,DP1.10026.001,DEJU,2023,cfc_carbonNitrogen
ae3aa142-3c7e-4f2f-8183-5ee1faaa2200,DEJU_003.basePlot.cfc,D19,DEJU,DEJU_003,distributed,gl9c5nxc3EN9lTasQ/aBn7RG3yPjCtgqYexsDsbSatY=,A00000427920,gl9c5nxc3EN9lTasQ/aBn7RG3yPjCtgqgktwOJTSkiQ=,A00000430056,2023-07-19T17:29:00Z,2023-12-18,N,-5.5,-27.2,1.03,52.25,50.9,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,ZjWX5bqkyMQiRv1XOCD7+A==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20260106T160104Z,RELEASE-2026,DP1.10026.001,DEJU,2023,cfc_carbonNitrogen
