uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,collectDate,aopCollectDate,samplingImpractical,subplotID,sampleType,samplingMethod,sampleID,sampleCode,sampleCondition,chlorophyllSampleID,chlorophyllSampleCode,chlorophyllSamplePrepMethod,chlorophyllSampleCondition,clipCellNumber,clipID,clipLength,clipWidth,percentCoverClip,toxicodendronPossible,vstTag,tagID,individualID,taxonID,scientificName,plantStatus,canopyStatus,canopyPosition,leafSamplePosition,subsample1Height,subsample2Height,subsample3Height,crownPolygonID,crownPolygonConfidence,previousPolygon,shapefileID,collectedBy,recordedBy,remarks,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
09f90116-52f7-43bd-8289-c77f34277468,JORN_042.basePlot.cfc,D14,JORN,JORN_042,tower,shrubScrub,WGS84,32.590028,-106.840435,20.1,1320,0.11,NEON.DOC.001024vJ,2022-09-13T14:16:00Z,2022-09-04,OK,31_400,Herbaceous clip strip,clippers,NrWJnEy30pa9hgXY8If8AYaLO2KwM5QLNk+bkB5UBkg=,A00000355309,OK,NrWJnEy30pa9hgXY8If8AYaLO2KwM5QLwflXes70rSk=,B00000111360,NA,OK,205,JORN_042_205,2,0.1,45,N,NA,NA,NA,NA,NA,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-0596-3792,0000-0001-6592-4421,NA,NA,20260106T154729Z,RELEASE-2026,DP1.10026.001,JORN,2022,cfc_fieldData
75eab6ef-f956-481d-b00e-1779f99d3268,JORN_045.basePlot.cfc,D14,JORN,JORN_045,tower,shrubScrub,WGS84,32.592144,-106.84334,20.1,1321.9,0.1,NEON.DOC.001024vJ,2022-09-13T15:26:00Z,2022-09-04,OK,31_400,Herbaceous clip strip,clippers,NrWJnEy30pZqn1VwLwoBVqOTVuJMdUMgn+MUC0zq8Ag=,A00000355262,OK,NrWJnEy30pZqn1VwLwoBVqOTVuJMdUMgBtLkRkq8Bng=,B00000111358,NA,OK,153,JORN_045_153,2,0.1,35,N,NA,NA,NA,NA,NA,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-0596-3792,0000-0001-6592-4421,NA,NA,20260106T154729Z,RELEASE-2026,DP1.10026.001,JORN,2022,cfc_fieldData
dd6f11f6-693b-48e7-9c50-7271804cd46b,JORN_012.basePlot.cfc,D14,JORN,JORN_012,distributed,shrubScrub,WGS84,32.617485,-106.81411,20.1,1328.4,0.1,NEON.DOC.001024vJ,2022-09-13T17:09:00Z,2022-09-05,OK,NA,Woody individual,clippers,NrWJnEy30pZm53NdG9gWZ7cCtj8hnvJ52nQbv43JTb4=,A00000355294,OK,NrWJnEy30pZm53NdG9gWZ7cCtj8hnvJ5G+fc1sLJL0VNE9UknL8s5Q==,B00000111354,NA,OK,NA,NA,NA,NA,NA,NA,N,04224,NEON.PLA.D14.JORN.04224,ATCA2,Atriplex canescens (Pursh) Nutt.,OK,true canopy,Full sun,NA,0.6,0.9,NA,NA,NA,NA,NA,0000-0002-0596-3792,0000-0001-6592-4421,NA,NA,20260106T154729Z,RELEASE-2026,DP1.10026.001,JORN,2022,cfc_fieldData
50987c89-26af-441e-9274-55b0060bc79e,JORN_012.basePlot.cfc,D14,JORN,JORN_012,distributed,shrubScrub,WGS84,32.617485,-106.81411,20.1,1328.4,0.1,NEON.DOC.001024vJ,2022-09-13T17:55:00Z,2022-09-05,OK,NA,Woody individual,clippers,NrWJnEy30pZm53NdG9gWZ6I9mFj5L9geoxy24TzIJeY=,A00000355279,OK,NrWJnEy30pZm53NdG9gWZ6I9mFj5L9gerRzJ+Zi9wr0L36zlZJvpVA==,B00000111355,NA,OK,NA,NA,NA,NA,NA,NA,N,04225,NEON.PLA.D14.JORN.04225,ATCA2,Atriplex canescens (Pursh) Nutt.,OK,true canopy,Full sun,NA,0.9,1,1.1,NA,NA,NA,NA,0000-0002-0596-3792,0000-0001-6592-4421,NA,NA,20260106T154729Z,RELEASE-2026,DP1.10026.001,JORN,2022,cfc_fieldData
6af4fba6-a909-4212-813d-2d5900c365a3,JORN_001.basePlot.cfc,D14,JORN,JORN_001,distributed,shrubScrub,WGS84,32.60493,-106.802046,20.1,1323.4,0.1,NEON.DOC.001024vJ,2022-09-13T19:47:00Z,2022-09-05,OK,NA,Woody individual,clippers,NrWJnEy30pbn8ga5/09DP8mhuvsVtjk6Hh+bbBmU/TQ=,A00000355405,OK,NrWJnEy30pbn8ga5/09DP8mhuvsVtjk6kfv+zrEByji436Gbp0HB1g==,B00000111361,NA,OK,NA,NA,NA,NA,NA,NA,N,04223,NEON.PLA.D14.JORN.04223,GUSA2,Gutierrezia sarothrae (Pursh) Britton & Rusby,Physically damaged,true canopy,Open grown,NA,0.4,0.3,0.1,NA,NA,NA,NA,0000-0002-0596-3792,0000-0001-6592-4421,NA,NA,20260106T154729Z,RELEASE-2026,DP1.10026.001,JORN,2022,cfc_fieldData
12abcc95-cbdf-4cd7-9387-ce598d148cce,JORN_010.basePlot.cfc,D14,JORN,JORN_010,distributed,shrubScrub,WGS84,32.628336,-106.847936,20.1,1331.7,0.16,NEON.DOC.001024vJ,2022-09-19T22:22:00Z,2022-09-04,OK,31_400,Herbaceous clip strip,clippers,NrWJnEy30pZqE7p+mqFMpGSt77FxeaqkuLU4qBvF7Nc=,A00000355374,OK,NrWJnEy30pZqE7p+mqFMpGSt77FxeaqkyJ8gmVGO0Ig=,B00000111345,NA,OK,8,JORN_010_008,2,0.1,25,N,NA,NA,NA,NA,NA,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-0596-3792,0000-0001-8663-4036,NA,NA,20260106T154729Z,RELEASE-2026,DP1.10026.001,JORN,2022,cfc_fieldData
42838758-1caf-4de9-a36a-dc1563cb9944,JORN_018.basePlot.cfc,D14,JORN,JORN_018,distributed,shrubScrub,WGS84,32.620814,-106.844913,20.1,1322.8,0.11,NEON.DOC.001024vJ,2022-09-20T18:36:00Z,2022-09-04,OK,31_400,Herbaceous clip strip,clippers,NrWJnEy30pYHRlY9JleMWv7vKwVkAJaug4mZeqg49Tg=,A00000355357,OK,NrWJnEy30pYHRlY9JleMWv7vKwVkAJauYrSADvA++CM=,B00000111362,NA,OK,216,JORN_018_216,2,0.1,20,N,NA,NA,NA,NA,NA,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0002-0596-3792,0000-0001-6592-4421,NA,NA,20260106T154729Z,RELEASE-2026,DP1.10026.001,JORN,2022,cfc_fieldData
efed64e3-1d8c-49de-9fe9-7032e899c605,JORN_011.basePlot.cfc,D14,JORN,JORN_011,distributed,shrubScrub,WGS84,32.606695,-106.793774,20.1,1325.4,0.1,NEON.DOC.001024vJ,2022-08-29T19:34:00Z,2022-09-05,OK,NA,Woody individual,clippers,NrWJnEy30paiSqN+9z7T0vb6Y1PPMSPdlc3fy0lSY1E=,A00000355422,OK,NrWJnEy30paiSqN+9z7T0vb6Y1PPMSPd9wlI9QPSNLl2SJYnduw4wg==,B00000111363,NA,OK,NA,NA,NA,NA,NA,NA,Y,02982,NEON.PLA.D14.JORN.02982,ATCA2,Atriplex canescens (Pursh) Nutt.,Physically damaged,true canopy,Open grown,NA,0.6,0.8,NA,JORN.02982.2022,high,NA,JORN-2022-polygons,0000-0002-3695-3837,0000-0003-3879-1971,Adjacent to big burrow,NA,20260106T154441Z,RELEASE-2026,DP1.10026.001,JORN,2022,cfc_fieldData
7b8a2f56-9d93-4aaa-a865-ca685ab09427,JORN_001.basePlot.cfc,D14,JORN,JORN_001,distributed,shrubScrub,WGS84,32.60493,-106.802046,20.1,1323.4,0.1,NEON.DOC.001024vJ,2022-08-29T21:45:00Z,2022-09-05,OK,NA,Woody individual,clippers,NrWJnEy30pbt+dOpNyz1JZ/gy8NL8mN0qRr5sTWz4HQ=,A00000355437,OK,NrWJnEy30pbt+dOpNyz1JZ/gy8NL8mN0uzzfQXJVZx+g5R/jVqVdqA==,B00000111346,NA,OK,NA,NA,NA,NA,NA,NA,Y,02681,NEON.PLA.D14.JORN.02681,PRGL2,Prosopis glandulosa Torr.,Insect damaged,true canopy,Full sun,NA,0.5,NA,NA,JORN.02681.2022,high,NA,JORN-2022-polygons,0000-0002-3695-3837,0000-0003-3879-1971,Termite and bore holes,NA,20260106T154441Z,RELEASE-2026,DP1.10026.001,JORN,2022,cfc_fieldData
c0aed76a-8b02-42d5-b521-7ff589fe290f,JORN_001.basePlot.cfc,D14,JORN,JORN_001,distributed,shrubScrub,WGS84,32.60493,-106.802046,20.1,1323.4,0.1,NEON.DOC.001024vJ,2022-08-30T13:50:00Z,2022-09-05,OK,NA,Woody individual,clippers,NrWJnEy30palUinYjroI3xIUzpcKuo4o9BmqUX9DvOQ=,A00000355312,OK,NrWJnEy30palUinYjroI3xIUzpcKuo4oiLBlEnYotVZiP4uO+90YPw==,B00000111350,NA,OK,NA,NA,NA,NA,NA,NA,Y,02682,NEON.PLA.D14.JORN.02682,ATCA2,Atriplex canescens (Pursh) Nutt.,Insect damaged,true canopy,Full sun,NA,0.7,NA,NA,JORN.02682.2022,medium,NA,JORN-2022-polygons,0000-0002-3695-3837,0000-0002-5153-9263,unknown source of insect damage,NA,20260106T154441Z,RELEASE-2026,DP1.10026.001,JORN,2022,cfc_fieldData
