uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,cnSampleID,cnSampleCode,collectDate,analysisDate,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
027e7665-1a3c-4cf3-94c2-a95e9d8e9dee,LENO_002.basePlot.cfc,D08,LENO,LENO_002,distributed,jmTOfpHQ+Zu6wELocwde+/e4kF0nGU+nmQtv5AD+dGE=,A00000013725,jmTOfpHQ+Zu6wELocwde+/e4kF0nGU+nGvIIGgY0IsE=,A00000013813,2018-04-30T13:45:00Z,2018-10-08,N,4.5,-26.4,1.89,49.85,26.4,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20260106T154930Z,RELEASE-2026,DP1.10026.001,LENO,2018,cfc_carbonNitrogen
d763f62b-a72f-4740-b896-ea4f296ca776,LENO_002.basePlot.cfc,D08,LENO,LENO_002,distributed,jmTOfpHQ+Zs4NEObMcDzaIoO8CfwakDsmkZxSxwNdgA=,A00000013844,jmTOfpHQ+Zs4NEObMcDzaIoO8CfwakDs/4sQHHA4DU8KsaByLxutzw==,A00000013823,2018-04-30T13:52:00Z,2018-10-08,N,4,-29.1,1.68,46.74,27.8,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20260106T154930Z,RELEASE-2026,DP1.10026.001,LENO,2018,cfc_carbonNitrogen
c68180bf-5860-448e-914a-482531818d13,LENO_002.basePlot.cfc,D08,LENO,LENO_002,distributed,jmTOfpHQ+ZvOX2S8lAccGJa18svFuxN01YsjwkiC7dg=,A00000013724,jmTOfpHQ+ZvOX2S8lAccGJa18svFuxN0C5ZwjV72Lus=,A00000013833,2018-04-30T13:53:00Z,2018-10-08,N,4.1,-27.9,1.96,49.35,25.2,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20260106T154930Z,RELEASE-2026,DP1.10026.001,LENO,2018,cfc_carbonNitrogen
d2d22b44-292b-4ecf-95ae-59f5f1e7a4ea,LENO_003.basePlot.cfc,D08,LENO,LENO_003,distributed,jmTOfpHQ+ZsC6pxjw40+2QROAm+wKVDo3IJ0O65Cozo=,A00000013723,jmTOfpHQ+ZsC6pxjw40+2QROAm+wKVDoZ1/oGC2ZG1s=,A00000013829,2018-04-30T14:00:00Z,2018-10-08,N,3.7,-26.7,3.48,44.35,12.7,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20260106T154930Z,RELEASE-2026,DP1.10026.001,LENO,2018,cfc_carbonNitrogen
5c2deec3-1571-4ef8-925c-4c1e372ee3a2,LENO_003.basePlot.cfc,D08,LENO,LENO_003,distributed,jmTOfpHQ+Ztml3RyqHAM4zkaZGsMbcD9NbqY+hoW6XU=,A00000013722,jmTOfpHQ+Ztml3RyqHAM4zkaZGsMbcD9xN+R73z6DDE=,A00000013834,2018-04-30T14:04:00Z,2018-10-08,N,4.8,-28.7,1.66,48.98,29.5,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20260106T154930Z,RELEASE-2026,DP1.10026.001,LENO,2018,cfc_carbonNitrogen
20c14948-5b82-485e-b4c9-d80a6abd3b50,LENO_003.basePlot.cfc,D08,LENO,LENO_003,distributed,jmTOfpHQ+Ztml3RyqHAM47/kc4bIqcXHVBsYAVP+djA=,A00000013715,jmTOfpHQ+Ztml3RyqHAM47/kc4bIqcXHGZ0jtmXIGk8=,A00000013838,2018-04-30T14:04:00Z,2018-10-08,N,4.7,-28,2,49.42,24.7,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20260106T154930Z,RELEASE-2026,DP1.10026.001,LENO,2018,cfc_carbonNitrogen
356dfcb0-b91d-4ad4-aa09-32ac38ed8d02,LENO_006.basePlot.cfc,D08,LENO,LENO_006,distributed,jmTOfpHQ+ZujS97ycDDHCeDyKa+NA8/B8fBKwrsjba4=,A00000013729,jmTOfpHQ+ZujS97ycDDHCeDyKa+NA8/BVganOOw2K4w=,A00000013812,2018-04-30T14:07:00Z,2018-10-10,N,4,-28.5,2.24,49.35,22.1,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20260106T154930Z,RELEASE-2026,DP1.10026.001,LENO,2018,cfc_carbonNitrogen
2a3ffb76-bf20-4189-a292-268c36216434,LENO_006.basePlot.cfc,D08,LENO,LENO_006,distributed,jmTOfpHQ+ZujS97ycDDHCRr6ASzhDgigxldA8k0Ey64=,A00000013730,jmTOfpHQ+ZujS97ycDDHCRr6ASzhDgig6W0Vtn73X+8=,A00000013839,2018-04-30T14:08:00Z,2018-10-10,N,3.7,-27.5,2.34,50,21.4,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20260106T154930Z,RELEASE-2026,DP1.10026.001,LENO,2018,cfc_carbonNitrogen
f07d2259-f22c-47bf-bb60-789c9e623af7,LENO_006.basePlot.cfc,D08,LENO,LENO_006,distributed,jmTOfpHQ+ZsZiNJZ+ry4Tg3iRxQW9Fte1dNlh4YbNOU=,A00000013731,jmTOfpHQ+ZsZiNJZ+ry4Tg3iRxQW9FteulxCKpW/tB4=,A00000013835,2018-04-30T14:09:00Z,2018-10-10,N,3.8,-28,1.95,49.91,25.6,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20260106T154930Z,RELEASE-2026,DP1.10026.001,LENO,2018,cfc_carbonNitrogen
04e78ebf-022a-460e-a706-71502a02d059,LENO_009.basePlot.cfc,D08,LENO,LENO_009,distributed,jmTOfpHQ+Zt2bvUWjRF9Xpj6WgYC3yen/bXvZZuzsN0=,A00000013735,jmTOfpHQ+Zt2bvUWjRF9Xpj6WgYC3yenTJ3iL7l6cf6E65xuwOKQBQ==,A00000013828,2018-05-01T14:36:00Z,2018-10-10,N,0.8,-31,2.18,47.28,21.7,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Carlo Erba 1110 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Delta V IRMS with Conflo IV Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20260106T155406Z,RELEASE-2026,DP1.10026.001,LENO,2018,cfc_carbonNitrogen
