uid,namedLocation,domainID,siteID,plotID,plotType,nlcdClass,geodeticDatum,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,samplingProtocolVersion,collectDate,aopCollectDate,samplingImpractical,subplotID,sampleType,samplingMethod,sampleID,sampleCode,sampleCondition,chlorophyllSampleID,chlorophyllSampleCode,chlorophyllSamplePrepMethod,chlorophyllSampleCondition,clipCellNumber,clipID,clipLength,clipWidth,percentCoverClip,toxicodendronPossible,vstTag,tagID,individualID,taxonID,scientificName,plantStatus,canopyStatus,canopyPosition,leafSamplePosition,subsample1Height,subsample2Height,subsample3Height,crownPolygonID,crownPolygonConfidence,previousPolygon,shapefileID,collectedBy,recordedBy,remarks,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
7c6b7e24-2c4d-4e84-805f-488070cf5d58,OAES_023.basePlot.cfc,D11,OAES,OAES_023,distributed,shrubScrub,WGS84,35.413507,-99.056933,20.1,521.4,0.1,NEON.DOC.001024vK,2023-05-16T15:53:00Z,2023-05-08,OK,31_400,Herbaceous clip strip,clippers,FMBHGf4LMbr6rZ9B+eO741CoJlm/hUlnttI/wvynGVE=,A00000278191,OK,FMBHGf4LMbr6rZ9B+eO741CoJlm/hUlnQ/QwB+k5YRU=,B00000037851,dry ice,OK,16,OAES_023_016,2,0.1,80,N,NA,NA,NA,NA,NA,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0001-5569-8352,0000-0003-1377-960X,NA,NA,20260106T155652Z,RELEASE-2026,DP1.10026.001,OAES,2023,cfc_fieldData
2ce4c66c-f7e2-4aa3-a7de-ec79c3d22624,OAES_001.basePlot.cfc,D11,OAES,OAES_001,distributed,grasslandHerbaceous,WGS84,35.412699,-99.058259,20.1,515.1,0.1,NEON.DOC.001024vK,2023-05-16T16:12:00Z,2023-05-08,OK,31_400,Herbaceous clip strip,clippers,FMBHGf4LMbqjM3bSBZzLqcl5ecq2XcIk4AxZiDhVyVE=,A00000278175,OK,FMBHGf4LMbqjM3bSBZzLqcl5ecq2XcIkrQcgmuhgpuo=,B00000037835,dry ice,OK,206,OAES_001_206,2,0.1,99,N,NA,NA,NA,NA,NA,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0001-5569-8352,0000-0003-1377-960X,NA,NA,20260106T155652Z,RELEASE-2026,DP1.10026.001,OAES,2023,cfc_fieldData
88046891-51f5-449a-b0b1-ec684506a6a4,OAES_045.basePlot.cfc,D11,OAES,OAES_045,tower,shrubScrub,WGS84,35.410788,-99.057569,20.1,517.9,0.1,NEON.DOC.001024vK,2023-05-16T17:01:00Z,2023-05-08,OK,31_400,Herbaceous clip strip,clippers,FMBHGf4LMbpho23rkrGWbhDsL4f32Tf0KlRAUwddPmE=,A00000278178,OK,FMBHGf4LMbpho23rkrGWbhDsL4f32Tf0qQoBwF+bbP8=,B00000037838,dry ice,OK,126,OAES_045_126,2,0.1,68,N,NA,NA,NA,NA,NA,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0001-5569-8352,0000-0003-1377-960X,NA,NA,20260106T155652Z,RELEASE-2026,DP1.10026.001,OAES,2023,cfc_fieldData
db7f0441-2a53-4e1b-963a-941355bf65f6,OAES_042.basePlot.cfc,D11,OAES,OAES_042,tower,shrubScrub,WGS84,35.408887,-99.056266,20.1,519.8,0.1,NEON.DOC.001024vK,2023-05-16T17:53:00Z,2023-05-08,OK,31_400,Herbaceous clip strip,clippers,FMBHGf4LMbqK89AxLC8t91DZ30qW9Ill2bZWuenBkDQ=,A00000278173,OK,FMBHGf4LMbqK89AxLC8t91DZ30qW9IllZhXhdX8XMPY=,B00000037833,dry ice,OK,72,OAES_042_072,2,0.1,95,N,NA,NA,NA,NA,NA,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0001-5569-8352,0000-0003-1377-960X,NA,NA,20260106T155652Z,RELEASE-2026,DP1.10026.001,OAES,2023,cfc_fieldData
7a8c05a5-43db-4cd5-bf22-56bd3eb2c6ab,OAES_013.basePlot.cfc,D11,OAES,OAES_013,distributed,grasslandHerbaceous,WGS84,35.408094,-99.058566,20.1,518.7,0.12,NEON.DOC.001024vK,2023-05-16T18:13:00Z,2023-05-08,OK,31_400,Herbaceous clip strip,clippers,FMBHGf4LMboW9PoMfswyJnl3xA8zFb8HGnFU/h/ktSU=,A00000278192,OK,FMBHGf4LMboW9PoMfswyJnl3xA8zFb8HO6yCsPT+nxw=,B00000037852,dry ice,OK,211,OAES_013_211,2,0.1,99,N,NA,NA,NA,NA,NA,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0001-5569-8352,0000-0003-1377-960X,NA,NA,20260106T155652Z,RELEASE-2026,DP1.10026.001,OAES,2023,cfc_fieldData
fab2aece-91ed-458e-bfc6-f5c1a566e2fd,OAES_004.basePlot.cfc,D11,OAES,OAES_004,distributed,grasslandHerbaceous,WGS84,35.41213,-99.085338,20.1,507.5,0.1,NEON.DOC.001024vK,2023-05-30T19:11:00Z,2023-05-08,OK,31_400,Herbaceous clip strip,clippers,FMBHGf4LMbooZn1DKnlvnv7CY893AQH/gmwD4X9UvLc=,A00000418567,OK,FMBHGf4LMbooZn1DKnlvnv7CY893AQH/7YBhQB7MvWY=,B00000105958,dry ice,OK,54,OAES_004_054,2,0.1,97,N,NA,NA,NA,NA,NA,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0001-5569-8352,0009-0006-9838-9190,NA,NA,20260106T155652Z,RELEASE-2026,DP1.10026.001,OAES,2023,cfc_fieldData
f788874b-1e84-4bfd-871c-1dc87498768f,OAES_010.basePlot.cfc,D11,OAES,OAES_010,distributed,grasslandHerbaceous,WGS84,35.399175,-99.06056,20.1,498.2,0.1,NEON.DOC.001024vK,2023-05-30T19:13:00Z,2023-05-08,OK,31_400,Herbaceous clip strip,clippers,FMBHGf4LMbqufCMWfCd4wLKcvf0yZiGbnqFLWGzGGDQ=,A00000418587,OK,FMBHGf4LMbqufCMWfCd4wLKcvf0yZiGb3be3E0JR5tU=,B00000105951,dry ice,OK,30,OAES_010_030,2,0.1,90,N,NA,NA,NA,NA,NA,Leaves beginning to senesce,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0009-0000-3406-7017,0000-0002-0594-4276,NA,NA,20260106T155652Z,RELEASE-2026,DP1.10026.001,OAES,2023,cfc_fieldData
f5607d1a-22c7-4b73-b440-6faa4cd1c0f3,OAES_021.basePlot.cfc,D11,OAES,OAES_021,distributed,shrubScrub,WGS84,35.411869,-99.074095,20.1,503.7,0.12,NEON.DOC.001024vK,2023-05-30T19:31:00Z,2023-05-08,OK,31_400,Herbaceous clip strip,clippers,FMBHGf4LMboVazvuHS4EO141Q+VTEya1aUGWsf883xE=,A00000418569,OK,FMBHGf4LMboVazvuHS4EO141Q+VTEya1OMbYixtlECU=,B00000105956,dry ice,OK,174,OAES_021_174,2,0.5,60,N,NA,NA,NA,NA,NA,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0001-5569-8352,0009-0006-9838-9190,NA,NA,20260106T155652Z,RELEASE-2026,DP1.10026.001,OAES,2023,cfc_fieldData
e5cdd0aa-6979-4c6f-b791-68e23b31fa95,OAES_022.basePlot.cfc,D11,OAES,OAES_022,distributed,shrubScrub,WGS84,35.411053,-99.06485,20.1,504.8,0.1,NEON.DOC.001024vK,2023-05-30T20:17:00Z,2023-05-08,OK,31_400,Herbaceous clip strip,clippers,FMBHGf4LMboiZ4lx6hHGbohSuFhPkIbFT1TmAg+Iwqg=,A00000418586,OK,FMBHGf4LMboiZ4lx6hHGbohSuFhPkIbFnKzS/9YoPBo=,B00000105949,dry ice,OK,118,OAES_022_118,2,0.5,45,N,NA,NA,NA,NA,NA,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0009-0000-3406-7017,0000-0002-0594-4276,NA,NA,20260106T155652Z,RELEASE-2026,DP1.10026.001,OAES,2023,cfc_fieldData
d8ec3e2b-64da-4904-a14c-31bebe85ded8,OAES_003.basePlot.cfc,D11,OAES,OAES_003,distributed,grasslandHerbaceous,WGS84,35.412139,-99.069792,20.1,510.5,0.11,NEON.DOC.001024vK,2023-05-30T20:21:00Z,2023-05-08,OK,31_400,Herbaceous clip strip,clippers,FMBHGf4LMbr/iZqPA1nZwlc4wzl8os3K5VRufjWu4g8=,A00000418568,OK,FMBHGf4LMbr/iZqPA1nZwlc4wzl8os3KrIomik1qMco=,B00000105957,dry ice,OK,11,OAES_003_011,2,0.5,50,N,NA,NA,NA,NA,NA,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0000-0001-5569-8352,0009-0006-9838-9190,NA,NA,20260106T155652Z,RELEASE-2026,DP1.10026.001,OAES,2023,cfc_fieldData
