uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,ligninSampleID,ligninSampleBarcode,collectDate,analysisDate,analyticalRepNumber,dryMass,digestVolume,foliarPhosphorusConc,foliarPotassiumConc,foliarCalciumConc,foliarMagnesiumConc,foliarSulfurConc,foliarManganeseConc,foliarIronConc,foliarCopperConc,foliarBoronConc,foliarZincConc,foliarPhosphorusQF,foliarPotassiumQF,foliarCalciumQF,foliarMagnesiumQF,foliarSulfurQF,foliarManganeseQF,foliarIronQF,foliarCopperQF,foliarBoronQF,foliarZincQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
a6696b2f-9c96-4870-afd4-623c4ebcca8c,STEI_022.basePlot.cfc,D05,STEI,STEI_022,distributed,VIe0/2w3fNcD7e2k0Vn5dZ8m6OqKE4EfW7adGwWCrT0=,A00000358638,VIe0/2w3fNcD7e2k0Vn5dZ8m6OqKE4EfUZcBv7f8djMPa9r1/+nB/Q==,A00000287065,2022-06-06T16:22:00Z,2022-10-19,1,0.197,25,0.086,0.321,0.868,0.095,0.06,233.1,49.7,0.8,6.3,17.2,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154907Z,RELEASE-2026,DP1.10026.001,STEI,2022,cfc_elements
d8eb74aa-f2e9-4d63-bb67-3bb90a1cca8c,STEI_022.basePlot.cfc,D05,STEI,STEI_022,distributed,VIe0/2w3fNf5fcTxMXDrMeIe8QV2z/BDwFZSmknXgG8=,A00000358680,VIe0/2w3fNf5fcTxMXDrMeIe8QV2z/BDRgzAcKv8Ep8=,A00000287046,2022-06-06T16:50:00Z,2022-10-19,1,0.198,25,0.131,0.433,1.291,0.079,0.065,670.3,56,0.7,4.8,32.5,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154907Z,RELEASE-2026,DP1.10026.001,STEI,2022,cfc_elements
f2931fbc-1b77-4656-ba27-1c616a2196a0,STEI_023.basePlot.cfc,D05,STEI,STEI_023,distributed,VIe0/2w3fNdCYM770KpWshKo5kBvzNY5+JwgK3JroPg=,A00000358637,VIe0/2w3fNdCYM770KpWshKo5kBvzNY5HAGUVy5tknw=,A00000287082,2022-06-06T18:53:00Z,2022-10-19,1,0.196,25,0.208,0.919,0.343,0.127,0.163,361.8,38.8,5.7,11.9,28.5,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154907Z,RELEASE-2026,DP1.10026.001,STEI,2022,cfc_elements
f97c3781-4d14-4b1e-8039-08a80429cbba,STEI_009.basePlot.cfc,D05,STEI,STEI_009,distributed,VIe0/2w3fNdxYrN/WhkT+rBLbfv9mDlCJXudgds64rU=,A00000358677,VIe0/2w3fNdxYrN/WhkT+rBLbfv9mDlCHtwYC7pJXG8=,A00000287186,2022-06-06T20:04:00Z,2022-10-19,1,0.202,25,0.267,0.891,2.189,0.276,0.164,1002,59.6,9.1,24.9,20.1,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154907Z,RELEASE-2026,DP1.10026.001,STEI,2022,cfc_elements
d965da4e-6167-4aa8-bacd-e1e764849607,STEI_009.basePlot.cfc,D05,STEI,STEI_009,distributed,VIe0/2w3fNeKhoTtXCuhRjAhfh9pMV5WC84V1JaunPs=,A00000358682,VIe0/2w3fNeKhoTtXCuhRjAhfh9pMV5W0nILjAl4KBwY42DmNq7bFw==,A00000287169,2022-06-07T13:16:00Z,2022-10-19,1,0.196,25,0.4,1.93,0.842,0.166,0.207,34.8,33.6,16.1,32.9,28,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154907Z,RELEASE-2026,DP1.10026.001,STEI,2022,cfc_elements
2a1d2112-a58f-4b94-8fc0-f1f32c3ca3d6,STEI_009.basePlot.cfc,D05,STEI,STEI_009,distributed,VIe0/2w3fNc48IHSI8KhsenD2uSeRUlsyWTSZmZNk8A=,A00000358640,VIe0/2w3fNc48IHSI8KhsenD2uSeRUlspnPYbPIdHHM=,A00000287168,2022-06-07T14:10:00Z,2022-10-19,1,0.2,25,0.308,1.002,0.877,0.244,0.178,605.9,50.2,7.5,18.3,248.8,OK,OK,OK,OK,OK,OK,OK,OK,OK,sample value outlier,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154907Z,RELEASE-2026,DP1.10026.001,STEI,2022,cfc_elements
437d530e-d699-497e-9180-876b8e34ab92,STEI_009.basePlot.cfc,D05,STEI,STEI_009,distributed,VIe0/2w3fNd+AFr8nHrB6tj6SX1tgBAzRAaChb9KO2I=,A00000358639,VIe0/2w3fNd+AFr8nHrB6tj6SX1tgBAz1BJtHqOj87Y=,A00000287121,2022-06-07T15:10:00Z,2022-10-19,1,0.204,25,0.436,1.844,1.24,0.388,0.217,120.5,45.9,10.2,22.1,28.3,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154907Z,RELEASE-2026,DP1.10026.001,STEI,2022,cfc_elements
12330c81-8bc6-49aa-8b68-cb65c37a2271,STEI_005.basePlot.cfc,D05,STEI,STEI_005,distributed,VIe0/2w3fNcwfo4c4at4Ep7MsiZq7HoKjlT6vcQlh3Y=,A00000358681,VIe0/2w3fNcwfo4c4at4Ep7MsiZq7HoK+sbNrL6skP0VfXPBq4IOpg==,A00000287154,2022-06-07T16:19:00Z,2022-10-19,1,0.204,25,0.316,1.455,0.92,0.153,0.216,57.7,60.4,11.1,19.9,19.7,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154907Z,RELEASE-2026,DP1.10026.001,STEI,2022,cfc_elements
3490f26a-392b-4857-a3cb-fd2fb6e3610b,STEI_005.basePlot.cfc,D05,STEI,STEI_005,distributed,VIe0/2w3fNeW/5B6HKxT9EGqusSEdmTt/92A2JwL8mA=,A00000358668,VIe0/2w3fNeW/5B6HKxT9EGqusSEdmTtJfkpYMtn0Hw=,A00000287092,2022-06-07T16:46:00Z,2022-10-19,1,0.197,25,0.277,1.386,0.464,0.212,0.162,387.7,49.6,9.1,22.9,22.4,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154907Z,RELEASE-2026,DP1.10026.001,STEI,2022,cfc_elements
768bbd88-b56b-444a-880c-6c52a4552801,STEI_003.basePlot.cfc,D05,STEI,STEI_003,distributed,VIe0/2w3fNeiYDd1kvOxg1EPuYicsV8eUlHYYePX1PQ=,A00000358667,VIe0/2w3fNeiYDd1kvOxg1EPuYicsV8exvgZd1ZW7zvgVgc1pcn9OA==,A00000287050,2022-06-08T15:35:00Z,2022-10-19,1,0.201,25,0.244,1.216,0.71,0.201,0.17,94.3,32.8,10,11.5,166.4,OK,OK,OK,OK,OK,OK,OK,OK,OK,sample value outlier,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,j+NchQmCR3uWeXRzNkSPNw==,NA,20260106T154907Z,RELEASE-2026,DP1.10026.001,STEI,2022,cfc_elements
