uid,namedLocation,domainID,siteID,plotType,sampleID,sampleCode,collectDate,lmaSampleID,lmaSampleCode,lmaSampleCondition,tissueDescriptor,scanDate,scannedBy,freshMass,ovenStartDate,ovenEndDate,dryMass,weighedBy,scannedLeafNumber,leafArea,percentGreen,leafMassPerArea,dryMassFraction,measuredBy,remarks,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
5c2f374e-dfdb-4cfb-b45d-0a3132bf1116,YELL_009.basePlot.cfc,D12,YELL,distributed,fNVWi/NGi2gVt08lHK1CrZ9CAvT6QK8kH8aOykAr0Wg=,A00000380681,2023-07-11T17:11:00Z,fNVWi/NGi2gVt08lHK1CrZ9CAvT6QK8k8JHUzK8D/t6ERN3Jd/xCSg==,NA,OK,leaf,2023-07-12T16:52:00Z,0000-0002-3973-0882,0.657,2023-07-12T17:00:00Z,2023-07-17T18:30:00Z,0.292,0000-0002-2095-4747,115,2202.9,98,132.6,0.444,0009-0004-7301-0178,NA,NA,20260106T154600Z,RELEASE-2026,DP1.10026.001,YELL,2023,cfc_LMA
44e220b7-6116-4b7e-baa5-6a64cf74cdb8,YELL_009.basePlot.cfc,D12,YELL,distributed,fNVWi/NGi2hJ6/r+/Ml5D9iKRAwpUCT8Rp5G9Liw2/c=,A00000380692,2023-07-11T17:11:00Z,fNVWi/NGi2hJ6/r+/Ml5D9iKRAwpUCT8xGX/dKKVQvo=,NA,OK,leaf,2023-07-12T16:34:00Z,0000-0002-3973-0882,1.366,2023-07-12T17:00:00Z,2023-07-17T18:30:00Z,0.711,0000-0002-2095-4747,49,2712.8,98,262.1,0.52,0009-0004-7301-0178,NA,NA,20260106T154600Z,RELEASE-2026,DP1.10026.001,YELL,2023,cfc_LMA
74151522-f4b9-4b5f-abeb-9b24e3fb65c5,YELL_009.basePlot.cfc,D12,YELL,distributed,fNVWi/NGi2i0sC3ubUfVnsaQmEyxVQYnaGz6NeMjjkY=,A00000380694,2023-07-11T17:11:00Z,fNVWi/NGi2i0sC3ubUfVnsaQmEyxVQYnM4wVrgF7L08=,NA,OK,leaf,2023-07-12T16:59:00Z,0000-0002-3973-0882,4.723,2023-07-12T17:00:00Z,2023-07-17T18:30:00Z,1.564,0000-0002-2095-4747,11,24663.3,99,63.4,0.331,0009-0004-7301-0178,NA,NA,20260106T154600Z,RELEASE-2026,DP1.10026.001,YELL,2023,cfc_LMA
f870554a-60e8-4393-9d90-8bcd939bbedc,YELL_009.basePlot.cfc,D12,YELL,distributed,fNVWi/NGi2ii3dHfN4mTKsUZpwtHoY6ZSA6KWIvl7ks=,A00000380693,2023-07-11T17:11:00Z,fNVWi/NGi2ii3dHfN4mTKsUZpwtHoY6ZlDQNrBxHa2U=,NA,OK,leaf,2023-07-12T15:45:00Z,0000-0002-3973-0882,0.896,2023-07-12T17:00:00Z,2023-07-17T18:30:00Z,0.541,0000-0002-2095-4747,102,1740.4,99,310.8,0.604,0009-0004-7301-0178,NA,NA,20260106T154600Z,RELEASE-2026,DP1.10026.001,YELL,2023,cfc_LMA
0f5fb151-2806-4833-be94-43d35f942f05,YELL_012.basePlot.cfc,D12,YELL,distributed,fNVWi/NGi2h3M7TagUQdHc6FeRsPW6QBMZw/gI/mk9Q=,A00000380673,2023-07-12T17:14:00Z,fNVWi/NGi2h3M7TagUQdHc6FeRsPW6QB/ZGx9hd1SnM=,NA,OK,leaf,2023-07-13T19:56:00Z,0000-0002-3973-0882,0.934,2023-07-13T21:00:00Z,2023-07-17T18:30:00Z,0.475,0000-0002-2095-4747,99,1963.4,96,241.9,0.509,0009-0004-7301-0178,NA,NA,20260106T154600Z,RELEASE-2026,DP1.10026.001,YELL,2023,cfc_LMA
295d69e8-0573-446b-a28e-7ca0a25c09e1,YELL_012.basePlot.cfc,D12,YELL,distributed,fNVWi/NGi2hBJJcC+m6ZbA7eS09ZbW8u6wy8H7Ftjqo=,A00000380679,2023-07-12T17:14:00Z,fNVWi/NGi2hBJJcC+m6ZbA7eS09ZbW8uTZ/5orn8UB16/w7UqMO5jQ==,NA,OK,leaf,2023-07-13T20:31:00Z,0000-0002-3973-0882,0.345,2023-07-13T21:00:00Z,2023-07-17T18:30:00Z,0.184,0000-0002-2095-4747,77,839.6,99,219.1,0.533,0009-0004-7301-0178,NA,NA,20260106T154600Z,RELEASE-2026,DP1.10026.001,YELL,2023,cfc_LMA
d0af2bcb-2999-4bed-8147-0b66a4b6d103,YELL_012.basePlot.cfc,D12,YELL,distributed,fNVWi/NGi2inRBWa9Udmfy8BxjMQIZQlgxZ9swUN6rc=,A00000380680,2023-07-12T17:14:00Z,fNVWi/NGi2inRBWa9Udmfy8BxjMQIZQlclxduU1P6Dk=,NA,OK,leaf,2023-07-13T20:11:00Z,0000-0002-3973-0882,1.848,2023-07-13T21:00:00Z,2023-07-17T18:30:00Z,0.943,0000-0002-2095-4747,39,3730.7,99,252.8,0.51,0009-0004-7301-0178,NA,NA,20260106T154600Z,RELEASE-2026,DP1.10026.001,YELL,2023,cfc_LMA
8f7fc4df-efac-4625-8c53-a6d0d91db662,YELL_006.basePlot.cfc,D12,YELL,distributed,fNVWi/NGi2j2HApBFpp6H2BYrGIwNzL9LhIIjE/s8ok=,A00000380677,2023-07-13T16:50:00Z,fNVWi/NGi2j2HApBFpp6H2BYrGIwNzL9XJpcwJCztuEOlKwZLDS3Cw==,NA,OK,leaf,2023-07-17T18:22:00Z,0000-0002-2095-4747,3.351,2023-07-17T18:26:00Z,2023-07-19T20:00:00Z,1.452,0009-0004-4955-7034,12,19344.1,95,75.1,0.433,0009-0004-7301-0178,NA,NA,20260106T154600Z,RELEASE-2026,DP1.10026.001,YELL,2023,cfc_LMA
a9cea94b-b592-44c5-b510-b7645f4a6d3f,YELL_006.basePlot.cfc,D12,YELL,distributed,fNVWi/NGi2jFLy3DgzoUB1Th+bwBVSoVlvWDbxT71cQ=,A00000380676,2023-07-13T16:50:00Z,fNVWi/NGi2jFLy3DgzoUB1Th+bwBVSoVUdOAmVy/KxE=,NA,OK,leaf,2023-07-17T17:16:00Z,0000-0002-2095-4747,3.271,2023-07-17T17:42:00Z,2023-07-19T20:00:00Z,1.072,0009-0004-4955-7034,30,14671.9,98,73.1,0.328,0009-0004-7301-0178,NA,NA,20260106T154600Z,RELEASE-2026,DP1.10026.001,YELL,2023,cfc_LMA
5b2fb4b4-4347-40cb-a1cf-eec35547ef9d,YELL_006.basePlot.cfc,D12,YELL,distributed,fNVWi/NGi2ihlJjexJq80EdgCuGlSdGNA8mkC8wilLI=,A00000380675,2023-07-13T16:50:00Z,fNVWi/NGi2ihlJjexJq80EdgCuGlSdGNZnd97zeO13tW/kpAo8HWDw==,NA,OK,leaf,2023-07-17T18:15:00Z,0000-0002-2095-4747,1.646,2023-07-17T18:16:00Z,2023-07-19T20:00:00Z,0.553,0009-0004-4955-7034,61,6125.7,98,90.3,0.336,0009-0004-7301-0178,NA,NA,20260106T154600Z,RELEASE-2026,DP1.10026.001,YELL,2023,cfc_LMA
