dpID,site,table,years_available_averaged,siteID,plotID,namedLocation,plotType,sampleID,sampleCode,n_raw_records,analyticalRepNumber_mean_2018_2024,dryMass_mean_2018_2024,digestVolume_mean_2018_2024,foliarPhosphorusConc_mean_2018_2024,foliarPotassiumConc_mean_2018_2024,foliarCalciumConc_mean_2018_2024,foliarMagnesiumConc_mean_2018_2024,foliarSulfurConc_mean_2018_2024,foliarManganeseConc_mean_2018_2024,foliarIronConc_mean_2018_2024,foliarCopperConc_mean_2018_2024,foliarBoronConc_mean_2018_2024,foliarZincConc_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,analyticalRepNumber_mean_2018_2024_unit,dryMass_mean_2018_2024_unit,digestVolume_mean_2018_2024_unit,foliarPhosphorusConc_mean_2018_2024_unit,foliarPotassiumConc_mean_2018_2024_unit,foliarCalciumConc_mean_2018_2024_unit,foliarMagnesiumConc_mean_2018_2024_unit,foliarSulfurConc_mean_2018_2024_unit,foliarManganeseConc_mean_2018_2024_unit,foliarIronConc_mean_2018_2024_unit,foliarCopperConc_mean_2018_2024_unit,foliarBoronConc_mean_2018_2024_unit,foliarZincConc_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10026.001,ABBY,cfc_elements,2022,ABBY,ABBY_002,ABBY_002.basePlot.cfc,distributed,kfvvZaGzVPFU5M6V7OvUnOENGPzY3sWww4PvE5FN6b4=,A00000293082,1,1,0.204,25,0.155,0.607,0.261,0.067,0.086,406.3,55.5,4.5,14.5,16.1,2022,2022,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,ABBY,cfc_elements,2022,ABBY,ABBY_002,ABBY_002.basePlot.cfc,distributed,kfvvZaGzVPGkB14bgRrp3GeJJptmchH6HvBGaMyzet4=,A00000293088,1,1,0.199,25,0.177,1.093,0.26,0.096,0.096,447.1,36,7.5,25.1,37,2022,2022,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,ABBY,cfc_elements,2022,ABBY,ABBY_003,ABBY_003.basePlot.cfc,distributed,kfvvZaGzVPFhSFFsweBnQqPj+XT9nWPXNERaZzDy3Mw=,A00000293105,1,1,0.197,25,0.307,2.01,1.396,0.491,0.153,93.8,75.2,6.3,25.9,14.8,2022,2022,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,ABBY,cfc_elements,2022,ABBY,ABBY_003,ABBY_003.basePlot.cfc,distributed,kfvvZaGzVPHjZxtG0dwk1ZQLiAJ+z9ZBDRS6EYSw7dM=,A00000293086,1,1,0.199,25,0.118,1.97,1.168,0.179,0.168,3430,70,7.7,61.8,11.9,2022,2022,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,ABBY,cfc_elements,2022,ABBY,ABBY_009,ABBY_009.basePlot.cfc,distributed,kfvvZaGzVPEZ6NvgAVPspoY8sc9cpgyDdseCwurFQXs=,A00000293100,1,1,0.202,25,0.188,1.464,0.875,0.27,0.173,211.5,47.4,12.7,5.7,37.6,2022,2022,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,ABBY,cfc_elements,2022,ABBY,ABBY_011,ABBY_011.basePlot.cfc,distributed,kfvvZaGzVPEFPQQCMZee+24rsqGRZN/KtMFC8s+UZ20=,A00000293098,1,1,0.202,25,0.1,0.595,0.436,0.176,0.133,384.5,28.6,2.7,8.3,16.7,2022,2022,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,ABBY,cfc_elements,2022,ABBY,ABBY_011,ABBY_011.basePlot.cfc,distributed,kfvvZaGzVPExLx6BiA79chacx1CrOpHs0qIAjIyPylg=,A00000293099,1,1,0.202,25,0.117,0.882,0.532,0.204,0.148,332.6,56.6,8,10,25.7,2022,2022,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,ABBY,cfc_elements,2022,ABBY,ABBY_013,ABBY_013.basePlot.cfc,distributed,kfvvZaGzVPEIrp3+5hasl+cL+F/QacoaN1j+nc4XcHo=,A00000293089,1,1,0.196,25,0.164,0.812,1.135,0.108,0.114,190.1,43,4.4,16.4,16.9,2022,2022,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,ABBY,cfc_elements,2022,ABBY,ABBY_013,ABBY_013.basePlot.cfc,distributed,kfvvZaGzVPExrsMcoYMjR5UtvgRFZhhMQ6rzCVA5h7c=,A00000293084,1,1,0.206,25,0.136,0.746,1.129,0.358,0.174,177.3,74.1,7.7,44.4,15.9,2022,2022,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,ABBY,cfc_elements,2022,ABBY,ABBY_013,ABBY_013.basePlot.cfc,distributed,kfvvZaGzVPFoMWqFjzgPpkmrzQisk8y2+gBz7kx/RwY=,A00000293090,1,1,0.195,25,0.251,1.528,1.531,0.289,0.265,594.3,62.7,7.7,24.2,16,2022,2022,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,ABBY,cfc_elements,2022,ABBY,ABBY_013,ABBY_013.basePlot.cfc,distributed,kfvvZaGzVPFpMwqw9mQ53SxMmBBGp/5vN+8i+BRu1bc=,A00000293083,1,1,0.201,25,0.136,0.828,0.754,0.164,0.155,139.6,50.1,6.4,15.2,27.1,2022,2022,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,ABBY,cfc_elements,2022,ABBY,ABBY_017,ABBY_017.basePlot.cfc,distributed,kfvvZaGzVPFynmOpcTupOFGYBX9TY6s9AtPvRUgd6DY=,A00000293103,1,1,0.203,25,0.088,0.583,0.365,0.078,0.09,590,38.6,3.5,8.6,12.5,2022,2022,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,ABBY,cfc_elements,2022,ABBY,ABBY_017,ABBY_017.basePlot.cfc,distributed,kfvvZaGzVPHs1ezYTBkUBu2M3GaJoApsH5KpFtAxCMs=,A00000293110,1,1,0.196,25,0.087,0.657,0.386,0.089,0.075,1278,39.5,2.2,13.2,17.1,2022,2022,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,ABBY,cfc_elements,2022,ABBY,ABBY_018,ABBY_018.basePlot.cfc,distributed,kfvvZaGzVPE7RuvX/cMP/D91H/huAfWQwILWOhRoCqQ=,A00000293095,1,1,0.197,25,0.244,1.143,0.257,0.11,0.083,1336,33.2,4.2,5.6,14.4,2022,2022,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,ABBY,cfc_elements,2022,ABBY,ABBY_063,ABBY_063.basePlot.cfc,tower,kfvvZaGzVPGPhaYaj+FlWoHv6mpr4nnqWst7dUOFqyE=,A00000293104,1,1,0.205,25,0.132,0.5,0.472,0.063,0.08,373.3,38.1,3.1,10,10.8,2022,2022,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
