dpID,site,table,years_available_averaged,siteID,namedLocation,plotType,sampleID,sampleCode,n_raw_records,freshMass_mean_2018_2024,dryMass_mean_2018_2024,scannedLeafNumber_mean_2018_2024,leafArea_mean_2018_2024,percentGreen_mean_2018_2024,leafMassPerArea_mean_2018_2024,dryMassFraction_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,freshMass_mean_2018_2024_unit,dryMass_mean_2018_2024_unit,scannedLeafNumber_mean_2018_2024_unit,leafArea_mean_2018_2024_unit,percentGreen_mean_2018_2024_unit,leafMassPerArea_mean_2018_2024_unit,dryMassFraction_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10026.001,LAJA,cfc_LMA,2020,LAJA,LAJA_001.basePlot.cfc,distributed,Ar6g0CWrZRBwmsgrHeO/0+Js9/xtk0T3wkhiVacn9Q0=,A00000111051,1,0.623,0.24,9,3846.4,97,62.3,0.385,2020,2020,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,LAJA,cfc_LMA,2020,LAJA,LAJA_002.basePlot.cfc,distributed,Ar6g0CWrZRDlz60Q7GQRiKbXo9SPlPRL10qzHcB0Kgo=,A00000111062,1,1.424,0.392,13,5345,97,73.4,0.275,2020,2020,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,LAJA,cfc_LMA,2020,LAJA,LAJA_003.basePlot.cfc,distributed,Ar6g0CWrZRA4jpn6DkrjyXlrTJouo1PgkU+o9DMEZf0=,A00000111053,1,2.356,0.494,7,13302.4,100,37.1,0.21,2020,2020,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,LAJA,cfc_LMA,2020,LAJA,LAJA_004.basePlot.cfc,distributed,Ar6g0CWrZRCDO1Rgx6zAb4btbQlLYQhql64y0VSHcfI=,A00000111048,1,0.971,0.269,10,3847.3,100,69.8,0.277,2020,2020,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,LAJA,cfc_LMA,2020,LAJA,LAJA_005.basePlot.cfc,distributed,Ar6g0CWrZRAE7HddE9FEs4Zfsl3t+9fe9O98oSlZ3Fs=,A00000111054,1,2.609,0.672,9,14639.9,97,45.9,0.258,2020,2020,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,LAJA,cfc_LMA,2020,LAJA,LAJA_006.basePlot.cfc,distributed,Ar6g0CWrZRD5dm2goxXsx0/QNAHj3nqTehqswi0C24k=,A00000111050,1,1.816,0.567,11,11632.2,97,48.7,0.312,2020,2020,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,LAJA,cfc_LMA,2020,LAJA,LAJA_007.basePlot.cfc,distributed,Ar6g0CWrZRBWPgYJsj3Q7JlS34/r+iuLwBzlNoRlfoo=,A00000111056,1,1.155,0.305,9,5797.1,100,52.7,0.265,2020,2020,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,LAJA,cfc_LMA,2020,LAJA,LAJA_008.basePlot.cfc,distributed,Ar6g0CWrZRDOi5qMQxVM1gpJYdxOPvkAVQHq8DeRK24=,A00000111052,1,0.633,0.171,12,3796.5,100,44.9,0.269,2020,2020,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,LAJA,cfc_LMA,2020,LAJA,LAJA_009.basePlot.cfc,distributed,Ar6g0CWrZRCbGmQ2ftpOwhEPRtv0yDiEEsEVCQbt5Hw=,A00000111058,1,1.462,0.429,12,9881.8,100,43.4,0.293,2020,2020,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
DP1.10026.001,LAJA,cfc_LMA,2020,LAJA,LAJA_010.basePlot.cfc,distributed,Ar6g0CWrZRCve5Sg3WtR09D5UsvlfdaMKA3+XudmWMU=,A00000111055,1,0.91,0.334,11,4747.3,100,70.4,0.367,2020,2020,gram,gram,number,squareMillimeter,percent,gramsPerSquareMeter,NA,NA,NA
