dpID,site,table,years_available_averaged,siteID,plotID,namedLocation,plotType,sampleID,sampleCode,n_raw_records,extractionLength_mean_2018_2024,freshMass_mean_2018_2024,solventVolume_mean_2018_2024,analyticalRepNumber_mean_2018_2024,extractChlAConc_mean_2018_2024,extractChlBConc_mean_2018_2024,extractCarotConc_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,extractionLength_mean_2018_2024_unit,freshMass_mean_2018_2024_unit,solventVolume_mean_2018_2024_unit,analyticalRepNumber_mean_2018_2024_unit,extractChlAConc_mean_2018_2024_unit,extractChlBConc_mean_2018_2024_unit,extractCarotConc_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10026.001,LAJA,cfc_chlorophyll,2020,LAJA,LAJA_001,LAJA_001.basePlot.cfc,distributed,Ar6g0CWrZRBwmsgrHeO/0+Js9/xtk0T3wkhiVacn9Q0=,A00000111051,1,48,0.0952,20,1,6.79,1.16,1.99,2020,2020,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,LAJA,cfc_chlorophyll,2020,LAJA,LAJA_002,LAJA_002.basePlot.cfc,distributed,Ar6g0CWrZRDlz60Q7GQRiKbXo9SPlPRL10qzHcB0Kgo=,A00000111062,1,48,0.0987,20,1,9.96,2.39,2.35,2020,2020,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,LAJA,cfc_chlorophyll,2020,LAJA,LAJA_003,LAJA_003.basePlot.cfc,distributed,Ar6g0CWrZRA4jpn6DkrjyXlrTJouo1PgkU+o9DMEZf0=,A00000111053,1,48,0.0883,20,1,8.56,1.43,2.21,2020,2020,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,LAJA,cfc_chlorophyll,2020,LAJA,LAJA_004,LAJA_004.basePlot.cfc,distributed,Ar6g0CWrZRCDO1Rgx6zAb4btbQlLYQhql64y0VSHcfI=,A00000111048,1,48,0.0899,20,1,6.16,1.22,1.67,2020,2020,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,LAJA,cfc_chlorophyll,2020,LAJA,LAJA_005,LAJA_005.basePlot.cfc,distributed,Ar6g0CWrZRAE7HddE9FEs4Zfsl3t+9fe9O98oSlZ3Fs=,A00000111054,1,48,0.088,20,1,5.58,1.32,1.26,2020,2020,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,LAJA,cfc_chlorophyll,2020,LAJA,LAJA_006,LAJA_006.basePlot.cfc,distributed,Ar6g0CWrZRD5dm2goxXsx0/QNAHj3nqTehqswi0C24k=,A00000111050,1,48,0.0943,20,1,5.85,1.39,1.62,2020,2020,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,LAJA,cfc_chlorophyll,2020,LAJA,LAJA_007,LAJA_007.basePlot.cfc,distributed,Ar6g0CWrZRBWPgYJsj3Q7JlS34/r+iuLwBzlNoRlfoo=,A00000111056,1,48,0.0945,20,1,7.55,1.24,1.99,2020,2020,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,LAJA,cfc_chlorophyll,2020,LAJA,LAJA_008,LAJA_008.basePlot.cfc,distributed,Ar6g0CWrZRDOi5qMQxVM1gpJYdxOPvkAVQHq8DeRK24=,A00000111052,1,48,0.1025,20,1,8.96,1.82,2.22,2020,2020,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,LAJA,cfc_chlorophyll,2020,LAJA,LAJA_009,LAJA_009.basePlot.cfc,distributed,Ar6g0CWrZRCbGmQ2ftpOwhEPRtv0yDiEEsEVCQbt5Hw=,A00000111058,1,48,0.105,20,1,5.52,1.25,1.82,2020,2020,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,LAJA,cfc_chlorophyll,2020,LAJA,LAJA_010,LAJA_010.basePlot.cfc,distributed,Ar6g0CWrZRCve5Sg3WtR09D5UsvlfdaMKA3+XudmWMU=,A00000111055,1,48,0.0847,20,1,6.89,1.13,1.9,2020,2020,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,LAJA,cfc_chlorophyll,2020,LAJA,LAJA_011,LAJA_011.basePlot.cfc,distributed,Ar6g0CWrZRDkMzp3IjtlzO5jCitQ1H/XqkAwcevXwxw=,A00000111049,1,48,0.0954,20,1,6.43,1.47,1.81,2020,2020,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,LAJA,cfc_chlorophyll,2020,LAJA,LAJA_015,LAJA_015.basePlot.cfc,distributed,Ar6g0CWrZRACJ79IJPHX6uJ6jDUBfR59YmSeB8NN3bk=,A00000111060,1,48,0.082,20,1,9.34,2.61,2.24,2020,2020,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,LAJA,cfc_chlorophyll,2020,LAJA,LAJA_015,LAJA_015.basePlot.cfc,distributed,Ar6g0CWrZRDJH+ndJzUNa8DgeRfN2Gie0m7YWfrmzG0=,A00000111072,1,48,0.0917,20,1,4.85,1,1.34,2020,2020,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,LAJA,cfc_chlorophyll,2020,LAJA,LAJA_016,LAJA_016.basePlot.cfc,distributed,Ar6g0CWrZRCQ4D8ofkbRQB2vmc+g4iVTDEiP7LmUC+U=,A00000111057,1,48,0.1048,20,1,8.45,1.68,2.45,2020,2020,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,LAJA,cfc_chlorophyll,2020,LAJA,LAJA_017,LAJA_017.basePlot.cfc,distributed,Ar6g0CWrZRDvEug1xYJXK45WrUBDn9c5iekccVB2UNc=,A00000111047,1,48,0.0981,20,1,10.46,2.5,2.63,2020,2020,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,LAJA,cfc_chlorophyll,2020,LAJA,LAJA_018,LAJA_018.basePlot.cfc,distributed,Ar6g0CWrZRC5bHwx9IjrFEtZXaPDCZSa+mFNT5BCoYw=,A00000111061,1,48,0.0889,20,1,5.29,1.22,1.39,2020,2020,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,LAJA,cfc_chlorophyll,2020,LAJA,LAJA_018,LAJA_018.basePlot.cfc,distributed,Ar6g0CWrZRCQfbWhuaSuoPAOBfMqLEVKz5//LaRMlDE=,A00000111073,1,48,0.0836,20,1,6.59,1.92,2.39,2020,2020,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,LAJA,cfc_chlorophyll,2020,LAJA,LAJA_019,LAJA_019.basePlot.cfc,distributed,Ar6g0CWrZRB455uJiLcFo6EZKXBF7UDWbwEleyhoIpQ=,A00000111059,1,48,0.0879,20,1,6.89,1.44,1.99,2020,2020,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,LAJA,cfc_chlorophyll,2020,LAJA,LAJA_042,LAJA_042.basePlot.cfc,tower,Ar6g0CWrZRAHbC+0y2ZpVqeGQEAzGzGQ64UylrC762M=,A00000111045,1,48,0.0914,20,1,8.8,1.72,2.32,2020,2020,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,LAJA,cfc_chlorophyll,2020,LAJA,LAJA_044,LAJA_044.basePlot.cfc,tower,Ar6g0CWrZRBd503GeBdeAZ5O11SS7QREa3ntd6t3FfU=,A00000111046,1,48,0.0867,20,1,7.99,1.84,1.84,2020,2020,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,LAJA,cfc_chlorophyll,2020,LAJA,LAJA_046,LAJA_046.basePlot.cfc,tower,Ar6g0CWrZRAdmcYYgYd0Imc8ChLpwe9Ws4jTRc6xmAA=,A00000111044,1,48,0.0929,20,1,10.38,2.06,2.65,2020,2020,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
DP1.10026.001,LAJA,cfc_chlorophyll,2020,LAJA,LAJA_051,LAJA_051.basePlot.cfc,tower,Ar6g0CWrZRAiOVXtY893yucH2T0qqQwhVy1vFiKCAAY=,A00000111043,1,48,0.0877,20,1,8.19,1.96,2.29,2020,2020,hour,gram,milliliter,number,microgramsPerMilliliter,microgramsPerMilliliter,microgramsPerMilliliter,NA,NA
