dpID,site,table,years_available_averaged,siteID,plotID,namedLocation,plotType,sampleID,sampleCode,n_raw_records,d15N_mean_2018_2024,d13C_mean_2018_2024,nitrogenPercent_mean_2018_2024,carbonPercent_mean_2018_2024,CNratio_mean_2018_2024,analyticalRepNumber_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,d15N_mean_2018_2024_unit,d13C_mean_2018_2024_unit,nitrogenPercent_mean_2018_2024_unit,carbonPercent_mean_2018_2024_unit,CNratio_mean_2018_2024_unit,analyticalRepNumber_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10026.001,NOGP,cfc_carbonNitrogen,2020,NOGP,NOGP_001,NOGP_001.basePlot.cfc,distributed,nNZJgT36IlPj21pe3TybXcmu7jB0oJpl1DHNv18C5vM=,A00000237593,1,-2.7,-27.7,1.34,45.61,34,1,2020,2020,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,NOGP,cfc_carbonNitrogen,2020,NOGP,NOGP_002,NOGP_002.basePlot.cfc,distributed,nNZJgT36IlMk28YkQUOo8TD1I2KJixc3NTJ+p9CLY5c=,A00000237574,2,-3.05,-26.95,1.4249999999999998,45.555,32.05,1.5,2020,2020,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,NOGP,cfc_carbonNitrogen,2020,NOGP,NOGP_003,NOGP_003.basePlot.cfc,distributed,nNZJgT36IlP6AuXZ25O3HLHyw06MyWFHJeakhqw//fo=,A00000237578,1,-1.7,-26.4,0.9,41.55,46.3,1,2020,2020,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,NOGP,cfc_carbonNitrogen,2020,NOGP,NOGP_005,NOGP_005.basePlot.cfc,distributed,nNZJgT36IlN6uhHJ2wixNnM6fJIZ8OnAZA0bPCYjCPY=,A00000237573,1,-2.6,-27.7,1.35,45.32,33.7,1,2020,2020,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,NOGP,cfc_carbonNitrogen,2020,NOGP,NOGP_006,NOGP_006.basePlot.cfc,distributed,nNZJgT36IlPlJE7SF8Pfb0JV0R62oDxbrxfoXnB6GBQ=,A00000237577,1,-2.7,-27.3,1.28,43.29,33.7,1,2020,2020,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,NOGP,cfc_carbonNitrogen,2020,NOGP,NOGP_007,NOGP_007.basePlot.cfc,distributed,nNZJgT36IlOTWW2riEOCkZzvIhLOk5it1qbdaXXpMw0=,A00000237572,1,-3.7,-27.6,1.51,46.1,30.6,1,2020,2020,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,NOGP,cfc_carbonNitrogen,2020,NOGP,NOGP_008,NOGP_008.basePlot.cfc,distributed,nNZJgT36IlPtbCtjj+oDnPtsCfOu2I2dp/rUpTVtF38=,A00000237576,1,-4.3,-27.6,1.42,44.34,31.1,1,2020,2020,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,NOGP,cfc_carbonNitrogen,2020,NOGP,NOGP_009,NOGP_009.basePlot.cfc,distributed,nNZJgT36IlMbC/mZMyUh5f6k8fSjjyrKRiksg53oZZE=,A00000237571,1,-3.2,-28.2,1.35,46.24,34.4,1,2020,2020,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,NOGP,cfc_carbonNitrogen,2020,NOGP,NOGP_010,NOGP_010.basePlot.cfc,distributed,nNZJgT36IlO0ORAOJdBS77zZjLYHfn16KmvzM1U6Ejk=,A00000237575,1,2.1,-26.5,2.17,46.77,21.5,1,2020,2020,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,NOGP,cfc_carbonNitrogen,2020,NOGP,NOGP_011,NOGP_011.basePlot.cfc,distributed,nNZJgT36IlMyvKBV1TvYoO+rVQ9OW7mUMB1tkqsX/IA=,A00000237595,1,-2.2,-26.8,1.14,44.64,39.1,1,2020,2020,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,NOGP,cfc_carbonNitrogen,2020,NOGP,NOGP_012,NOGP_012.basePlot.cfc,distributed,nNZJgT36IlMyJmDeDP42T/hYX2hir3WFxhJ7IIAZjJY=,A00000237580,1,-0.8,-27.7,1.64,44.88,27.4,1,2020,2020,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,NOGP,cfc_carbonNitrogen,2020,NOGP,NOGP_013,NOGP_013.basePlot.cfc,distributed,nNZJgT36IlM7MCjf/zQvGihKtlpbRN362rBlN1Vb/AA=,A00000237587,1,-3,-28.1,1.49,48.63,32.7,1,2020,2020,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,NOGP,cfc_carbonNitrogen,2020,NOGP,NOGP_014,NOGP_014.basePlot.cfc,distributed,nNZJgT36IlMjawxOb77R32WKwYMvHZ+JZlYAmoRxHo4=,A00000237597,1,-2.7,-26.5,1.62,47.36,29.2,1,2020,2020,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,NOGP,cfc_carbonNitrogen,2020,NOGP,NOGP_015,NOGP_015.basePlot.cfc,distributed,nNZJgT36IlOePeyNJbFZW8xDEC5+y/xrEh4p0NInAdI=,A00000237567,1,-2.3,-27,1.43,45.23,31.7,1,2020,2020,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,NOGP,cfc_carbonNitrogen,2020,NOGP,NOGP_016,NOGP_016.basePlot.cfc,distributed,nNZJgT36IlMXVxVr5wYWrlnDVZ8i1xPuzh+0RJRbQcs=,A00000237594,1,-2.3,-28.5,1.6,45.54,28.5,1,2020,2020,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,NOGP,cfc_carbonNitrogen,2020,NOGP,NOGP_041,NOGP_041.basePlot.cfc,distributed,nNZJgT36IlOXBVqK8B3rnAQc1thqEbTbHJZ1iy1roW0=,A00000237596,1,-3.3,-24.2,1.6,47.09,29.5,1,2020,2020,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,NOGP,cfc_carbonNitrogen,2020,NOGP,NOGP_061,NOGP_061.basePlot.cfc,tower,nNZJgT36IlPi60Vww056iN60BN4QbaPBtq93n3s72/I=,A00000237581,1,1.2,-24.8,1.34,44.17,32.9,1,2020,2020,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,NOGP,cfc_carbonNitrogen,2020,NOGP,NOGP_062,NOGP_062.basePlot.cfc,tower,nNZJgT36IlNqjFZ4k4RSkIOoEPgTjWwUGPZwt65QcTI=,A00000237582,1,-3.1,-27.1,1.6,44.02,27.5,1,2020,2020,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,NOGP,cfc_carbonNitrogen,2020,NOGP,NOGP_064,NOGP_064.basePlot.cfc,tower,nNZJgT36IlNox5RpIyvfMoPdiliLILtZJC8/lzImb7I=,A00000237583,1,-0.4,-27.4,1.74,43.47,24.9,1,2020,2020,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,NOGP,cfc_carbonNitrogen,2020,NOGP,NOGP_065,NOGP_065.basePlot.cfc,tower,nNZJgT36IlMa1Y/c7jtj8DN9+j0EALur9yjKAvft41w=,A00000237584,1,-1.6,-27.5,2.12,44.48,21,1,2020,2020,permill,permill,percent,percent,NA,number,NA,NA
