dpID,site,table,years_available_averaged,siteID,plotID,namedLocation,plotType,sampleID,sampleCode,n_raw_records,analyticalRepNumber_mean_2018_2024,dryMass_mean_2018_2024,digestVolume_mean_2018_2024,foliarPhosphorusConc_mean_2018_2024,foliarPotassiumConc_mean_2018_2024,foliarCalciumConc_mean_2018_2024,foliarMagnesiumConc_mean_2018_2024,foliarSulfurConc_mean_2018_2024,foliarManganeseConc_mean_2018_2024,foliarIronConc_mean_2018_2024,foliarCopperConc_mean_2018_2024,foliarBoronConc_mean_2018_2024,foliarZincConc_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,analyticalRepNumber_mean_2018_2024_unit,dryMass_mean_2018_2024_unit,digestVolume_mean_2018_2024_unit,foliarPhosphorusConc_mean_2018_2024_unit,foliarPotassiumConc_mean_2018_2024_unit,foliarCalciumConc_mean_2018_2024_unit,foliarMagnesiumConc_mean_2018_2024_unit,foliarSulfurConc_mean_2018_2024_unit,foliarManganeseConc_mean_2018_2024_unit,foliarIronConc_mean_2018_2024_unit,foliarCopperConc_mean_2018_2024_unit,foliarBoronConc_mean_2018_2024_unit,foliarZincConc_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10026.001,ONAQ,cfc_elements,2021,ONAQ,ONAQ_005,ONAQ_005.basePlot.cfc,distributed,M+OBob9eRM0t8X+C5+QrzxdGluls5jAeHhzyy8r6QYI=,A00000281806,1,1,0.204,25,0.128,5.149,3.067,0.838,0.324,148.6,115.3,16.9,80.8,17.3,2021,2021,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,ONAQ,cfc_elements,2021,ONAQ,ONAQ_005,ONAQ_005.basePlot.cfc,distributed,M+OBob9eRM24ni9MccLXnI6GcMvEkFqE7p0xI6oCEVk=,A00000281804,1,1,0.195,25,0.214,2.095,0.872,0.228,0.259,51.2,133.3,11.4,33.2,21.3,2021,2021,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,ONAQ,cfc_elements,2021,ONAQ,ONAQ_007,ONAQ_007.basePlot.cfc,distributed,M+OBob9eRM12bv0ind7sB+2xSJoP/a1VtSfEIeg9Bes=,A00000281645,1,1,0.205,25,0.239,2.071,1.082,0.217,0.214,64,177.1,26.3,97.2,25.8,2021,2021,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,ONAQ,cfc_elements,2021,ONAQ,ONAQ_010,ONAQ_010.basePlot.cfc,distributed,M+OBob9eRM1P6PB6+1CGkIypbpOwyR9bkgCvsvwgmaY=,A00000281809,1,1,0.198,25,0.128,0.56,1.709,0.252,0.103,35.4,97.2,9.3,69.8,16.3,2021,2021,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,ONAQ,cfc_elements,2021,ONAQ,ONAQ_010,ONAQ_010.basePlot.cfc,distributed,M+OBob9eRM27GZcu41F2tAJ+Yq7j2ViEGPztFlbs44E=,A00000281633,1,1,0.197,25,0.088,0.507,1.769,0.15,0.078,20.9,67.5,6.7,19.6,8,2021,2021,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,ONAQ,cfc_elements,2021,ONAQ,ONAQ_010,ONAQ_010.basePlot.cfc,distributed,M+OBob9eRM27GZcu41F2tDVBaO14WifN6MzE9SEs78s=,A00000281808,1,1,0.203,25,0.09,0.354,1.366,0.141,0.081,32.8,57.2,5.5,20.5,8.8,2021,2021,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,ONAQ,cfc_elements,2021,ONAQ,ONAQ_011,ONAQ_011.basePlot.cfc,distributed,M+OBob9eRM2x+e0UgGJd0K30Zs0jHNycy9XWglZuZF0=,A00000281629,1,1,0.2,25,0.422,2.865,0.763,0.233,0.387,303,73.7,18.4,40.8,33.4,2021,2021,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,ONAQ,cfc_elements,2021,ONAQ,ONAQ_011,ONAQ_011.basePlot.cfc,distributed,M+OBob9eRM2x+e0UgGJd0M9OMfbaQgTk6neN3+1fcgU=,A00000281802,1,1,0.204,25,0.483,2.452,0.648,0.213,0.472,126.1,81.2,15.9,55.7,25.9,2021,2021,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,ONAQ,cfc_elements,2021,ONAQ,ONAQ_015,ONAQ_015.basePlot.cfc,distributed,M+OBob9eRM2hpiph5gvh0ZYbLIOP4XhQcWfsx93uP68=,A00000281811,1,1,0.203,25,0.279,2.002,0.776,0.233,0.235,63.5,137.4,13.8,26.9,29.7,2021,2021,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,ONAQ,cfc_elements,2021,ONAQ,ONAQ_015,ONAQ_015.basePlot.cfc,distributed,M+OBob9eRM2hpiph5gvh0d8tMy4VGtKlQ8Uh7B4Lyys=,A00000281812,1,1,0.202,25,0.325,2.71,0.866,0.182,0.304,91,146.7,18.4,32.6,23.3,2021,2021,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
