dpID,site,table,years_available_averaged,siteID,plotID,namedLocation,plotType,sampleID,sampleCode,n_raw_records,archiveMass_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,archiveMass_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_001,SJER_001.basePlot.cfc,distributed,2kN0Z0OxE8EKT18zkbawy9gaybyzKiBOxpyuz81P9FQ=,NA,1,4.53,2024,2024,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_001,SJER_001.basePlot.cfc,distributed,2kN0Z0OxE8EKT18zkbawyweuoYHqBzNxqV5SFrxN3s4=,NA,1,NA,2019,2019,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_001,SJER_001.basePlot.cfc,distributed,2kN0Z0OxE8FaYBc5B7dEGx67DptGbS+AxsaTzvXYkic=,NA,1,7.48,2024,2024,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_002,SJER_002.basePlot.cfc,distributed,2kN0Z0OxE8FOVQnny45EmilMYa7yYFHhZPhFsnDkNwQ=,NA,1,3.32,2024,2024,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_002,SJER_002.basePlot.cfc,distributed,2kN0Z0OxE8FOVQnny45Emugbd0kRbBkrGx4RXO3ZXl0=,NA,1,NA,2019,2019,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_002,SJER_002.basePlot.cfc,distributed,2kN0Z0OxE8HCA8hquz9rEGWPenD+ZThpeMol4BG+F6w=,NA,1,7.93,2024,2024,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_002,SJER_002.basePlot.cfc,distributed,2kN0Z0OxE8HCA8hquz9rEPqWBNpqv+o1nt3tdzB8/qs=,NA,1,NA,2019,2019,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_003,SJER_003.basePlot.cfc,distributed,2kN0Z0OxE8GpMrjjbUrmjkUqr19bc0Z9K+XEbjtPGNQ=,NA,1,3.86,2024,2024,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_003,SJER_003.basePlot.cfc,distributed,2kN0Z0OxE8HNtIFY2nGNuGZQ6oVVFjfT99HfKTqyNM8=,NA,1,NA,2019,2019,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_004,SJER_004.basePlot.cfc,distributed,2kN0Z0OxE8E6yoOagSqOSRtNLSrhl99uQ0RdgD9X3OE=,NA,1,NA,2019,2019,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_004,SJER_004.basePlot.cfc,distributed,2kN0Z0OxE8E6yoOagSqOSe2k5PfZVJTvBAkQUTE06tI=,A00000397088,1,4.07,2024,2024,gram,NA,NA
DP1.10026.001,SJER,cfc_chemistrySubsampling,"2019,2024",SJER,SJER_004,SJER_004.basePlot.cfc,distributed,2kN0Z0OxE8HY/ANLaNM/Z3vkzA4NoxjDM1d7ahyuiD0=,A00000397101,1,8.38,2024,2024,gram,NA,NA
