dpID,site,table,years_available_averaged,siteID,plotID,namedLocation,plotType,sampleID,sampleCode,n_raw_records,d15N_mean_2018_2024,d13C_mean_2018_2024,nitrogenPercent_mean_2018_2024,carbonPercent_mean_2018_2024,CNratio_mean_2018_2024,analyticalRepNumber_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,d15N_mean_2018_2024_unit,d13C_mean_2018_2024_unit,nitrogenPercent_mean_2018_2024_unit,carbonPercent_mean_2018_2024_unit,CNratio_mean_2018_2024_unit,analyticalRepNumber_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_001,SRER_001.basePlot.cfc,distributed,jf4sOIyMYqyumbH8dK84wnPxXccKIg5smaJZ/4Q66mE=,A00000279889,2,4.7,-13.350000000000001,1.455,37.225,25.65,1.5,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_001,SRER_001.basePlot.cfc,distributed,jf4sOIyMYqzqOH83ww6JBfXFbXRkAbZaWwfx9LmlmwI=,A00000279754,1,2,-26.2,3.73,48.96,13.1,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_002,SRER_002.basePlot.cfc,distributed,jf4sOIyMYqwVxe5c4Fd1ygQZ4hNhshRIE4GQrKE+t74=,A00000279887,1,3.8,-30.3,4.4,44.07,10,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_002,SRER_002.basePlot.cfc,distributed,jf4sOIyMYqxbxXm4XPGCewWwvP5TuojKaggPobynB6Q=,A00000279747,1,2.7,-27.6,3.84,48.74,12.7,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_002,SRER_002.basePlot.cfc,distributed,jf4sOIyMYqxdyL0XwKLMSZ9IkxmNUHal6KSBbdulf6M=,A00000279750,1,2.5,-25.6,3.44,49.81,14.5,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_002,SRER_002.basePlot.cfc,distributed,jf4sOIyMYqzx568Z6NmRmUomSSmcnM38zV1eNEbYQ/M=,A00000279891,1,6.4,-13.5,1.2,39.9,33.2,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_003,SRER_003.basePlot.cfc,distributed,jf4sOIyMYqwChBBhHdmN/wScOWPDeljSx5v5Km1oBmE=,A00000279752,1,2.6,-26.3,3.96,49.26,12.5,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_003,SRER_003.basePlot.cfc,distributed,jf4sOIyMYqxH5lh5NevTPhIf4NCcV/LCq3qPCer7AAM=,A00000279893,1,4.8,-14.1,1.54,38.93,25.3,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_003,SRER_003.basePlot.cfc,distributed,jf4sOIyMYqxtK6NJ70WgOKezBCAQSNDzPBkrPRbNJ98=,A00000279895,1,2.5,-23.3,1.47,46.36,31.6,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_004,SRER_004.basePlot.cfc,distributed,jf4sOIyMYqwTQkxTxQGMl28vT/y90y3vGPWp7M9YaVU=,A00000279886,1,2.4,-27.6,2.77,44.75,16.1,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_004,SRER_004.basePlot.cfc,distributed,jf4sOIyMYqx6wVGq6P1DjblFVlArBUH/SZYkuqpjvdk=,A00000279773,1,2.4,-28.7,2.35,44.17,18.8,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_004,SRER_004.basePlot.cfc,distributed,jf4sOIyMYqx6wVGq6P1DjdLjlCab33GcXJ22P381QjQ=,A00000279774,1,4.4,-29.5,2.53,43.58,17.2,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10026.001,SRER,cfc_carbonNitrogen,2021,SRER,SRER_004,SRER_004.basePlot.cfc,distributed,jf4sOIyMYqyHHfxnzFnK7vbsreNOK3iDPT05w3J3eNM=,A00000279711,1,3.5,-12.1,0.85,34.75,41.1,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
