dpID,site,table,years_available_averaged,siteID,plotID,namedLocation,plotType,sampleID,sampleCode,n_raw_records,analyticalRepNumber_mean_2018_2024,dryMass_mean_2018_2024,digestVolume_mean_2018_2024,foliarPhosphorusConc_mean_2018_2024,foliarPotassiumConc_mean_2018_2024,foliarCalciumConc_mean_2018_2024,foliarMagnesiumConc_mean_2018_2024,foliarSulfurConc_mean_2018_2024,foliarManganeseConc_mean_2018_2024,foliarIronConc_mean_2018_2024,foliarCopperConc_mean_2018_2024,foliarBoronConc_mean_2018_2024,foliarZincConc_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,analyticalRepNumber_mean_2018_2024_unit,dryMass_mean_2018_2024_unit,digestVolume_mean_2018_2024_unit,foliarPhosphorusConc_mean_2018_2024_unit,foliarPotassiumConc_mean_2018_2024_unit,foliarCalciumConc_mean_2018_2024_unit,foliarMagnesiumConc_mean_2018_2024_unit,foliarSulfurConc_mean_2018_2024_unit,foliarManganeseConc_mean_2018_2024_unit,foliarIronConc_mean_2018_2024_unit,foliarCopperConc_mean_2018_2024_unit,foliarBoronConc_mean_2018_2024_unit,foliarZincConc_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10026.001,STEI,cfc_elements,2022,STEI,STEI_001,STEI_001.basePlot.cfc,distributed,VIe0/2w3fNdGg8ZdiqmQlNlOr20+UpuJvUCrLWl755s=,A00000358684,1,1,0.203,25,0.277,1.845,2.215,0.396,0.228,132.2,56.9,8.6,27.1,23.8,2022,2022,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,STEI,cfc_elements,2022,STEI,STEI_001,STEI_001.basePlot.cfc,distributed,VIe0/2w3fNdp78ByyJA8EFjCoqDnFwaXQtvg+v8qGt4=,A00000358663,1,1,0.205,25,0.143,0.769,1.044,0.181,0.13,250.6,47.7,5.4,20.6,26.9,2022,2022,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,STEI,cfc_elements,2022,STEI,STEI_001,STEI_001.basePlot.cfc,distributed,VIe0/2w3fNeKiqeEFmkbTs9QFEyiE/IgZxcA8Dbkb5k=,A00000358700,1,1,0.197,25,0.179,1.077,2.015,0.306,0.164,438.1,46,7.7,23.7,21.8,2022,2022,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,STEI,cfc_elements,2022,STEI,STEI_002,STEI_002.basePlot.cfc,distributed,VIe0/2w3fNcn3zJhSf83pdbJFqmmyeiAhPHMvnkGMd4=,A00000358654,1,1,0.199,25,0.175,1.214,0.568,0.111,0.144,353.4,36.3,5.9,18.4,22.8,2022,2022,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,STEI,cfc_elements,2022,STEI,STEI_003,STEI_003.basePlot.cfc,distributed,VIe0/2w3fNcNrKRjyzmNZjPw0FpnIzoEFXPbDM4DReI=,A00000358670,1,1,0.196,25,0.173,0.887,0.478,0.161,0.112,400.6,28.3,6.6,12.9,28.9,2022,2022,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,STEI,cfc_elements,2022,STEI,STEI_003,STEI_003.basePlot.cfc,distributed,VIe0/2w3fNdC6482kBzsUz+jtbq68YxAsmoE90paeNQ=,A00000358661,1,1,0.204,25,0.214,1.103,0.758,0.18,0.152,560.4,40.3,7.5,23.7,28.8,2022,2022,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,STEI,cfc_elements,2022,STEI,STEI_003,STEI_003.basePlot.cfc,distributed,VIe0/2w3fNeiYDd1kvOxg1EPuYicsV8eUlHYYePX1PQ=,A00000358667,1,1,0.201,25,0.244,1.216,0.71,0.201,0.17,94.3,32.8,10,11.5,166.4,2022,2022,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,STEI,cfc_elements,2022,STEI,STEI_004,STEI_004.basePlot.cfc,distributed,VIe0/2w3fNfBXMoEYn4UHpUVD27O6vHTQhQMl2a6XPc=,A00000358678,1,1,0.201,25,0.263,1.435,0.862,0.225,0.147,77.3,44.3,12.5,18.2,27.4,2022,2022,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,STEI,cfc_elements,2022,STEI,STEI_004,STEI_004.basePlot.cfc,distributed,VIe0/2w3fNfkpyROGrcCGENSQWPrugpZyYl1BknTjcY=,A00000358676,1,1,0.196,25,0.266,1.219,0.99,0.164,0.182,93,32.1,5.3,12.7,124.8,2022,2022,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,STEI,cfc_elements,2022,STEI,STEI_005,STEI_005.basePlot.cfc,distributed,VIe0/2w3fNcwfo4c4at4Ep7MsiZq7HoKjlT6vcQlh3Y=,A00000358681,1,1,0.204,25,0.316,1.455,0.92,0.153,0.216,57.7,60.4,11.1,19.9,19.7,2022,2022,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
