dpID,site,table,years_available_averaged,siteID,plotID,namedLocation,plotType,sampleID,sampleCode,n_raw_records,analyticalRepNumber_mean_2018_2024,dryMass_mean_2018_2024,digestVolume_mean_2018_2024,foliarPhosphorusConc_mean_2018_2024,foliarPotassiumConc_mean_2018_2024,foliarCalciumConc_mean_2018_2024,foliarMagnesiumConc_mean_2018_2024,foliarSulfurConc_mean_2018_2024,foliarManganeseConc_mean_2018_2024,foliarIronConc_mean_2018_2024,foliarCopperConc_mean_2018_2024,foliarBoronConc_mean_2018_2024,foliarZincConc_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,analyticalRepNumber_mean_2018_2024_unit,dryMass_mean_2018_2024_unit,digestVolume_mean_2018_2024_unit,foliarPhosphorusConc_mean_2018_2024_unit,foliarPotassiumConc_mean_2018_2024_unit,foliarCalciumConc_mean_2018_2024_unit,foliarMagnesiumConc_mean_2018_2024_unit,foliarSulfurConc_mean_2018_2024_unit,foliarManganeseConc_mean_2018_2024_unit,foliarIronConc_mean_2018_2024_unit,foliarCopperConc_mean_2018_2024_unit,foliarBoronConc_mean_2018_2024_unit,foliarZincConc_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10026.001,TREE,cfc_elements,2020,TREE,TREE_002,TREE_002.basePlot.cfc,distributed,GoTbs+s430VufL8Ha4C9CAXqijC76Xhjhe+ljht/c+U=,NA,1,1,0.198,25,0.103,0.572,0.658,0.094,0.074,846.9,22.4,2.5,29.2,41.9,2020,2020,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,TREE,cfc_elements,2020,TREE,TREE_003,TREE_003.basePlot.cfc,distributed,GoTbs+s430Ucdp5A1xEdBlIXGfXb/A7q9xLdugfTcVA=,NA,1,1,0.198,25,0.262,0.893,1.075,0.159,0.141,1122,44.6,5.3,76.8,21.1,2020,2020,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,TREE,cfc_elements,2020,TREE,TREE_004,TREE_004.basePlot.cfc,distributed,GoTbs+s430WpPcJf4td1TCLFFXN3hvV8XmsdOYEaDqw=,NA,1,1,0.197,25,0.12,0.484,1.287,0.15,0.065,152.3,31.5,0.5,12.2,15,2020,2020,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,TREE,cfc_elements,2020,TREE,TREE_005,TREE_005.basePlot.cfc,distributed,GoTbs+s430UR4oX1QLw2crKXesayjgS1k38xGRCTnLE=,NA,1,1,0.202,25,0.15,0.489,1.004,0.316,0.146,495.6,108.4,3.6,24.6,34.8,2020,2020,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,TREE,cfc_elements,2020,TREE,TREE_009,TREE_009.basePlot.cfc,distributed,GoTbs+s430Vd7GLeF+7MBewV8JVkOI/y45V5R9F96SE=,NA,1,1,0.195,25,0.138,0.898,0.374,0.09,0.129,201.9,30.5,3.6,69.1,25,2020,2020,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,TREE,cfc_elements,2020,TREE,TREE_009,TREE_009.basePlot.cfc,distributed,GoTbs+s430XpeurLGVaQKhesQtur7p2V+ei85CcjAxk=,NA,1,1,0.195,25,0.097,0.584,0.659,0.14,0.093,558.5,25.5,2.5,40.6,91.3,2020,2020,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,TREE,cfc_elements,2020,TREE,TREE_015,TREE_015.basePlot.cfc,distributed,GoTbs+s430WtyRSMVDc7fU37XfR4foWlDexrSaThKo0=,NA,1,1,0.203,25,0.157,0.627,1.55,0.349,0.155,240.8,32.4,4.8,79.6,194.5,2020,2020,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,TREE,cfc_elements,2020,TREE,TREE_017,TREE_017.basePlot.cfc,distributed,GoTbs+s430U5Ir8vDeULVcSsvnRor7ifFQUJKbGaVNo=,NA,1,1,0.199,25,0.128,0.532,0.939,0.134,0.096,988.3,31.4,4.9,33.4,18.9,2020,2020,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,TREE,cfc_elements,2020,TREE,TREE_018,TREE_018.basePlot.cfc,distributed,GoTbs+s430WXUK5FtvqS9FvMpVYSggSeODNNUw3r9no=,NA,1,1,0.2,25,0.161,0.699,0.244,0.113,0.093,397.5,30.7,4.2,18.4,45.7,2020,2020,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,TREE,cfc_elements,2020,TREE,TREE_019,TREE_019.basePlot.cfc,distributed,GoTbs+s430U3NlQAw2p46JwSVeVdCPpQeQje7tymI2o=,NA,1,1,0.205,25,0.129,0.496,0.876,0.081,0.09,787.1,23.7,2.8,14.1,79.5,2020,2020,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,TREE,cfc_elements,2020,TREE,TREE_019,TREE_019.basePlot.cfc,distributed,GoTbs+s430V9P7ZFdCkobnd6BQlUxY2/KEI665toZLk=,NA,1,1,0.198,25,0.166,0.613,0.459,0.14,0.119,661.3,34.6,5,20.1,31.9,2020,2020,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,TREE,cfc_elements,2020,TREE,TREE_019,TREE_019.basePlot.cfc,distributed,GoTbs+s430X8hqVD7qX45UDqcNe80VkJRUv0Hxz3p5Y=,NA,1,1,0.197,25,0.09,0.381,0.405,0.087,0.073,576.5,40.1,2.7,7.7,36.3,2020,2020,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,TREE,cfc_elements,2020,TREE,TREE_023,TREE_023.basePlot.cfc,distributed,GoTbs+s430UQRduynGhWUbRvtNWCUmgODE3zDobghzI=,NA,1,1,0.204,25,0.17,1.087,0.918,0.226,0.12,478.3,35,4.7,34.1,104.8,2020,2020,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
DP1.10026.001,TREE,cfc_elements,2020,TREE,TREE_023,TREE_023.basePlot.cfc,distributed,GoTbs+s430UVfFbRd7wbIz6xY99d0L2OIbMVE3UHDPI=,NA,1,1,0.2,25,0.288,0.64,0.707,0.235,0.117,391,32.9,5.4,38.6,33.1,2020,2020,number,gram,milliliter,percent,percent,percent,percent,percent,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,milligramsPerKilogram,NA,NA
