siteID,years_available,years_included,soil_moisture_mean_2018_2024,soil_moisture_mean_2018_2024_unit,soil_moisture_sd_across_years_2018_2024,soil_moisture_sd_across_years_2018_2024_unit,soil_moisture_min_2018_2024,soil_moisture_min_2018_2024_unit,soil_moisture_max_2018_2024,soil_moisture_max_2018_2024_unit,total_obs_2018_2024,total_obs_2018_2024_unit,first_date_2018_2024,first_date_2018_2024_unit,last_date_2018_2024,last_date_2018_2024_unit,source_dpID,source_table,source_variable
ABBY,7,2018;2019;2020;2021;2022;2023;2024,0.153256998,cubicCentimetersPerCubicCentimeter,0.052160969,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.6706,cubicCentimetersPerCubicCentimeter,1854262,count,1/1/18,datetime,12/31/24 23:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
BARR,7,2018;2019;2020;2021;2022;2023;2024,0.199207681,cubicCentimetersPerCubicCentimeter,0.050912074,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.8236,cubicCentimetersPerCubicCentimeter,118264,count,1/3/18 10:30,datetime,12/30/24 17:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
BART,7,2018;2019;2020;2021;2022;2023;2024,0.220826737,cubicCentimetersPerCubicCentimeter,0.023451852,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.9902,cubicCentimetersPerCubicCentimeter,1322286,count,1/1/18,datetime,12/31/24 23:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
BLAN,7,2018;2019;2020;2021;2022;2023;2024,0.213642958,cubicCentimetersPerCubicCentimeter,0.026107737,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.8122,cubicCentimetersPerCubicCentimeter,2145566,count,1/1/18,datetime,12/31/24 23:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
BONA,7,2018;2019;2020;2021;2022;2023;2024,0.117398288,cubicCentimetersPerCubicCentimeter,0.045151732,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.5417,cubicCentimetersPerCubicCentimeter,349518,count,1/1/18,datetime,12/31/24 22:00,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
CLBJ,7,2018;2019;2020;2021;2022;2023;2024,0.140842713,cubicCentimetersPerCubicCentimeter,0.034442719,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.8199,cubicCentimetersPerCubicCentimeter,2022758,count,1/1/18,datetime,12/31/24 23:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
CPER,7,2018;2019;2020;2021;2022;2023;2024,0.163461173,cubicCentimetersPerCubicCentimeter,0.01898003,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.4646,cubicCentimetersPerCubicCentimeter,2496626,count,1/1/18,datetime,12/31/24 23:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
DCFS,7,2018;2019;2020;2021;2022;2023;2024,0.114607603,cubicCentimetersPerCubicCentimeter,0.023097849,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.5487,cubicCentimetersPerCubicCentimeter,1893783,count,1/1/18,datetime,12/31/24 23:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
DEJU,7,2018;2019;2020;2021;2022;2023;2024,0.148904481,cubicCentimetersPerCubicCentimeter,0.030620545,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.4563,cubicCentimetersPerCubicCentimeter,683577,count,1/1/18 3:00,datetime,12/31/24 18:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
DELA,7,2018;2019;2020;2021;2022;2023;2024,0.201094428,cubicCentimetersPerCubicCentimeter,0.028725918,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.5589,cubicCentimetersPerCubicCentimeter,994274,count,1/1/18,datetime,12/31/24 23:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
DSNY,7,2018;2019;2020;2021;2022;2023;2024,0.229278316,cubicCentimetersPerCubicCentimeter,0.018531695,cubicCentimetersPerCubicCentimeter,0,cubicCentimetersPerCubicCentimeter,0.9203,cubicCentimetersPerCubicCentimeter,2251235,count,1/1/18,datetime,12/31/24 23:30,datetime,DP1.00094.001,SWS_30_minute,VSWCMean
