uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
d6b86891-1d33-4abe-a505-43d9dfdec36d,D16,ABBY,ABBY_062,ABBY_062.basePlot.bgc,2022-04-19T20:44:00Z,2022-04-19T20:44:00Z,ABBY_062-M-41-20220419,A00000292139,ABBY_062-M-41-20220419-SM,NEON.DOC.014048vO,M,2022-04-20T15:15:00Z,2022-04-25T15:35:00Z,2.27,12.25,8.24,0.672,0.598,OK,NA,0000-0001-9347-5328,NA,20251217T193715Z,RELEASE-2026,DP1.10086.001,ABBY,2022,sls_soilMoisture
93d16f18-f967-4697-a5a2-fcdfb6d719be,D16,ABBY,ABBY_062,ABBY_062.basePlot.bgc,2022-04-19T21:45:00Z,2022-04-19T21:45:00Z,ABBY_062-M-39-20220419,A00000292137,ABBY_062-M-39-20220419-SM,NEON.DOC.014048vO,M,2022-04-20T15:15:00Z,2022-04-25T15:35:00Z,2.28,12.35,8.75,0.556,0.643,OK,NA,0000-0001-9347-5328,NA,20251217T193715Z,RELEASE-2026,DP1.10086.001,ABBY,2022,sls_soilMoisture
e07935d1-ea4e-47d2-a583-3467b79d3c52,D16,ABBY,ABBY_062,ABBY_062.basePlot.bgc,2022-04-19T22:48:00Z,2022-04-19T22:48:00Z,ABBY_062-M-21-20220419,A00000292138,ABBY_062-M-21-20220419-SM,NEON.DOC.014048vO,M,2022-04-20T15:15:00Z,2022-04-25T15:35:00Z,2.26,12.22,8.72,0.542,0.649,OK,NA,0000-0001-9347-5328,NA,20251217T193715Z,RELEASE-2026,DP1.10086.001,ABBY,2022,sls_soilMoisture
4523df80-9557-4e48-a0a7-bfadfc233d00,D16,ABBY,ABBY_062,ABBY_062.basePlot.bgc,2022-04-19T20:44:00Z,2022-05-09T20:21:00Z,ABBY_062-M-41-20220509,A00000292451,ABBY_062-M-41-20220509-SM,NEON.DOC.014048vO,M,2022-05-10T15:31:00Z,2022-05-12T20:50:00Z,2.2,12.41,8.18,0.707,0.586,OK,NA,0000-0001-8432-494X,NA,20251217T193935Z,RELEASE-2026,DP1.10086.001,ABBY,2022,sls_soilMoisture
d20a3123-4868-415f-86b6-5048684e33bc,D16,ABBY,ABBY_062,ABBY_062.basePlot.bgc,2022-04-19T21:45:00Z,2022-05-09T20:43:00Z,ABBY_062-M-39-20220509,A00000292452,ABBY_062-M-39-20220509-SM,NEON.DOC.014048vO,M,2022-05-10T15:30:00Z,2022-05-12T20:49:00Z,2.22,12.24,8.87,0.507,0.664,OK,NA,0000-0002-6107-3313,NA,20251217T193935Z,RELEASE-2026,DP1.10086.001,ABBY,2022,sls_soilMoisture
386bc170-5f0e-4447-aa49-80637ba400cf,D16,ABBY,ABBY_062,ABBY_062.basePlot.bgc,2022-04-19T22:48:00Z,2022-05-09T21:11:00Z,ABBY_062-M-21-20220509,A00000292453,ABBY_062-M-21-20220509-SM,NEON.DOC.014048vO,M,2022-05-10T15:30:00Z,2022-05-12T20:50:00Z,2.18,12.18,8.67,0.541,0.649,OK,NA,0000-0002-6107-3313,NA,20251217T193935Z,RELEASE-2026,DP1.10086.001,ABBY,2022,sls_soilMoisture
50a9ea7e-24f8-4d7e-8593-9fa6cb75ff59,D16,ABBY,ABBY_062,ABBY_062.basePlot.bgc,2022-06-13T21:11:00Z,2022-06-13T21:11:00Z,ABBY_062-M-21-20220613,A00000293051,ABBY_062-M-21-20220613-SM,NEON.DOC.014048vO,M,2022-06-14T15:00:00Z,2022-06-16T15:33:00Z,2.31,12.07,8.82,0.499,0.667,OK,NA,0000-0002-9397-5936,NA,20251217T194050Z,RELEASE-2026,DP1.10086.001,ABBY,2022,sls_soilMoisture
3aa189cc-d915-47c6-8c30-6414a7e88892,D16,ABBY,ABBY_062,ABBY_062.basePlot.bgc,2022-06-13T21:56:00Z,2022-06-13T21:56:00Z,ABBY_062-M-39-20220613,A00000293050,ABBY_062-M-39-20220613-SM,NEON.DOC.014048vO,M,2022-06-14T15:00:00Z,2022-06-16T15:33:00Z,2.24,12.2,7.23,0.996,0.501,OK,NA,0000-0002-9397-5936,NA,20251217T194050Z,RELEASE-2026,DP1.10086.001,ABBY,2022,sls_soilMoisture
ba54f251-0daf-4b45-bcf7-8fc7f8b3e516,D16,ABBY,ABBY_062,ABBY_062.basePlot.bgc,2022-06-13T23:26:00Z,2022-06-13T23:26:00Z,ABBY_062-M-23-20220613,A00000292134,ABBY_062-M-23-20220613-SM,NEON.DOC.014048vO,M,2022-06-14T15:00:00Z,2022-06-16T15:32:00Z,2.19,12.23,8.22,0.665,0.601,OK,NA,0000-0002-9397-5936,NA,20251217T194050Z,RELEASE-2026,DP1.10086.001,ABBY,2022,sls_soilMoisture
ad5288f4-44fa-4651-9649-a20641b20881,D16,ABBY,ABBY_062,ABBY_062.basePlot.bgc,2022-06-13T21:11:00Z,2022-07-06T19:46:00Z,ABBY_062-M-21-20220706,A00000293076,ABBY_062-M-21-20220706-SM,NEON.DOC.014048vO,M,2022-07-07T15:16:00Z,2022-07-11T15:26:00Z,2.22,12.72,9.52,0.438,0.695,OK,NA,0000-0002-5339-8724,NA,20251217T193741Z,RELEASE-2026,DP1.10086.001,ABBY,2022,sls_soilMoisture
