uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
4b91b37d-0123-44be-84fd-8bdeb8189364,D19,BONA,BONA_013,BONA_013.basePlot.bgc,2019-08-28T20:23:00Z,2019-08-28T20:23:00Z,BONA_013-M-31-29.5-20190828,A00000100805,BONA_013-M-31-29.5-20190828-SM,NEON.DOC.014048vL,M,2019-08-29T18:29:00Z,2019-09-03T20:17:00Z,2.29,12.32,9.97,0.306,0.766,NA,NA,0000-0002-2868-1835,NA,20251217T193930Z,RELEASE-2026,DP1.10086.001,BONA,2019,sls_soilMoisture
7562e8d7-4aa8-4486-94bb-7d86ac89b38b,D19,BONA,BONA_013,BONA_013.basePlot.bgc,2019-08-28T20:23:00Z,2019-08-28T20:23:00Z,BONA_013-O-31-29.5-20190828,A00000103262,BONA_013-O-31-29.5-20190828-SM,NEON.DOC.014048vL,O,2019-08-29T18:29:00Z,2019-09-03T20:16:00Z,2.25,7.21,5.2,0.681,0.595,NA,NA,0000-0002-2868-1835,NA,20251217T193930Z,RELEASE-2026,DP1.10086.001,BONA,2019,sls_soilMoisture
2735913b-2269-49ac-8cf9-e34f41b5a9d2,D19,BONA,BONA_013,BONA_013.basePlot.bgc,2019-08-28T21:25:00Z,2019-08-28T21:25:00Z,BONA_013-O-19-30.5-20190828,A00000103264,BONA_013-O-19-30.5-20190828-SM,NEON.DOC.014048vL,O,2019-08-29T18:29:00Z,2019-09-03T20:14:00Z,2.31,7.37,4.7,1.117,0.472,NA,NA,0000-0002-2868-1835,NA,20251217T193930Z,RELEASE-2026,DP1.10086.001,BONA,2019,sls_soilMoisture
f408eb78-6a21-4787-a02b-8ee6ebc45960,D19,BONA,BONA_013,BONA_013.basePlot.bgc,2019-08-28T21:25:00Z,2019-08-28T21:25:00Z,BONA_013-M-19-30.5-20190828,A00000100804,BONA_013-M-19-30.5-20190828-SM,NEON.DOC.014048vL,M,2019-08-29T18:29:00Z,2019-09-03T20:15:00Z,2.27,12.27,9.92,0.307,0.765,NA,NA,0000-0002-2868-1835,NA,20251217T193930Z,RELEASE-2026,DP1.10086.001,BONA,2019,sls_soilMoisture
e3aace6d-a622-49ae-99c9-37f39404878b,D19,BONA,BONA_013,BONA_013.basePlot.bgc,2019-08-28T22:14:00Z,2019-08-28T22:14:00Z,BONA_013-O-11.5-2.5-20190828,A00000103263,BONA_013-O-11.5-2.5-20190828-SM,NEON.DOC.014048vL,O,2019-08-29T18:29:00Z,2019-09-03T20:15:00Z,2.29,7.33,5.2,0.732,0.577,NA,NA,0000-0002-2868-1835,NA,20251217T193930Z,RELEASE-2026,DP1.10086.001,BONA,2019,sls_soilMoisture
a4a33f3c-d5c6-4ee9-9280-e9918037137a,D19,BONA,BONA_013,BONA_013.basePlot.bgc,2019-08-28T22:14:00Z,2019-08-28T22:14:00Z,BONA_013-M-11.5-2.5-20190828,A00000100803,BONA_013-M-11.5-2.5-20190828-SM,NEON.DOC.014048vL,M,2019-08-29T18:29:00Z,2019-09-03T20:16:00Z,2.23,12.23,10.01,0.285,0.778,NA,NA,0000-0002-2868-1835,NA,20251217T193930Z,RELEASE-2026,DP1.10086.001,BONA,2019,sls_soilMoisture
a8412374-d80c-4899-a657-f764ee51fa9b,D19,BONA,BONA_013,BONA_013.basePlot.bgc,2019-08-28T20:23:00Z,2019-09-18T19:20:00Z,BONA_013-O-31-29.5-20190918,A00000101244,BONA_013-O-31-29.5-20190918-SM,NEON.DOC.014048vL,O,2019-09-19T21:30:00Z,2019-09-23T19:12:00Z,2.22,7.22,5.18,0.689,0.592,NA,NA,0000-0002-3132-1658,NA,20251217T194030Z,RELEASE-2026,DP1.10086.001,BONA,2019,sls_soilMoisture
b0a40d6c-e95e-4715-92cb-74d048822a46,D19,BONA,BONA_013,BONA_013.basePlot.bgc,2019-08-28T20:23:00Z,2019-09-18T19:20:00Z,BONA_013-M-31-29.5-20190918,A00000101248,BONA_013-M-31-29.5-20190918-SM,NEON.DOC.014048vL,M,2019-09-19T21:30:00Z,2019-09-23T19:11:00Z,2.31,12.32,9.97,0.307,0.765,NA,NA,0000-0002-3132-1658,NA,20251217T194030Z,RELEASE-2026,DP1.10086.001,BONA,2019,sls_soilMoisture
8dfd1eeb-a94d-45cc-9218-4f7e662ccd3d,D19,BONA,BONA_013,BONA_013.basePlot.bgc,2019-08-28T21:25:00Z,2019-09-18T19:07:00Z,BONA_013-O-19-30.5-20190918,A00000101245,BONA_013-O-19-30.5-20190918-SM,NEON.DOC.014048vL,O,2019-09-19T21:30:00Z,2019-09-23T19:16:00Z,2.3,7.31,5.09,0.796,0.557,NA,NA,0000-0002-3132-1658,NA,20251217T194030Z,RELEASE-2026,DP1.10086.001,BONA,2019,sls_soilMoisture
17e28fcc-28a6-4b85-8397-c82fc1537643,D19,BONA,BONA_013,BONA_013.basePlot.bgc,2019-08-28T21:25:00Z,2019-09-18T19:07:00Z,BONA_013-M-19-30.5-20190918,A00000101263,BONA_013-M-19-30.5-20190918-SM,NEON.DOC.014048vL,M,2019-09-19T21:30:00Z,2019-09-23T19:14:00Z,2.31,12.32,10,0.302,0.768,NA,NA,0000-0002-3132-1658,NA,20251217T194030Z,RELEASE-2026,DP1.10086.001,BONA,2019,sls_soilMoisture
e192cf04-d911-4aff-a8b6-2e74fffbac6a,D19,BONA,BONA_013,BONA_013.basePlot.bgc,2019-08-28T22:14:00Z,2019-09-18T18:57:00Z,BONA_013-M-11.5-2.5-20190918,A00000101262,BONA_013-M-11.5-2.5-20190918-SM,NEON.DOC.014048vL,M,2019-09-19T21:30:00Z,2019-09-23T19:13:00Z,2.29,12.26,9.45,0.392,0.718,NA,NA,0000-0002-3132-1658,NA,20251217T194030Z,RELEASE-2026,DP1.10086.001,BONA,2019,sls_soilMoisture
4a8663d6-d96c-486e-81a7-58864a37dac0,D19,BONA,BONA_013,BONA_013.basePlot.bgc,2019-08-28T22:14:00Z,2019-09-18T18:57:00Z,BONA_013-O-11.5-2.5-20190918,A00000101259,BONA_013-O-11.5-2.5-20190918-SM,NEON.DOC.014048vL,O,2019-09-19T21:30:00Z,2019-09-23T19:13:00Z,2.26,7.27,4.57,1.169,0.461,NA,NA,0000-0002-3132-1658,NA,20251217T194030Z,RELEASE-2026,DP1.10086.001,BONA,2019,sls_soilMoisture
