uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
7191f527-4888-4acf-be1b-9488a588715c,D11,CLBJ,CLBJ_006,CLBJ_006.basePlot.bgc,2024-10-23T20:22:00Z,2024-10-23T20:22:00Z,CLBJ_006-M-21-20241023,A00000422356,CLBJ_006-M-21-20241023-SM,NEON.DOC.014048vP,M,2024-10-24T16:20:00Z,2024-10-28T20:40:00Z,2.06,12.03,11.25,0.085,0.922,OK,NA,0009-0000-3406-7017,NA,20251217T193854Z,RELEASE-2026,DP1.10086.001,CLBJ,2024,sls_soilMoisture
7a9a477d-6316-42ff-936a-e9f8508582d7,D11,CLBJ,CLBJ_006,CLBJ_006.basePlot.bgc,2024-10-23T20:53:00Z,2024-10-23T20:53:00Z,CLBJ_006-M-23-20241023,A00000422325,CLBJ_006-M-23-20241023-SM,NEON.DOC.014048vP,M,2024-10-24T15:37:00Z,2024-10-28T20:40:00Z,2.1,12.13,11.52,0.065,0.939,OK,NA,0009-0008-7122-7356,NA,20251217T193854Z,RELEASE-2026,DP1.10086.001,CLBJ,2024,sls_soilMoisture
9b5ae2b9-f14f-48f7-b512-5bfb2061db92,D11,CLBJ,CLBJ_006,CLBJ_006.basePlot.bgc,2024-10-23T21:10:00Z,2024-10-23T21:10:00Z,CLBJ_006-M-39-20241023,A00000422341,CLBJ_006-M-39-20241023-SM,NEON.DOC.014048vP,M,2024-10-24T15:34:00Z,2024-10-28T20:40:00Z,2.14,11.77,11.15,0.069,0.936,OK,NA,0009-0003-7403-3606,NA,20251217T193854Z,RELEASE-2026,DP1.10086.001,CLBJ,2024,sls_soilMoisture
eddeeae7-aa3c-49f2-9085-1aff1bc6b981,D11,CLBJ,CLBJ_006,CLBJ_006.basePlot.bgc,2024-03-05T16:54:00Z,2024-03-05T16:54:00Z,CLBJ_006-M-23-20240305,A00000420529,CLBJ_006-M-23-20240305-SM,NEON.DOC.014048vP,M,2024-03-05T23:32:00Z,2024-03-11T14:20:00Z,2.01,10.08,9.01,0.153,0.867,OK,NA,0000-0002-4194-7642,NA,20251217T194055Z,RELEASE-2026,DP1.10086.001,CLBJ,2024,sls_soilMoisture
3e8e22c5-13f1-4df7-a510-f2c757d53ad5,D11,CLBJ,CLBJ_006,CLBJ_006.basePlot.bgc,2024-03-05T16:54:00Z,2024-03-21T16:39:00Z,CLBJ_006-M-23-20240321,A00000420936,CLBJ_006-M-23-20240321-SM,NEON.DOC.014048vP,M,2024-03-21T20:27:00Z,2024-03-25T15:55:00Z,2.19,12.13,10.98,0.131,0.884,OK,NA,0000-0002-0594-4276,NA,20251217T194055Z,RELEASE-2026,DP1.10086.001,CLBJ,2024,sls_soilMoisture
4f5f6250-574a-4ce0-8f6a-8c592e9c6906,D11,CLBJ,CLBJ_006,CLBJ_006.basePlot.bgc,2024-03-05T17:40:00Z,2024-03-05T17:40:00Z,CLBJ_006-M-21-20240305,A00000420528,CLBJ_006-M-21-20240305-SM,NEON.DOC.014048vP,M,2024-03-06T00:06:00Z,2024-03-11T14:45:00Z,2.05,12.27,9.55,0.363,0.734,OK,NA,0009-0004-8415-4994,NA,20251217T194055Z,RELEASE-2026,DP1.10086.001,CLBJ,2024,sls_soilMoisture
950ae8bc-abd2-4c27-88f1-1061adaf54a0,D11,CLBJ,CLBJ_006,CLBJ_006.basePlot.bgc,2024-03-05T17:40:00Z,2024-03-21T16:57:00Z,CLBJ_006-M-21-20240321,A00000420935,CLBJ_006-M-21-20240321-SM,NEON.DOC.014048vP,M,2024-03-21T20:54:00Z,2024-03-25T15:55:00Z,2.08,12.41,10.81,0.183,0.845,OK,NA,0009-0004-8415-4994,NA,20251217T194055Z,RELEASE-2026,DP1.10086.001,CLBJ,2024,sls_soilMoisture
49cb12c0-ff89-427c-8d3e-f0492e7c3f9f,D11,CLBJ,CLBJ_006,CLBJ_006.basePlot.bgc,2024-03-05T18:31:00Z,2024-03-05T18:31:00Z,CLBJ_006-M-39-20240305,A00000420530,CLBJ_006-M-39-20240305-SM,NEON.DOC.014048vP,M,2024-03-05T23:48:00Z,2024-03-11T14:44:00Z,2.15,11.75,10.58,0.139,0.878,OK,NA,0009-0004-8415-4994,NA,20251217T194055Z,RELEASE-2026,DP1.10086.001,CLBJ,2024,sls_soilMoisture
60dd4255-2004-46e2-802b-cf2d4a72befc,D11,CLBJ,CLBJ_006,CLBJ_006.basePlot.bgc,2024-03-05T18:31:00Z,2024-03-21T16:48:00Z,CLBJ_006-M-39-20240321,A00000420937,CLBJ_006-M-39-20240321-SM,NEON.DOC.014048vP,M,2024-03-21T19:51:00Z,2024-03-25T15:55:00Z,2.16,12.31,11.18,0.125,0.889,OK,NA,0009-0005-4617-5791,NA,20251217T194055Z,RELEASE-2026,DP1.10086.001,CLBJ,2024,sls_soilMoisture
844298f0-73ba-462b-bdd5-aeba947976ee,D11,CLBJ,CLBJ_006,CLBJ_006.basePlot.bgc,2024-10-23T20:22:00Z,2024-11-06T18:32:00Z,CLBJ_006-M-21-20241106,A00000422472,CLBJ_006-M-21-20241106-SM,NEON.DOC.014048vP,M,2024-11-06T22:30:00Z,2024-11-11T15:20:00Z,2.07,12.17,10.77,0.161,0.861,OK,NA,0009-0002-2566-9846,NA,20251217T193759Z,RELEASE-2026,DP1.10086.001,CLBJ,2024,sls_soilMoisture
9a3a5c02-340c-4c07-a392-01e7aea47ccb,D11,CLBJ,CLBJ_006,CLBJ_006.basePlot.bgc,2024-10-23T20:53:00Z,2024-11-06T18:23:00Z,CLBJ_006-M-23-20241106,A00000422488,CLBJ_006-M-23-20241106-SM,NEON.DOC.014048vP,M,2024-11-06T22:30:00Z,2024-11-11T15:20:00Z,2.13,12.14,10.52,0.193,0.838,OK,NA,0009-0002-2566-9846,NA,20251217T193759Z,RELEASE-2026,DP1.10086.001,CLBJ,2024,sls_soilMoisture
bf4d0299-47e8-4151-bf00-6bb9ecd732de,D11,CLBJ,CLBJ_006,CLBJ_006.basePlot.bgc,2024-10-23T21:10:00Z,2024-11-06T18:45:00Z,CLBJ_006-M-39-20241106,A00000422504,CLBJ_006-M-39-20241106-SM,NEON.DOC.014048vP,M,2024-11-06T22:30:00Z,2024-11-11T15:20:00Z,2.1,12.11,11.43,0.073,0.932,OK,NA,0009-0002-2566-9846,NA,20251217T193759Z,RELEASE-2026,DP1.10086.001,CLBJ,2024,sls_soilMoisture
30f794c0-c60f-4b41-8105-c05fff7cef46,D11,CLBJ,CLBJ_006,CLBJ_006.basePlot.bgc,2024-04-11T14:53:00Z,2024-04-11T14:53:00Z,CLBJ_006-M-39-20240411,A00000421027,CLBJ_006-M-39-20240411-SM,NEON.DOC.014048vP,M,2024-04-12T17:27:00Z,2024-04-16T18:17:00Z,2.13,12.27,10.784,0.172,0.853,OK,NA,0000-0003-2942-5873,NA,20251217T193723Z,RELEASE-2026,DP1.10086.001,CLBJ,2024,sls_soilMoisture
8f5f64f0-ca80-444b-b3fc-bf86cebb1e8f,D11,CLBJ,CLBJ_006,CLBJ_006.basePlot.bgc,2024-04-11T14:53:00Z,2024-04-22T16:49:00Z,CLBJ_006-M-39-20240422,A00000421217,CLBJ_006-M-39-20240422-SM,NEON.DOC.014048vP,M,2024-04-22T23:04:00Z,2024-04-29T14:13:00Z,2.07,12.33,10.85,0.169,0.856,OK,NA,0000-0003-2942-5873,NA,20251217T193723Z,RELEASE-2026,DP1.10086.001,CLBJ,2024,sls_soilMoisture
