uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
c30da5de-d60e-47f6-8be6-78cd809d13dd,D10,CPER,CPER_045,CPER_045.basePlot.bgc,2021-04-12T21:32:00Z,2021-04-12T21:32:00Z,CPER_045-M-23-8.5-20210412,A00000123238,CPER_045-M-23-8.5-20210412-SM,NEON.DOC.014048vN,M,2021-04-13T14:00:00Z,2021-04-19T14:42:00Z,2.08,12.2,11.37,0.089,0.918,NA,NA,0000-0002-5795-6850,NA,20251217T193946Z,RELEASE-2026,DP1.10086.001,CPER,2021,sls_soilMoisture
a3e33609-0c18-4b95-9b56-95ba1ba07ceb,D10,CPER,CPER_045,CPER_045.basePlot.bgc,2021-04-12T21:38:00Z,2021-04-12T21:38:00Z,CPER_045-M-33.5-29-20210412,A00000245446,CPER_045-M-33.5-29-20210412-SM,NEON.DOC.014048vN,M,2021-04-13T14:00:00Z,2021-04-19T14:33:00Z,2.15,11.99,11.09,0.101,0.909,NA,NA,0000-0002-5795-6850,NA,20251217T193946Z,RELEASE-2026,DP1.10086.001,CPER,2021,sls_soilMoisture
e6e9c011-2313-47b8-bc99-47f1bb7d7810,D10,CPER,CPER_045,CPER_045.basePlot.bgc,2021-04-12T21:52:00Z,2021-04-12T21:52:00Z,CPER_045-M-12-33.5-20210412,A00000245447,CPER_045-M-12-33.5-20210412-SM,NEON.DOC.014048vN,M,2021-04-13T14:00:00Z,2021-04-19T14:43:00Z,2.14,12.18,11.45,0.078,0.927,NA,NA,0000-0002-5795-6850,NA,20251217T193946Z,RELEASE-2026,DP1.10086.001,CPER,2021,sls_soilMoisture
1c68d125-1923-4720-a16a-c2a68cd7425d,D10,CPER,CPER_045,CPER_045.basePlot.bgc,2021-04-12T21:32:00Z,2021-05-04T21:31:00Z,CPER_045-M-23-8.5-20210504,A00000246690,CPER_045-M-23-8.5-20210504-SM,NEON.DOC.014048vN,M,2021-05-05T15:30:00Z,2021-05-10T15:50:00Z,2.12,12.3,11.44,0.092,0.916,NA,NA,0000-0002-5795-6850,NA,20251217T193702Z,RELEASE-2026,DP1.10086.001,CPER,2021,sls_soilMoisture
51e74965-b2c0-4911-8d44-762faf64ac5a,D10,CPER,CPER_045,CPER_045.basePlot.bgc,2021-04-12T21:38:00Z,2021-05-04T21:34:00Z,CPER_045-M-33.5-29-20210504,A00000246686,CPER_045-M-33.5-29-20210504-SM,NEON.DOC.014048vN,M,2021-05-05T15:30:00Z,2021-05-10T15:50:00Z,2.13,12.44,11.37,0.116,0.896,NA,NA,0000-0002-5795-6850,NA,20251217T193702Z,RELEASE-2026,DP1.10086.001,CPER,2021,sls_soilMoisture
b40527d2-6594-4d1c-9550-417c062ec074,D10,CPER,CPER_045,CPER_045.basePlot.bgc,2021-04-12T21:52:00Z,2021-05-04T21:36:00Z,CPER_045-M-12-33.5-20210504,A00000246687,CPER_045-M-12-33.5-20210504-SM,NEON.DOC.014048vN,M,2021-05-05T15:30:00Z,2021-05-10T15:50:00Z,2.58,12.72,11.86,0.093,0.915,NA,NA,0000-0002-5795-6850,NA,20251217T193702Z,RELEASE-2026,DP1.10086.001,CPER,2021,sls_soilMoisture
9ee31622-c76a-4d4c-abdc-b96191cc14e6,D10,CPER,CPER_045,CPER_045.basePlot.bgc,2021-06-28T20:15:00Z,2021-06-28T20:15:00Z,CPER_045-M-5-8-20210628,A00000245808,CPER_045-M-5-8-20210628-SM,NEON.DOC.014048vN,M,2021-06-29T15:00:00Z,2021-07-01T15:43:00Z,2.56,12.75,12.12,0.066,0.938,NA,NA,0000-0001-7662-5726,NA,20251217T193623Z,RELEASE-2026,DP1.10086.001,CPER,2021,sls_soilMoisture
6629ac00-b61a-46ba-a12b-be3f2d0ea99e,D10,CPER,CPER_045,CPER_045.basePlot.bgc,2021-06-28T20:34:00Z,2021-06-28T20:34:00Z,CPER_045-M-7.5-39-20210628,A00000245675,CPER_045-M-7.5-39-20210628-SM,NEON.DOC.014048vN,M,2021-06-29T15:00:00Z,2021-07-01T15:56:00Z,2.1,12.23,11.76,0.049,0.954,NA,NA,0000-0001-7662-5726,NA,20251217T193623Z,RELEASE-2026,DP1.10086.001,CPER,2021,sls_soilMoisture
ffeda7a9-ebd6-442a-b491-b65e763131e0,D10,CPER,CPER_045,CPER_045.basePlot.bgc,2021-06-28T20:54:00Z,2021-06-28T20:54:00Z,CPER_045-M-21.5-32-20210628,A00000245724,CPER_045-M-21.5-32-20210628-SM,NEON.DOC.014048vN,M,2021-06-29T15:00:00Z,2021-07-01T15:58:00Z,2.07,12.39,11.88,0.052,0.951,NA,NA,0000-0001-7662-5726,NA,20251217T193623Z,RELEASE-2026,DP1.10086.001,CPER,2021,sls_soilMoisture
b54b0204-0ed7-421c-8e18-a115a01676a8,D10,CPER,CPER_045,CPER_045.basePlot.bgc,2021-10-25T20:46:00Z,2021-10-25T20:46:00Z,CPER_045-M-4.5-26-20211025,A00000249632,CPER_045-M-4.5-26-20211025-SM,NEON.DOC.014048vN,M,2021-10-26T15:30:00Z,2021-10-28T15:50:00Z,2.14,12.14,11.81,0.034,0.967,NA,NA,0000-0002-9095-8110,NA,20251217T193722Z,RELEASE-2026,DP1.10086.001,CPER,2021,sls_soilMoisture
