uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,sampleID,sampleCode,cnSampleID,cnSampleCode,bgcArchiveID,bgcArchiveCode,bgcArchiveMass,toxicodendronPossible,sampleCondition,bgcRemarks,processedBy,bgcDataQF,publicationDate,release,dpID,site_download,year_download,source_table
d3d966a1-f530-400e-b19b-bc32132fa0e4,D09,DCFS,DCFS_007,DCFS_007.basePlot.bgc,2019-07-22T17:23:00Z,2019-07-22T17:23:00Z,NEON.DOC.014048vL,M,2019-07-23T15:30:00Z,2019-07-30T21:00:00Z,DCFS_007-M-7.5-19.5-20190722,A00000084638,DCFS_007-M-7.5-19.5-20190722-CN,A00000085950,DCFS_007-M-7.5-19.5-20190722-BA,A00000087601,NA,NA,OK,NA,0000-0002-4796-606X,NA,20251217T194001Z,RELEASE-2026,DP1.10086.001,DCFS,2019,sls_bgcSubsampling
044f3a70-051b-4b4c-966b-b5f8584be22d,D09,DCFS,DCFS_007,DCFS_007.basePlot.bgc,2019-07-22T17:45:00Z,2019-07-22T17:45:00Z,NEON.DOC.014048vL,M,2019-07-23T15:30:00Z,2019-07-30T21:00:00Z,DCFS_007-M-32.5-4.5-20190722,A00000084655,DCFS_007-M-32.5-4.5-20190722-CN,A00000085949,DCFS_007-M-32.5-4.5-20190722-BA,A00000087635,NA,NA,OK,NA,0000-0002-4796-606X,NA,20251217T194001Z,RELEASE-2026,DP1.10086.001,DCFS,2019,sls_bgcSubsampling
8cf7bf95-1f61-49c2-8f81-21d84a17b1aa,D09,DCFS,DCFS_007,DCFS_007.basePlot.bgc,2019-07-22T18:06:00Z,2019-07-22T18:06:00Z,NEON.DOC.014048vL,M,2019-07-23T15:30:00Z,2019-07-30T21:00:00Z,DCFS_007-M-33-31-20190722,A00000084672,DCFS_007-M-33-31-20190722-CN,A00000085966,DCFS_007-M-33-31-20190722-BA,A00000087618,NA,NA,OK,NA,0000-0002-4796-606X,NA,20251217T194001Z,RELEASE-2026,DP1.10086.001,DCFS,2019,sls_bgcSubsampling
fa6e8035-5076-4899-ad88-27f58502f52b,D09,DCFS,DCFS_008,DCFS_008.basePlot.bgc,2019-07-22T18:50:00Z,2019-07-22T18:50:00Z,NEON.DOC.014048vL,M,2019-07-23T15:30:00Z,2019-07-30T21:00:00Z,DCFS_008-M-1-18-20190722,A00000084587,DCFS_008-M-1-18-20190722-CN,A00000085983,DCFS_008-M-1-18-20190722-BA,A00000087553,NA,NA,OK,NA,0000-0002-4796-606X,NA,20251217T194001Z,RELEASE-2026,DP1.10086.001,DCFS,2019,sls_bgcSubsampling
f5f9e23d-ee8c-4aaf-b01a-aa1575897ce1,D09,DCFS,DCFS_008,DCFS_008.basePlot.bgc,2019-07-22T19:06:00Z,2019-07-22T19:06:00Z,NEON.DOC.014048vL,M,2019-07-23T15:30:00Z,2019-07-30T21:00:00Z,DCFS_008-M-24.5-5-20190722,A00000084621,DCFS_008-M-24.5-5-20190722-CN,A00000085931,DCFS_008-M-24.5-5-20190722-BA,A00000087554,NA,NA,OK,NA,0000-0002-4796-606X,NA,20251217T194001Z,RELEASE-2026,DP1.10086.001,DCFS,2019,sls_bgcSubsampling
39a65be2-6ea7-41ee-920d-8f2ce67534cd,D09,DCFS,DCFS_008,DCFS_008.basePlot.bgc,2019-07-22T19:25:00Z,2019-07-22T19:25:00Z,NEON.DOC.014048vL,M,2019-07-23T15:30:00Z,2019-07-30T21:00:00Z,DCFS_008-M-30.5-20.5-20190722,A00000084604,DCFS_008-M-30.5-20.5-20190722-CN,A00000085930,DCFS_008-M-30.5-20.5-20190722-BA,A00000087555,NA,NA,OK,NA,0000-0002-4796-606X,NA,20251217T194001Z,RELEASE-2026,DP1.10086.001,DCFS,2019,sls_bgcSubsampling
917a3bea-21b6-459e-a7a6-8b28a9185b74,D09,DCFS,DCFS_065,DCFS_065.basePlot.bgc,2019-07-24T13:44:00Z,2019-07-24T13:44:00Z,NEON.DOC.014048vL,M,2019-07-25T17:30:00Z,2019-07-30T21:00:00Z,DCFS_065-M-5.5-17.5-20190724,A00000084687,DCFS_065-M-5.5-17.5-20190724-CN,A00000085947,DCFS_065-M-5.5-17.5-20190724-BA,A00000087559,NA,NA,OK,NA,0000-0002-4796-606X,NA,20251217T194001Z,RELEASE-2026,DP1.10086.001,DCFS,2019,sls_bgcSubsampling
1d108864-fe12-4534-8539-be7506d7db17,D09,DCFS,DCFS_065,DCFS_065.basePlot.bgc,2019-07-24T14:00:00Z,2019-07-24T14:00:00Z,NEON.DOC.014048vL,M,2019-07-25T17:30:00Z,2019-07-30T21:30:00Z,DCFS_065-M-23-35-20190724,A00000084670,DCFS_065-M-23-35-20190724-CN,A00000086017,DCFS_065-M-23-35-20190724-BA,A00000087560,NA,NA,OK,NA,0000-0002-4796-606X,NA,20251217T194001Z,RELEASE-2026,DP1.10086.001,DCFS,2019,sls_bgcSubsampling
17f61f13-6dc0-4efc-9c83-fade6cf851ec,D09,DCFS,DCFS_065,DCFS_065.basePlot.bgc,2019-07-24T14:12:00Z,2019-07-24T14:12:00Z,NEON.DOC.014048vL,M,2019-07-25T17:30:00Z,2019-07-30T21:30:00Z,DCFS_065-M-31-10-20190724,A00000084653,DCFS_065-M-31-10-20190724-CN,A00000086029,DCFS_065-M-31-10-20190724-BA,A00000087558,NA,NA,OK,NA,0000-0002-4796-606X,NA,20251217T194001Z,RELEASE-2026,DP1.10086.001,DCFS,2019,sls_bgcSubsampling
8492f627-6bc1-43a1-a069-c984e8cd9495,D09,DCFS,DCFS_062,DCFS_062.basePlot.bgc,2019-07-24T15:10:00Z,2019-07-24T15:10:00Z,NEON.DOC.014048vL,M,2019-07-25T17:30:00Z,2019-07-30T21:30:00Z,DCFS_062-M-3-10.5-20190724,A00000084654,DCFS_062-M-3-10.5-20190724-CN,A00000085953,DCFS_062-M-3-10.5-20190724-BA,A00000087556,NA,NA,OK,NA,0000-0002-4796-606X,NA,20251217T194001Z,RELEASE-2026,DP1.10086.001,DCFS,2019,sls_bgcSubsampling
3e858b51-1ae0-4327-bc0c-67e788ad59ad,D09,DCFS,DCFS_062,DCFS_062.basePlot.bgc,2019-07-24T15:38:00Z,2019-07-24T15:38:00Z,NEON.DOC.014048vL,M,2019-07-25T17:30:00Z,2019-07-30T21:30:00Z,DCFS_062-M-30-25-20190724,A00000084620,DCFS_062-M-30-25-20190724-CN,A00000086046,DCFS_062-M-30-25-20190724-BA,A00000087557,NA,NA,OK,NA,0000-0002-4796-606X,NA,20251217T194001Z,RELEASE-2026,DP1.10086.001,DCFS,2019,sls_bgcSubsampling
