uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
4a4353ec-7532-46ac-a009-2561f7a0e379,D03,DSNY,DSNY_006,DSNY_006.basePlot.bgc,2023-03-15T15:06:00Z,2023-03-15T15:06:00Z,DSNY_006-M-41-20230315,A00000176777,DSNY_006-M-41-20230315-SM,NEON.DOC.014048vO,M,2023-03-16T16:00:00Z,2023-03-20T14:22:00Z,1.77,11.72,11.28,0.046,0.956,OK,NA,0000-0002-5948-2855,NA,20251217T194004Z,RELEASE-2026,DP1.10086.001,DSNY,2023,sls_soilMoisture
c7bc6540-c9d3-43dc-8354-63d62706db81,D03,DSNY,DSNY_006,DSNY_006.basePlot.bgc,2023-03-15T15:48:00Z,2023-03-15T15:48:00Z,DSNY_006-M-23-20230315,A00000176763,DSNY_006-M-23-20230315-SM,NEON.DOC.014048vO,M,2023-03-16T16:00:00Z,2023-03-20T14:22:00Z,1.7,11.74,11.21,0.056,0.947,OK,NA,0000-0002-5948-2855,NA,20251217T194004Z,RELEASE-2026,DP1.10086.001,DSNY,2023,sls_soilMoisture
b6158a3e-585a-4663-bc3f-9685162485e4,D03,DSNY,DSNY_006,DSNY_006.basePlot.bgc,2023-03-15T16:22:00Z,2023-03-15T16:22:00Z,DSNY_006-M-21-20230315,A00000176792,DSNY_006-M-21-20230315-SM,NEON.DOC.014048vO,M,2023-03-16T16:00:00Z,2023-03-20T14:22:00Z,1.8,11.93,11.37,0.059,0.945,OK,NA,0000-0002-5948-2855,NA,20251217T194004Z,RELEASE-2026,DP1.10086.001,DSNY,2023,sls_soilMoisture
281c7549-184a-4920-9ba2-30c14a7cdbbf,D03,DSNY,DSNY_006,DSNY_006.basePlot.bgc,2023-03-15T15:06:00Z,2023-04-04T11:48:00Z,DSNY_006-M-41-20230404,A00000177261,DSNY_006-M-41-20230404-SM,NEON.DOC.014048vO,M,2023-04-05T17:00:00Z,2023-04-13T12:09:00Z,1.77,12.05,11.62,0.044,0.958,OK,NA,0009-0003-3959-3034,NA,20251217T193541Z,RELEASE-2026,DP1.10086.001,DSNY,2023,sls_soilMoisture
4a5876d1-0acd-4c01-ad03-9c26286263f4,D03,DSNY,DSNY_006,DSNY_006.basePlot.bgc,2023-03-15T15:48:00Z,2023-04-04T11:54:00Z,DSNY_006-M-23-20230404,A00000177182,DSNY_006-M-23-20230404-SM,NEON.DOC.014048vO,M,2023-04-05T17:00:00Z,2023-04-13T12:09:00Z,1.78,11.57,11.07,0.054,0.949,OK,NA,0009-0003-3959-3034,NA,20251217T193541Z,RELEASE-2026,DP1.10086.001,DSNY,2023,sls_soilMoisture
64426f86-de70-4ca3-bfe5-2ab2889e3297,D03,DSNY,DSNY_006,DSNY_006.basePlot.bgc,2023-03-15T16:22:00Z,2023-04-04T12:00:00Z,DSNY_006-M-21-20230404,A00000177198,DSNY_006-M-21-20230404-SM,NEON.DOC.014048vO,M,2023-04-05T17:00:00Z,2023-04-13T12:09:00Z,1.73,11.52,10.99,0.057,0.946,OK,NA,0009-0003-3959-3034,NA,20251217T193541Z,RELEASE-2026,DP1.10086.001,DSNY,2023,sls_soilMoisture
76729df2-3628-48ab-b7d0-0f9b6d933148,D03,DSNY,DSNY_006,DSNY_006.basePlot.bgc,2023-09-12T15:59:00Z,2023-09-12T15:59:00Z,DSNY_006-M-41-20230912,A00000176953,DSNY_006-M-41-20230912-SM,NEON.DOC.014048vO,M,2023-09-13T15:05:00Z,2023-09-18T12:50:00Z,1.81,11.76,11.1,0.071,0.934,OK,NA,0009-0004-1389-5357,NA,20251217T193931Z,RELEASE-2026,DP1.10086.001,DSNY,2023,sls_soilMoisture
3298844a-2a9c-4648-b295-88fa997446d0,D03,DSNY,DSNY_006,DSNY_006.basePlot.bgc,2023-09-12T15:59:00Z,2023-09-25T18:43:00Z,DSNY_006-M-41-20230925,A00000173616,DSNY_006-M-41-20230925-SM,NEON.DOC.014048vO,M,2023-09-26T17:20:00Z,2023-10-02T20:19:00Z,1.8,11.97,11.322,0.068,0.936,OK,NA,0000-0001-6508-1786,NA,20251217T193931Z,RELEASE-2026,DP1.10086.001,DSNY,2023,sls_soilMoisture
8f9b3ee3-57e6-44b2-9e71-435a43de508e,D03,DSNY,DSNY_006,DSNY_006.basePlot.bgc,2023-09-12T16:24:00Z,2023-09-12T16:24:00Z,DSNY_006-M-23-20230912,A00000176954,DSNY_006-M-23-20230912-SM,NEON.DOC.014048vO,M,2023-09-13T15:05:00Z,2023-09-18T12:50:00Z,1.81,11.88,11.25,0.067,0.937,OK,NA,0009-0004-1389-5357,NA,20251217T193931Z,RELEASE-2026,DP1.10086.001,DSNY,2023,sls_soilMoisture
79e4bd32-0066-4fde-bdcc-9e6e47b0fec1,D03,DSNY,DSNY_006,DSNY_006.basePlot.bgc,2023-09-12T16:24:00Z,2023-09-25T18:48:00Z,DSNY_006-M-23-20230925,A00000173617,DSNY_006-M-23-20230925-SM,NEON.DOC.014048vO,M,2023-09-26T17:20:00Z,2023-10-02T20:19:00Z,1.78,11.99,11.398,0.062,0.942,OK,NA,0000-0001-6508-1786,NA,20251217T193931Z,RELEASE-2026,DP1.10086.001,DSNY,2023,sls_soilMoisture
