uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,processedDate,sampleID,sampleCode,pHSampleID,samplingProtocolVersion,horizon,soilInWaterpH,soilInCaClpH,pHSoilInWaterMass,pHWaterVol,waterpHRatio,pHSoilInCaClMass,pHCaClVol,caclpHRatio,pHRemarks,pHMeasuredBy,pHDataQF,publicationDate,release,dpID,site_download,year_download,source_table
a4da5d2c-483e-4a3a-9ce0-947ddd7c25a4,D01,HARV,HARV_035,HARV_035.basePlot.bgc,2018-04-19T12:13:00Z,2018-04-19T12:13:00Z,2018-05-16,HARV_035-O-0.5-36.5-20180419,A00000001272,HARV_035-O-0.5-36.5-20180419-PH,NEON.DOC.014048vK,O,3.37,2.73,2.6,20,7.8,2.5,20,7.9,NA,hbartholomaus@battelleecology.org,NA,20251217T194027Z,RELEASE-2026,DP1.10086.001,HARV,2018,sls_soilpH
2a060e44-4ecf-4db7-a253-48125f5b4e56,D01,HARV,HARV_035,HARV_035.basePlot.bgc,2018-04-19T12:17:00Z,2018-04-19T12:17:00Z,2018-05-16,HARV_035-M-0.5-36.5-20180419,A00000001255,HARV_035-M-0.5-36.5-20180419-PH,NEON.DOC.014048vK,M,4.76,4.31,10,20,2,10,20,2,NA,rcurtis@battelleecology.org,NA,20251217T194027Z,RELEASE-2026,DP1.10086.001,HARV,2018,sls_soilpH
17dcef62-e4f3-4983-93e2-61c9d91abe64,D01,HARV,HARV_035,HARV_035.basePlot.bgc,2018-04-19T12:43:00Z,2018-04-19T12:43:00Z,2018-05-16,HARV_035-M-4.5-5-20180419,A00000001271,HARV_035-M-4.5-5-20180419-PH,NEON.DOC.014048vF,M,4.86,4.04,10,20,2,10,20,2,NA,rcurtis@battelleecology.org,NA,20251217T194027Z,RELEASE-2026,DP1.10086.001,HARV,2018,sls_soilpH
840952e2-633f-4e97-a557-db9a43f82351,D01,HARV,HARV_035,HARV_035.basePlot.bgc,2018-04-19T12:44:00Z,2018-04-19T12:44:00Z,2018-05-16,HARV_035-O-4.5-5-20180419,A00000001257,HARV_035-O-4.5-5-20180419-PH,NEON.DOC.014048vF,O,4.08,3.05,2.5,20,8,2.6,20,7.8,NA,rcurtis@battelleecology.org,NA,20251217T194027Z,RELEASE-2026,DP1.10086.001,HARV,2018,sls_soilpH
517f350c-43a5-4c0f-ae97-a2c145e54606,D01,HARV,HARV_035,HARV_035.basePlot.bgc,2018-04-19T13:16:00Z,2018-04-19T13:16:00Z,2018-05-16,HARV_035-O-25.5-9-20180419,A00000001256,HARV_035-O-25.5-9-20180419-PH,NEON.DOC.014048vK,O,3.22,2.55,2.4,20,8.2,5.6,20,3.6,NA,rcurtis@battelleecology.org,NA,20251217T194027Z,RELEASE-2026,DP1.10086.001,HARV,2018,sls_soilpH
8303c7e5-01a3-49a2-a073-05a862938264,D01,HARV,HARV_035,HARV_035.basePlot.bgc,2018-04-19T13:28:00Z,2018-04-19T13:28:00Z,2018-05-16,HARV_035-M-25.5-9-20180419,A00000001254,HARV_035-M-25.5-9-20180419-PH,NEON.DOC.014048vF,M,4.24,3.48,10,20,2,10,20,2,NA,rcurtis@battelleecology.org,NA,20251217T194027Z,RELEASE-2026,DP1.10086.001,HARV,2018,sls_soilpH
cbfdc1a0-a9e9-475f-bd70-03171defb174,D01,HARV,HARV_035,HARV_035.basePlot.bgc,2018-07-09T17:45:00Z,2018-07-09T17:45:00Z,2018-08-07,HARV_035-O-21-4-20180709,A00000001075,HARV_035-O-21-4-20180709-PH,NEON.DOC.014048vK,O,3.97,3.1,2.5,20,7.9,2.6,20,7.8,NA,cgoranson@battelleecology.org,NA,20251217T193331Z,RELEASE-2026,DP1.10086.001,HARV,2018,sls_soilpH
20dbb8ad-aed1-4155-a845-195d99049e70,D01,HARV,HARV_035,HARV_035.basePlot.bgc,2018-07-09T18:04:00Z,2018-07-09T18:04:00Z,2018-08-15,HARV_035-M-21-4-20180709,A00000001080,HARV_035-M-21-4-20180709-PH,NEON.DOC.014048vK,M,4.56,3.75,10,20,2,10,20,2,NA,jlerner@battelleecology.org,NA,20251217T193331Z,RELEASE-2026,DP1.10086.001,HARV,2018,sls_soilpH
27c56239-9a8e-4111-ae75-2d247cdec5fb,D01,HARV,HARV_035,HARV_035.basePlot.bgc,2018-07-09T18:32:00Z,2018-07-09T18:32:00Z,2018-08-07,HARV_035-O-8-24.5-20180709,A00000001076,HARV_035-O-8-24.5-20180709-PH,NEON.DOC.014048vK,O,3.42,2.62,2.6,20,7.8,2.6,20,7.8,NA,cgoranson@battelleecology.org,NA,20251217T193331Z,RELEASE-2026,DP1.10086.001,HARV,2018,sls_soilpH
ed1e800f-14bb-4491-9df9-58eb296351a5,D01,HARV,HARV_035,HARV_035.basePlot.bgc,2018-07-09T18:56:00Z,2018-07-09T18:56:00Z,2018-08-07,HARV_035-M-8-24.5-20180709,A00000001078,HARV_035-M-8-24.5-20180709-PH,NEON.DOC.014048vK,M,4.23,3.42,10.1,20,2,10.1,20,2,NA,cgoranson@battelleecology.org,NA,20251217T193331Z,RELEASE-2026,DP1.10086.001,HARV,2018,sls_soilpH
