uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
0343f9a6-ff63-484e-a7ef-b0fe1332f107,D03,JERC,JERC_049,JERC_049.basePlot.bgc,2022-03-14T19:11:00Z,2022-03-14T19:11:00Z,JERC_049-M-41-20220314,A00000173441,JERC_049-M-41-20220314-SM,NEON.DOC.014048vO,M,2022-03-16T18:15:00Z,2022-03-21T11:20:00Z,1.78,11.82,11.1,0.077,0.928,OK,NA,0000-0003-0743-8788,NA,20251217T194005Z,RELEASE-2026,DP1.10086.001,JERC,2022,sls_soilMoisture
a8a5d74e-3a8c-470f-b000-f492b35407de,D03,JERC,JERC_049,JERC_049.basePlot.bgc,2022-03-14T19:23:00Z,2022-03-14T19:23:00Z,JERC_049-M-23-20220314,A00000173457,JERC_049-M-23-20220314-SM,NEON.DOC.014048vO,M,2022-03-16T18:15:00Z,2022-03-21T11:20:00Z,1.95,11.98,11.3,0.073,0.932,OK,NA,0000-0003-0743-8788,NA,20251217T194005Z,RELEASE-2026,DP1.10086.001,JERC,2022,sls_soilMoisture
cb31eb73-0538-44f8-9993-7b893a5b297c,D03,JERC,JERC_049,JERC_049.basePlot.bgc,2022-03-14T19:39:00Z,2022-03-14T19:39:00Z,JERC_049-M-21-20220314,A00000173473,JERC_049-M-21-20220314-SM,NEON.DOC.014048vO,M,2022-03-16T18:15:00Z,2022-03-21T11:20:00Z,1.77,11.77,11.14,0.067,0.937,OK,NA,0000-0003-0743-8788,NA,20251217T194005Z,RELEASE-2026,DP1.10086.001,JERC,2022,sls_soilMoisture
9825a7fc-0f54-4efa-bf19-2f38c38833e3,D03,JERC,JERC_048,JERC_048.basePlot.bgc,2022-03-14T20:27:00Z,2022-03-14T20:27:00Z,JERC_048-M-23-20220314,A00000173488,JERC_048-M-23-20220314-SM,NEON.DOC.014048vO,M,2022-03-16T18:15:00Z,2022-03-21T11:20:00Z,1.76,11.76,10.96,0.087,0.92,OK,NA,0000-0003-0743-8788,NA,20251217T194005Z,RELEASE-2026,DP1.10086.001,JERC,2022,sls_soilMoisture
b543676c-0f50-4ab2-aeef-c1f046e3ade3,D03,JERC,JERC_004,JERC_004.basePlot.bgc,2022-03-14T20:33:00Z,2022-03-14T20:33:00Z,JERC_004-M-21-20220314,A00000173486,JERC_004-M-21-20220314-SM,NEON.DOC.014048vO,M,2022-03-16T18:45:00Z,2022-03-21T11:20:00Z,1.69,11.71,11.05,0.071,0.934,OK,NA,0000-0003-0743-8788,NA,20251217T194005Z,RELEASE-2026,DP1.10086.001,JERC,2022,sls_soilMoisture
d82638e2-5414-4eaa-a6f7-41fcd2e68931,D03,JERC,JERC_048,JERC_048.basePlot.bgc,2022-03-14T20:39:00Z,2022-03-14T20:39:00Z,JERC_048-M-41-20220314,A00000173520,JERC_048-M-41-20220314-SM,NEON.DOC.014048vO,M,2022-03-16T18:15:00Z,2022-03-21T11:20:00Z,1.78,11.84,11.11,0.078,0.927,OK,NA,0000-0003-0743-8788,NA,20251217T194005Z,RELEASE-2026,DP1.10086.001,JERC,2022,sls_soilMoisture
7ca1cb7e-0e8f-4c17-9533-723199740a86,D03,JERC,JERC_004,JERC_004.basePlot.bgc,2022-03-14T20:48:00Z,2022-03-14T20:48:00Z,JERC_004-M-39-20220314,A00000173518,JERC_004-M-39-20220314-SM,NEON.DOC.014048vO,M,2022-03-16T18:45:00Z,2022-03-21T11:20:00Z,1.66,11.7,11.02,0.073,0.932,OK,NA,0000-0003-0743-8788,NA,20251217T194005Z,RELEASE-2026,DP1.10086.001,JERC,2022,sls_soilMoisture
d715b718-39ef-4486-bc84-1b4f21558b03,D03,JERC,JERC_048,JERC_048.basePlot.bgc,2022-03-14T20:49:00Z,2022-03-14T20:49:00Z,JERC_048-M-21-20220314,A00000173504,JERC_048-M-21-20220314-SM,NEON.DOC.014048vO,M,2022-03-16T18:15:00Z,2022-03-21T11:20:00Z,1.7,11.74,10.89,0.092,0.915,OK,NA,0000-0003-0743-8788,NA,20251217T194005Z,RELEASE-2026,DP1.10086.001,JERC,2022,sls_soilMoisture
753ad06d-18af-4f38-8187-1a066a39b92e,D03,JERC,JERC_002,JERC_002.basePlot.bgc,2022-03-15T12:54:00Z,2022-03-15T12:54:00Z,JERC_002-M-21-20220315,A00000173517,JERC_002-M-21-20220315-SM,NEON.DOC.014048vO,M,2022-03-16T18:15:00Z,2022-03-21T11:20:00Z,1.79,11.8,10.9,0.099,0.91,OK,NA,0000-0003-0743-8788,NA,20251217T194005Z,RELEASE-2026,DP1.10086.001,JERC,2022,sls_soilMoisture
d41baf22-5b3e-495d-b4d0-4c3fb6f2555f,D03,JERC,JERC_002,JERC_002.basePlot.bgc,2022-03-15T13:08:00Z,2022-03-15T13:08:00Z,JERC_002-M-39-20220315,A00000173485,JERC_002-M-39-20220315-SM,NEON.DOC.014048vO,M,2022-03-16T18:15:00Z,2022-03-21T11:20:00Z,1.78,11.78,10.91,0.095,0.913,OK,NA,0000-0003-0743-8788,NA,20251217T194005Z,RELEASE-2026,DP1.10086.001,JERC,2022,sls_soilMoisture
