uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
b51df817-3e1d-4696-bd42-3d74ba7804c0,D03,JERC,JERC_004,JERC_004.basePlot.bgc,2024-03-19T13:33:00Z,2024-03-19T13:33:00Z,JERC_004-M-21-20240319,A00000180497,JERC_004-M-21-20240319-SM,NEON.DOC.014048vP,M,2024-03-21T18:50:00Z,2024-03-25T13:05:00Z,1.77,11.98,11.1,0.094,0.914,used frozen soil,No oven access at away site,0009-0001-7601-8771,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,JERC,2024,sls_soilMoisture
eb5d95ed-a6d5-481d-a98f-68b3590cf158,D03,JERC,JERC_004,JERC_004.basePlot.bgc,2024-03-19T13:56:00Z,2024-03-19T13:56:00Z,JERC_004-M-23-20240319,A00000180524,JERC_004-M-23-20240319-SM,NEON.DOC.014048vP,M,2024-03-21T18:50:00Z,2024-03-25T13:05:00Z,1.77,11.62,10.84,0.086,0.921,used frozen soil,No oven access at away site,0009-0001-7601-8771,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,JERC,2024,sls_soilMoisture
356be1f7-21bd-4f92-bf41-ae98bfc55697,D03,JERC,JERC_004,JERC_004.basePlot.bgc,2024-03-19T14:21:00Z,2024-03-19T14:21:00Z,JERC_004-M-41-20240319,A00000180523,JERC_004-M-41-20240319-SM,NEON.DOC.014048vP,M,2024-03-21T18:50:00Z,2024-03-25T13:05:00Z,1.7,12.1,11.29,0.084,0.922,used frozen soil,No oven access at away site,0009-0001-7601-8771,NA,20251217T193913Z,RELEASE-2026,DP1.10086.001,JERC,2024,sls_soilMoisture
acc06a17-4e1e-4692-822f-3eb64032d2a0,D03,JERC,JERC_004,JERC_004.basePlot.bgc,2024-03-19T13:33:00Z,2024-04-09T11:54:00Z,JERC_004-M-21-20240409,A00000179795,JERC_004-M-21-20240409-SM,NEON.DOC.014048vP,M,2024-04-11T18:30:00Z,2024-04-25T13:55:00Z,2.35,12.62,11.71,0.097,0.911,used frozen soil,NA,0009-0005-2996-4772,NA,20251217T194009Z,RELEASE-2026,DP1.10086.001,JERC,2024,sls_soilMoisture
65b8f6ff-5e42-4428-81ed-ccac2a97d94c,D03,JERC,JERC_004,JERC_004.basePlot.bgc,2024-03-19T13:56:00Z,2024-04-09T11:41:00Z,JERC_004-M-23-20240409,A00000179796,JERC_004-M-23-20240409-SM,NEON.DOC.014048vP,M,2024-04-11T18:30:00Z,2024-04-25T13:55:00Z,1.69,12.11,11.47,0.065,0.939,used frozen soil,NA,0009-0005-2996-4772,NA,20251217T194009Z,RELEASE-2026,DP1.10086.001,JERC,2024,sls_soilMoisture
27a5b07c-5000-4a7a-80c6-f97f1209ad18,D03,JERC,JERC_004,JERC_004.basePlot.bgc,2024-03-19T14:21:00Z,2024-04-09T11:30:00Z,JERC_004-M-41-20240409,A00000179797,JERC_004-M-41-20240409-SM,NEON.DOC.014048vP,M,2024-04-11T18:30:00Z,2024-04-25T13:55:00Z,1.7,12.18,11.46,0.074,0.931,used frozen soil,NA,0009-0005-2996-4772,NA,20251217T194009Z,RELEASE-2026,DP1.10086.001,JERC,2024,sls_soilMoisture
d7bb481d-c89e-4c74-b735-508ef61c513d,D03,JERC,JERC_004,JERC_004.basePlot.bgc,2024-07-16T14:49:00Z,2024-07-16T14:49:00Z,JERC_004-M-39-20240716,A00000182181,JERC_004-M-39-20240716-SM,NEON.DOC.014048vP,M,2024-07-18T18:45:00Z,2024-07-22T13:06:00Z,1.97,12.04,11.4,0.068,0.936,used frozen soil,NA,0000-0001-6508-1786,NA,20251217T194034Z,RELEASE-2026,DP1.10086.001,JERC,2024,sls_soilMoisture
adac2af9-372f-4508-a8d9-d708bf29a91a,D03,JERC,JERC_004,JERC_004.basePlot.bgc,2024-07-16T14:49:00Z,2024-07-30T13:07:00Z,JERC_004-M-39-20240730,A00000179818,JERC_004-M-39-20240730-SM,NEON.DOC.014048vP,M,2024-08-01T19:05:00Z,2024-08-05T12:05:00Z,2.17,12.3,11.71,0.062,0.942,used frozen soil,NA,0009-0005-4334-8861,NA,20251217T194034Z,RELEASE-2026,DP1.10086.001,JERC,2024,sls_soilMoisture
bf5ed281-5e8e-4f6c-9e65-a42280d23ef2,D03,JERC,JERC_004,JERC_004.basePlot.bgc,2024-07-16T15:16:00Z,2024-07-16T15:16:00Z,JERC_004-M-21-20240716,A00000182179,JERC_004-M-21-20240716-SM,NEON.DOC.014048vP,M,2024-07-18T18:45:00Z,2024-07-22T13:06:00Z,1.77,11.91,11.2,0.075,0.93,used frozen soil,NA,0000-0001-6508-1786,NA,20251217T194034Z,RELEASE-2026,DP1.10086.001,JERC,2024,sls_soilMoisture
bf9d39d2-2217-4956-8a77-cb3baa00acd4,D03,JERC,JERC_004,JERC_004.basePlot.bgc,2024-07-16T15:16:00Z,2024-07-30T12:55:00Z,JERC_004-M-21-20240730,A00000179817,JERC_004-M-21-20240730-SM,NEON.DOC.014048vP,M,2024-08-01T19:05:00Z,2024-08-05T12:05:00Z,1.79,12.15,11.42,0.076,0.93,used frozen soil,NA,0009-0005-4334-8861,NA,20251217T194034Z,RELEASE-2026,DP1.10086.001,JERC,2024,sls_soilMoisture
419344c7-9764-4216-ba87-be9d6e82e73d,D03,JERC,JERC_004,JERC_004.basePlot.bgc,2024-07-16T15:41:00Z,2024-07-16T15:41:00Z,JERC_004-M-23-20240716,A00000182180,JERC_004-M-23-20240716-SM,NEON.DOC.014048vP,M,2024-07-18T18:45:00Z,2024-07-22T13:06:00Z,1.81,11.92,11.36,0.059,0.945,used frozen soil,NA,0000-0001-6508-1786,NA,20251217T194034Z,RELEASE-2026,DP1.10086.001,JERC,2024,sls_soilMoisture
6a6f35cf-8786-48dc-810a-2bcb18889522,D03,JERC,JERC_004,JERC_004.basePlot.bgc,2024-07-16T15:41:00Z,2024-07-30T13:18:00Z,JERC_004-M-23-20240730,A00000179833,JERC_004-M-23-20240730-SM,NEON.DOC.014048vP,M,2024-08-01T19:05:00Z,2024-08-05T12:05:00Z,1.7,11.45,11.01,0.047,0.955,used frozen soil,NA,0009-0005-4334-8861,NA,20251217T194034Z,RELEASE-2026,DP1.10086.001,JERC,2024,sls_soilMoisture
c9749d91-9c0c-44d4-abd8-f1d857792164,D03,JERC,JERC_004,JERC_004.basePlot.bgc,2024-10-23T13:25:00Z,2024-10-23T13:25:00Z,JERC_004-M-39-20241023,A00000184478,JERC_004-M-39-20241023-SM,NEON.DOC.014048vP,M,2024-10-24T18:30:00Z,2024-10-29T13:00:00Z,2.18,12.11,11.76,0.037,0.965,used frozen soil,NA,0009-0007-7619-2255,NA,20251217T193713Z,RELEASE-2026,DP1.10086.001,JERC,2024,sls_soilMoisture
cff9e390-ae53-44ff-ace5-88ada110b93c,D03,JERC,JERC_004,JERC_004.basePlot.bgc,2024-10-23T13:52:00Z,2024-10-23T13:52:00Z,JERC_004-M-21-20241023,A00000184090,JERC_004-M-21-20241023-SM,NEON.DOC.014048vP,M,2024-10-24T18:30:00Z,2024-10-29T13:00:00Z,2.22,12.04,11.76,0.029,0.971,used frozen soil,NA,0009-0007-7619-2255,NA,20251217T193713Z,RELEASE-2026,DP1.10086.001,JERC,2024,sls_soilMoisture
1e368163-fbe3-4c9a-8ef5-6e38d6727081,D03,JERC,JERC_004,JERC_004.basePlot.bgc,2024-10-23T14:16:00Z,2024-10-23T14:16:00Z,JERC_004-M-23-20241023,A00000184089,JERC_004-M-23-20241023-SM,NEON.DOC.014048vP,M,2024-10-24T18:30:00Z,2024-10-29T13:00:00Z,1.8,12.03,11.8,0.023,0.978,used frozen soil,NA,0009-0007-7619-2255,NA,20251217T193713Z,RELEASE-2026,DP1.10086.001,JERC,2024,sls_soilMoisture
27614955-b0e2-473d-a7c5-2b71af571260,D03,JERC,JERC_004,JERC_004.basePlot.bgc,2024-10-23T13:25:00Z,2024-11-12T14:28:00Z,JERC_004-M-39-20241112,A00000184718,JERC_004-M-39-20241112-SM,NEON.DOC.014048vP,M,2024-11-14T20:30:00Z,2024-11-20T16:14:00Z,1.77,11.81,11.47,0.035,0.966,used frozen soil,NA,0000-0002-5948-2855,NA,20251217T194039Z,RELEASE-2026,DP1.10086.001,JERC,2024,sls_soilMoisture
37414917-24ec-4e39-8c65-ca475618c04a,D03,JERC,JERC_004,JERC_004.basePlot.bgc,2024-10-23T13:52:00Z,2024-11-12T14:20:00Z,JERC_004-M-21-20241112,A00000184734,JERC_004-M-21-20241112-SM,NEON.DOC.014048vP,M,2024-11-14T20:30:00Z,2024-11-20T16:14:00Z,2.2,12.6,12.27,0.033,0.968,used frozen soil,NA,0000-0002-5948-2855,NA,20251217T194039Z,RELEASE-2026,DP1.10086.001,JERC,2024,sls_soilMoisture
ec4d0818-261b-426b-84f3-2872e9f28cbf,D03,JERC,JERC_004,JERC_004.basePlot.bgc,2024-10-23T14:16:00Z,2024-11-12T14:16:00Z,JERC_004-M-23-20241112,A00000184750,JERC_004-M-23-20241112-SM,NEON.DOC.014048vP,M,2024-11-14T20:30:00Z,2024-11-20T16:14:00Z,1.78,11.99,11.76,0.023,0.977,used frozen soil,NA,0000-0002-5948-2855,NA,20251217T194039Z,RELEASE-2026,DP1.10086.001,JERC,2024,sls_soilMoisture
