uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
c05944a7-69e2-4399-b27d-d6a6111b9840,D14,JORN,JORN_042,JORN_042.basePlot.bgc,2024-06-24T22:43:00Z,2024-06-24T22:43:00Z,JORN_042-M-21-20240624,A00000426441,JORN_042-M-21-20240624-SM,NEON.DOC.014048vP,M,2024-06-26T18:30:00Z,2024-07-01T18:20:00Z,2.21,12.19,12.15,0.004,0.996,OK,NA,0009-0003-6595-7081,NA,20251217T193904Z,RELEASE-2026,DP1.10086.001,JORN,2024,sls_soilMoisture
5b9a4f9b-5b3e-4b13-b13e-cc9ce2a7b76f,D14,JORN,JORN_042,JORN_042.basePlot.bgc,2024-06-24T22:53:00Z,2024-06-24T22:53:00Z,JORN_042-M-23-20240624,A00000426409,JORN_042-M-23-20240624-SM,NEON.DOC.014048vP,M,2024-06-26T18:30:00Z,2024-07-01T18:20:00Z,2.25,12.21,12.16,0.005,0.995,OK,NA,0009-0003-6595-7081,NA,20251217T193904Z,RELEASE-2026,DP1.10086.001,JORN,2024,sls_soilMoisture
f5c9db8e-28ed-4924-8e3f-1849c88622a0,D14,JORN,JORN_042,JORN_042.basePlot.bgc,2024-06-24T23:03:00Z,2024-06-24T23:03:00Z,JORN_042-M-41-20240624,A00000426440,JORN_042-M-41-20240624-SM,NEON.DOC.014048vP,M,2024-06-26T18:30:00Z,2024-07-01T18:20:00Z,2.22,12.34,12.3,0.004,0.996,OK,NA,0009-0003-6595-7081,NA,20251217T193904Z,RELEASE-2026,DP1.10086.001,JORN,2024,sls_soilMoisture
012ea474-09d5-4b49-9fdf-721bb4b8a2a5,D14,JORN,JORN_044,JORN_044.basePlot.bgc,2024-06-24T23:23:00Z,2024-06-24T23:23:00Z,JORN_044-M-39-20240624,A00000426442,JORN_044-M-39-20240624-SM,NEON.DOC.014048vP,M,2024-06-26T18:30:00Z,2024-07-01T18:20:00Z,2.2,12.23,12.15,0.008,0.992,OK,NA,0009-0003-6595-7081,NA,20251217T193904Z,RELEASE-2026,DP1.10086.001,JORN,2024,sls_soilMoisture
5b2aade3-b800-45da-bc4d-19328cd2d2f4,D14,JORN,JORN_044,JORN_044.basePlot.bgc,2024-06-24T23:32:00Z,2024-06-24T23:32:00Z,JORN_044-M-23-20240624,A00000426458,JORN_044-M-23-20240624-SM,NEON.DOC.014048vP,M,2024-06-26T18:30:00Z,2024-07-01T18:20:00Z,2.19,12.19,12.15,0.004,0.996,OK,NA,0009-0003-6595-7081,NA,20251217T193904Z,RELEASE-2026,DP1.10086.001,JORN,2024,sls_soilMoisture
6f5da448-13ca-4d68-a118-2b26d9e820eb,D14,JORN,JORN_044,JORN_044.basePlot.bgc,2024-06-24T23:36:00Z,2024-06-24T23:36:00Z,JORN_044-M-21-20240624,A00000426425,JORN_044-M-21-20240624-SM,NEON.DOC.014048vP,M,2024-06-26T18:30:00Z,2024-07-01T18:20:00Z,2.23,12.09,12.04,0.005,0.995,OK,NA,0009-0003-6595-7081,NA,20251217T193904Z,RELEASE-2026,DP1.10086.001,JORN,2024,sls_soilMoisture
6fccdcf4-da3e-46d2-aed6-c30e24209efa,D14,JORN,JORN_045,JORN_045.basePlot.bgc,2024-06-25T00:05:00Z,2024-06-25T00:05:00Z,JORN_045-M-39-20240624,A00000426426,JORN_045-M-39-20240624-SM,NEON.DOC.014048vP,M,2024-06-26T18:30:00Z,2024-07-01T18:20:00Z,2.21,12.06,12.01,0.005,0.995,OK,NA,0009-0003-6595-7081,NA,20251217T193904Z,RELEASE-2026,DP1.10086.001,JORN,2024,sls_soilMoisture
30e9e12c-787a-486d-9a2e-8a899a3a651e,D14,JORN,JORN_045,JORN_045.basePlot.bgc,2024-06-25T00:19:00Z,2024-06-25T00:19:00Z,JORN_045-M-41-20240624,A00000426410,JORN_045-M-41-20240624-SM,NEON.DOC.014048vP,M,2024-06-26T18:30:00Z,2024-07-01T18:20:00Z,2.22,12.23,12.2,0.003,0.997,OK,NA,0009-0003-6595-7081,NA,20251217T193904Z,RELEASE-2026,DP1.10086.001,JORN,2024,sls_soilMoisture
43853bf5-16b3-4b3d-9c43-b2b4dff726af,D14,JORN,JORN_047,JORN_047.basePlot.bgc,2024-06-25T00:24:00Z,2024-06-25T00:24:00Z,JORN_047-M-23-20240624,A00000426427,JORN_047-M-23-20240624-SM,NEON.DOC.014048vP,M,2024-06-26T18:30:00Z,2024-07-01T18:20:00Z,2.22,12.43,12.39,0.004,0.996,OK,NA,0009-0003-6595-7081,NA,20251217T193904Z,RELEASE-2026,DP1.10086.001,JORN,2024,sls_soilMoisture
822bee2b-ebcf-41da-9fa0-361d6261e4c5,D14,JORN,JORN_045,JORN_045.basePlot.bgc,2024-06-25T00:29:00Z,2024-06-25T00:29:00Z,JORN_045-M-23-20240624,A00000426411,JORN_045-M-23-20240624-SM,NEON.DOC.014048vP,M,2024-06-26T18:30:00Z,2024-07-01T18:20:00Z,2.22,12.12,12.06,0.006,0.994,OK,NA,0009-0003-6595-7081,NA,20251217T193904Z,RELEASE-2026,DP1.10086.001,JORN,2024,sls_soilMoisture
54f7af32-4a9c-411e-8949-b814a2595bef,D14,JORN,JORN_047,JORN_047.basePlot.bgc,2024-06-25T00:37:00Z,2024-06-25T00:37:00Z,JORN_047-M-39-20240624,A00000426412,JORN_047-M-39-20240624-SM,NEON.DOC.014048vP,M,2024-06-26T18:30:00Z,2024-07-01T18:20:00Z,2.22,12.39,12.36,0.003,0.997,OK,NA,0009-0003-6595-7081,NA,20251217T193904Z,RELEASE-2026,DP1.10086.001,JORN,2024,sls_soilMoisture
973f4a1a-8416-4f91-90a6-5b09c0c2b3a7,D14,JORN,JORN_047,JORN_047.basePlot.bgc,2024-06-25T00:49:00Z,2024-06-25T00:49:00Z,JORN_047-M-41-20240624,A00000426428,JORN_047-M-41-20240624-SM,NEON.DOC.014048vP,M,2024-06-26T18:30:00Z,2024-07-01T18:20:00Z,2.23,12.13,12.07,0.006,0.994,OK,NA,0009-0003-6595-7081,NA,20251217T193904Z,RELEASE-2026,DP1.10086.001,JORN,2024,sls_soilMoisture
7af9cd4d-6da6-4596-b2e1-641e23634151,D14,JORN,JORN_004,JORN_004.basePlot.bgc,2024-06-25T13:07:00Z,2024-06-25T13:07:00Z,JORN_004-M-39-20240625,A00000426134,JORN_004-M-39-20240625-SM,NEON.DOC.014048vP,M,2024-06-26T18:30:00Z,2024-07-01T18:20:00Z,2.27,12.46,12.32,0.014,0.986,OK,NA,0009-0003-6595-7081,NA,20251217T193904Z,RELEASE-2026,DP1.10086.001,JORN,2024,sls_soilMoisture
1547415c-4aae-4531-8e5b-74adca2b3a0c,D14,JORN,JORN_006,JORN_006.basePlot.bgc,2024-06-25T13:16:00Z,2024-06-25T13:16:00Z,JORN_006-M-23-20240625,A00000426153,JORN_006-M-23-20240625-SM,NEON.DOC.014048vP,M,2024-06-26T18:30:00Z,2024-07-01T18:20:00Z,2.21,12.24,12.19,0.005,0.995,OK,NA,0009-0003-6595-7081,NA,20251217T193904Z,RELEASE-2026,DP1.10086.001,JORN,2024,sls_soilMoisture
57ed55bb-74e7-4289-a96c-a118d68c8948,D14,JORN,JORN_006,JORN_006.basePlot.bgc,2024-06-25T13:25:00Z,2024-06-25T13:25:00Z,JORN_006-M-21-20240625,A00000426457,JORN_006-M-21-20240625-SM,NEON.DOC.014048vP,M,2024-06-26T18:30:00Z,2024-07-01T18:20:00Z,2.23,12.17,12.12,0.005,0.995,OK,NA,0009-0003-6595-7081,NA,20251217T193904Z,RELEASE-2026,DP1.10086.001,JORN,2024,sls_soilMoisture
adc951ab-358f-4651-93a8-9b3d776e2a6b,D14,JORN,JORN_004,JORN_004.basePlot.bgc,2024-06-25T13:25:00Z,2024-06-25T13:25:00Z,JORN_004-M-23-20240625,A00000426136,JORN_004-M-23-20240625-SM,NEON.DOC.014048vP,M,2024-06-26T18:30:00Z,2024-07-01T18:20:00Z,2.25,12.61,12.4,0.021,0.98,OK,NA,0009-0003-6595-7081,NA,20251217T193904Z,RELEASE-2026,DP1.10086.001,JORN,2024,sls_soilMoisture
4164a442-4104-4746-897e-c598584bb828,D14,JORN,JORN_006,JORN_006.basePlot.bgc,2024-06-25T13:37:00Z,2024-06-25T13:37:00Z,JORN_006-M-39-20240625,A00000426152,JORN_006-M-39-20240625-SM,NEON.DOC.014048vP,M,2024-06-26T18:30:00Z,2024-07-01T18:20:00Z,2.21,12.4,12.35,0.005,0.995,OK,NA,0009-0003-6595-7081,NA,20251217T193904Z,RELEASE-2026,DP1.10086.001,JORN,2024,sls_soilMoisture
0804edb1-fa2a-4bad-8045-46d0ade18bf1,D14,JORN,JORN_004,JORN_004.basePlot.bgc,2024-06-25T13:45:00Z,2024-06-25T13:45:00Z,JORN_004-M-21-20240625,A00000426135,JORN_004-M-21-20240625-SM,NEON.DOC.014048vP,M,2024-06-26T18:30:00Z,2024-07-01T18:20:00Z,2.21,12.23,12.11,0.012,0.988,OK,NA,0009-0003-6595-7081,NA,20251217T193904Z,RELEASE-2026,DP1.10086.001,JORN,2024,sls_soilMoisture
51bfd89b-3a90-417b-8212-62a0e753cf8b,D14,JORN,JORN_003,JORN_003.basePlot.bgc,2024-06-25T14:42:00Z,2024-06-25T14:42:00Z,JORN_003-M-21-20240625,A00000426149,JORN_003-M-21-20240625-SM,NEON.DOC.014048vP,M,2024-06-26T18:30:00Z,2024-07-01T18:20:00Z,2.27,12.26,12.17,0.009,0.991,OK,NA,0009-0003-6595-7081,NA,20251217T193904Z,RELEASE-2026,DP1.10086.001,JORN,2024,sls_soilMoisture
3ae022c2-a991-4d98-9715-615238199183,D14,JORN,JORN_002,JORN_002.basePlot.bgc,2024-06-25T14:46:00Z,2024-06-25T14:46:00Z,JORN_002-M-41-20240625,A00000426491,JORN_002-M-41-20240625-SM,NEON.DOC.014048vP,M,2024-06-26T18:30:00Z,2024-07-01T18:20:00Z,2.26,12.18,12.07,0.011,0.989,OK,NA,0009-0003-6595-7081,NA,20251217T193904Z,RELEASE-2026,DP1.10086.001,JORN,2024,sls_soilMoisture
d4145e48-38a3-4cd8-855a-05cac9f1d8e5,D14,JORN,JORN_003,JORN_003.basePlot.bgc,2024-06-25T14:51:00Z,2024-06-25T14:51:00Z,JORN_003-M-23-20240625,A00000426133,JORN_003-M-23-20240625-SM,NEON.DOC.014048vP,M,2024-06-26T18:30:00Z,2024-07-01T18:20:00Z,2.27,12.03,11.96,0.007,0.993,OK,NA,0009-0003-6595-7081,NA,20251217T193904Z,RELEASE-2026,DP1.10086.001,JORN,2024,sls_soilMoisture
c07afd0f-1d80-4a42-94eb-a982f6c85d7f,D14,JORN,JORN_002,JORN_002.basePlot.bgc,2024-06-25T14:56:00Z,2024-06-25T14:56:00Z,JORN_002-M-23-20240625,A00000426492,JORN_002-M-23-20240625-SM,NEON.DOC.014048vP,M,2024-06-26T18:30:00Z,2024-07-01T18:20:00Z,2.27,12.66,12.53,0.013,0.987,OK,NA,0009-0003-6595-7081,NA,20251217T193904Z,RELEASE-2026,DP1.10086.001,JORN,2024,sls_soilMoisture
45788663-511b-43d0-b814-99befbbffdb5,D14,JORN,JORN_003,JORN_003.basePlot.bgc,2024-06-25T15:08:00Z,2024-06-25T15:08:00Z,JORN_003-M-41-20240625,A00000426120,JORN_003-M-41-20240625-SM,NEON.DOC.014048vP,M,2024-06-26T18:30:00Z,2024-07-01T18:20:00Z,2.27,12.47,12.36,0.011,0.989,OK,NA,0009-0003-6595-7081,NA,20251217T193904Z,RELEASE-2026,DP1.10086.001,JORN,2024,sls_soilMoisture
09c1d669-9f97-4658-a58e-bc2c3dae93ff,D14,JORN,JORN_002,JORN_002.basePlot.bgc,2024-06-25T15:16:00Z,2024-06-25T15:16:00Z,JORN_002-M-21-20240625,A00000426476,JORN_002-M-21-20240625-SM,NEON.DOC.014048vP,M,2024-06-26T18:30:00Z,2024-07-01T18:20:00Z,2.25,12.53,12.4,0.013,0.987,OK,NA,0009-0003-6595-7081,NA,20251217T193904Z,RELEASE-2026,DP1.10086.001,JORN,2024,sls_soilMoisture
