uid,namedLocation,domainID,siteID,plotID,startDate,collectDate,sampleID,sampleCode,kclSampleID,kclSampleCode,sampleCondition,ammoniumNAnalysisDate,kclAmmoniumNConc,ammoniumNRepNum,ammoniumNQF,ammoniumNRemarks,nitrateNitriteNAnalysisDate,kclNitrateNitriteNConc,nitrateNitriteNRepNum,nitrateNitriteNQF,nitrateNitriteNRemarks,laboratoryName,ammoniumNMethod,ammoniumNInstrument,ammoniumNAnalyzedBy,ammoniumNReviewedBy,nitrateNitriteNMethod,nitrateNitriteNInstrument,nitrateNitriteNAnalyzedBy,nitrateNitriteNReviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
694ab9fc-31bf-4203-8c60-e2d225fca014,KONA_057.basePlot.bgc,D06,KONA,KONA_057,2019-04-02T15:41:00Z,2019-04-02T15:41:00Z,KONA_057-M-29.5-31.5-20190402,A00000042279,KONA_057-M-29.5-31.5-20190402-KCL,B00000016914,ok,2019-06-05,0.5,1,OK,NA,2019-06-05,0.413,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193636Z,RELEASE-2026,DP1.10086.001,KONA,2019,ntr_externalLab
e0a233eb-ec9e-49dc-986a-33a570ed67b2,KONA_057.basePlot.bgc,D06,KONA,KONA_057,2019-04-02T15:41:00Z,2019-04-23T14:17:00Z,KONA_057-M-29.5-31.5-20190423,A00000042800,KONA_057-M-29.5-31.5-20190423-KCL,B00000016339,ok,2019-06-05,0.056,1,OK,NA,2019-06-05,0.547,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193636Z,RELEASE-2026,DP1.10086.001,KONA,2019,ntr_externalLab
b61af920-b18d-4800-b0a3-55061c4e5a92,KONA_057.basePlot.bgc,D06,KONA,KONA_057,2019-04-02T16:08:00Z,2019-04-02T16:08:00Z,KONA_057-M-9-12.5-20190402,A00000042281,KONA_057-M-9-12.5-20190402-KCL,B00000016909,ok,2019-06-05,0.267,1,OK,NA,2019-06-05,0.219,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193636Z,RELEASE-2026,DP1.10086.001,KONA,2019,ntr_externalLab
01c600c3-ed62-4f21-b553-90f476e8bdd3,KONA_057.basePlot.bgc,D06,KONA,KONA_057,2019-04-02T16:08:00Z,2019-04-23T14:22:00Z,KONA_057-M-9-12.5-20190423,A00000042799,KONA_057-M-9-12.5-20190423-KCL,B00000016964,ok,2019-06-05,0.084,1,OK,NA,2019-06-05,0.208,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193636Z,RELEASE-2026,DP1.10086.001,KONA,2019,ntr_externalLab
c4858063-c80a-43c3-8756-d78c42a83b16,KONA_057.basePlot.bgc,D06,KONA,KONA_057,2019-04-02T16:33:00Z,2019-04-02T16:33:00Z,KONA_057-M-0-36-20190402,A00000042280,KONA_057-M-0-36-20190402-KCL,B00000016911,ok,2019-06-05,0.204,2,OK,NA,2019-06-05,0.344,2,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193636Z,RELEASE-2026,DP1.10086.001,KONA,2019,ntr_externalLab
acf623a0-9047-4bd0-86e3-8d3e18bb3a73,KONA_057.basePlot.bgc,D06,KONA,KONA_057,2019-04-02T16:33:00Z,2019-04-02T16:33:00Z,KONA_057-M-0-36-20190402,A00000042280,KONA_057-M-0-36-20190402-KCL,B00000016911,ok,2019-06-05,0.19,1,OK,NA,2019-06-05,0.297,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193636Z,RELEASE-2026,DP1.10086.001,KONA,2019,ntr_externalLab
63a86c45-f3cd-475c-b98c-428a9675092f,KONA_057.basePlot.bgc,D06,KONA,KONA_057,2019-04-02T16:33:00Z,2019-04-23T14:23:00Z,KONA_057-M-0-36-20190423,A00000042798,KONA_057-M-0-36-20190423-KCL,B00000016370,ok,2019-06-05,0.12,1,OK,NA,2019-06-05,1.025,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193636Z,RELEASE-2026,DP1.10086.001,KONA,2019,ntr_externalLab
e550533e-7e8e-4633-8a45-a7b75d38752f,KONA_057.basePlot.bgc,D06,KONA,KONA_057,2019-06-18T16:27:00Z,2019-06-18T16:27:00Z,KONA_057-M-37.5-25-20190618,A00000079602,KONA_057-M-37.5-25-20190618-KCL,B00000017296,ok,2019-08-07,0.183,1,OK,NA,2019-08-07,0.424,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T194051Z,RELEASE-2026,DP1.10086.001,KONA,2019,ntr_externalLab
a95122c7-c22f-4f4d-a418-f3043e216ef8,KONA_057.basePlot.bgc,D06,KONA,KONA_057,2019-06-18T16:47:00Z,2019-06-18T16:47:00Z,KONA_057-M-22.5-9.5-20190618,A00000079601,KONA_057-M-22.5-9.5-20190618-KCL,B00000017298,ok,2019-08-07,0.111,1,OK,NA,2019-08-07,0.354,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T194051Z,RELEASE-2026,DP1.10086.001,KONA,2019,ntr_externalLab
04185b18-a382-4908-8450-65d5dc0d92d5,KONA_057.basePlot.bgc,D06,KONA,KONA_057,2019-06-18T17:07:00Z,2019-06-18T17:07:00Z,KONA_057-M-3.5-34-20190618,A00000079603,KONA_057-M-3.5-34-20190618-KCL,B00000017302,ok,2019-08-07,0.273,1,OK,NA,2019-08-07,0.425,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T194051Z,RELEASE-2026,DP1.10086.001,KONA,2019,ntr_externalLab
