uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,sampleID,sampleCode,cnSampleID,cnSampleCode,sampleType,acidTreatment,co2Trapped,d15N,organicd13C,nitrogenPercent,organicCPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
42b129b4-c87d-438e-aa28-2e0cf6dd47ad,2018-12-12,MLBS_005.basePlot.bgc,D07,MLBS,MLBS_005,distributed,2018-06-11T20:27:00Z,2018-06-11T20:27:00Z,MLBS_005-O-9-0.5-20180611,NA,MLBS_005-O-9-0.5-20180611-CN,NA,soil,N,NA,2.6,-27.8,0.28,5.21,18.9,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251217T193847Z,RELEASE-2026,DP1.10086.001,MLBS,2018,sls_soilChemistry
707e104b-6776-4091-81e3-2b7ed6a3d603,2018-12-13,MLBS_005.basePlot.bgc,D07,MLBS,MLBS_005,distributed,2018-06-11T20:27:00Z,2018-06-11T20:27:00Z,MLBS_005-M-9-0.5-20180611,NA,MLBS_005-M-9-0.5-20180611-CN,NA,soil,N,NA,6.6,-26.8,0.19,3.91,20.7,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,NA,20251217T193847Z,RELEASE-2026,DP1.10086.001,MLBS,2018,sls_soilChemistry
e71f37cb-a1a3-44a4-9a63-9791b55d5e2d,2018-12-13,MLBS_005.basePlot.bgc,D07,MLBS,MLBS_005,distributed,2018-06-11T21:04:00Z,2018-06-11T21:04:00Z,MLBS_005-O-36-18-20180611,NA,MLBS_005-O-36-18-20180611-CN,NA,soil,N,NA,2.9,-27.6,0.38,7.83,20.6,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251217T193847Z,RELEASE-2026,DP1.10086.001,MLBS,2018,sls_soilChemistry
3aff8f3c-26af-4e67-93f6-b3b26ae7cf5e,2018-12-13,MLBS_005.basePlot.bgc,D07,MLBS,MLBS_005,distributed,2018-06-11T21:04:00Z,2018-06-11T21:04:00Z,MLBS_005-M-36-18-20180611,NA,MLBS_005-M-36-18-20180611-CN,NA,soil,N,NA,5.7,-26.9,0.13,2.52,20.1,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,NA,20251217T193847Z,RELEASE-2026,DP1.10086.001,MLBS,2018,sls_soilChemistry
4353ca9a-4ded-4ba4-adf7-043a7320a1df,2018-12-13,MLBS_005.basePlot.bgc,D07,MLBS,MLBS_005,distributed,2018-06-11T21:26:00Z,2018-06-11T21:26:00Z,MLBS_005-M-33-31.5-20180611,NA,MLBS_005-M-33-31.5-20180611-CN,NA,soil,N,NA,5.9,-27.1,0.22,4.26,19.8,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,NA,20251217T193847Z,RELEASE-2026,DP1.10086.001,MLBS,2018,sls_soilChemistry
1378e8e9-bb7d-4e33-90a3-f6351afb5dce,2018-12-13,MLBS_005.basePlot.bgc,D07,MLBS,MLBS_005,distributed,2018-06-11T21:26:00Z,2018-06-11T21:26:00Z,MLBS_005-O-33-31.5-20180611,NA,MLBS_005-O-33-31.5-20180611-CN,NA,soil,N,NA,3.4,-27.3,0.24,4.61,19.3,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251217T193847Z,RELEASE-2026,DP1.10086.001,MLBS,2018,sls_soilChemistry
be1c429f-cc96-4626-8083-3d1fc47ac1d8,2018-12-12,MLBS_001.basePlot.bgc,D07,MLBS,MLBS_001,distributed,2018-06-11T22:02:00Z,2018-06-11T22:02:00Z,MLBS_001-O-1-13-20180611,NA,MLBS_001-O-1-13-20180611-CN,NA,soil,N,NA,1.1,-27.4,0.36,6.56,18.2,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251217T193847Z,RELEASE-2026,DP1.10086.001,MLBS,2018,sls_soilChemistry
612999fe-cca3-4928-84b9-252a9583d4f0,2018-12-13,MLBS_001.basePlot.bgc,D07,MLBS,MLBS_001,distributed,2018-06-11T22:02:00Z,2018-06-11T22:02:00Z,MLBS_001-M-1-13-20180611,NA,MLBS_001-M-1-13-20180611-CN,NA,soil,N,NA,6.9,-26.8,0.14,2.32,16.3,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,NA,20251217T193847Z,RELEASE-2026,DP1.10086.001,MLBS,2018,sls_soilChemistry
3494a582-b6ce-4a2a-9529-1742cdcfabe7,2018-12-13,MLBS_001.basePlot.bgc,D07,MLBS,MLBS_001,distributed,2018-06-11T22:36:00Z,2018-06-11T22:36:00Z,MLBS_001-M-1-30-20180611,NA,MLBS_001-M-1-30-20180611-CN,NA,soil,N,NA,6.4,-26,0.14,1.64,11.7,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,NA,20251217T193847Z,RELEASE-2026,DP1.10086.001,MLBS,2018,sls_soilChemistry
497657f3-811d-4e8a-aa6f-fa4347d29c94,2018-12-13,MLBS_001.basePlot.bgc,D07,MLBS,MLBS_001,distributed,2018-06-11T22:36:00Z,2018-06-11T22:36:00Z,MLBS_001-O-1-30-20180611,NA,MLBS_001-O-1-30-20180611-CN,NA,soil,N,NA,3.4,-27.1,0.41,6.34,15.6,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251217T193847Z,RELEASE-2026,DP1.10086.001,MLBS,2018,sls_soilChemistry
