uid,namedLocation,domainID,siteID,plotID,startDate,collectDate,sampleID,sampleCode,kclSampleID,kclSampleCode,sampleCondition,ammoniumNAnalysisDate,kclAmmoniumNConc,ammoniumNRepNum,ammoniumNQF,ammoniumNRemarks,nitrateNitriteNAnalysisDate,kclNitrateNitriteNConc,nitrateNitriteNRepNum,nitrateNitriteNQF,nitrateNitriteNRemarks,laboratoryName,ammoniumNMethod,ammoniumNInstrument,ammoniumNAnalyzedBy,ammoniumNReviewedBy,nitrateNitriteNMethod,nitrateNitriteNInstrument,nitrateNitriteNAnalyzedBy,nitrateNitriteNReviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
7227ce51-24b0-4f30-98da-30cbe169c79b,MLBS_003.basePlot.bgc,D07,MLBS,MLBS_003,2023-04-26T15:45:00Z,2023-04-26T15:45:00Z,MLBS_003-M-23-20230426,A00000223103,MLBS_003-M-23-20230426-KCL,B00000086573,ok,2023-06-28,0.21,1,OK,NA,2023-06-29,0.283,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193900Z,RELEASE-2026,DP1.10086.001,MLBS,2023,ntr_externalLab
fcfa0762-5b03-4d8e-a613-28973b8161b1,MLBS_003.basePlot.bgc,D07,MLBS,MLBS_003,2023-04-26T16:18:00Z,2023-04-26T16:18:00Z,MLBS_003-M-21-20230426,A00000223104,MLBS_003-M-21-20230426-KCL,B00000086569,ok,2023-06-28,0.219,1,OK,NA,2023-06-29,0.101,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193900Z,RELEASE-2026,DP1.10086.001,MLBS,2023,ntr_externalLab
05e3020b-1497-4e6e-bc0c-85f5889d81d8,MLBS_003.basePlot.bgc,D07,MLBS,MLBS_003,2023-04-26T16:47:00Z,2023-04-26T16:47:00Z,MLBS_003-M-39-20230426,A00000223105,MLBS_003-M-39-20230426-KCL,B00000086567,ok,2023-06-28,0.131,1,OK,NA,2023-06-29,0.27,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193900Z,RELEASE-2026,DP1.10086.001,MLBS,2023,ntr_externalLab
8da458fe-68f5-4531-8c44-532f37d7fffc,MLBS_003.basePlot.bgc,D07,MLBS,MLBS_003,2023-04-26T16:47:00Z,2023-04-26T16:47:00Z,MLBS_003-M-39-20230426,A00000223105,MLBS_003-M-39-20230426-KCL,B00000086567,ok,2023-06-28,0.156,2,OK,NA,2023-06-29,0.235,2,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193900Z,RELEASE-2026,DP1.10086.001,MLBS,2023,ntr_externalLab
7b30bbc6-1c05-40f9-89e9-35f6dadc8349,MLBS_003.basePlot.bgc,D07,MLBS,MLBS_003,2023-04-26T15:45:00Z,2023-05-16T13:22:00Z,MLBS_003-M-23-20230516,A00000223811,MLBS_003-M-23-20230516-KCL,B00000085689,ok,2023-06-28,0.218,1,OK,NA,2023-06-29,1.125,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193649Z,RELEASE-2026,DP1.10086.001,MLBS,2023,ntr_externalLab
cfd3b956-b771-4232-bf05-ceae5486d0fe,MLBS_003.basePlot.bgc,D07,MLBS,MLBS_003,2023-04-26T16:18:00Z,2023-05-16T13:06:00Z,MLBS_003-M-21-20230516,A00000223827,MLBS_003-M-21-20230516-KCL,B00000086489,ok,2023-06-28,0.499,1,OK,NA,2023-06-29,0.65,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193649Z,RELEASE-2026,DP1.10086.001,MLBS,2023,ntr_externalLab
abcaa94d-1c2f-46c4-be87-616890793847,MLBS_003.basePlot.bgc,D07,MLBS,MLBS_003,2023-04-26T16:47:00Z,2023-05-16T13:12:00Z,MLBS_003-M-39-20230516,A00000223795,MLBS_003-M-39-20230516-KCL,B00000086505,ok,2023-06-28,0.233,1,OK,NA,2023-06-29,1.64,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,dVBE5t9Zg/bjkOU2LlqvSA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193649Z,RELEASE-2026,DP1.10086.001,MLBS,2023,ntr_externalLab
4bca914b-2dd2-4673-a067-00a2f1146912,MLBS_003.basePlot.bgc,D07,MLBS,MLBS_003,2023-10-11T16:44:00Z,2023-10-11T16:44:00Z,MLBS_003-M-23-20231011,A00000226197,MLBS_003-M-23-20231011-KCL,B00000086799,ok,2024-01-10,0.117,1,OK,NA,2024-01-10,0.184,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193849Z,RELEASE-2026,DP1.10086.001,MLBS,2023,ntr_externalLab
c7285e1c-d94c-489b-83a4-268e65185581,MLBS_003.basePlot.bgc,D07,MLBS,MLBS_003,2023-10-11T16:44:00Z,2023-10-31T14:39:00Z,MLBS_003-M-23-20231031,A00000218625,MLBS_003-M-23-20231031-KCL,B00000086837,ok,2024-01-10,0.07,1,OK,NA,2024-01-10,0.774,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193849Z,RELEASE-2026,DP1.10086.001,MLBS,2023,ntr_externalLab
8f97f6e9-4c77-4ea8-a6b8-163ad22f4428,MLBS_003.basePlot.bgc,D07,MLBS,MLBS_003,2023-10-11T17:12:00Z,2023-10-11T17:12:00Z,MLBS_003-M-21-20231011,A00000226198,MLBS_003-M-21-20231011-KCL,B00000086867,ok,2024-01-10,0.103,1,OK,NA,2024-01-10,0.073,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193849Z,RELEASE-2026,DP1.10086.001,MLBS,2023,ntr_externalLab
