uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,processedDate,sampleID,sampleCode,pHSampleID,samplingProtocolVersion,horizon,soilInWaterpH,soilInCaClpH,pHSoilInWaterMass,pHWaterVol,waterpHRatio,pHSoilInCaClMass,pHCaClVol,caclpHRatio,pHRemarks,pHMeasuredBy,pHDataQF,publicationDate,release,dpID,site_download,year_download,source_table
e5b31ff0-9cca-4001-ad7c-fa6cdacf661d,D07,MLBS,MLBS_064,MLBS_064.basePlot.bgc,2023-04-25T14:29:00Z,2023-04-25T14:29:00Z,2023-06-01,MLBS_064-M-39-20230425,A00000223087,MLBS_064-M-39-20230425-PH,NEON.DOC.014048vO,M,4.33,3.71,9.8,10,1,9.8,20,2,NA,0000-0003-1476-1962,NA,20251217T193900Z,RELEASE-2026,DP1.10086.001,MLBS,2023,sls_soilpH
7a68d794-c321-4cee-a60d-8294491fa68f,D07,MLBS,MLBS_064,MLBS_064.basePlot.bgc,2023-04-25T14:54:00Z,2023-04-25T14:54:00Z,2023-06-01,MLBS_064-M-21-20230425,A00000223085,MLBS_064-M-21-20230425-PH,NEON.DOC.014048vO,M,4.1,3.54,10.2,10,1,10.2,20,2,NA,0000-0003-1476-1962,NA,20251217T193900Z,RELEASE-2026,DP1.10086.001,MLBS,2023,sls_soilpH
fe6d89d9-a95f-4333-8a5c-7df63a98b55f,D07,MLBS,MLBS_064,MLBS_064.basePlot.bgc,2023-04-25T15:27:00Z,2023-04-25T15:27:00Z,2023-06-01,MLBS_064-M-23-20230425,A00000223086,MLBS_064-M-23-20230425-PH,NEON.DOC.014048vO,M,4.16,3.26,9.9,10,1,9.9,20,2,NA,0000-0003-1476-1962,NA,20251217T193900Z,RELEASE-2026,DP1.10086.001,MLBS,2023,sls_soilpH
cfebb652-fb4b-44c5-8209-c57c517224d9,D07,MLBS,MLBS_064,MLBS_064.basePlot.bgc,2023-07-11T20:50:00Z,2023-07-11T20:50:00Z,2023-08-17,MLBS_064-M-39-20230711,A00000223793,MLBS_064-M-39-20230711-PH,NEON.DOC.014048vO,M,3.95,3.38,10,10,1,10,20,2,NA,0000-0003-1476-1962,NA,20251217T193841Z,RELEASE-2026,DP1.10086.001,MLBS,2023,sls_soilpH
f66a4107-35ec-452b-90f4-8dfc0074a1be,D07,MLBS,MLBS_064,MLBS_064.basePlot.bgc,2023-07-11T21:16:00Z,2023-07-11T21:16:00Z,2023-08-17,MLBS_064-M-21-20230711,A00000223693,MLBS_064-M-21-20230711-PH,NEON.DOC.014048vO,M,4.43,3.88,10.2,10,1,10.2,20,2,NA,0000-0003-1476-1962,NA,20251217T193841Z,RELEASE-2026,DP1.10086.001,MLBS,2023,sls_soilpH
205bce5c-8541-4623-9eac-1e1f0e396e8d,D07,MLBS,MLBS_064,MLBS_064.basePlot.bgc,2023-07-11T21:36:00Z,2023-07-11T21:36:00Z,2023-08-17,MLBS_064-M-23-20230711,A00000223825,MLBS_064-M-23-20230711-PH,NEON.DOC.014048vO,M,4.12,3.51,10.1,10,1,10.1,20,2,NA,0000-0003-1476-1962,NA,20251217T193841Z,RELEASE-2026,DP1.10086.001,MLBS,2023,sls_soilpH
1df720a1-dea1-4300-b4e1-9a107b20cccb,D07,MLBS,MLBS_064,MLBS_064.basePlot.bgc,2023-10-10T15:23:00Z,2023-10-10T15:23:00Z,2023-11-14,MLBS_064-M-21-20231010,A00000226170,MLBS_064-M-21-20231010-PH,NEON.DOC.014048vO,M,4.63,4.01,10.3,10,1,10.3,20,1.9,NA,0000-0003-1476-1962,NA,20251217T193849Z,RELEASE-2026,DP1.10086.001,MLBS,2023,sls_soilpH
b3f3dbcc-a223-400c-915c-ffd8834c6550,D07,MLBS,MLBS_064,MLBS_064.basePlot.bgc,2023-10-10T15:43:00Z,2023-10-10T15:43:00Z,2023-11-14,MLBS_064-M-23-20231010,A00000226171,MLBS_064-M-23-20231010-PH,NEON.DOC.014048vO,M,4.27,3.66,10.2,10,1,10.2,20,2,NA,0000-0003-1476-1962,NA,20251217T193849Z,RELEASE-2026,DP1.10086.001,MLBS,2023,sls_soilpH
0b051161-fa43-4383-acfd-417409b8b629,D07,MLBS,MLBS_064,MLBS_064.basePlot.bgc,2023-10-10T16:03:00Z,2023-10-10T16:03:00Z,2023-11-14,MLBS_064-O-41-20231010,A00000226168,MLBS_064-O-41-20231010-PH,NEON.DOC.014048vO,O,3.46,2.96,5.2,20,3.8,5.2,40,7.6,NA,0000-0003-1476-1962,NA,20251217T193849Z,RELEASE-2026,DP1.10086.001,MLBS,2023,sls_soilpH
73eb6e63-370f-423c-b873-0abc1b8e39b7,D07,MLBS,MLBS_064,MLBS_064.basePlot.bgc,2023-10-10T16:03:00Z,2023-10-10T16:03:00Z,2023-11-14,MLBS_064-M-41-20231010,A00000226169,MLBS_064-M-41-20231010-PH,NEON.DOC.014048vO,M,4.04,3.5,10,10,1,10,20,2,NA,0000-0003-1476-1962,NA,20251217T193849Z,RELEASE-2026,DP1.10086.001,MLBS,2023,sls_soilpH
