uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,sampleID,sampleCode,cnSampleID,cnSampleCode,bgcArchiveID,bgcArchiveCode,bgcArchiveMass,toxicodendronPossible,sampleCondition,bgcRemarks,processedBy,bgcDataQF,publicationDate,release,dpID,site_download,year_download,source_table
a9c6c7eb-917e-4d1b-9e71-6bc4e92994fd,D13,NIWO,NIWO_002,NIWO_002.basePlot.bgc,2019-07-29T19:03:00Z,2019-07-29T19:03:00Z,NEON.DOC.014048vL,M,2019-07-30T16:30:00Z,2019-08-12T20:00:00Z,NIWO_002-M-16-1.5-20190729,A00000091682,NIWO_002-M-16-1.5-20190729-CN,A00000090643,NIWO_002-M-16-1.5-20190729-BA,A00000092642,NA,NA,OK,NA,0000-0002-2359-6738,NA,20251217T193815Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_bgcSubsampling
d9b394aa-be67-47f4-9f56-92ba2da10f6c,D13,NIWO,NIWO_002,NIWO_002.basePlot.bgc,2019-07-29T19:58:00Z,2019-07-29T19:58:00Z,NEON.DOC.014048vL,O,2019-07-30T16:30:00Z,2019-08-12T20:00:00Z,NIWO_002-O-8-38.5-20190729,A00000091732,NIWO_002-O-8-38.5-20190729-CN,A00000090592,NIWO_002-O-8-38.5-20190729-BA,A00000092693,NA,NA,OK,NA,0000-0002-2359-6738,NA,20251217T193815Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_bgcSubsampling
6ace8aa8-346f-428d-bd8f-53d2dec95074,D13,NIWO,NIWO_002,NIWO_002.basePlot.bgc,2019-07-29T20:12:00Z,2019-07-29T20:12:00Z,NEON.DOC.014048vL,M,2019-07-30T16:30:00Z,2019-08-12T20:00:00Z,NIWO_002-M-8-38.5-20190729,A00000091715,NIWO_002-M-8-38.5-20190729-CN,A00000090575,NIWO_002-M-8-38.5-20190729-BA,A00000092659,NA,NA,OK,NA,0000-0002-2359-6738,NA,20251217T193815Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_bgcSubsampling
e98c3bc2-cdd9-4608-abdc-f629cc3e0849,D13,NIWO,NIWO_002,NIWO_002.basePlot.bgc,2019-07-29T21:12:00Z,2019-07-29T21:12:00Z,NEON.DOC.014048vL,O,2019-07-30T16:30:00Z,2019-08-12T20:00:00Z,NIWO_002-O-31.5-37-20190729,A00000091698,NIWO_002-O-31.5-37-20190729-CN,A00000090542,NIWO_002-O-31.5-37-20190729-BA,A00000092711,NA,NA,OK,NA,0000-0002-2359-6738,NA,20251217T193815Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_bgcSubsampling
c08d1814-84e9-4b41-bf40-c3c09c4c5725,D13,NIWO,NIWO_002,NIWO_002.basePlot.bgc,2019-07-29T21:38:00Z,2019-07-29T21:38:00Z,NEON.DOC.014048vL,M,2019-07-30T16:30:00Z,2019-08-12T20:00:00Z,NIWO_002-M-31.5-37-20190729,A00000091681,NIWO_002-M-31.5-37-20190729-CN,A00000090660,NIWO_002-M-31.5-37-20190729-BA,A00000092676,NA,NA,OK,NA,0000-0002-2359-6738,NA,20251217T193815Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_bgcSubsampling
959367d3-5f77-4e25-b071-e7c7c5385976,D13,NIWO,NIWO_004,NIWO_004.basePlot.bgc,2019-07-31T16:12:00Z,2019-07-31T16:12:00Z,NEON.DOC.014048vL,O,2019-08-01T18:09:00Z,2019-08-12T20:00:00Z,NIWO_004-O-18.5-31.5-20190731,A00000091668,NIWO_004-O-18.5-31.5-20190731-CN,A00000090595,NIWO_004-O-18.5-31.5-20190731-BA,A00000092710,NA,NA,OK,NA,0000-0002-2359-6738,NA,20251217T193815Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_bgcSubsampling
cc6d6ead-ba28-41f1-bc9b-f66640a64fbd,D13,NIWO,NIWO_004,NIWO_004.basePlot.bgc,2019-07-31T16:29:00Z,2019-07-31T16:29:00Z,NEON.DOC.014048vL,M,2019-08-01T18:09:00Z,2019-08-12T20:00:00Z,NIWO_004-M-18.5-31.5-20190731,A00000091355,NIWO_004-M-18.5-31.5-20190731-CN,A00000090630,NIWO_004-M-18.5-31.5-20190731-BA,A00000092675,NA,NA,OK,NA,0000-0002-2359-6738,NA,20251217T193815Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_bgcSubsampling
c9e8460e-38f0-4fe9-a18d-4724ebc781e1,D13,NIWO,NIWO_006,NIWO_006.basePlot.bgc,2019-07-31T16:49:00Z,2019-07-31T16:49:00Z,NEON.DOC.014048vL,M,2019-08-01T17:30:00Z,2019-08-12T20:00:00Z,NIWO_006-M-22-36-20190731,A00000091664,NIWO_006-M-22-36-20190731-CN,A00000090563,NIWO_006-M-22-36-20190731-BA,A00000092714,NA,NA,OK,NA,0000-0002-2359-6738,NA,20251217T193815Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_bgcSubsampling
8cce40a8-abe5-41a4-8c76-718062800e4b,D13,NIWO,NIWO_004,NIWO_004.basePlot.bgc,2019-07-31T17:01:00Z,2019-07-31T17:01:00Z,NEON.DOC.014048vL,O,2019-08-01T18:22:00Z,2019-08-12T20:00:00Z,NIWO_004-O-37.5-32.5-20190731,A00000091651,NIWO_004-O-37.5-32.5-20190731-CN,A00000090546,NIWO_004-O-37.5-32.5-20190731-BA,A00000092641,NA,NA,OK,NA,0000-0002-2359-6738,NA,20251217T193815Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_bgcSubsampling
603946b9-d471-4e11-b25b-139f76f9d5af,D13,NIWO,NIWO_004,NIWO_004.basePlot.bgc,2019-07-31T17:20:00Z,2019-07-31T17:20:00Z,NEON.DOC.014048vL,M,2019-08-01T18:23:00Z,2019-08-12T20:00:00Z,NIWO_004-M-37.5-32.5-20190731,A00000091634,NIWO_004-M-37.5-32.5-20190731-CN,A00000090581,NIWO_004-M-37.5-32.5-20190731-BA,A00000092658,NA,NA,OK,NA,0000-0002-2359-6738,NA,20251217T193815Z,RELEASE-2026,DP1.10086.001,NIWO,2019,sls_bgcSubsampling
