uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
21ea9544-d657-4672-8eab-86828e441e60,D13,NIWO,NIWO_040,NIWO_040.basePlot.bgc,2024-06-19T20:05:00Z,2024-06-19T20:05:00Z,NIWO_040-O-21-20240619,A00000259869,NIWO_040-O-21-20240619-SM,NEON.DOC.014048vP,O,2024-06-20T14:00:00Z,2024-06-25T19:20:00Z,2.55,7.15,4.65,1.19,0.457,OK,NA,0000-0002-2637-0718,NA,20251217T193812Z,RELEASE-2026,DP1.10086.001,NIWO,2024,sls_soilMoisture
3891401f-a9fd-478e-b313-0ac64ff4c027,D13,NIWO,NIWO_040,NIWO_040.basePlot.bgc,2024-06-19T20:05:00Z,2024-06-19T20:05:00Z,NIWO_040-M-21-20240619,A00000259949,NIWO_040-M-21-20240619-SM,NEON.DOC.014048vP,M,2024-06-20T14:00:00Z,2024-06-25T19:20:00Z,2.13,12.37,9.83,0.33,0.752,OK,NA,0000-0002-2637-0718,NA,20251217T193812Z,RELEASE-2026,DP1.10086.001,NIWO,2024,sls_soilMoisture
5c45485b-fbfa-402c-8f6d-006483c55394,D13,NIWO,NIWO_040,NIWO_040.basePlot.bgc,2024-06-19T20:23:00Z,2024-06-19T20:23:00Z,NIWO_040-O-41-20240619,A00000260701,NIWO_040-O-41-20240619-SM,NEON.DOC.014048vP,O,2024-06-20T14:00:00Z,2024-06-25T19:20:00Z,2.49,7.71,4.13,2.183,0.314,OK,NA,0000-0002-2637-0718,NA,20251217T193812Z,RELEASE-2026,DP1.10086.001,NIWO,2024,sls_soilMoisture
9bc12b46-3268-4cdb-8a15-86be91a506e1,D13,NIWO,NIWO_040,NIWO_040.basePlot.bgc,2024-06-19T20:37:00Z,2024-06-19T20:37:00Z,NIWO_040-M-41-20240619,A00000260702,NIWO_040-M-41-20240619-SM,NEON.DOC.014048vP,M,2024-06-20T14:00:00Z,2024-06-25T19:20:00Z,2.17,12.11,9.06,0.443,0.693,OK,NA,0000-0002-2637-0718,NA,20251217T193812Z,RELEASE-2026,DP1.10086.001,NIWO,2024,sls_soilMoisture
50ac2122-b6b2-455f-a4bd-8a827aa06a1f,D13,NIWO,NIWO_040,NIWO_040.basePlot.bgc,2024-06-19T20:48:00Z,2024-06-19T20:48:00Z,NIWO_040-O-23-20240619,A00000260703,NIWO_040-O-23-20240619-SM,NEON.DOC.014048vP,O,2024-06-20T14:00:00Z,2024-06-25T19:20:00Z,2.14,7.14,4.72,0.938,0.516,OK,NA,0000-0002-2637-0718,NA,20251217T193812Z,RELEASE-2026,DP1.10086.001,NIWO,2024,sls_soilMoisture
69d90e3c-2ea7-42df-9ffb-b483c3441f73,D13,NIWO,NIWO_040,NIWO_040.basePlot.bgc,2024-06-19T20:48:00Z,2024-06-19T20:48:00Z,NIWO_040-M-23-20240619,A00000260704,NIWO_040-M-23-20240619-SM,NEON.DOC.014048vP,M,2024-06-20T14:00:00Z,2024-06-25T19:20:00Z,2.09,12.4,10.99,0.158,0.863,OK,NA,0000-0002-2637-0718,NA,20251217T193812Z,RELEASE-2026,DP1.10086.001,NIWO,2024,sls_soilMoisture
ba6eb526-ee69-4671-bb66-39c8f137aa35,D13,NIWO,NIWO_040,NIWO_040.basePlot.bgc,2024-06-19T20:05:00Z,2024-07-10T16:00:00Z,NIWO_040-O-21-20240710,A00000262637,NIWO_040-O-21-20240710-SM,NEON.DOC.014048vP,O,2024-07-11T14:30:00Z,2024-07-15T13:50:00Z,2.61,7.43,5.17,0.883,0.531,OK,NA,0009-0004-7358-8332,NA,20251217T193439Z,RELEASE-2026,DP1.10086.001,NIWO,2024,sls_soilMoisture
5f230513-3a31-42a8-9ecd-fa30ffbcdb69,D13,NIWO,NIWO_040,NIWO_040.basePlot.bgc,2024-06-19T20:23:00Z,2024-07-10T16:23:00Z,NIWO_040-O-41-20240710,A00000262703,NIWO_040-O-41-20240710-SM,NEON.DOC.014048vP,O,2024-07-11T14:30:00Z,2024-07-15T13:50:00Z,2.48,7.51,4.39,1.634,0.38,OK,NA,0009-0004-7358-8332,NA,20251217T193439Z,RELEASE-2026,DP1.10086.001,NIWO,2024,sls_soilMoisture
4889a8c3-cd94-49e0-9fba-e92b6f958d65,D13,NIWO,NIWO_040,NIWO_040.basePlot.bgc,2024-06-19T20:48:00Z,2024-07-10T16:10:00Z,NIWO_040-O-23-20240710,A00000262525,NIWO_040-O-23-20240710-SM,NEON.DOC.014048vP,O,2024-07-11T14:30:00Z,2024-07-15T13:50:00Z,2.08,6.84,4.67,0.838,0.544,OK,NA,0009-0004-7358-8332,NA,20251217T193439Z,RELEASE-2026,DP1.10086.001,NIWO,2024,sls_soilMoisture
c599ca88-484c-49f8-856a-4efa2c8de086,D13,NIWO,NIWO_040,NIWO_040.basePlot.bgc,2024-06-19T20:48:00Z,2024-07-10T16:10:00Z,NIWO_040-M-23-20240710,A00000262697,NIWO_040-M-23-20240710-SM,NEON.DOC.014048vP,M,2024-07-11T14:30:00Z,2024-07-15T13:50:00Z,2.13,11.91,9.4,0.345,0.743,OK,NA,0009-0004-7358-8332,NA,20251217T193439Z,RELEASE-2026,DP1.10086.001,NIWO,2024,sls_soilMoisture
