uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
0198cb54-c69b-4689-bab0-da85385eed36,D11,OAES,OAES_045,OAES_045.basePlot.bgc,2023-03-21T22:15:00Z,2023-04-11T14:53:00Z,OAES_045-M-21-20230411,A00000278009,OAES_045-M-21-20230411-SM,NEON.DOC.014048vO,M,2023-04-13T18:45:00Z,2023-04-18T14:30:00Z,2.12,12.1,10.5,0.191,0.84,used frozen soil,NA,0009-0009-3561-839X,NA,20251217T193639Z,RELEASE-2026,DP1.10086.001,OAES,2023,sls_soilMoisture
1a624377-246e-4498-8e77-24843d2ecd6f,D11,OAES,OAES_045,OAES_045.basePlot.bgc,2023-03-21T22:32:00Z,2023-04-11T14:59:00Z,OAES_045-M-39-20230411,A00000278008,OAES_045-M-39-20230411-SM,NEON.DOC.014048vO,M,2023-04-13T19:01:00Z,2023-04-18T14:30:00Z,2.11,12.01,10.67,0.157,0.865,used frozen soil,NA,0009-0009-3561-839X,NA,20251217T193639Z,RELEASE-2026,DP1.10086.001,OAES,2023,sls_soilMoisture
d96ef325-39bf-406a-973b-ad6a010b7cd9,D11,OAES,OAES_045,OAES_045.basePlot.bgc,2023-03-21T23:05:00Z,2023-04-11T15:05:00Z,OAES_045-M-41-20230411,A00000278010,OAES_045-M-41-20230411-SM,NEON.DOC.014048vO,M,2023-04-13T18:45:00Z,2023-04-18T14:30:00Z,2.1,12.1,10.6,0.176,0.85,used frozen soil,NA,0009-0009-3561-839X,NA,20251217T193639Z,RELEASE-2026,DP1.10086.001,OAES,2023,sls_soilMoisture
a27ee759-0390-43c6-94b2-139cad6389a9,D11,OAES,OAES_045,OAES_045.basePlot.bgc,2023-03-21T22:15:00Z,2023-03-21T22:15:00Z,OAES_045-M-21-20230321,A00000277443,OAES_045-M-21-20230321-SM,NEON.DOC.014048vO,M,2023-03-29T17:58:00Z,2023-04-03T19:17:00Z,2.13,12.14,10.34,0.219,0.82,used frozen soil,NA,0000-0002-0594-4276,NA,20251217T193609Z,RELEASE-2026,DP1.10086.001,OAES,2023,sls_soilMoisture
6e8d081c-7b2b-4638-a561-fcce406a27b3,D11,OAES,OAES_045,OAES_045.basePlot.bgc,2023-03-21T22:32:00Z,2023-03-21T22:32:00Z,OAES_045-M-39-20230321,A00000277442,OAES_045-M-39-20230321-SM,NEON.DOC.014048vO,M,2023-03-29T17:57:00Z,2023-04-03T19:17:00Z,2.14,12.01,10.51,0.179,0.848,used frozen soil,NA,0000-0002-0594-4276,NA,20251217T193609Z,RELEASE-2026,DP1.10086.001,OAES,2023,sls_soilMoisture
a913b5cd-a91b-4f78-a21e-0a07b782dc2d,D11,OAES,OAES_045,OAES_045.basePlot.bgc,2023-03-21T23:05:00Z,2023-03-21T23:05:00Z,OAES_045-M-41-20230321,A00000277441,OAES_045-M-41-20230321-SM,NEON.DOC.014048vO,M,2023-03-29T17:59:00Z,2023-04-03T19:18:00Z,2.03,12.18,10.66,0.176,0.85,used frozen soil,NA,0000-0002-0594-4276,NA,20251217T193609Z,RELEASE-2026,DP1.10086.001,OAES,2023,sls_soilMoisture
ab1cd5ec-1a82-4864-a57d-1634148fbccb,D11,OAES,OAES_045,OAES_045.basePlot.bgc,2023-05-16T17:09:00Z,2023-05-16T17:09:00Z,OAES_045-M-21-20230516,A00000418590,OAES_045-M-21-20230516-SM,NEON.DOC.014048vO,M,2023-05-17T18:39:00Z,2023-05-22T14:48:00Z,2.15,12.45,10.75,0.198,0.835,OK,NA,0009-0004-0916-8982,NA,20251217T193849Z,RELEASE-2026,DP1.10086.001,OAES,2023,sls_soilMoisture
f0d15762-fc40-4d2c-b80a-e71bc6fdc15e,D11,OAES,OAES_045,OAES_045.basePlot.bgc,2023-05-16T17:47:00Z,2023-05-16T17:47:00Z,OAES_045-M-39-20230516,A00000418606,OAES_045-M-39-20230516-SM,NEON.DOC.014048vO,M,2023-05-17T18:22:00Z,2023-05-22T14:48:00Z,2.1,12.43,10.98,0.163,0.86,OK,NA,0009-0009-3584-4071,NA,20251217T193849Z,RELEASE-2026,DP1.10086.001,OAES,2023,sls_soilMoisture
120fe9c3-80dd-4e45-81dc-4c000749f132,D11,OAES,OAES_045,OAES_045.basePlot.bgc,2023-05-16T18:27:00Z,2023-05-16T18:27:00Z,OAES_045-M-41-20230516,A00000418527,OAES_045-M-41-20230516-SM,NEON.DOC.014048vO,M,2023-05-17T18:59:00Z,2023-05-22T14:50:00Z,2.14,12.29,10.7,0.186,0.843,OK,NA,0009-0009-3584-4071,NA,20251217T193849Z,RELEASE-2026,DP1.10086.001,OAES,2023,sls_soilMoisture
0c889176-127f-409a-a68c-f9390b79fdde,D11,OAES,OAES_045,OAES_045.basePlot.bgc,2023-05-16T17:09:00Z,2023-06-05T21:55:00Z,OAES_045-M-21-20230605,A00000418662,OAES_045-M-21-20230605-SM,NEON.DOC.014048vO,M,2023-06-08T14:38:00Z,2023-06-12T13:42:00Z,2.04,12.4,10.63,0.206,0.829,used frozen soil,NA,0000-0003-2942-5873,NA,20251217T194010Z,RELEASE-2026,DP1.10086.001,OAES,2023,sls_soilMoisture
8197a31f-af54-4e47-aaec-c7c4dd645ead,D11,OAES,OAES_045,OAES_045.basePlot.bgc,2023-05-16T17:47:00Z,2023-06-05T22:03:00Z,OAES_045-M-39-20230605,A00000418661,OAES_045-M-39-20230605-SM,NEON.DOC.014048vO,M,2023-06-08T15:52:00Z,2023-06-12T13:56:00Z,2.08,12.02,10.14,0.233,0.811,used frozen soil,NA,0000-0003-2942-5873,NA,20251217T194010Z,RELEASE-2026,DP1.10086.001,OAES,2023,sls_soilMoisture
a5498f3a-774b-4ada-9d36-99e84865c10c,D11,OAES,OAES_045,OAES_045.basePlot.bgc,2023-05-16T18:27:00Z,2023-06-05T22:14:00Z,OAES_045-M-41-20230605,A00000418660,OAES_045-M-41-20230605-SM,NEON.DOC.014048vO,M,2023-06-08T15:28:00Z,2023-06-12T13:42:00Z,2.18,12.31,10.47,0.222,0.818,used frozen soil,NA,0000-0003-2942-5873,NA,20251217T194010Z,RELEASE-2026,DP1.10086.001,OAES,2023,sls_soilMoisture
fd485513-a190-41a1-97b4-b1701e0b807d,D11,OAES,OAES_045,OAES_045.basePlot.bgc,2023-08-08T16:38:00Z,2023-08-08T16:38:00Z,OAES_045-M-39-20230808,A00000419373,OAES_045-M-39-20230808-SM,NEON.DOC.014048vO,M,2023-08-28T19:55:00Z,2023-08-31T13:39:00Z,2.151,12.47,11.36,0.12,0.892,used frozen soil,NA,0009-0000-3406-7017,NA,20251217T193647Z,RELEASE-2026,DP1.10086.001,OAES,2023,sls_soilMoisture
731622bb-e84b-4e08-9400-0b9b47dffccc,D11,OAES,OAES_045,OAES_045.basePlot.bgc,2023-08-08T16:38:00Z,2023-08-30T16:07:00Z,OAES_045-M-39-20230830,A00000272660,OAES_045-M-39-20230830-SM,NEON.DOC.014048vO,M,2023-08-31T19:43:00Z,2023-09-04T13:51:00Z,2.22,12.54,11.59,0.101,0.908,used frozen soil,NA,0009-0009-3584-4071,NA,20251217T193647Z,RELEASE-2026,DP1.10086.001,OAES,2023,sls_soilMoisture
6e557164-ef96-461b-8013-b3f5219879fa,D11,OAES,OAES_045,OAES_045.basePlot.bgc,2023-08-08T16:52:00Z,2023-08-08T16:52:00Z,OAES_045-M-41-20230808,A00000419357,OAES_045-M-41-20230808-SM,NEON.DOC.014048vO,M,2023-08-28T19:55:00Z,2023-08-31T13:15:00Z,2.073,12.311,11.51,0.085,0.922,used frozen soil,NA,0009-0000-3406-7017,NA,20251217T193647Z,RELEASE-2026,DP1.10086.001,OAES,2023,sls_soilMoisture
2b1b0da1-5efc-4e16-91e2-fea0d541e999,D11,OAES,OAES_045,OAES_045.basePlot.bgc,2023-08-08T16:52:00Z,2023-08-30T16:11:00Z,OAES_045-M-41-20230830,A00000272661,OAES_045-M-41-20230830-SM,NEON.DOC.014048vO,M,2023-08-31T19:43:00Z,2023-09-04T13:50:00Z,2.04,12.05,11.43,0.066,0.938,used frozen soil,NA,0009-0009-3584-4071,NA,20251217T193647Z,RELEASE-2026,DP1.10086.001,OAES,2023,sls_soilMoisture
354e0b65-801d-4ed0-bf5a-d906178f5147,D11,OAES,OAES_045,OAES_045.basePlot.bgc,2023-08-08T17:06:00Z,2023-08-08T17:06:00Z,OAES_045-M-23-20230808,A00000277805,OAES_045-M-23-20230808-SM,NEON.DOC.014048vO,M,2023-08-28T19:55:00Z,2023-08-31T13:17:00Z,2.034,12.04,11,0.116,0.896,used frozen soil,NA,0009-0000-3406-7017,NA,20251217T193647Z,RELEASE-2026,DP1.10086.001,OAES,2023,sls_soilMoisture
1c278223-0542-4c7c-8507-9323ed1314d1,D11,OAES,OAES_045,OAES_045.basePlot.bgc,2023-08-08T17:06:00Z,2023-08-30T16:17:00Z,OAES_045-M-23-20230830,A00000272662,OAES_045-M-23-20230830-SM,NEON.DOC.014048vO,M,2023-08-31T19:43:00Z,2023-09-04T13:31:00Z,2.12,12.09,11.01,0.121,0.892,used frozen soil,NA,0009-0009-3584-4071,NA,20251217T193647Z,RELEASE-2026,DP1.10086.001,OAES,2023,sls_soilMoisture
