uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
2a3589fa-0e2a-4365-ba12-789ea48addea,D11,OAES,OAES_044,OAES_044.basePlot.bgc,2024-03-18T21:54:00Z,2024-03-18T21:54:00Z,OAES_044-M-41-20240318,A00000420799,OAES_044-M-41-20240318-SM,NEON.DOC.014048vP,M,2024-03-20T19:14:00Z,2024-03-25T14:24:00Z,2.04,12.6,11.01,0.177,0.849,OK,NA,0009-0003-7403-3606,NA,20251217T193533Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
391ac9ca-2fa6-4135-9ea5-ec41aa8bfe05,D11,OAES,OAES_043,OAES_043.basePlot.bgc,2024-03-18T22:20:00Z,2024-03-18T22:20:00Z,OAES_043-M-39-20240318,A00000420798,OAES_043-M-39-20240318-SM,NEON.DOC.014048vP,M,2024-03-20T18:21:00Z,2024-03-25T14:24:00Z,2.08,12.38,11.12,0.139,0.878,OK,NA,0009-0002-2566-9846,NA,20251217T193533Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
9b864963-e117-4a4f-9347-bb00a5451074,D11,OAES,OAES_044,OAES_044.basePlot.bgc,2024-03-18T22:29:00Z,2024-03-18T22:29:00Z,OAES_044-M-21-20240318,A00000420784,OAES_044-M-21-20240318-SM,NEON.DOC.014048vP,M,2024-03-20T18:10:00Z,2024-03-25T14:24:00Z,2.09,12.57,10.89,0.191,0.84,OK,NA,0009-0007-5948-2613,NA,20251217T193533Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
412b0d34-7737-4b91-83ec-f5fccb90716d,D11,OAES,OAES_043,OAES_043.basePlot.bgc,2024-03-18T22:40:00Z,2024-03-18T22:40:00Z,OAES_043-M-41-20240318,A00000420814,OAES_043-M-41-20240318-SM,NEON.DOC.014048vP,M,2024-03-20T17:47:00Z,2024-03-25T15:02:00Z,2.06,12.34,11.06,0.142,0.875,OK,NA,0009-0007-5948-2613,NA,20251217T193533Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
2976529c-308c-41f5-9304-75ac053f5721,D11,OAES,OAES_043,OAES_043.basePlot.bgc,2024-03-18T22:50:00Z,2024-03-18T22:50:00Z,OAES_043-M-23-20240318,A00000420815,OAES_043-M-23-20240318-SM,NEON.DOC.014048vP,M,2024-03-20T17:51:00Z,2024-03-25T15:02:00Z,2.04,11.9,10.8,0.126,0.888,OK,NA,0009-0002-2566-9846,NA,20251217T193533Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
bf5b9cac-30c2-436c-b578-c37bcff291fa,D11,OAES,OAES_044,OAES_044.basePlot.bgc,2024-03-18T22:51:00Z,2024-03-18T22:51:00Z,OAES_044-M-23-20240318,A00000420783,OAES_044-M-23-20240318-SM,NEON.DOC.014048vP,M,2024-03-20T17:41:00Z,2024-03-25T15:02:00Z,2.05,11.61,10.16,0.179,0.848,OK,NA,0009-0002-2566-9846,NA,20251217T193533Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
16fc3855-097a-4ad6-97e2-10de720a5903,D11,OAES,OAES_042,OAES_042.basePlot.bgc,2024-03-19T13:39:00Z,2024-03-19T13:39:00Z,OAES_042-M-39-20240319,A00000420797,OAES_042-M-39-20240319-SM,NEON.DOC.014048vP,M,2024-03-20T19:18:00Z,2024-03-25T14:24:00Z,2.17,12.25,11.25,0.11,0.901,OK,NA,0009-0002-2566-9846,NA,20251217T193533Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
24ace05e-3982-41bd-8fd8-8ad7d1589b76,D11,OAES,OAES_042,OAES_042.basePlot.bgc,2024-03-19T13:55:00Z,2024-03-19T13:55:00Z,OAES_042-M-23-20240319,A00000420813,OAES_042-M-23-20240319-SM,NEON.DOC.014048vP,M,2024-03-20T20:07:00Z,2024-03-25T14:06:00Z,2.07,12.34,10.97,0.154,0.867,OK,NA,0009-0002-2566-9846,NA,20251217T193533Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
d54bd183-88cc-432a-a2f2-569834cabfac,D11,OAES,OAES_042,OAES_042.basePlot.bgc,2024-03-19T14:09:00Z,2024-03-19T14:09:00Z,OAES_042-M-41-20240319,A00000420782,OAES_042-M-41-20240319-SM,NEON.DOC.014048vP,M,2024-03-20T18:28:00Z,2024-03-25T14:24:00Z,2.04,12.28,10.96,0.148,0.871,OK,NA,0009-0005-6444-4668,NA,20251217T193533Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
afe62eca-1b15-48df-94ab-e874a1000278,D11,OAES,OAES_045,OAES_045.basePlot.bgc,2024-03-19T14:54:00Z,2024-03-19T14:54:00Z,OAES_045-M-39-20240319,A00000420817,OAES_045-M-39-20240319-SM,NEON.DOC.014048vP,M,2024-03-20T19:40:00Z,2024-03-25T14:24:00Z,2.13,12.19,10.69,0.175,0.851,OK,NA,0009-0007-5948-2613,NA,20251217T193533Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
cc3462ce-42f8-4e29-bffa-2f0fb5a446b8,D11,OAES,OAES_045,OAES_045.basePlot.bgc,2024-03-19T15:00:00Z,2024-03-19T15:00:00Z,OAES_045-M-23-20240319,A00000420816,OAES_045-M-23-20240319-SM,NEON.DOC.014048vP,M,2024-03-20T21:15:00Z,2024-03-25T14:06:00Z,2.08,12.34,10.54,0.213,0.825,OK,NA,0009-0005-6444-4668,NA,20251217T193533Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
2ce81485-acd7-4c04-a53b-9c42088d1af4,D11,OAES,OAES_045,OAES_045.basePlot.bgc,2024-03-19T15:14:00Z,2024-03-19T15:14:00Z,OAES_045-M-41-20240319,A00000420800,OAES_045-M-41-20240319-SM,NEON.DOC.014048vP,M,2024-03-20T18:53:00Z,2024-03-25T14:24:00Z,2.13,12.79,10.15,0.329,0.752,OK,NA,0009-0002-2566-9846,NA,20251217T193533Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
e1f1c824-b289-4bb8-9463-384b34df9cd0,D11,OAES,OAES_001,OAES_001.basePlot.bgc,2024-03-19T16:00:00Z,2024-03-19T16:00:00Z,OAES_001-M-21-20240319,A00000420765,OAES_001-M-21-20240319-SM,NEON.DOC.014048vP,M,2024-03-20T19:24:00Z,2024-03-25T14:24:00Z,2.18,12.71,11.27,0.158,0.863,OK,NA,0009-0007-5948-2613,NA,20251217T193533Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
a5cd796b-d2ed-4529-a692-6f7c7e6d6bc7,D11,OAES,OAES_001,OAES_001.basePlot.bgc,2024-03-19T16:11:00Z,2024-03-19T16:11:00Z,OAES_001-M-41-20240319,A00000420749,OAES_001-M-41-20240319-SM,NEON.DOC.014048vP,M,2024-03-20T19:50:00Z,2024-03-25T15:02:00Z,2.13,12.05,10.92,0.129,0.886,OK,NA,0009-0002-2566-9846,NA,20251217T193533Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
67448a7e-3262-4279-8429-09b8797abb0f,D11,OAES,OAES_001,OAES_001.basePlot.bgc,2024-03-19T16:22:00Z,2024-03-19T16:22:00Z,OAES_001-M-23-20240319,A00000420733,OAES_001-M-23-20240319-SM,NEON.DOC.014048vP,M,2024-03-20T18:36:00Z,2024-03-25T14:24:00Z,2.11,12.58,10.79,0.206,0.829,OK,NA,0009-0007-5948-2613,NA,20251217T193533Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
9fd0c8dd-3873-4b98-80fa-9b727f95809c,D11,OAES,OAES_002,OAES_002.basePlot.bgc,2024-03-19T18:51:00Z,2024-03-19T18:51:00Z,OAES_002-M-23-20240319,A00000420734,OAES_002-M-23-20240319-SM,NEON.DOC.014048vP,M,2024-03-20T21:10:00Z,2024-03-25T14:06:00Z,2.13,12,10.04,0.248,0.801,OK,NA,0009-0002-2566-9846,NA,20251217T193533Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
e0df618a-4bb0-4fc3-aa72-96d2e533ecc5,D11,OAES,OAES_002,OAES_002.basePlot.bgc,2024-03-19T19:12:00Z,2024-03-19T19:12:00Z,OAES_002-M-21-20240319,A00000420766,OAES_002-M-21-20240319-SM,NEON.DOC.014048vP,M,2024-03-20T18:50:00Z,2024-03-25T14:24:00Z,2.12,12.2,10.92,0.145,0.873,OK,NA,0009-0005-6444-4668,NA,20251217T193533Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
f6f4ccc7-3315-4419-8bf8-b493fe1e5751,D11,OAES,OAES_004,OAES_004.basePlot.bgc,2024-03-19T19:19:00Z,2024-03-19T19:19:00Z,OAES_004-M-41-20240319,A00000420736,OAES_004-M-41-20240319-SM,NEON.DOC.014048vP,M,2024-03-20T20:14:00Z,2024-03-25T14:06:00Z,2.09,12.12,10.8,0.152,0.868,OK,NA,0009-0005-6444-4668,NA,20251217T193533Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
44d68aa0-a2b4-4f12-a0ea-da99b0244ff3,D11,OAES,OAES_004,OAES_004.basePlot.bgc,2024-03-19T19:37:00Z,2024-03-19T19:37:00Z,OAES_004-M-23-20240319,A00000420768,OAES_004-M-23-20240319-SM,NEON.DOC.014048vP,M,2024-03-20T20:53:00Z,2024-03-25T14:06:00Z,1.99,11.98,10.67,0.151,0.869,OK,NA,0009-0005-6444-4668,NA,20251217T193533Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
d82c4b9b-0b10-4832-932b-dc5ae4d47c7b,D11,OAES,OAES_002,OAES_002.basePlot.bgc,2024-03-19T19:41:00Z,2024-03-19T19:41:00Z,OAES_002-M-39-20240319,A00000420750,OAES_002-M-39-20240319-SM,NEON.DOC.014048vP,M,2024-03-20T21:00:00Z,2024-03-25T14:06:00Z,2.01,12.3,10.29,0.243,0.805,OK,NA,0009-0002-2566-9846,NA,20251217T193533Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
b5f33f9a-685b-4770-a5dd-95ff3e5053ff,D11,OAES,OAES_004,OAES_004.basePlot.bgc,2024-03-19T19:57:00Z,2024-03-19T19:57:00Z,OAES_004-M-21-20240319,A00000420752,OAES_004-M-21-20240319-SM,NEON.DOC.014048vP,M,2024-03-20T19:14:00Z,2024-03-25T15:02:00Z,2.06,12.21,10.65,0.182,0.846,OK,NA,0009-0003-7403-3606,NA,20251217T193533Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
1a316107-69cd-4c0a-adba-87d0e4a1b4fb,D11,OAES,OAES_009,OAES_009.basePlot.bgc,2024-03-19T20:38:00Z,2024-03-19T20:38:00Z,OAES_009-M-21-20240319,A00000420769,OAES_009-M-21-20240319-SM,NEON.DOC.014048vP,M,2024-03-20T20:52:00Z,2024-03-25T14:06:00Z,2.03,12.53,10.82,0.195,0.837,OK,NA,0009-0007-5948-2613,NA,20251217T193533Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
a107e895-1760-4150-bdb7-9923bca00043,D11,OAES,OAES_003,OAES_003.basePlot.bgc,2024-03-19T20:55:00Z,2024-03-19T20:55:00Z,OAES_003-M-39-20240319,A00000420751,OAES_003-M-39-20240319-SM,NEON.DOC.014048vP,M,2024-03-20T20:03:00Z,2024-03-25T15:02:00Z,2.1,12.2,10.97,0.139,0.878,OK,NA,0009-0003-7403-3606,NA,20251217T193533Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
5f1140a3-92b6-479e-9e24-ad1b07496a6d,D11,OAES,OAES_009,OAES_009.basePlot.bgc,2024-03-19T21:00:00Z,2024-03-19T21:00:00Z,OAES_009-M-39-20240319,A00000420738,OAES_009-M-39-20240319-SM,NEON.DOC.014048vP,M,2024-03-20T19:06:00Z,2024-03-25T15:02:00Z,2.11,12.08,10.52,0.185,0.844,OK,NA,0009-0005-6444-4668,NA,20251217T193533Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
b21bebef-d7a5-4c0f-b86b-38614ae14a1c,D11,OAES,OAES_003,OAES_003.basePlot.bgc,2024-03-19T21:14:00Z,2024-03-19T21:14:00Z,OAES_003-M-41-20240319,A00000420767,OAES_003-M-41-20240319-SM,NEON.DOC.014048vP,M,2024-03-20T19:33:00Z,2024-03-25T15:02:00Z,2.07,12.28,10.72,0.18,0.847,OK,NA,0009-0005-6444-4668,NA,20251217T193533Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
d9a06a1c-bb4f-4f25-a791-01904fd87000,D11,OAES,OAES_009,OAES_009.basePlot.bgc,2024-03-19T21:20:00Z,2024-03-19T21:20:00Z,OAES_009-M-41-20240319,A00000420754,OAES_009-M-41-20240319-SM,NEON.DOC.014048vP,M,2024-03-20T19:47:00Z,2024-03-25T15:02:00Z,2.1,12.08,10.59,0.176,0.851,OK,NA,0009-0005-6444-4668,NA,20251217T193533Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
24f242a9-5b85-42b7-bbb3-dc5e182f370b,D11,OAES,OAES_003,OAES_003.basePlot.bgc,2024-03-19T21:37:00Z,2024-03-19T21:37:00Z,OAES_003-M-21-20240319,A00000420735,OAES_003-M-21-20240319-SM,NEON.DOC.014048vP,M,2024-03-20T18:12:00Z,2024-03-25T14:24:00Z,2.15,12.02,11.48,0.058,0.945,OK,NA,0009-0005-6444-4668,NA,20251217T193533Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
c4b69f38-7252-4640-a5f3-0eee25c139f9,D11,OAES,OAES_007,OAES_007.basePlot.bgc,2024-03-19T22:16:00Z,2024-03-19T22:16:00Z,OAES_007-M-23-20240319,A00000420753,OAES_007-M-23-20240319-SM,NEON.DOC.014048vP,M,2024-03-20T20:31:00Z,2024-03-25T15:19:00Z,2.15,12.41,10.99,0.161,0.862,OK,NA,0009-0007-5948-2613,NA,20251217T193533Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
ffcc775c-742c-4ba7-bcc7-6de71c4a6738,D11,OAES,OAES_007,OAES_007.basePlot.bgc,2024-03-19T22:36:00Z,2024-03-19T22:36:00Z,OAES_007-M-39-20240319,A00000420737,OAES_007-M-39-20240319-SM,NEON.DOC.014048vP,M,2024-03-20T20:12:00Z,2024-03-25T14:06:00Z,2.07,12.42,10.82,0.183,0.845,OK,NA,0009-0007-5948-2613,NA,20251217T193533Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
14ba2d03-e870-41af-8c9d-b6d3e4395102,D11,OAES,OAES_007,OAES_007.basePlot.bgc,2024-03-19T22:49:00Z,2024-03-19T22:49:00Z,OAES_007-M-41-20240319,A00000420781,OAES_007-M-41-20240319-SM,NEON.DOC.014048vP,M,2024-03-20T20:26:00Z,2024-03-25T14:06:00Z,2.07,12.09,10.79,0.149,0.87,OK,NA,0009-0002-2566-9846,NA,20251217T193533Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
45a92c74-f4b3-41a8-a1ee-3dd31e0a30e1,D11,OAES,OAES_042,OAES_042.basePlot.bgc,2024-05-06T19:38:00Z,2024-05-06T19:38:00Z,OAES_042-M-41-20240506,A00000421337,OAES_042-M-41-20240506-SM,NEON.DOC.014048vP,M,2024-05-08T19:13:00Z,2024-05-13T14:09:00Z,2.22,12.45,10.84,0.187,0.843,OK,NA,0000-0003-2942-5873,NA,20251217T193749Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
0098958a-e211-4de3-87c6-d0a53a0a0ec9,D11,OAES,OAES_044,OAES_044.basePlot.bgc,2024-05-06T19:41:00Z,2024-05-06T19:41:00Z,OAES_044-M-39-20240506,A00000421352,OAES_044-M-39-20240506-SM,NEON.DOC.014048vP,M,2024-05-08T20:01:00Z,2024-05-13T14:17:00Z,2.1,11.79,10.3,0.182,0.846,OK,NA,0009-0007-5948-2613,NA,20251217T193749Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
181f5ce6-45cf-4e12-82e2-d5855efa6f0c,D11,OAES,OAES_044,OAES_044.basePlot.bgc,2024-05-06T20:09:00Z,2024-05-06T20:09:00Z,OAES_044-M-21-20240506,A00000421400,OAES_044-M-21-20240506-SM,NEON.DOC.014048vP,M,2024-05-08T19:20:00Z,2024-05-13T14:09:00Z,2.14,12.11,10.7,0.165,0.859,OK,NA,0009-0008-7122-7356,NA,20251217T193749Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
ab611f62-66bd-4868-8ba6-bdfac585f4b4,D11,OAES,OAES_042,OAES_042.basePlot.bgc,2024-05-06T20:11:00Z,2024-05-06T20:11:00Z,OAES_042-M-23-20240506,A00000421353,OAES_042-M-23-20240506-SM,NEON.DOC.014048vP,M,2024-05-08T19:11:00Z,2024-05-13T14:09:00Z,2.08,11.49,10.19,0.16,0.862,OK,NA,0000-0003-2942-5873,NA,20251217T193749Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
dbbf1073-e4c6-4279-9aa8-494d9033ff18,D11,OAES,OAES_042,OAES_042.basePlot.bgc,2024-05-06T20:28:00Z,2024-05-06T20:28:00Z,OAES_042-M-21-20240506,A00000421369,OAES_042-M-21-20240506-SM,NEON.DOC.014048vP,M,2024-05-08T19:48:00Z,2024-05-13T14:09:00Z,2.12,11.94,10.63,0.154,0.867,OK,NA,0000-0003-2942-5873,NA,20251217T193749Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
29ecac11-727b-45f6-9c0b-a770ee035c4f,D11,OAES,OAES_044,OAES_044.basePlot.bgc,2024-05-06T20:35:00Z,2024-05-06T20:35:00Z,OAES_044-M-23-20240506,A00000421368,OAES_044-M-23-20240506-SM,NEON.DOC.014048vP,M,2024-05-08T19:18:00Z,2024-05-13T14:09:00Z,2.05,11.82,10.23,0.194,0.837,OK,NA,0009-0007-5948-2613,NA,20251217T193749Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
aeb13f7d-1e60-4adb-b6f4-288670b66a3a,D11,OAES,OAES_045,OAES_045.basePlot.bgc,2024-05-06T21:16:00Z,2024-05-06T21:16:00Z,OAES_045-M-21-20240506,A00000421383,OAES_045-M-21-20240506-SM,NEON.DOC.014048vP,M,2024-05-08T19:51:00Z,2024-05-13T14:09:00Z,2.06,12.05,10.22,0.224,0.817,OK,NA,0009-0008-7122-7356,NA,20251217T193749Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
92b3927c-aa95-4d43-91dd-2f8f0d0b8c5c,D11,OAES,OAES_043,OAES_043.basePlot.bgc,2024-05-06T21:18:00Z,2024-05-06T21:18:00Z,OAES_043-M-21-20240506,A00000421321,OAES_043-M-21-20240506-SM,NEON.DOC.014048vP,M,2024-05-08T20:19:00Z,2024-05-13T14:09:00Z,2.13,12.05,11.01,0.117,0.895,OK,NA,0009-0002-7681-7124,NA,20251217T193749Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
c7738b3e-10c7-4491-8d4b-fdf5527e7813,D11,OAES,OAES_045,OAES_045.basePlot.bgc,2024-05-06T21:38:00Z,2024-05-06T21:38:00Z,OAES_045-M-39-20240506,A00000421399,OAES_045-M-39-20240506-SM,NEON.DOC.014048vP,M,2024-05-08T19:40:00Z,2024-05-13T14:09:00Z,2.13,12.27,10.89,0.158,0.864,OK,NA,0009-0007-5948-2613,NA,20251217T193749Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
09ca8e40-396b-466e-a166-c7d08ac884fc,D11,OAES,OAES_043,OAES_043.basePlot.bgc,2024-05-06T21:39:00Z,2024-05-06T21:39:00Z,OAES_043-M-23-20240506,A00000421320,OAES_043-M-23-20240506-SM,NEON.DOC.014048vP,M,2024-05-08T20:03:00Z,2024-05-13T14:17:00Z,2.04,12.48,10.71,0.204,0.83,OK,NA,0000-0003-2942-5873,NA,20251217T193749Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
cd7b33a7-e980-4e84-934f-4da6501bbebf,D11,OAES,OAES_045,OAES_045.basePlot.bgc,2024-05-06T21:58:00Z,2024-05-06T21:58:00Z,OAES_045-M-41-20240506,A00000421384,OAES_045-M-41-20240506-SM,NEON.DOC.014048vP,M,2024-05-08T19:43:00Z,2024-05-13T14:09:00Z,2.18,12.15,10.35,0.22,0.819,OK,NA,0009-0002-7681-7124,NA,20251217T193749Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
435f8648-347b-4673-8bcc-c0193141af95,D11,OAES,OAES_043,OAES_043.basePlot.bgc,2024-05-06T22:00:00Z,2024-05-06T22:00:00Z,OAES_043-M-41-20240506,A00000421336,OAES_043-M-41-20240506-SM,NEON.DOC.014048vP,M,2024-05-08T20:28:00Z,2024-05-13T14:17:00Z,2.08,12.08,10.82,0.144,0.874,OK,NA,0000-0003-2942-5873,NA,20251217T193749Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
e3f2c8a9-69f5-444a-9e39-7c7ef5466eaa,D11,OAES,OAES_001,OAES_001.basePlot.bgc,2024-05-07T13:38:00Z,2024-05-07T13:38:00Z,OAES_001-M-21-20240507,A00000421356,OAES_001-M-21-20240507-SM,NEON.DOC.014048vP,M,2024-05-08T21:32:00Z,2024-05-13T14:27:00Z,2.07,11.97,10.38,0.191,0.839,OK,NA,0000-0003-2942-5873,NA,20251217T193749Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
49dee60c-c48e-47f1-93af-62b0b4ba2558,D11,OAES,OAES_001,OAES_001.basePlot.bgc,2024-05-07T14:00:00Z,2024-05-07T14:00:00Z,OAES_001-M-23-20240507,A00000421372,OAES_001-M-23-20240507-SM,NEON.DOC.014048vP,M,2024-05-08T21:07:00Z,2024-05-13T14:17:00Z,2.07,12.09,10.82,0.145,0.873,OK,NA,0009-0008-7122-7356,NA,20251217T193749Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
fdaafe80-15b6-4b9f-b542-ac86a2e16d12,D11,OAES,OAES_001,OAES_001.basePlot.bgc,2024-05-07T14:22:00Z,2024-05-07T14:22:00Z,OAES_001-M-39-20240507,A00000421388,OAES_001-M-39-20240507-SM,NEON.DOC.014048vP,M,2024-05-08T21:00:00Z,2024-05-13T14:27:00Z,2.15,12.26,11.01,0.141,0.876,OK,NA,0009-0007-5948-2613,NA,20251217T193749Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
4b967797-373e-40e6-a261-2791143755ae,D11,OAES,OAES_003,OAES_003.basePlot.bgc,2024-05-07T15:17:00Z,2024-05-07T15:17:00Z,OAES_003-M-41-20240507,A00000421339,OAES_003-M-41-20240507-SM,NEON.DOC.014048vP,M,2024-05-08T21:39:00Z,2024-05-13T14:27:00Z,2.14,12.14,10.72,0.166,0.858,OK,NA,0009-0008-7122-7356,NA,20251217T193749Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
8eb2452a-9aee-495d-a469-218315c1365e,D11,OAES,OAES_002,OAES_002.basePlot.bgc,2024-05-07T15:23:00Z,2024-05-07T15:23:00Z,OAES_002-M-23-20240507,A00000421403,OAES_002-M-23-20240507-SM,NEON.DOC.014048vP,M,2024-05-08T21:13:00Z,2024-05-13T14:17:00Z,2.08,12.03,10.28,0.213,0.824,OK,NA,0000-0003-2942-5873,NA,20251217T193749Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
06ea56d0-a529-4fca-be49-aafbb2687261,D11,OAES,OAES_003,OAES_003.basePlot.bgc,2024-05-07T15:38:00Z,2024-05-07T15:38:00Z,OAES_003-M-23-20240507,A00000421355,OAES_003-M-23-20240507-SM,NEON.DOC.014048vP,M,2024-05-08T22:24:00Z,2024-05-13T14:33:00Z,2.14,12.15,10.69,0.171,0.854,OK,NA,0009-0008-7122-7356,NA,20251217T193749Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
4d6d87a4-2a41-4456-9f4b-041ad78317a9,D11,OAES,OAES_002,OAES_002.basePlot.bgc,2024-05-07T15:45:00Z,2024-05-07T15:45:00Z,OAES_002-M-21-20240507,A00000421404,OAES_002-M-21-20240507-SM,NEON.DOC.014048vP,M,2024-05-08T20:54:00Z,2024-05-13T14:17:00Z,2.02,12.19,10.13,0.254,0.797,OK,NA,0009-0002-7681-7124,NA,20251217T193749Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
d914d1a9-2094-4038-bdde-d0684d596736,D11,OAES,OAES_003,OAES_003.basePlot.bgc,2024-05-07T15:57:00Z,2024-05-07T15:57:00Z,OAES_003-M-21-20240507,A00000421371,OAES_003-M-21-20240507-SM,NEON.DOC.014048vP,M,2024-05-08T22:12:00Z,2024-05-13T14:33:00Z,2.11,12.2,10.82,0.158,0.863,OK,NA,0000-0003-2942-5873,NA,20251217T193749Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
77ee4da0-826a-48a7-aafb-ff39d5915283,D11,OAES,OAES_002,OAES_002.basePlot.bgc,2024-05-07T16:08:00Z,2024-05-07T16:08:00Z,OAES_002-M-41-20240507,A00000421387,OAES_002-M-41-20240507-SM,NEON.DOC.014048vP,M,2024-05-08T21:33:00Z,2024-05-13T14:27:00Z,2.12,12.33,10.53,0.214,0.824,OK,NA,0009-0002-7681-7124,NA,20251217T193749Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
924cb7c7-d815-4600-8fb2-a4db54a09155,D11,OAES,OAES_009,OAES_009.basePlot.bgc,2024-05-07T17:05:00Z,2024-05-07T17:05:00Z,OAES_009-M-39-20240507,A00000421385,OAES_009-M-39-20240507-SM,NEON.DOC.014048vP,M,2024-05-08T20:52:00Z,2024-05-13T14:17:00Z,1.98,11.59,10.11,0.182,0.846,OK,NA,0000-0003-2942-5873,NA,20251217T193749Z,RELEASE-2026,DP1.10086.001,OAES,2024,sls_soilMoisture
