uid,domainID,siteID,extractionStartDate,extractionEndDate,kclReferenceID,kclBlank1ID,kclBlank1Code,kclBlank2ID,kclBlank2Code,kclBlank3ID,kclBlank3Code,remarks,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
bfd6a38f-5332-4816-8ec7-2582ed13ccb0,D02,SERC,2021-03-30,2021-03-30,SERC-20210330-BREF1,SERC-20210330-BREF1-A,B00000052555,SERC-20210330-BREF1-B,B00000052541,SERC-20210330-BREF1-C,B00000052540,NA,NA,20251217T193729Z,RELEASE-2026,DP1.10086.001,SERC,2021,ntr_internalLabBlanks
0ffcf3ec-e1ef-4631-9e72-c4c0d93368a8,D02,SERC,2021-03-31,2021-03-31,SERC-20210331-BREF1,SERC-20210331-BREF1-A,B00000052559,SERC-20210331-BREF1-B,B00000052561,SERC-20210331-BREF1-C,B00000052563,NA,NA,20251217T193729Z,RELEASE-2026,DP1.10086.001,SERC,2021,ntr_internalLabBlanks
7aa5fc61-8165-4de5-a7e4-d242a79169c2,D02,SERC,2021-04-21,2021-04-21,SERC-20210421-BREF1,SERC-20210421-BREF1-A,B00000052635,SERC-20210421-BREF1-B,B00000052636,SERC-20210421-BREF1-C,B00000052637,NA,NA,20251217T193635Z,RELEASE-2026,DP1.10086.001,SERC,2021,ntr_internalLabBlanks
1eb697d5-eb66-438a-949f-a4d75ca1ca34,D02,SERC,2021-07-07,2021-07-07,SERC-20210707-BREF1,SERC-20210707-BREF1-A,B00000052801,SERC-20210707-BREF1-B,B00000052811,SERC-20210707-BREF1-C,B00000052847,NA,NA,20251217T193941Z,RELEASE-2026,DP1.10086.001,SERC,2021,ntr_internalLabBlanks
0f1a5df8-cbb5-4939-8454-9b4b88c8d96c,D02,SERC,2021-07-08,2021-07-08,SERC-20210708-BREF1,SERC-20210708-BREF1-A,B00000052791,SERC-20210708-BREF1-B,B00000052781,SERC-20210708-BREF1-C,B00000052828,NA,NA,20251217T193941Z,RELEASE-2026,DP1.10086.001,SERC,2021,ntr_internalLabBlanks
e587bdb0-27d0-42bb-8670-7d08f43a1647,D02,SERC,2021-07-27,2021-07-27,SERC-20210727-BREF1,SERC-20210727-BREF1-A,B00000052794,SERC-20210727-BREF1-B,B00000052803,SERC-20210727-BREF1-C,B00000052804,NA,NA,20251217T193941Z,RELEASE-2026,DP1.10086.001,SERC,2021,ntr_internalLabBlanks
8febd17d-edbe-43bc-a29e-2845774e511b,D02,SERC,2021-07-28,2021-07-28,SERC-20210728-BREF1,SERC-20210728-BREF1-A,B00000070931,SERC-20210728-BREF1-B,B00000052813,SERC-20210728-BREF1-C,B00000070929,NA,NA,20251217T193941Z,RELEASE-2026,DP1.10086.001,SERC,2021,ntr_internalLabBlanks
df06259b-48f3-4b91-af22-360e89c6bfef,D02,SERC,2021-10-19,2021-10-19,SERC-20211019-BREF1,SERC-20211019-BREF1-A,B00000070974,SERC-20211019-BREF1-B,B00000070956,SERC-20211019-BREF1-C,B00000070948,NA,NA,20251217T194031Z,RELEASE-2026,DP1.10086.001,SERC,2021,ntr_internalLabBlanks
57c5abc5-14d2-44ed-aa2a-2472183df172,D02,SERC,2021-10-20,2021-10-20,SERC-20211020-BREF1,SERC-20211020-BREF1-A,B00000070955,SERC-20211020-BREF1-B,B00000070964,SERC-20211020-BREF1-C,B00000070922,NA,NA,20251217T194031Z,RELEASE-2026,DP1.10086.001,SERC,2021,ntr_internalLabBlanks
1ba11f11-b2f2-426a-b3a0-1242166f2f90,D02,SERC,2021-11-09,2021-11-09,SERC-20211109-BREF1,SERC-20211109-BREF1-A,B00000070991,SERC-20211109-BREF1-B,B00000070990,SERC-20211109-BREF1-C,B00000071002,NA,NA,20251217T193421Z,RELEASE-2026,DP1.10086.001,SERC,2021,ntr_internalLabBlanks
0ef0a9df-f3e9-4a27-bc4d-2d95c89abf24,D02,SERC,2021-11-10,2021-11-10,SERC-20211110-BREF1,SERC-20211110-BREF1-A,B00000070978,SERC-20211110-BREF1-B,B00000070980,SERC-20211110-BREF1-C,B00000070997,NA,NA,20251217T193421Z,RELEASE-2026,DP1.10086.001,SERC,2021,ntr_internalLabBlanks
