uid,namedLocation,domainID,siteID,plotID,startDate,collectDate,sampleID,sampleCode,kclSampleID,kclSampleCode,sampleCondition,ammoniumNAnalysisDate,kclAmmoniumNConc,ammoniumNRepNum,ammoniumNQF,ammoniumNRemarks,nitrateNitriteNAnalysisDate,kclNitrateNitriteNConc,nitrateNitriteNRepNum,nitrateNitriteNQF,nitrateNitriteNRemarks,laboratoryName,ammoniumNMethod,ammoniumNInstrument,ammoniumNAnalyzedBy,ammoniumNReviewedBy,nitrateNitriteNMethod,nitrateNitriteNInstrument,nitrateNitriteNAnalyzedBy,nitrateNitriteNReviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
38459f42-6660-4e1b-a53b-e539c93da6eb,SJER_001.basePlot.bgc,D17,SJER,SJER_001,2024-02-19T17:38:00Z,2024-02-19T17:38:00Z,SJER_001-M-23-20240219,A00000395690,SJER_001-M-23-20240219-KCL,B00000125338,ok,2024-10-11,0.095,1,OK,NA,2024-10-11,0.17,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194041Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_externalLab
0cfbd8fc-3c3c-4d50-b9c6-ac3096cc6583,SJER_001.basePlot.bgc,D17,SJER,SJER_001,2024-02-19T18:03:00Z,2024-02-19T18:03:00Z,SJER_001-M-41-20240219,A00000395691,SJER_001-M-41-20240219-KCL,B00000125336,ok,2024-10-11,0.262,1,OK,NA,2024-10-11,0.09,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194041Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_externalLab
cf5a578a-7e10-413d-8892-bbdb41a7681f,SJER_001.basePlot.bgc,D17,SJER,SJER_001,2024-02-19T18:03:00Z,2024-02-19T18:03:00Z,SJER_001-M-41-20240219,A00000395691,SJER_001-M-41-20240219-KCL,B00000125336,ok,2024-10-11,0.264,2,OK,NA,2024-10-11,0.091,2,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194041Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_externalLab
87cc773a-54e8-4592-922d-a33707dd2f59,SJER_001.basePlot.bgc,D17,SJER,SJER_001,2024-02-19T18:26:00Z,2024-02-19T18:26:00Z,SJER_001-M-39-20240219,A00000395692,SJER_001-M-39-20240219-KCL,B00000125337,ok,2024-10-11,0.176,1,OK,NA,2024-10-11,0.082,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194041Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_externalLab
bf090fc9-c0fc-4ec7-b5dd-8da4697d8812,SJER_045.basePlot.bgc,D17,SJER,SJER_045,2024-02-19T19:36:00Z,2024-02-19T19:36:00Z,SJER_045-M-21-20240219,A00000395695,SJER_045-M-21-20240219-KCL,B00000125330,ok,2024-10-11,0.179,1,OK,NA,2024-10-11,0.131,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194041Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_externalLab
7ac77281-1445-4f42-aff9-d65ffa326288,SJER_045.basePlot.bgc,D17,SJER,SJER_045,2024-02-19T19:52:00Z,2024-02-19T19:52:00Z,SJER_045-M-39-20240219,A00000395696,SJER_045-M-39-20240219-KCL,B00000125331,ok,2024-10-11,0.174,1,OK,NA,2024-10-11,0.085,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194041Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_externalLab
b63358a7-2b19-4dfe-831b-92f763c73060,SJER_045.basePlot.bgc,D17,SJER,SJER_045,2024-02-19T20:15:00Z,2024-02-19T20:15:00Z,SJER_045-M-23-20240219,A00000395697,SJER_045-M-23-20240219-KCL,B00000125335,ok,2024-10-11,0.272,1,OK,NA,2024-10-11,0.14,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194041Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_externalLab
9cbbc16d-2707-403c-82f0-43edb2a1261c,SJER_046.basePlot.bgc,D17,SJER,SJER_046,2024-02-19T21:37:00Z,2024-02-19T21:37:00Z,SJER_046-M-23-20240219,A00000395698,SJER_046-M-23-20240219-KCL,B00000125334,ok,2024-10-11,0.192,1,OK,NA,2024-10-11,0.099,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194041Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_externalLab
2063299d-45e5-4d4e-8372-4c5bec33b954,SJER_046.basePlot.bgc,D17,SJER,SJER_046,2024-02-19T21:51:00Z,2024-02-19T21:51:00Z,SJER_046-M-41-20240219,A00000395699,SJER_046-M-41-20240219-KCL,B00000125333,ok,2024-10-11,0.261,1,OK,NA,2024-10-11,0.108,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194041Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_externalLab
7a7193c3-fa7f-4a26-a435-3b3e6d689a31,SJER_046.basePlot.bgc,D17,SJER,SJER_046,2024-02-19T22:09:00Z,2024-02-19T22:09:00Z,SJER_046-M-21-20240219,A00000395700,SJER_046-M-21-20240219-KCL,B00000125332,ok,2024-10-11,0.247,1,OK,NA,2024-10-11,0.135,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194041Z,RELEASE-2026,DP1.10086.001,SJER,2024,ntr_externalLab
