uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,sampleID,sampleCode,cnSampleID,cnSampleCode,sampleType,acidTreatment,co2Trapped,d15N,organicd13C,nitrogenPercent,organicCPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
1f6d6310-bdc6-43b9-ab79-104ccfb3ea6e,2024-12-05,SOAP_031.basePlot.bgc,D17,SOAP,SOAP_031,tower,2024-05-20T18:20:00Z,2024-05-20T18:20:00Z,SOAP_031-M-21-20240520,A00000396010,SOAP_031-M-21-20240520-CN,A00000396145,soil,N,N,-0.3,-26.9,0.07,1.6,22,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T193547Z,RELEASE-2026,DP1.10086.001,SOAP,2024,sls_soilChemistry
ffe099bc-20cd-4291-a164-a096ee87100b,2024-12-05,SOAP_031.basePlot.bgc,D17,SOAP,SOAP_031,tower,2024-05-20T18:44:00Z,2024-05-20T18:44:00Z,SOAP_031-M-23-20240520,A00000396042,SOAP_031-M-23-20240520-CN,A00000396109,soil,N,N,0.1,-26.3,0.14,2.49,17.4,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T193547Z,RELEASE-2026,DP1.10086.001,SOAP,2024,sls_soilChemistry
fb502f1f-497c-4642-a38a-09d4c130e748,2024-12-05,SOAP_031.basePlot.bgc,D17,SOAP,SOAP_031,tower,2024-05-20T19:19:00Z,2024-05-20T19:19:00Z,SOAP_031-M-39-20240520,A00000396026,SOAP_031-M-39-20240520-CN,A00000396063,soil,N,N,-0.2,-26.6,0.16,4.25,26.3,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T193547Z,RELEASE-2026,DP1.10086.001,SOAP,2024,sls_soilChemistry
e63fe3a3-20bf-4a72-92e5-2900bd32452f,2024-12-05,SOAP_003.basePlot.bgc,D17,SOAP,SOAP_003,distributed,2024-05-20T20:56:00Z,2024-05-20T20:56:00Z,SOAP_003-M-21-20240520,A00000395979,SOAP_003-M-21-20240520-CN,A00000396144,soil,N,N,0.6,-26.2,0.09,1.6,18.7,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T193547Z,RELEASE-2026,DP1.10086.001,SOAP,2024,sls_soilChemistry
a649b357-52fc-43c9-92b3-790651c0ceb3,2024-12-05,SOAP_003.basePlot.bgc,D17,SOAP,SOAP_003,distributed,2024-05-20T21:19:00Z,2024-05-20T21:19:00Z,SOAP_003-M-39-20240520,A00000395978,SOAP_003-M-39-20240520-CN,A00000396095,soil,N,N,0.6,-27.2,0.05,1.33,25.7,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T193547Z,RELEASE-2026,DP1.10086.001,SOAP,2024,sls_soilChemistry
dd5c4c48-6805-4c43-b39b-b14b0feef438,2024-12-05,SOAP_003.basePlot.bgc,D17,SOAP,SOAP_003,distributed,2024-05-20T21:35:00Z,2024-05-20T21:35:00Z,SOAP_003-M-23-20240520,A00000149611,SOAP_003-M-23-20240520-CN,A00000396128,soil,N,N,1.4,-25,0.15,2.93,19.6,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T193547Z,RELEASE-2026,DP1.10086.001,SOAP,2024,sls_soilChemistry
a664ff96-1a2f-400f-ba8c-655d465b8eb7,2024-12-05,SOAP_004.basePlot.bgc,D17,SOAP,SOAP_004,distributed,2024-05-21T17:38:00Z,2024-05-21T17:38:00Z,SOAP_004-M-39-20240521,A00000396024,SOAP_004-M-39-20240521-CN,A00000396083,soil,N,N,1.1,-26.4,0.2,3.89,19.2,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T193547Z,RELEASE-2026,DP1.10086.001,SOAP,2024,sls_soilChemistry
4b560e0f-4d44-4f60-943f-572b61f29fc9,2024-12-05,SOAP_004.basePlot.bgc,D17,SOAP,SOAP_004,distributed,2024-05-21T18:09:00Z,2024-05-21T18:09:00Z,SOAP_004-M-21-20240521,A00000396039,SOAP_004-M-21-20240521-CN,A00000396070,soil,N,N,2.3,-26.2,0.16,3.2,19.6,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T193547Z,RELEASE-2026,DP1.10086.001,SOAP,2024,sls_soilChemistry
8600c0d7-da5a-4236-a2e9-3368a1f545af,2024-12-05,SOAP_004.basePlot.bgc,D17,SOAP,SOAP_004,distributed,2024-05-21T18:32:00Z,2024-05-21T18:32:00Z,SOAP_004-M-23-20240521,A00000395980,SOAP_004-M-23-20240521-CN,A00000396068,soil,N,N,2.1,-25.6,0.2,4.13,20.3,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T193547Z,RELEASE-2026,DP1.10086.001,SOAP,2024,sls_soilChemistry
f0e4ea7e-93cc-41ef-b2e5-8f9959f884fe,2024-12-05,SOAP_045.basePlot.bgc,D17,SOAP,SOAP_045,tower,2024-05-21T19:54:00Z,2024-05-21T19:54:00Z,SOAP_045-M-41-20240521,A00000396023,SOAP_045-M-41-20240521-CN,A00000396061,soil,N,N,0.4,-25.9,0.24,4.14,17.3,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T193547Z,RELEASE-2026,DP1.10086.001,SOAP,2024,sls_soilChemistry
