uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,sampleID,sampleCode,cnSampleID,cnSampleCode,bgcArchiveID,bgcArchiveCode,bgcArchiveMass,toxicodendronPossible,sampleCondition,bgcRemarks,processedBy,bgcDataQF,publicationDate,release,dpID,site_download,year_download,source_table
d8907fc7-d15a-49f3-a694-7078c0f32acf,D05,UNDE,UNDE_002,UNDE_002.basePlot.bgc,2019-07-15T15:25:00Z,2019-07-15T15:25:00Z,NEON.DOC.014048vL,O,2019-07-16T21:00:00Z,2019-07-18T21:35:00Z,UNDE_002-O-33-17-20190715,A00000077102,UNDE_002-O-33-17-20190715-CN,A00000077332,UNDE_002-O-33-17-20190715-BA,NA,NA,NA,OK,NA,0000-0001-6472-2940,NA,20251217T193408Z,RELEASE-2026,DP1.10086.001,UNDE,2019,sls_bgcSubsampling
cffff706-7ba7-4868-8857-b44cacf1988d,D05,UNDE,UNDE_006,UNDE_006.basePlot.bgc,2019-07-15T15:32:00Z,2019-07-15T15:32:00Z,NEON.DOC.014048vL,M,2019-07-16T21:00:00Z,2019-07-18T21:35:00Z,UNDE_006-M-7-21-20190715,A00000077118,UNDE_006-M-7-21-20190715-CN,A00000077322,UNDE_006-M-7-21-20190715-BA,A00000077883,NA,NA,OK,NA,0000-0001-6472-2940,NA,20251217T193408Z,RELEASE-2026,DP1.10086.001,UNDE,2019,sls_bgcSubsampling
8c63e517-fac7-4e24-a2d1-e059fac5a6f9,D05,UNDE,UNDE_003,UNDE_003.basePlot.bgc,2019-07-15T15:49:00Z,2019-07-15T15:49:00Z,NEON.DOC.014048vL,O,2019-07-16T21:00:00Z,2019-07-18T21:35:00Z,UNDE_003-O-19-7-20190715,A00000077126,UNDE_003-O-19-7-20190715-CN,A00000077340,UNDE_003-O-19-7-20190715-BA,NA,NA,NA,OK,NA,0000-0001-6472-2940,NA,20251217T193408Z,RELEASE-2026,DP1.10086.001,UNDE,2019,sls_bgcSubsampling
2dc1f531-a61f-47d0-a8e5-ebf042622330,D05,UNDE,UNDE_006,UNDE_006.basePlot.bgc,2019-07-15T16:09:00Z,2019-07-15T16:09:00Z,NEON.DOC.014048vL,M,2019-07-16T21:00:00Z,2019-07-18T21:35:00Z,UNDE_006-M-9.5-0.5-20190715,A00000077108,UNDE_006-M-9.5-0.5-20190715-CN,A00000077321,UNDE_006-M-9.5-0.5-20190715-BA,A00000077884,NA,NA,OK,NA,0000-0001-6472-2940,NA,20251217T193408Z,RELEASE-2026,DP1.10086.001,UNDE,2019,sls_bgcSubsampling
a45ba78b-7232-4a83-b1d0-9db2b4cbb586,D05,UNDE,UNDE_002,UNDE_002.basePlot.bgc,2019-07-15T16:10:00Z,2019-07-15T16:10:00Z,NEON.DOC.014048vL,O,2019-07-16T21:00:00Z,2019-07-18T21:35:00Z,UNDE_002-O-2.5-0.5-20190715,A00000077103,UNDE_002-O-2.5-0.5-20190715-CN,A00000077333,UNDE_002-O-2.5-0.5-20190715-BA,NA,NA,NA,OK,NA,0000-0001-6472-2940,NA,20251217T193408Z,RELEASE-2026,DP1.10086.001,UNDE,2019,sls_bgcSubsampling
ab37b207-0923-4ea4-b56d-69f0b469498c,D05,UNDE,UNDE_002,UNDE_002.basePlot.bgc,2019-07-15T16:40:00Z,2019-07-15T16:40:00Z,NEON.DOC.014048vL,O,2019-07-16T21:00:00Z,2019-07-18T21:35:00Z,UNDE_002-O-2-26.5-20190715,A00000077104,UNDE_002-O-2-26.5-20190715-CN,A00000077324,UNDE_002-O-2-26.5-20190715-BA,NA,NA,NA,OK,NA,0000-0001-6472-2940,NA,20251217T193408Z,RELEASE-2026,DP1.10086.001,UNDE,2019,sls_bgcSubsampling
48db9ba4-ff35-4a9f-b7de-3c2ea18c99ca,D05,UNDE,UNDE_003,UNDE_003.basePlot.bgc,2019-07-15T16:44:00Z,2019-07-15T16:44:00Z,NEON.DOC.014048vL,M,2019-07-16T21:00:00Z,2019-07-18T21:35:00Z,UNDE_003-M-13.5-34-20190715,A00000077169,UNDE_003-M-13.5-34-20190715-CN,A00000077339,UNDE_003-M-13.5-34-20190715-BA,A00000077881,NA,NA,OK,NA,0000-0001-6472-2940,NA,20251217T193408Z,RELEASE-2026,DP1.10086.001,UNDE,2019,sls_bgcSubsampling
f24b3f8f-9a0f-42f5-aed7-ecddedfa4946,D05,UNDE,UNDE_003,UNDE_003.basePlot.bgc,2019-07-15T17:17:00Z,2019-07-15T17:17:00Z,NEON.DOC.014048vL,O,2019-07-16T21:00:00Z,2019-07-18T21:35:00Z,UNDE_003-O-23-35.5-20190715,A00000077151,UNDE_003-O-23-35.5-20190715-CN,A00000077341,UNDE_003-O-23-35.5-20190715-BA,NA,NA,NA,OK,NA,0000-0001-6472-2940,NA,20251217T193408Z,RELEASE-2026,DP1.10086.001,UNDE,2019,sls_bgcSubsampling
9a45a371-58ce-4ed3-bd37-0f22817b1576,D05,UNDE,UNDE_006,UNDE_006.basePlot.bgc,2019-07-15T17:18:00Z,2019-07-15T17:18:00Z,NEON.DOC.014048vL,M,2019-07-16T21:00:00Z,2019-07-18T21:35:00Z,UNDE_006-M-35.5-19-20190715,A00000077107,UNDE_006-M-35.5-19-20190715-CN,A00000077323,UNDE_006-M-35.5-19-20190715-BA,A00000077882,NA,NA,OK,NA,0000-0001-6472-2940,NA,20251217T193408Z,RELEASE-2026,DP1.10086.001,UNDE,2019,sls_bgcSubsampling
8d68fa5a-4334-43ea-9641-5a943f24f34a,D05,UNDE,UNDE_001,UNDE_001.basePlot.bgc,2019-07-15T18:13:00Z,2019-07-15T18:13:00Z,NEON.DOC.014048vL,O,2019-07-16T21:00:00Z,2019-07-18T21:35:00Z,UNDE_001-O-36-5-20190715,A00000077091,UNDE_001-O-36-5-20190715-CN,A00000077335,UNDE_001-O-36-5-20190715-BA,A00000077876,NA,NA,OK,NA,0000-0001-6472-2940,NA,20251217T193408Z,RELEASE-2026,DP1.10086.001,UNDE,2019,sls_bgcSubsampling
