uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
e3e84e97-bd48-4706-9fd0-2cae01e8cf8c,D09,WOOD,WOOD_024,WOOD_024.basePlot.bgc,2019-05-14T15:08:00Z,2019-05-14T15:08:00Z,WOOD_024-M-6-21-20190514,A00000084517,WOOD_024-M-6-21-20190514-SM,NEON.DOC.014048vL,M,2019-05-15T18:30:00Z,2019-05-17T19:08:00Z,5.71,15.71,10.39,1.137,0.468,NA,NA,0000-0002-1892-7221,NA,20251217T193834Z,RELEASE-2026,DP1.10086.001,WOOD,2019,sls_soilMoisture
974a5db3-39fb-4c9d-b4e5-0077433affa4,D09,WOOD,WOOD_024,WOOD_024.basePlot.bgc,2019-05-14T15:38:00Z,2019-05-14T15:38:00Z,WOOD_024-M-6.5-16.5-20190514,A00000084516,WOOD_024-M-6.5-16.5-20190514-SM,NEON.DOC.014048vL,M,2019-05-15T18:25:00Z,2019-05-17T19:08:00Z,5.66,15.7,9.58,1.561,0.39,NA,NA,0000-0002-1892-7221,NA,20251217T193834Z,RELEASE-2026,DP1.10086.001,WOOD,2019,sls_soilMoisture
df7cb866-7dfd-44f1-9454-8673f7fbb635,D09,WOOD,WOOD_024,WOOD_024.basePlot.bgc,2019-05-14T16:23:00Z,2019-05-14T16:23:00Z,WOOD_024-M-36-17.5-20190514,A00000084518,WOOD_024-M-36-17.5-20190514-SM,NEON.DOC.014048vL,M,2019-05-15T18:30:00Z,2019-05-17T19:02:00Z,5.67,15.63,10.65,1,0.5,NA,NA,0000-0002-1892-7221,NA,20251217T193834Z,RELEASE-2026,DP1.10086.001,WOOD,2019,sls_soilMoisture
e65d2048-53f0-49dd-be4d-195ef9ea73e3,D09,WOOD,WOOD_005,WOOD_005.basePlot.bgc,2019-05-14T17:30:00Z,2019-05-14T17:30:00Z,WOOD_005-M-8.5-1.5-20190514,A00000084520,WOOD_005-M-8.5-1.5-20190514-SM,NEON.DOC.014048vL,M,2019-05-15T18:25:00Z,2019-05-17T19:02:00Z,5.7,15.81,14.08,0.206,0.829,NA,NA,0000-0002-1892-7221,NA,20251217T193834Z,RELEASE-2026,DP1.10086.001,WOOD,2019,sls_soilMoisture
10213bc9-8e4b-49fb-8b01-6e82a4bf9174,D09,WOOD,WOOD_005,WOOD_005.basePlot.bgc,2019-05-14T17:48:00Z,2019-05-14T17:48:00Z,WOOD_005-M-14.5-38-20190514,A00000084519,WOOD_005-M-14.5-38-20190514-SM,NEON.DOC.014048vL,M,2019-05-15T18:25:00Z,2019-05-17T19:02:00Z,5.79,15.79,13.81,0.247,0.802,NA,NA,0000-0001-5730-2163,NA,20251217T193834Z,RELEASE-2026,DP1.10086.001,WOOD,2019,sls_soilMoisture
03c7e0bb-143c-4254-abd0-435295329ec0,D09,WOOD,WOOD_005,WOOD_005.basePlot.bgc,2019-05-14T18:05:00Z,2019-05-14T18:05:00Z,WOOD_005-M-26-37.5-20190514,A00000084521,WOOD_005-M-26-37.5-20190514-SM,NEON.DOC.014048vL,M,2019-05-15T18:25:00Z,2019-05-17T19:02:00Z,5.84,15.8,13.77,0.256,0.796,NA,NA,0000-0002-1892-7221,NA,20251217T193834Z,RELEASE-2026,DP1.10086.001,WOOD,2019,sls_soilMoisture
26a3f4bd-f316-4e90-b10f-7acb108c7bf3,D09,WOOD,WOOD_043,WOOD_043.basePlot.bgc,2019-05-14T19:17:00Z,2019-05-14T19:17:00Z,WOOD_043-M-18-6.5-20190514,A00000084511,WOOD_043-M-18-6.5-20190514-SM,NEON.DOC.014048vL,M,2019-05-15T18:25:00Z,2019-05-17T19:02:00Z,5.72,15.73,13.64,0.264,0.791,NA,NA,0000-0002-1892-7221,NA,20251217T193834Z,RELEASE-2026,DP1.10086.001,WOOD,2019,sls_soilMoisture
3f95a044-e1c0-4ec1-a461-057b08aba0f2,D09,WOOD,WOOD_043,WOOD_043.basePlot.bgc,2019-05-14T19:35:00Z,2019-05-14T19:35:00Z,WOOD_043-M-38.5-25-20190514,A00000084510,WOOD_043-M-38.5-25-20190514-SM,NEON.DOC.014048vL,M,2019-05-15T18:25:00Z,2019-05-17T19:02:00Z,5.61,15.59,13.28,0.301,0.769,NA,NA,0000-0002-1892-7221,NA,20251217T193834Z,RELEASE-2026,DP1.10086.001,WOOD,2019,sls_soilMoisture
e2ddf4cc-a2de-4415-9e28-92ecc909af53,D09,WOOD,WOOD_043,WOOD_043.basePlot.bgc,2019-05-14T19:52:00Z,2019-05-14T19:52:00Z,WOOD_043-M-36-3-20190514,A00000084512,WOOD_043-M-36-3-20190514-SM,NEON.DOC.014048vL,M,2019-05-15T18:25:00Z,2019-05-17T19:02:00Z,5.65,15.6,13.62,0.248,0.801,NA,NA,0000-0002-1892-7221,NA,20251217T193834Z,RELEASE-2026,DP1.10086.001,WOOD,2019,sls_soilMoisture
6df11158-ed97-4744-be8d-ddaebcf2a23c,D09,WOOD,WOOD_044,WOOD_044.basePlot.bgc,2019-05-14T20:34:00Z,2019-05-14T20:34:00Z,WOOD_044-M-10.5-35.5-20190514,A00000084508,WOOD_044-M-10.5-35.5-20190514-SM,NEON.DOC.014048vL,M,2019-05-15T18:25:00Z,2019-05-17T19:02:00Z,5.58,15.59,13.25,0.305,0.766,NA,NA,0000-0002-1892-7221,NA,20251217T193834Z,RELEASE-2026,DP1.10086.001,WOOD,2019,sls_soilMoisture
