dpID,site,table,years_averaged,siteID,plotID,namedLocation,plotType,n_raw_records,incubationLength_mean_2018_2024,soilFreshMass_mean_2018_2024,kclVolume_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,incubationLength_mean_2018_2024_unit,soilFreshMass_mean_2018_2024_unit,kclVolume_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10086.001,KONA,ntr_internalLab,2018-2024,KONA,KONA_001,KONA_001.basePlot.bgc,distributed,36,12.253333333333334,10.100277777777778,99.55555555555556,2021.5,2021.5,day,gram,milliliter,NA,NA
DP1.10086.001,KONA,ntr_internalLab,2018-2024,KONA,KONA_002,KONA_002.basePlot.bgc,distributed,29,11.108620689655172,10.097241379310345,99.72413793103448,2021.9310344827586,2021.9310344827586,day,gram,milliliter,NA,NA
DP1.10086.001,KONA,ntr_internalLab,2018-2024,KONA,KONA_003,KONA_003.basePlot.bgc,distributed,36,12.034166666666668,10.033055555555556,99.69444444444444,2021.5,2021.5,day,gram,milliliter,NA,NA
DP1.10086.001,KONA,ntr_internalLab,2018-2024,KONA,KONA_004,KONA_004.basePlot.bgc,distributed,36,12.109444444444446,10.085277777777778,99.63888888888889,2021.5,2021.5,day,gram,milliliter,NA,NA
DP1.10086.001,KONA,ntr_internalLab,2018-2024,KONA,KONA_005,KONA_005.basePlot.bgc,distributed,36,12.3175,10.078611111111112,99.75,2021.5,2021.5,day,gram,milliliter,NA,NA
DP1.10086.001,KONA,ntr_internalLab,2018-2024,KONA,KONA_006,KONA_006.basePlot.bgc,distributed,36,11.564444444444444,10.102222222222222,99.58333333333333,2021.5,2021.5,day,gram,milliliter,NA,NA
DP1.10086.001,KONA,ntr_internalLab,2018-2024,KONA,KONA_048,KONA_048.basePlot.bgc,tower,36,12.230277777777777,10.068611111111112,99.63888888888889,2021.5,2021.5,day,gram,milliliter,NA,NA
DP1.10086.001,KONA,ntr_internalLab,2018-2024,KONA,KONA_054,KONA_054.basePlot.bgc,tower,36,12.134722222222221,10.023055555555555,99.61111111111111,2021.5,2021.5,day,gram,milliliter,NA,NA
DP1.10086.001,KONA,ntr_internalLab,2018-2024,KONA,KONA_057,KONA_057.basePlot.bgc,tower,36,12.23,10.126944444444444,99.63888888888889,2021.5,2021.5,day,gram,milliliter,NA,NA
DP1.10086.001,KONA,ntr_internalLab,2018-2024,KONA,KONA_059,KONA_059.basePlot.bgc,tower,36,12.166111111111112,10.0525,99.69444444444444,2021.5,2021.5,day,gram,milliliter,NA,NA
