dpID,site,table,years_averaged,siteID,plotID,namedLocation,plotType,n_raw_records,d15N_mean_2018_2024,organicd13C_mean_2018_2024,nitrogenPercent_mean_2018_2024,organicCPercent_mean_2018_2024,CNratio_mean_2018_2024,analyticalRepNumber_mean_2018_2024,year_download_mean_2018_2024,collectYear_mean_2018_2024,d15N_mean_2018_2024_unit,organicd13C_mean_2018_2024_unit,nitrogenPercent_mean_2018_2024_unit,organicCPercent_mean_2018_2024_unit,CNratio_mean_2018_2024_unit,analyticalRepNumber_mean_2018_2024_unit,year_download_mean_2018_2024_unit,collectYear_mean_2018_2024_unit
DP1.10086.001,SRER,sls_soilChemistry,2018-2024,SRER,SRER_001,SRER_001.basePlot.bgc,distributed,6,6.266666666666667,-19.133333333333333,0.10333333333333333,1.2833333333333334,NA,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,SRER,sls_soilChemistry,2018-2024,SRER,SRER_002,SRER_002.basePlot.bgc,distributed,6,6.933333333333334,-18.366666666666667,0.060000000000000005,1.1066666666666667,NA,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,SRER,sls_soilChemistry,2018-2024,SRER,SRER_003,SRER_003.basePlot.bgc,distributed,8,7.925,-19.5,0.0325,0.245,NA,1.25,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,SRER,sls_soilChemistry,2018-2024,SRER,SRER_004,SRER_004.basePlot.bgc,distributed,6,6.366666666666666,-18.833333333333332,0.10666666666666667,1.1266666666666667,NA,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,SRER,sls_soilChemistry,2018-2024,SRER,SRER_005,SRER_005.basePlot.bgc,distributed,6,5.7,-18.96666666666667,0.15,2.38,NA,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,SRER,sls_soilChemistry,2018-2024,SRER,SRER_006,SRER_006.basePlot.bgc,distributed,6,7,-20.166666666666668,0.07333333333333333,0.6966666666666667,NA,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,SRER,sls_soilChemistry,2018-2024,SRER,SRER_043,SRER_043.basePlot.bgc,tower,6,5.933333333333334,-21.5,0.07,0.8466666666666667,NA,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,SRER,sls_soilChemistry,2018-2024,SRER,SRER_047,SRER_047.basePlot.bgc,tower,6,7.366666666666666,-20.766666666666666,0.05,0.73,NA,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,SRER,sls_soilChemistry,2018-2024,SRER,SRER_052,SRER_052.basePlot.bgc,tower,6,6.8,-20.099999999999998,0.04666666666666667,0.59,NA,1,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
DP1.10086.001,SRER,sls_soilChemistry,2018-2024,SRER,SRER_053,SRER_053.basePlot.bgc,tower,8,6.725,-19.725,0.055,0.46499999999999997,NA,1.25,2021,2021,permill,permill,percent,percent,NA,number,NA,NA
