uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,processedDate,sampleID,sampleCode,pHSampleID,samplingProtocolVersion,horizon,soilInWaterpH,soilInCaClpH,pHSoilInWaterMass,pHWaterVol,waterpHRatio,pHSoilInCaClMass,pHCaClVol,caclpHRatio,pHRemarks,pHMeasuredBy,pHDataQF,publicationDate,release,dpID,site_download,year_download,source_table
8fd4a62c-dc42-4e62-8dbe-652dec2e13d0,D11,CLBJ,CLBJ_040,CLBJ_040.basePlot.bgc,2019-03-04T18:16:00Z,2019-03-04T18:16:00Z,2019-03-20,CLBJ_040-M-27.5-39-20190304,NA,CLBJ_040-M-27.5-39-20190304-PH,NEON.DOC.014048vL,M,6.68,6,10.1,20,2,10,20,2,NA,0000-0003-3231-8913,NA,20251217T193955Z,RELEASE-2026,DP1.10086.001,CLBJ,2019,sls_soilpH
3e5d7e1f-09a1-4a83-94be-253b9dba9886,D11,CLBJ,CLBJ_040,CLBJ_040.basePlot.bgc,2019-03-04T19:09:00Z,2019-03-04T19:09:00Z,2019-03-20,CLBJ_040-M-9.5-28-20190304,NA,CLBJ_040-M-9.5-28-20190304-PH,NEON.DOC.014048vL,M,7.47,6.9,9.9,20,2,10.1,20,2,NA,0000-0003-3231-8913,NA,20251217T193955Z,RELEASE-2026,DP1.10086.001,CLBJ,2019,sls_soilpH
a5d48284-37d3-4395-98f9-d99bedf5352d,D11,CLBJ,CLBJ_001,CLBJ_001.basePlot.bgc,2019-03-04T19:10:00Z,2019-03-04T19:10:00Z,2019-03-20,CLBJ_001-M-11-9.5-20190304,NA,CLBJ_001-M-11-9.5-20190304-PH,NEON.DOC.014048vL,M,6.2,5.46,10,20,2,10,20,2,NA,0000-0003-3231-8913,NA,20251217T193955Z,RELEASE-2026,DP1.10086.001,CLBJ,2019,sls_soilpH
48e93a1e-45b4-4749-aca4-0512d769baa6,D11,CLBJ,CLBJ_040,CLBJ_040.basePlot.bgc,2019-03-04T19:48:00Z,2019-03-04T19:48:00Z,2019-03-20,CLBJ_040-M-5.5-5.5-20190304,NA,CLBJ_040-M-5.5-5.5-20190304-PH,NEON.DOC.014048vL,M,7.9,7.44,10,20,2,10.1,20,2,NA,0000-0003-3231-8913,NA,20251217T193955Z,RELEASE-2026,DP1.10086.001,CLBJ,2019,sls_soilpH
aa71f706-16f7-4853-b01c-e8b747720539,D11,CLBJ,CLBJ_001,CLBJ_001.basePlot.bgc,2019-03-04T19:54:00Z,2019-03-04T19:54:00Z,2019-03-20,CLBJ_001-M-31-10-20190304,NA,CLBJ_001-M-31-10-20190304-PH,NEON.DOC.014048vL,M,5.89,4.93,10,20,2,10,20,2,NA,0000-0003-3231-8913,NA,20251217T193955Z,RELEASE-2026,DP1.10086.001,CLBJ,2019,sls_soilpH
60f29d3b-6f98-4df6-8397-87d6f8864c16,D11,CLBJ,CLBJ_001,CLBJ_001.basePlot.bgc,2019-03-04T20:19:00Z,2019-03-04T20:19:00Z,2019-03-20,CLBJ_001-M-19.5-35.5-20190304,NA,CLBJ_001-M-19.5-35.5-20190304-PH,NEON.DOC.014048vL,M,6.59,6.02,10,20,2,10,20,2,NA,0000-0003-3231-8913,NA,20251217T193955Z,RELEASE-2026,DP1.10086.001,CLBJ,2019,sls_soilpH
bbabed75-98bd-4ebe-b8a5-556682702b3e,D11,CLBJ,CLBJ_006,CLBJ_006.basePlot.bgc,2019-03-04T20:55:00Z,2019-03-04T20:55:00Z,2019-03-20,CLBJ_006-M-12-5-20190304,NA,CLBJ_006-M-12-5-20190304-PH,NEON.DOC.014048vL,M,5.67,4.71,10,20,2,10,20,2,NA,0000-0003-3231-8913,NA,20251217T193955Z,RELEASE-2026,DP1.10086.001,CLBJ,2019,sls_soilpH
97a9e623-3704-40b4-a961-caa3bd93dc39,D11,CLBJ,CLBJ_033,CLBJ_033.basePlot.bgc,2019-03-04T21:16:00Z,2019-03-04T21:16:00Z,2019-03-20,CLBJ_033-M-30-19-20190304,NA,CLBJ_033-M-30-19-20190304-PH,NEON.DOC.014048vL,M,6.57,5.61,10,20,2,10,20,2,NA,0000-0003-3231-8913,NA,20251217T193955Z,RELEASE-2026,DP1.10086.001,CLBJ,2019,sls_soilpH
cefac2d0-3608-4554-8665-b19bca2b3b99,D11,CLBJ,CLBJ_006,CLBJ_006.basePlot.bgc,2019-03-04T21:17:00Z,2019-03-04T21:17:00Z,2019-03-20,CLBJ_006-M-39-35.5-20190304,NA,CLBJ_006-M-39-35.5-20190304-PH,NEON.DOC.014048vL,M,5.71,4.85,10,20,2,10.1,20,2,NA,0000-0003-3231-8913,NA,20251217T193955Z,RELEASE-2026,DP1.10086.001,CLBJ,2019,sls_soilpH
5691d67b-cad2-4415-a1ca-5284fb3068e0,D11,CLBJ,CLBJ_033,CLBJ_033.basePlot.bgc,2019-03-04T21:30:00Z,2019-03-04T21:30:00Z,2019-03-20,CLBJ_033-M-6-29-20190304,NA,CLBJ_033-M-6-29-20190304-PH,NEON.DOC.014048vL,M,5.53,4.49,10,20,2,10,20,2,NA,0000-0003-3231-8913,NA,20251217T193955Z,RELEASE-2026,DP1.10086.001,CLBJ,2019,sls_soilpH
