uid,namedLocation,domainID,siteID,plotID,startDate,collectDate,sampleID,sampleCode,kclSampleID,kclSampleCode,sampleCondition,ammoniumNAnalysisDate,kclAmmoniumNConc,ammoniumNRepNum,ammoniumNQF,ammoniumNRemarks,nitrateNitriteNAnalysisDate,kclNitrateNitriteNConc,nitrateNitriteNRepNum,nitrateNitriteNQF,nitrateNitriteNRemarks,laboratoryName,ammoniumNMethod,ammoniumNInstrument,ammoniumNAnalyzedBy,ammoniumNReviewedBy,nitrateNitriteNMethod,nitrateNitriteNInstrument,nitrateNitriteNAnalyzedBy,nitrateNitriteNReviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
f3d92a72-80e8-4dd0-ab4e-9ee0f98df2b8,CPER_046.basePlot.bgc,D10,CPER,CPER_046,2021-04-12T18:16:00Z,2021-04-12T18:16:00Z,CPER_046-M-19.5-9.5-20210412,A00000123186,CPER_046-M-19.5-9.5-20210412-KCL,B00000098352,ok,2021-06-23,0.919,1,OK,NA,2021-06-23,1.3,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193946Z,RELEASE-2026,DP1.10086.001,CPER,2021,ntr_externalLab
2f03f8da-afad-43f2-b517-5ad40ee7e26d,CPER_046.basePlot.bgc,D10,CPER,CPER_046,2021-04-12T18:39:00Z,2021-04-12T18:39:00Z,CPER_046-M-29.5-1.5-20210412,A00000123198,CPER_046-M-29.5-1.5-20210412-KCL,B00000098456,ok,2021-06-23,0.097,1,OK,NA,2021-06-23,0.376,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193946Z,RELEASE-2026,DP1.10086.001,CPER,2021,ntr_externalLab
cc35e348-f1d9-4ed3-ab38-92f160e36390,CPER_046.basePlot.bgc,D10,CPER,CPER_046,2021-04-12T18:49:00Z,2021-04-12T18:49:00Z,CPER_046-M-35-27.5-20210412,A00000123195,CPER_046-M-35-27.5-20210412-KCL,B00000098380,ok,2021-06-23,0.147,1,OK,NA,2021-06-23,0.266,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193946Z,RELEASE-2026,DP1.10086.001,CPER,2021,ntr_externalLab
e6dba574-67aa-4fd3-aeb2-21b1df19821b,CPER_046.basePlot.bgc,D10,CPER,CPER_046,2021-04-12T18:16:00Z,2021-05-04T20:31:00Z,CPER_046-M-19.5-9.5-20210504,A00000091121,CPER_046-M-19.5-9.5-20210504-KCL,B00000061406,ok,2021-06-23,0.088,1,OK,NA,2021-06-23,0.69,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193702Z,RELEASE-2026,DP1.10086.001,CPER,2021,ntr_externalLab
de592a5f-c410-4176-8cdc-5d4fe93b3981,CPER_046.basePlot.bgc,D10,CPER,CPER_046,2021-04-12T18:39:00Z,2021-05-04T20:35:00Z,CPER_046-M-29.5-1.5-20210504,A00000123206,CPER_046-M-29.5-1.5-20210504-KCL,B00000098434,ok,2021-06-23,0.053,1,OK,NA,2021-06-23,1.126,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193702Z,RELEASE-2026,DP1.10086.001,CPER,2021,ntr_externalLab
3b6c7489-87d0-4cc6-95fb-8b96c7745817,CPER_046.basePlot.bgc,D10,CPER,CPER_046,2021-04-12T18:49:00Z,2021-05-04T20:39:00Z,CPER_046-M-35-27.5-20210504,A00000123207,CPER_046-M-35-27.5-20210504-KCL,B00000098461,ok,2021-06-23,0.143,1,OK,NA,2021-06-23,1.286,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193702Z,RELEASE-2026,DP1.10086.001,CPER,2021,ntr_externalLab
c7bb9942-2278-441f-aed2-3920b1e87203,CPER_046.basePlot.bgc,D10,CPER,CPER_046,2021-06-28T21:40:00Z,2021-06-28T21:40:00Z,CPER_046-M-32-7-20210628,A00000245722,CPER_046-M-32-7-20210628-KCL,B00000098728,ok,2021-10-01,0.181,1,OK,NA,2021-10-01,0.285,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193623Z,RELEASE-2026,DP1.10086.001,CPER,2021,ntr_externalLab
2d8765c4-2750-4121-aae9-f182736642fa,CPER_046.basePlot.bgc,D10,CPER,CPER_046,2021-06-28T21:40:00Z,2021-06-28T21:40:00Z,CPER_046-M-6.5-39.5-20210628,A00000245723,CPER_046-M-6.5-39.5-20210628-KCL,B00000098729,ok,2021-10-01,0.043,1,OK,NA,2021-10-01,0.232,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193623Z,RELEASE-2026,DP1.10086.001,CPER,2021,ntr_externalLab
3421a790-d0d3-455d-87a2-2c30054f25c2,CPER_046.basePlot.bgc,D10,CPER,CPER_046,2021-06-28T22:15:00Z,2021-06-28T22:15:00Z,CPER_046-M-9-9.5-20210628,A00000245721,CPER_046-M-9-9.5-20210628-KCL,B00000098727,ok,2021-10-01,0.098,1,OK,NA,2021-10-01,0.459,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193623Z,RELEASE-2026,DP1.10086.001,CPER,2021,ntr_externalLab
b3860303-1362-4b05-ac03-9aff9469aca7,CPER_046.basePlot.bgc,D10,CPER,CPER_046,2021-06-28T21:40:00Z,2021-07-21T16:31:00Z,CPER_046-M-32-7-20210721,A00000245818,CPER_046-M-32-7-20210721-KCL,B00000098427,ok,2021-10-01,0.288,1,OK,NA,2021-10-01,0.436,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-020,Bran+Luebbe AutoAnalyzer II,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,WBL-AN-008,Bran+Luebbe AutoAnalyzer 3,/RBmT99ty+tXsqfXzuuuWg==,8kr+qfmeu1FQ7vvHWE7F/A==,NA,20251217T193951Z,RELEASE-2026,DP1.10086.001,CPER,2021,ntr_externalLab
