uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
64b07db7-77b3-448c-b097-b0d5b7bb58b5,D08,DELA,DELA_004,DELA_004.basePlot.bgc,2024-03-06T18:52:00Z,2024-03-06T18:52:00Z,DELA_004-M-41-20240306,A00000458034,DELA_004-M-41-20240306-SM,NEON.DOC.014048vP,M,2024-03-07T15:00:00Z,2024-03-11T20:00:00Z,2.04,12.19,9.3,0.398,0.715,OK,NA,0000-0001-7717-279X,NA,20251217T193923Z,RELEASE-2026,DP1.10086.001,DELA,2024,sls_soilMoisture
a630bbfe-17f5-44e9-a38d-5e9a183dbbbc,D08,DELA,DELA_004,DELA_004.basePlot.bgc,2024-03-06T18:52:00Z,2024-03-27T19:51:00Z,DELA_004-M-41-20240327,A00000458035,DELA_004-M-41-20240327-SM,NEON.DOC.014048vP,M,2024-03-28T14:45:00Z,2024-04-02T20:20:00Z,2.05,12.28,9.22,0.427,0.701,OK,NA,0000-0001-7717-279X,NA,20251217T193923Z,RELEASE-2026,DP1.10086.001,DELA,2024,sls_soilMoisture
a277a0be-504f-47e2-8f99-c3e050d06ed0,D08,DELA,DELA_004,DELA_004.basePlot.bgc,2024-03-06T19:16:00Z,2024-03-06T19:16:00Z,DELA_004-M-23-20240306,A00000458029,DELA_004-M-23-20240306-SM,NEON.DOC.014048vP,M,2024-03-07T15:00:00Z,2024-03-11T20:00:00Z,1.98,12.38,9.71,0.345,0.743,OK,NA,0000-0001-7717-279X,NA,20251217T193923Z,RELEASE-2026,DP1.10086.001,DELA,2024,sls_soilMoisture
a3c75940-19ea-48ed-aee2-9ebe3d01e281,D08,DELA,DELA_004,DELA_004.basePlot.bgc,2024-03-06T19:16:00Z,2024-03-27T19:48:00Z,DELA_004-M-23-20240327,A00000458033,DELA_004-M-23-20240327-SM,NEON.DOC.014048vP,M,2024-03-28T14:45:00Z,2024-04-02T20:20:00Z,1.98,12.13,9.12,0.422,0.703,OK,NA,0000-0001-7717-279X,NA,20251217T193923Z,RELEASE-2026,DP1.10086.001,DELA,2024,sls_soilMoisture
4c3841ae-1f6a-4edb-adb8-3c10cc960051,D08,DELA,DELA_004,DELA_004.basePlot.bgc,2024-03-06T19:40:00Z,2024-03-06T19:40:00Z,DELA_004-M-21-20240306,A00000458042,DELA_004-M-21-20240306-SM,NEON.DOC.014048vP,M,2024-03-07T15:00:00Z,2024-03-11T20:00:00Z,2.04,12.23,9.36,0.392,0.718,OK,NA,0000-0001-7717-279X,NA,20251217T193923Z,RELEASE-2026,DP1.10086.001,DELA,2024,sls_soilMoisture
206e5b0c-c7bc-48f4-8063-f07237e7bb2a,D08,DELA,DELA_004,DELA_004.basePlot.bgc,2024-03-06T19:40:00Z,2024-03-27T19:53:00Z,DELA_004-M-21-20240327,A00000457995,DELA_004-M-21-20240327-SM,NEON.DOC.014048vP,M,2024-03-28T14:45:00Z,2024-04-02T20:20:00Z,2.05,12.32,9.44,0.39,0.72,OK,NA,0000-0001-7717-279X,NA,20251217T193923Z,RELEASE-2026,DP1.10086.001,DELA,2024,sls_soilMoisture
0e0180cb-6b33-479a-9ed0-83604ecac62f,D08,DELA,DELA_004,DELA_004.basePlot.bgc,2024-07-08T22:47:00Z,2024-07-08T22:47:00Z,DELA_004-M-39-20240708,A00000460074,DELA_004-M-39-20240708-SM,NEON.DOC.014048vP,M,2024-07-09T18:50:00Z,2024-07-16T20:15:00Z,2.04,12.76,10.86,0.215,0.823,OK,NA,0009-0000-1773-0614,NA,20251217T193902Z,RELEASE-2026,DP1.10086.001,DELA,2024,sls_soilMoisture
2112078a-c297-4a93-8ea4-34d625d00d9c,D08,DELA,DELA_004,DELA_004.basePlot.bgc,2024-07-08T22:47:00Z,2024-07-25T14:34:00Z,DELA_004-M-39-20240725,A00000460070,DELA_004-M-39-20240725-SM,NEON.DOC.014048vP,M,2024-07-26T15:00:00Z,2024-07-29T17:00:00Z,2.06,11.98,10.03,0.245,0.803,OK,NA,0000-0003-0686-286X,NA,20251217T193902Z,RELEASE-2026,DP1.10086.001,DELA,2024,sls_soilMoisture
d71040b4-1646-42ca-a94f-0ba1d09c3469,D08,DELA,DELA_004,DELA_004.basePlot.bgc,2024-07-08T23:08:00Z,2024-07-08T23:08:00Z,DELA_004-M-23-20240708,A00000460095,DELA_004-M-23-20240708-SM,NEON.DOC.014048vP,M,2024-07-09T18:50:00Z,2024-07-16T20:15:00Z,2.04,12.27,10.39,0.225,0.816,OK,NA,0009-0000-1773-0614,NA,20251217T193902Z,RELEASE-2026,DP1.10086.001,DELA,2024,sls_soilMoisture
4853546f-f3ba-46b6-9a29-78c2f9c2c164,D08,DELA,DELA_004,DELA_004.basePlot.bgc,2024-07-08T23:08:00Z,2024-07-25T14:39:00Z,DELA_004-M-23-20240725,A00000460080,DELA_004-M-23-20240725-SM,NEON.DOC.014048vP,M,2024-07-26T15:00:00Z,2024-07-29T17:00:00Z,2.03,11.74,9.97,0.223,0.818,OK,NA,0000-0003-0686-286X,NA,20251217T193902Z,RELEASE-2026,DP1.10086.001,DELA,2024,sls_soilMoisture
