uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
916c36ec-4563-47f6-b9c3-86bb334a5a7e,D04,GUAN,GUAN_004,GUAN_004.basePlot.bgc,2018-07-03T11:48:00Z,2018-07-03T11:48:00Z,GUAN_004-M-24-36.5-20180703,A00000006976,GUAN_004-M-24-36.5-20180703-SM,NEON.DOC.014048vK,M,2018-07-03T19:30:00Z,2018-07-05T19:50:00Z,1.07,11.07,8.41,0.362,0.734,NA,NA,amegill@battelleecology.org,NA,20251217T193833Z,RELEASE-2026,DP1.10086.001,GUAN,2018,sls_soilMoisture
308289bf-a9cb-48a7-a1f9-1499f58613ed,D04,GUAN,GUAN_004,GUAN_004.basePlot.bgc,2018-07-03T11:48:00Z,2018-07-17T12:15:00Z,GUAN_004-M-24-36.5-20180717,A00000006622,GUAN_004-M-24-36.5-20180717-SM,NEON.DOC.014048vK,M,2018-07-17T17:15:00Z,2018-07-19T17:35:00Z,1.08,11.08,7.96,0.453,0.688,NA,NA,kruizmedina@battelleecology.org,NA,20251217T193833Z,RELEASE-2026,DP1.10086.001,GUAN,2018,sls_soilMoisture
2de60b49-2526-417c-9693-db226f55e47c,D04,GUAN,GUAN_004,GUAN_004.basePlot.bgc,2018-07-03T12:26:00Z,2018-07-03T12:26:00Z,GUAN_004-M-8-16-20180703,A00000006975,GUAN_004-M-8-16-20180703-SM,NEON.DOC.014048vK,M,2018-07-03T19:30:00Z,2018-07-05T19:50:00Z,1.08,11.08,8.91,0.277,0.783,NA,NA,amegill@battelleecology.org,NA,20251217T193833Z,RELEASE-2026,DP1.10086.001,GUAN,2018,sls_soilMoisture
0c4ad1d4-5302-4e9a-83a5-87b361574a2e,D04,GUAN,GUAN_004,GUAN_004.basePlot.bgc,2018-07-03T12:26:00Z,2018-07-17T11:46:00Z,GUAN_004-M-8-16-20180717,A00000006620,GUAN_004-M-8-16-20180717-SM,NEON.DOC.014048vK,M,2018-07-17T17:15:00Z,2018-07-19T17:35:00Z,1.08,11.09,8.52,0.345,0.743,NA,NA,kruizmedina@battelleecology.org,NA,20251217T193833Z,RELEASE-2026,DP1.10086.001,GUAN,2018,sls_soilMoisture
20f4bcbb-2278-4b5f-94fe-f0b627e32063,D04,GUAN,GUAN_004,GUAN_004.basePlot.bgc,2018-07-03T13:05:00Z,2018-07-03T13:05:00Z,GUAN_004-M-30-3.5-20180703,A00000006974,GUAN_004-M-30-3.5-20180703-SM,NEON.DOC.014048vK,M,2018-07-03T19:30:00Z,2018-07-05T19:50:00Z,1.19,11.19,8.31,0.404,0.712,NA,NA,amegill@battelleecology.org,NA,20251217T193833Z,RELEASE-2026,DP1.10086.001,GUAN,2018,sls_soilMoisture
9c5fc795-0806-4fb9-a031-6f775f0cb940,D04,GUAN,GUAN_004,GUAN_004.basePlot.bgc,2018-07-03T13:05:00Z,2018-07-17T11:58:00Z,GUAN_004-M-30-3.5-20180717,A00000006621,GUAN_004-M-30-3.5-20180717-SM,NEON.DOC.014048vK,M,2018-07-17T17:15:00Z,2018-07-19T17:35:00Z,1.12,11.12,7.77,0.504,0.665,NA,NA,kruizmedina@battelleecology.org,NA,20251217T193833Z,RELEASE-2026,DP1.10086.001,GUAN,2018,sls_soilMoisture
f781b1e4-8a10-4538-929b-c4fb9197085d,D04,GUAN,GUAN_004,GUAN_004.basePlot.bgc,2018-09-25T12:00:00Z,2018-09-25T12:00:00Z,GUAN_004-M-15.5-3.5-20180925,A00000038784,GUAN_004-M-15.5-3.5-20180925-SM,NEON.DOC.014048vK,M,2018-09-25T18:51:00Z,2018-10-01T17:45:00Z,1.1,11.1,8.66,0.323,0.756,NA,NA,ecastro@battelleecology.org,NA,20251217T194032Z,RELEASE-2026,DP1.10086.001,GUAN,2018,sls_soilMoisture
3288df1d-3dcb-431e-99e1-df3b366a728e,D04,GUAN,GUAN_004,GUAN_004.basePlot.bgc,2018-09-25T12:40:00Z,2018-09-25T12:40:00Z,GUAN_004-M-33-18-20180925,A00000038782,GUAN_004-M-33-18-20180925-SM,NEON.DOC.014048vK,M,2018-09-25T18:55:00Z,2018-10-01T17:45:00Z,1.15,11.15,8.42,0.376,0.727,NA,NA,ecastro@battelleecology.org,NA,20251217T194032Z,RELEASE-2026,DP1.10086.001,GUAN,2018,sls_soilMoisture
26c7c4ec-be15-4137-8360-4908c269f79a,D04,GUAN,GUAN_004,GUAN_004.basePlot.bgc,2018-09-25T13:01:00Z,2018-09-25T13:01:00Z,GUAN_004-M-31-29.5-20180925,A00000038783,GUAN_004-M-31-29.5-20180925-SM,NEON.DOC.014048vK,M,2018-09-25T18:44:00Z,2018-10-01T17:45:00Z,1.11,11.12,7.6,0.542,0.648,NA,NA,ecastro@battelleecology.org,NA,20251217T194032Z,RELEASE-2026,DP1.10086.001,GUAN,2018,sls_soilMoisture
1ea18323-ff2c-4f41-ad80-4281fac4eb4a,D04,GUAN,GUAN_004,GUAN_004.basePlot.bgc,2018-09-25T12:00:00Z,2018-10-09T11:33:00Z,GUAN_004-M-15.5-3.5-20181009,A00000039027,GUAN_004-M-15.5-3.5-20181009-SM,NEON.DOC.014048vK,M,2018-10-09T15:00:00Z,2018-10-11T15:00:00Z,1.06,11.06,8.79,0.294,0.773,NA,NA,jorengo@battelleecology.org,NA,20251217T193927Z,RELEASE-2026,DP1.10086.001,GUAN,2018,sls_soilMoisture
