uid,namedLocation,domainID,siteID,plotID,startDate,collectDate,sampleID,sampleCode,kclSampleID,kclSampleCode,sampleCondition,ammoniumNAnalysisDate,kclAmmoniumNConc,ammoniumNRepNum,ammoniumNQF,ammoniumNRemarks,nitrateNitriteNAnalysisDate,kclNitrateNitriteNConc,nitrateNitriteNRepNum,nitrateNitriteNQF,nitrateNitriteNRemarks,laboratoryName,ammoniumNMethod,ammoniumNInstrument,ammoniumNAnalyzedBy,ammoniumNReviewedBy,nitrateNitriteNMethod,nitrateNitriteNInstrument,nitrateNitriteNAnalyzedBy,nitrateNitriteNReviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
c6a8d4f1-394b-40e8-864e-f8a3f193b896,HARV_033.basePlot.bgc,D01,HARV,HARV_033,2024-04-15T12:59:00Z,2024-04-15T12:59:00Z,HARV_033-O-23-20240415,A00000159732,HARV_033-O-23-20240415-KCL,B00000032531,ok,2024-10-16,0.136,1,OK,NA,2024-10-16,0.047,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194025Z,RELEASE-2026,DP1.10086.001,HARV,2024,ntr_externalLab
8a2db606-0f7f-4c57-95ae-519c5a66a132,HARV_033.basePlot.bgc,D01,HARV,HARV_033,2024-04-15T12:59:00Z,2024-04-15T12:59:00Z,HARV_033-M-23-20240415,A00000159735,HARV_033-M-23-20240415-KCL,B00000032517,ok,2024-10-16,0.123,1,OK,NA,2024-10-16,0.006,1,below method detection limit,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194025Z,RELEASE-2026,DP1.10086.001,HARV,2024,ntr_externalLab
e90780f1-d499-4223-ad3c-004ca56324fe,HARV_033.basePlot.bgc,D01,HARV,HARV_033,2024-04-15T18:56:00Z,2024-04-15T18:56:00Z,HARV_033-O-21-20240415,A00000159733,HARV_033-O-21-20240415-KCL,B00000032543,ok,2024-10-16,0.166,1,OK,NA,2024-10-16,0.075,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194025Z,RELEASE-2026,DP1.10086.001,HARV,2024,ntr_externalLab
4338f0e4-19e2-4d09-bca1-0adeb45b3762,HARV_033.basePlot.bgc,D01,HARV,HARV_033,2024-04-15T18:56:00Z,2024-04-15T18:56:00Z,HARV_033-M-21-20240415,A00000159736,HARV_033-M-21-20240415-KCL,B00000032526,ok,2024-10-16,0.097,1,OK,NA,2024-10-16,0.006,1,below method detection limit,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194025Z,RELEASE-2026,DP1.10086.001,HARV,2024,ntr_externalLab
d5c237c4-15a1-40a7-add3-9fb3ec12a1e9,HARV_033.basePlot.bgc,D01,HARV,HARV_033,2024-04-15T12:59:00Z,2024-05-07T14:09:00Z,HARV_033-M-23-20240507,A00000159783,HARV_033-M-23-20240507-KCL,B00000032414,ok,2024-10-16,0.157,1,OK,NA,2024-10-16,0.01,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194001Z,RELEASE-2026,DP1.10086.001,HARV,2024,ntr_externalLab
8cd353bd-940c-40e0-97dc-12e49cfb6340,HARV_033.basePlot.bgc,D01,HARV,HARV_033,2024-04-15T12:59:00Z,2024-05-07T14:14:00Z,HARV_033-O-23-20240507,A00000159799,HARV_033-O-23-20240507-KCL,B00000032417,ok,2024-10-16,0.308,1,OK,NA,2024-10-16,0.003,1,below method detection limit,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194001Z,RELEASE-2026,DP1.10086.001,HARV,2024,ntr_externalLab
74d25bd5-6c74-45f1-b9d5-d5e73a702902,HARV_033.basePlot.bgc,D01,HARV,HARV_033,2024-04-15T18:56:00Z,2024-05-07T14:17:00Z,HARV_033-O-21-20240507,A00000159800,HARV_033-O-21-20240507-KCL,B00000032446,ok,2024-10-16,0.272,1,OK,NA,2024-10-16,0.004,1,below method detection limit,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194001Z,RELEASE-2026,DP1.10086.001,HARV,2024,ntr_externalLab
ca50f44c-d3d9-44fa-bd04-e47077082d1e,HARV_033.basePlot.bgc,D01,HARV,HARV_033,2024-04-15T18:56:00Z,2024-05-07T14:17:00Z,HARV_033-O-21-20240507,A00000159800,HARV_033-O-21-20240507-KCL,B00000032446,NA,2024-10-16,0.29,2,OK,NA,2024-10-16,0.005,2,below method detection limit,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194001Z,RELEASE-2026,DP1.10086.001,HARV,2024,ntr_externalLab
fa01eef9-6afc-487f-afd3-397d003db31c,HARV_033.basePlot.bgc,D01,HARV,HARV_033,2024-04-15T18:56:00Z,2024-05-07T14:17:00Z,HARV_033-M-21-20240507,A00000159784,HARV_033-M-21-20240507-KCL,B00000032451,ok,2024-10-16,0.184,1,OK,NA,2024-10-16,0.009,1,below method detection limit,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T194001Z,RELEASE-2026,DP1.10086.001,HARV,2024,ntr_externalLab
e1a1477a-f4ec-44df-9272-65105e7fd4bd,HARV_033.basePlot.bgc,D01,HARV,HARV_033,2024-10-15T15:07:00Z,2024-10-15T15:07:00Z,HARV_033-M-23-20241015,A00000321419,HARV_033-M-23-20241015-KCL,B00000032869,ok,2025-01-07,0.13,1,OK,NA,2025-02-08,0.013,1,OK,NA,University of Florida Wetland Biogeochemistry Laboratory,WBL-AN-023,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,WBL-AN-023-waterCurve,SEAL AutoAnalyzer 500,okyaqTFOLQO7hDHBKURPDA==,YUVT2pgkEl84iITaDKC8Iw==,NA,20251217T193645Z,RELEASE-2026,DP1.10086.001,HARV,2024,ntr_externalLab
