uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,sampleID,sampleCode,cnSampleID,cnSampleCode,sampleType,acidTreatment,co2Trapped,d15N,organicd13C,nitrogenPercent,organicCPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
fdaa8670-c06d-4c6a-9e02-0c8eb981b2ec,2024-12-02,HARV_033.basePlot.bgc,D01,HARV,HARV_033,tower,2024-07-01T12:50:00Z,2024-07-01T12:50:00Z,HARV_033-O-39-20240701,A00000155290,HARV_033-O-39-20240701-CN,A00000160841,soil,N,N,-0.1,-29,1.87,41.31,22.1,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T193858Z,RELEASE-2026,DP1.10086.001,HARV,2024,sls_soilChemistry
eb29eb53-5057-4a82-9ad1-28865462fbab,2024-12-02,HARV_033.basePlot.bgc,D01,HARV,HARV_033,tower,2024-07-01T12:50:00Z,2024-07-01T12:50:00Z,HARV_033-M-39-20240701,A00000155896,HARV_033-M-39-20240701-CN,A00000160837,soil,N,N,4.7,-26.8,0.25,4.48,18,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T193858Z,RELEASE-2026,DP1.10086.001,HARV,2024,sls_soilChemistry
6d12b229-ea43-4f19-a308-280a9c514a6e,2024-12-02,HARV_033.basePlot.bgc,D01,HARV,HARV_033,tower,2024-07-01T13:15:00Z,2024-07-01T13:15:00Z,HARV_033-O-21-20240701,A00000155289,HARV_033-O-21-20240701-CN,A00000160843,soil,N,N,0.3,-28.8,1.65,42.3,25.7,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T193858Z,RELEASE-2026,DP1.10086.001,HARV,2024,sls_soilChemistry
450a182d-04e6-4ede-8a19-f10c553afb8c,2024-12-02,HARV_033.basePlot.bgc,D01,HARV,HARV_033,tower,2024-07-01T13:15:00Z,2024-07-01T13:15:00Z,HARV_033-M-21-20240701,A00000155895,HARV_033-M-21-20240701-CN,A00000160803,soil,N,N,5,-27.4,0.28,5.95,21.1,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T193858Z,RELEASE-2026,DP1.10086.001,HARV,2024,sls_soilChemistry
447de835-0f87-4cbc-ad5b-79f09477daaa,2024-12-02,HARV_033.basePlot.bgc,D01,HARV,HARV_033,tower,2024-07-01T13:57:00Z,2024-07-01T13:57:00Z,HARV_033-O-23-20240701,A00000155291,HARV_033-O-23-20240701-CN,A00000160814,soil,N,N,-1.2,-28.8,2.01,52.79,26.3,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T193858Z,RELEASE-2026,DP1.10086.001,HARV,2024,sls_soilChemistry
295ea7f9-2a70-421f-863c-c262832d62ad,2024-12-02,HARV_033.basePlot.bgc,D01,HARV,HARV_033,tower,2024-07-01T13:57:00Z,2024-07-01T13:57:00Z,HARV_033-M-23-20240701,A00000155908,HARV_033-M-23-20240701-CN,A00000160857,soil,N,N,1.6,-27.5,1.36,32.82,24.2,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T193858Z,RELEASE-2026,DP1.10086.001,HARV,2024,sls_soilChemistry
aaa02dca-dfca-4a65-b07d-e33f75eaa917,2024-12-02,HARV_037.basePlot.bgc,D01,HARV,HARV_037,tower,2024-07-01T15:09:00Z,2024-07-01T15:09:00Z,HARV_037-O-21-20240701,A00000155874,HARV_037-O-21-20240701-CN,A00000160816,soil,N,N,0.4,-27.3,1.33,45.31,34,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T193858Z,RELEASE-2026,DP1.10086.001,HARV,2024,sls_soilChemistry
45d32d40-f79b-46bd-8811-ea3333557875,2024-12-02,HARV_037.basePlot.bgc,D01,HARV,HARV_037,tower,2024-07-01T15:09:00Z,2024-07-01T15:09:00Z,HARV_037-M-21-20240701,A00000155904,HARV_037-M-21-20240701-CN,A00000160824,soil,N,N,4.7,-26.9,0.18,6.64,36.2,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T193858Z,RELEASE-2026,DP1.10086.001,HARV,2024,sls_soilChemistry
13bb9cfa-d376-44dc-9c9f-36944189c4c8,2024-12-02,HARV_037.basePlot.bgc,D01,HARV,HARV_037,tower,2024-07-01T15:09:00Z,2024-07-01T15:09:00Z,HARV_037-O-21-20240701,A00000155874,HARV_037-O-21-20240701-CN,A00000160816,soil,N,N,0.3,-27.4,1.48,51.51,34.8,OK,OK,OK,OK,2,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T193858Z,RELEASE-2026,DP1.10086.001,HARV,2024,sls_soilChemistry
c9ff3210-be27-4c17-b8ad-d9de980d53af,2024-12-02,HARV_037.basePlot.bgc,D01,HARV,HARV_037,tower,2024-07-01T15:12:00Z,2024-07-01T15:12:00Z,HARV_037-O-39-20240701,A00000155876,HARV_037-O-39-20240701-CN,A00000160838,soil,N,N,-1.3,-27.8,1.81,52.98,29.3,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,H2ehOOFsaDPhLGs9nIVRag==,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,NA,20251217T193858Z,RELEASE-2026,DP1.10086.001,HARV,2024,sls_soilChemistry
