uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
5aaa229c-a4ab-43b7-b1d9-038351a16878,D01,HARV,HARV_004,HARV_004.basePlot.bgc,2024-04-17T18:14:00Z,2024-04-17T18:14:00Z,HARV_004-O-41-20240417,A00000160769,HARV_004-O-41-20240417-SM,NEON.DOC.014048vP,O,2024-04-18T16:00:00Z,2024-04-22T18:30:00Z,2.12,7.18,3.88,1.875,0.348,OK,NA,0000-0002-5333-6523,NA,20251217T194025Z,RELEASE-2026,DP1.10086.001,HARV,2024,sls_soilMoisture
bb3b6d3b-32b3-4ab7-8143-3b8bd34e9363,D01,HARV,HARV_004,HARV_004.basePlot.bgc,2024-04-17T18:14:00Z,2024-04-17T18:14:00Z,HARV_004-M-41-20240417,A00000160772,HARV_004-M-41-20240417-SM,NEON.DOC.014048vP,M,2024-04-18T16:00:00Z,2024-04-22T18:30:00Z,2.13,12.48,8.23,0.697,0.589,OK,NA,0000-0002-5333-6523,NA,20251217T194025Z,RELEASE-2026,DP1.10086.001,HARV,2024,sls_soilMoisture
6ceee17c-88b3-490f-ab22-923c3909da7c,D01,HARV,HARV_004,HARV_004.basePlot.bgc,2024-04-17T18:47:00Z,2024-04-17T18:47:00Z,HARV_004-M-23-20240417,A00000160773,HARV_004-M-23-20240417-SM,NEON.DOC.014048vP,M,2024-04-18T16:00:00Z,2024-04-22T18:30:00Z,2.09,12.05,8.45,0.566,0.639,OK,NA,0000-0002-5333-6523,NA,20251217T194025Z,RELEASE-2026,DP1.10086.001,HARV,2024,sls_soilMoisture
0aaaaf0f-a840-4de2-89f2-8891a25f7d2c,D01,HARV,HARV_004,HARV_004.basePlot.bgc,2024-04-17T18:47:00Z,2024-04-17T18:47:00Z,HARV_004-O-23-20240417,A00000160770,HARV_004-O-23-20240417-SM,NEON.DOC.014048vP,O,2024-04-18T16:28:00Z,2024-04-22T18:30:00Z,2.16,7.48,3.35,3.471,0.224,OK,NA,0000-0001-7519-0636,NA,20251217T194025Z,RELEASE-2026,DP1.10086.001,HARV,2024,sls_soilMoisture
fe11ce2a-cd39-4fca-8046-881c9bc0677f,D01,HARV,HARV_004,HARV_004.basePlot.bgc,2024-04-17T18:14:00Z,2024-05-09T19:31:00Z,HARV_004-O-41-20240509,A00000159762,HARV_004-O-41-20240509-SM,NEON.DOC.014048vP,O,2024-05-10T16:00:00Z,2024-05-14T18:16:00Z,2.14,4.69,3.13,1.576,0.388,OK,NA,0000-0003-3463-8507,NA,20251217T194001Z,RELEASE-2026,DP1.10086.001,HARV,2024,sls_soilMoisture
635590c5-7a70-4449-8ad3-be27aa2e5165,D01,HARV,HARV_004,HARV_004.basePlot.bgc,2024-04-17T18:14:00Z,2024-05-09T19:31:00Z,HARV_004-M-41-20240509,A00000159771,HARV_004-M-41-20240509-SM,NEON.DOC.014048vP,M,2024-05-10T16:00:00Z,2024-05-14T18:17:00Z,2.12,12.21,7.59,0.845,0.542,OK,NA,0000-0003-3463-8507,NA,20251217T194001Z,RELEASE-2026,DP1.10086.001,HARV,2024,sls_soilMoisture
fb0b5d67-bf56-41ca-8cb6-2424413e6c37,D01,HARV,HARV_004,HARV_004.basePlot.bgc,2024-04-17T18:47:00Z,2024-05-09T19:22:00Z,HARV_004-M-23-20240509,A00000159772,HARV_004-M-23-20240509-SM,NEON.DOC.014048vP,M,2024-05-10T16:00:00Z,2024-05-14T18:15:00Z,2.13,12.63,8.71,0.596,0.627,OK,NA,0000-0003-3463-8507,NA,20251217T194001Z,RELEASE-2026,DP1.10086.001,HARV,2024,sls_soilMoisture
b57347e7-7ebe-4888-89ee-b143dddb8dd5,D01,HARV,HARV_004,HARV_004.basePlot.bgc,2024-04-17T18:47:00Z,2024-05-09T19:22:00Z,HARV_004-O-23-20240509,A00000159763,HARV_004-O-23-20240509-SM,NEON.DOC.014048vP,O,2024-05-10T16:00:00Z,2024-05-14T18:16:00Z,2.13,3.41,2.57,1.909,0.344,OK,NA,0000-0003-3463-8507,NA,20251217T194001Z,RELEASE-2026,DP1.10086.001,HARV,2024,sls_soilMoisture
b25e3cb8-f23a-4c6f-a836-0f507f1f2b82,D01,HARV,HARV_004,HARV_004.basePlot.bgc,2024-07-09T13:02:00Z,2024-07-09T13:02:00Z,HARV_004-M-23-20240709,A00000155883,HARV_004-M-23-20240709-SM,NEON.DOC.014048vP,M,2024-07-10T12:32:00Z,2024-07-12T16:48:00Z,2.1,12.29,8.13,0.69,0.592,OK,NA,0009-0008-2132-4166,NA,20251217T193858Z,RELEASE-2026,DP1.10086.001,HARV,2024,sls_soilMoisture
7f0b0ad0-bc15-4338-bf78-52b6461b41ec,D01,HARV,HARV_004,HARV_004.basePlot.bgc,2024-07-09T13:02:00Z,2024-07-09T13:02:00Z,HARV_004-O-23-20240709,A00000155277,HARV_004-O-23-20240709-SM,NEON.DOC.014048vP,O,2024-07-10T13:09:00Z,2024-07-12T16:50:00Z,2.08,7.1,3.26,3.254,0.235,OK,NA,0000-0003-3463-8507,NA,20251217T193858Z,RELEASE-2026,DP1.10086.001,HARV,2024,sls_soilMoisture
