uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
4dc1ce27-f136-4fbd-82c0-2ee0af4c4c11,D14,JORN,JORN_042,JORN_042.basePlot.bgc,2022-07-05T18:40:00Z,2022-07-05T18:40:00Z,JORN_042-M-21-20220705,A00000354940,JORN_042-M-21-20220705-SM,NEON.DOC.014048vO,M,2022-07-11T16:00:00Z,2022-07-13T16:54:00Z,2.22,12.46,12.09,0.037,0.964,used frozen soil,NA,0000-0002-4985-4248,NA,20251217T193808Z,RELEASE-2026,DP1.10086.001,JORN,2022,sls_soilMoisture
07e445d2-340a-413b-a232-002d19eb13a9,D14,JORN,JORN_042,JORN_042.basePlot.bgc,2022-07-05T18:40:00Z,2022-07-26T15:27:00Z,JORN_042-M-21-20220726,A00000355561,JORN_042-M-21-20220726-SM,NEON.DOC.014048vO,M,2022-07-28T15:00:00Z,2022-08-02T20:45:00Z,2.21,12.16,12.03,0.013,0.987,used frozen soil,NA,0000-0002-4985-4248,NA,20251217T193808Z,RELEASE-2026,DP1.10086.001,JORN,2022,sls_soilMoisture
835cdd3d-74e5-46d8-b784-ed66bbb59bc9,D14,JORN,JORN_042,JORN_042.basePlot.bgc,2022-07-05T18:50:00Z,2022-07-05T18:50:00Z,JORN_042-M-23-20220705,A00000354924,JORN_042-M-23-20220705-SM,NEON.DOC.014048vO,M,2022-07-11T16:00:00Z,2022-07-13T17:06:00Z,2.25,12.16,11.79,0.039,0.963,used frozen soil,NA,0000-0002-4985-4248,NA,20251217T193808Z,RELEASE-2026,DP1.10086.001,JORN,2022,sls_soilMoisture
bfe6c263-7802-4a6f-8da0-37ee39b95bc7,D14,JORN,JORN_042,JORN_042.basePlot.bgc,2022-07-05T18:50:00Z,2022-07-26T15:33:00Z,JORN_042-M-23-20220726,A00000355563,JORN_042-M-23-20220726-SM,NEON.DOC.014048vO,M,2022-07-28T15:00:00Z,2022-08-02T20:45:00Z,2.23,12.14,12.02,0.012,0.988,used frozen soil,NA,0000-0002-4985-4248,NA,20251217T193808Z,RELEASE-2026,DP1.10086.001,JORN,2022,sls_soilMoisture
36716b9a-df8a-4f04-b9dd-25a1538a217e,D14,JORN,JORN_042,JORN_042.basePlot.bgc,2022-07-05T19:12:00Z,2022-07-05T19:12:00Z,JORN_042-M-39-20220705,A00000354923,JORN_042-M-39-20220705-SM,NEON.DOC.014048vO,M,2022-07-11T16:00:00Z,2022-07-13T17:00:00Z,2.25,12.26,11.9,0.037,0.964,used frozen soil,NA,0000-0002-4985-4248,NA,20251217T193808Z,RELEASE-2026,DP1.10086.001,JORN,2022,sls_soilMoisture
6e465fe5-7c35-45ef-b3ea-2944230a2f46,D14,JORN,JORN_042,JORN_042.basePlot.bgc,2022-07-05T19:12:00Z,2022-07-26T15:42:00Z,JORN_042-M-39-20220726,A00000355562,JORN_042-M-39-20220726-SM,NEON.DOC.014048vO,M,2022-07-28T15:00:00Z,2022-08-02T20:45:00Z,2.2,12.13,11.99,0.014,0.986,used frozen soil,NA,0000-0002-4985-4248,NA,20251217T193808Z,RELEASE-2026,DP1.10086.001,JORN,2022,sls_soilMoisture
bc81faf0-e6d5-4452-a1ee-82307dd185ba,D14,JORN,JORN_042,JORN_042.basePlot.bgc,2022-08-30T18:15:00Z,2022-08-30T18:15:00Z,JORN_042-M-39-20220830,A00000356015,JORN_042-M-39-20220830-SM,NEON.DOC.014048vO,M,2022-09-01T18:15:00Z,2022-09-06T22:25:00Z,2.24,12.15,11.77,0.04,0.962,used frozen soil,NA,0000-0002-5964-2409,NA,20251217T193807Z,RELEASE-2026,DP1.10086.001,JORN,2022,sls_soilMoisture
ea7342bf-834b-4c2f-8db8-ad25bf7c8410,D14,JORN,JORN_042,JORN_042.basePlot.bgc,2022-08-30T18:30:00Z,2022-08-30T18:30:00Z,JORN_042-M-21-20220830,A00000356016,JORN_042-M-21-20220830-SM,NEON.DOC.014048vO,M,2022-09-01T18:15:00Z,2022-09-06T22:25:00Z,2.22,12.2,11.89,0.032,0.969,used frozen soil,NA,0000-0002-5964-2409,NA,20251217T193807Z,RELEASE-2026,DP1.10086.001,JORN,2022,sls_soilMoisture
07e2abc4-6307-4c45-a452-ff395f812cbb,D14,JORN,JORN_042,JORN_042.basePlot.bgc,2022-08-30T18:49:00Z,2022-08-30T18:49:00Z,JORN_042-M-23-20220830,A00000356017,JORN_042-M-23-20220830-SM,NEON.DOC.014048vO,M,2022-09-01T18:15:00Z,2022-09-06T22:25:00Z,2.2,12.18,11.77,0.043,0.959,used frozen soil,NA,0000-0002-5964-2409,NA,20251217T193807Z,RELEASE-2026,DP1.10086.001,JORN,2022,sls_soilMoisture
182d240a-a5f8-4201-bf95-74386387d420,D14,JORN,JORN_042,JORN_042.basePlot.bgc,2022-08-30T18:15:00Z,2022-09-20T14:26:00Z,JORN_042-M-39-20220920,A00000356239,JORN_042-M-39-20220920-SM,NEON.DOC.014048vO,M,2022-09-22T20:40:00Z,2022-09-26T19:50:00Z,2.2,11.93,11.67,0.027,0.973,used frozen soil,NA,0000-0002-0596-3792,NA,20251217T193446Z,RELEASE-2026,DP1.10086.001,JORN,2022,sls_soilMoisture
2075d9fd-5dd1-455e-a7cb-33f1afbc2673,D14,JORN,JORN_042,JORN_042.basePlot.bgc,2022-08-30T18:30:00Z,2022-09-20T14:21:00Z,JORN_042-M-21-20220920,A00000356238,JORN_042-M-21-20220920-SM,NEON.DOC.014048vO,M,2022-09-22T20:40:00Z,2022-09-26T19:50:00Z,2.2,12.15,11.89,0.027,0.974,used frozen soil,NA,0000-0002-0596-3792,NA,20251217T193446Z,RELEASE-2026,DP1.10086.001,JORN,2022,sls_soilMoisture
8b50dca3-1c29-4c05-8035-7d6d013b1c1d,D14,JORN,JORN_042,JORN_042.basePlot.bgc,2022-08-30T18:49:00Z,2022-09-20T14:30:00Z,JORN_042-M-23-20220920,A00000356240,JORN_042-M-23-20220920-SM,NEON.DOC.014048vO,M,2022-09-22T20:40:00Z,2022-09-26T19:50:00Z,2.19,12.34,12.05,0.029,0.971,used frozen soil,NA,0000-0002-0596-3792,NA,20251217T193446Z,RELEASE-2026,DP1.10086.001,JORN,2022,sls_soilMoisture
688e1488-d92d-4ec2-af62-b2eb5fcd4d63,D14,JORN,JORN_042,JORN_042.basePlot.bgc,2022-10-25T15:10:00Z,2022-10-25T15:10:00Z,JORN_042-M-21-20221025,A00000356196,JORN_042-M-21-20221025-SM,NEON.DOC.014048vO,M,2022-10-26T22:45:00Z,2022-10-31T20:45:00Z,2.27,12.13,11.62,0.055,0.948,used frozen soil,NA,0000-0002-0596-3792,NA,20251217T193712Z,RELEASE-2026,DP1.10086.001,JORN,2022,sls_soilMoisture
bbdc9a47-0ebf-4509-b7be-17657d888898,D14,JORN,JORN_042,JORN_042.basePlot.bgc,2022-10-25T16:02:00Z,2022-10-25T16:02:00Z,JORN_042-M-39-20221025,A00000356197,JORN_042-M-39-20221025-SM,NEON.DOC.014048vO,M,2022-10-26T22:45:00Z,2022-10-31T20:45:00Z,2.24,12.06,11.56,0.054,0.949,used frozen soil,NA,0000-0002-0596-3792,NA,20251217T193712Z,RELEASE-2026,DP1.10086.001,JORN,2022,sls_soilMoisture
296d636a-a26b-4e32-8f64-b0fe32d6164b,D14,JORN,JORN_042,JORN_042.basePlot.bgc,2022-10-25T16:25:00Z,2022-10-25T16:25:00Z,JORN_042-M-41-20221025,A00000356198,JORN_042-M-41-20221025-SM,NEON.DOC.014048vO,M,2022-10-26T22:45:00Z,2022-10-31T20:45:00Z,2.2,12.68,12.15,0.053,0.949,used frozen soil,NA,0000-0002-0596-3792,NA,20251217T193712Z,RELEASE-2026,DP1.10086.001,JORN,2022,sls_soilMoisture
22f4f278-6300-4937-ac1c-cbf372f32671,D14,JORN,JORN_042,JORN_042.basePlot.bgc,2022-10-25T15:10:00Z,2022-11-15T17:09:00Z,JORN_042-M-21-20221115,A00000356414,JORN_042-M-21-20221115-SM,NEON.DOC.014048vO,M,2022-11-17T15:30:00Z,2022-11-21T19:40:00Z,2.25,12.43,12.02,0.042,0.96,used frozen soil,NA,0000-0002-0596-3792,NA,20251217T194044Z,RELEASE-2026,DP1.10086.001,JORN,2022,sls_soilMoisture
f04f9dcd-efe1-4ced-a9b8-ae89bd5f633d,D14,JORN,JORN_042,JORN_042.basePlot.bgc,2022-10-25T16:02:00Z,2022-11-15T17:18:00Z,JORN_042-M-39-20221115,A00000356415,JORN_042-M-39-20221115-SM,NEON.DOC.014048vO,M,2022-11-17T15:30:00Z,2022-11-21T19:40:00Z,2.25,12.11,11.71,0.042,0.959,used frozen soil,NA,0000-0002-0596-3792,NA,20251217T194044Z,RELEASE-2026,DP1.10086.001,JORN,2022,sls_soilMoisture
bcd2d25b-9a7f-433b-8347-683f1434d921,D14,JORN,JORN_042,JORN_042.basePlot.bgc,2022-10-25T16:25:00Z,2022-11-15T17:27:00Z,JORN_042-M-41-20221115,A00000356416,JORN_042-M-41-20221115-SM,NEON.DOC.014048vO,M,2022-11-17T15:30:00Z,2022-11-21T19:40:00Z,2.19,12.61,12.18,0.043,0.959,used frozen soil,NA,0000-0002-0596-3792,NA,20251217T194044Z,RELEASE-2026,DP1.10086.001,JORN,2022,sls_soilMoisture
