uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
f2fd5674-9e02-4adc-82b6-ce4281f04da1,D06,KONA,KONA_005,KONA_005.basePlot.bgc,2019-06-17T14:42:00Z,2019-06-17T14:42:00Z,KONA_005-M-28-6.5-20190617,A00000079596,KONA_005-M-28-6.5-20190617-SM,NEON.DOC.014048vL,M,2019-06-17T19:32:00Z,2019-06-19T20:08:00Z,2.2,12.51,10.95,0.178,0.849,NA,NA,0000-0002-3172-0145,NA,20251217T194051Z,RELEASE-2026,DP1.10086.001,KONA,2019,sls_soilMoisture
82a12f93-9e66-4476-aa6c-7b51d067ed14,D06,KONA,KONA_005,KONA_005.basePlot.bgc,2019-06-17T15:16:00Z,2019-06-17T15:16:00Z,KONA_005-M-34-28-20190617,A00000079595,KONA_005-M-34-28-20190617-SM,NEON.DOC.014048vL,M,2019-06-17T19:32:00Z,2019-06-19T20:08:00Z,2.21,12.58,11.22,0.151,0.869,NA,NA,0000-0002-3172-0145,NA,20251217T194051Z,RELEASE-2026,DP1.10086.001,KONA,2019,sls_soilMoisture
5448361b-f7cc-4774-b86e-16e2c8b1e797,D06,KONA,KONA_005,KONA_005.basePlot.bgc,2019-06-17T15:43:00Z,2019-06-17T15:43:00Z,KONA_005-M-1-39-20190617,A00000079598,KONA_005-M-1-39-20190617-SM,NEON.DOC.014048vL,M,2019-06-17T19:32:00Z,2019-06-19T20:08:00Z,2.22,12.36,11.13,0.138,0.879,NA,NA,0000-0002-3172-0145,NA,20251217T194051Z,RELEASE-2026,DP1.10086.001,KONA,2019,sls_soilMoisture
c8813754-80ac-4129-bb3b-61d26ae768d1,D06,KONA,KONA_005,KONA_005.basePlot.bgc,2019-04-01T13:58:00Z,2019-04-01T13:58:00Z,KONA_005-M-1-16-20190401,A00000042275,KONA_005-M-1-16-20190401-SM,NEON.DOC.014048vL,M,2019-04-01T20:00:00Z,2019-04-03T22:15:00Z,2.22,12.28,10.14,0.27,0.787,NA,NA,0000-0001-6525-2047,NA,20251217T193636Z,RELEASE-2026,DP1.10086.001,KONA,2019,sls_soilMoisture
514cb29d-c783-4b26-81f0-0967d9258fb8,D06,KONA,KONA_005,KONA_005.basePlot.bgc,2019-04-01T13:58:00Z,2019-04-22T14:59:00Z,KONA_005-M-1-16-20190422,A00000042804,KONA_005-M-1-16-20190422-SM,NEON.DOC.014048vL,M,2019-04-22T19:20:00Z,2019-04-25T15:40:00Z,2.23,12.23,10.15,0.263,0.792,NA,NA,0000-0001-6525-2047,NA,20251217T193636Z,RELEASE-2026,DP1.10086.001,KONA,2019,sls_soilMoisture
b8729376-4846-4a4d-af09-ab4cb4bf3c6f,D06,KONA,KONA_005,KONA_005.basePlot.bgc,2019-04-01T14:18:00Z,2019-04-01T14:18:00Z,KONA_005-M-1.5-35.5-20190401,A00000042273,KONA_005-M-1.5-35.5-20190401-SM,NEON.DOC.014048vL,M,2019-04-01T20:00:00Z,2019-04-03T22:15:00Z,2.2,12.29,9.78,0.331,0.751,NA,NA,0000-0001-6525-2047,NA,20251217T193636Z,RELEASE-2026,DP1.10086.001,KONA,2019,sls_soilMoisture
ddfa4ac0-a00f-439c-b0fc-3885de5b3558,D06,KONA,KONA_005,KONA_005.basePlot.bgc,2019-04-01T14:18:00Z,2019-04-22T15:03:00Z,KONA_005-M-1.5-35.5-20190422,A00000042797,KONA_005-M-1.5-35.5-20190422-SM,NEON.DOC.014048vL,M,2019-04-22T19:20:00Z,2019-04-25T15:40:00Z,2.18,12.18,9.98,0.282,0.78,NA,NA,0000-0001-6525-2047,NA,20251217T193636Z,RELEASE-2026,DP1.10086.001,KONA,2019,sls_soilMoisture
342e6c25-3e30-43c2-8209-deacdb72d4d5,D06,KONA,KONA_005,KONA_005.basePlot.bgc,2019-04-01T14:50:00Z,2019-04-01T14:50:00Z,KONA_005-M-37-16.5-20190401,A00000042274,KONA_005-M-37-16.5-20190401-SM,NEON.DOC.014048vL,M,2019-04-01T20:00:00Z,2019-04-03T22:15:00Z,2.21,12.24,10.17,0.26,0.794,NA,NA,0000-0001-6525-2047,NA,20251217T193636Z,RELEASE-2026,DP1.10086.001,KONA,2019,sls_soilMoisture
fff850a0-f6f9-4266-8128-ca9df10989a4,D06,KONA,KONA_005,KONA_005.basePlot.bgc,2019-04-01T14:50:00Z,2019-04-22T14:45:00Z,KONA_005-M-37-16.5-20190422,A00000042771,KONA_005-M-37-16.5-20190422-SM,NEON.DOC.014048vL,M,2019-04-22T19:20:00Z,2019-04-25T15:40:00Z,2.24,12.25,10.18,0.261,0.793,NA,NA,0000-0001-6525-2047,NA,20251217T193636Z,RELEASE-2026,DP1.10086.001,KONA,2019,sls_soilMoisture
feb0e75c-79bb-4507-8782-6063a715d8d4,D06,KONA,KONA_005,KONA_005.basePlot.bgc,2019-06-17T14:42:00Z,2019-07-08T13:56:00Z,KONA_005-M-28-6.5-20190708,A00000079925,KONA_005-M-28-6.5-20190708-SM,NEON.DOC.014048vL,M,2019-07-08T21:45:00Z,2019-07-10T22:37:00Z,2.19,12.23,10.04,0.279,0.782,NA,NA,0000-0002-3172-0145,NA,20251217T193935Z,RELEASE-2026,DP1.10086.001,KONA,2019,sls_soilMoisture
63c3ed4d-4a7c-4b7c-89b2-fc86be163bff,D06,KONA,KONA_005,KONA_005.basePlot.bgc,2019-06-17T15:16:00Z,2019-07-08T13:50:00Z,KONA_005-M-34-28-20190708,A00000079928,KONA_005-M-34-28-20190708-SM,NEON.DOC.014048vL,M,2019-07-08T21:45:00Z,2019-07-10T22:37:00Z,2.16,12.11,10.44,0.202,0.832,NA,NA,0000-0002-3172-0145,NA,20251217T193935Z,RELEASE-2026,DP1.10086.001,KONA,2019,sls_soilMoisture
1caeea87-bb00-4ec6-b729-80c66d5df30c,D06,KONA,KONA_005,KONA_005.basePlot.bgc,2019-06-17T15:43:00Z,2019-07-08T14:15:00Z,KONA_005-M-1-39-20190708,A00000079924,KONA_005-M-1-39-20190708-SM,NEON.DOC.014048vL,M,2019-07-08T21:45:00Z,2019-07-10T22:37:00Z,2.15,12.17,10.48,0.203,0.831,NA,NA,0000-0002-3172-0145,NA,20251217T193935Z,RELEASE-2026,DP1.10086.001,KONA,2019,sls_soilMoisture
1ed2d610-cb50-42a6-a998-2b78d1ef6185,D06,KONA,KONA_005,KONA_005.basePlot.bgc,2019-10-07T14:06:00Z,2019-10-07T14:06:00Z,KONA_005-M-8-38-20191007,A00000137212,KONA_005-M-8-38-20191007-SM,NEON.DOC.014048vL,M,2019-10-07T20:02:00Z,2019-10-09T21:58:00Z,2.18,12.15,10.2,0.243,0.804,NA,NA,0000-0002-3172-0145,NA,20251217T193635Z,RELEASE-2026,DP1.10086.001,KONA,2019,sls_soilMoisture
6cfe70a6-047f-46f7-9ad9-443d7a3c784c,D06,KONA,KONA_005,KONA_005.basePlot.bgc,2019-10-07T14:06:00Z,2019-10-28T13:36:00Z,KONA_005-M-8-38-20191028,NA,KONA_005-M-8-38-20191028-SM,NEON.DOC.014048vL,M,2019-10-28T19:20:00Z,2019-10-31T18:40:00Z,2.2,12.21,10.13,0.262,0.792,NA,NA,0000-0002-3172-0145,NA,20251217T193635Z,RELEASE-2026,DP1.10086.001,KONA,2019,sls_soilMoisture
cdb1763b-e9af-4718-84f0-7af123340e58,D06,KONA,KONA_005,KONA_005.basePlot.bgc,2019-10-07T14:47:00Z,2019-10-07T14:47:00Z,KONA_005-M-22-32-20191007,A00000137211,KONA_005-M-22-32-20191007-SM,NEON.DOC.014048vL,M,2019-10-07T20:02:00Z,2019-10-09T21:58:00Z,2.21,12.22,10.34,0.231,0.812,NA,NA,0000-0002-3172-0145,NA,20251217T193635Z,RELEASE-2026,DP1.10086.001,KONA,2019,sls_soilMoisture
ade026b2-b750-451f-8e40-e18f1012769e,D06,KONA,KONA_005,KONA_005.basePlot.bgc,2019-10-07T14:47:00Z,2019-10-28T13:39:00Z,KONA_005-M-22-32-20191028,NA,KONA_005-M-22-32-20191028-SM,NEON.DOC.014048vL,M,2019-10-28T19:20:00Z,2019-10-31T18:40:00Z,2.21,12.21,10.46,0.212,0.825,NA,NA,0000-0002-3172-0145,NA,20251217T193635Z,RELEASE-2026,DP1.10086.001,KONA,2019,sls_soilMoisture
