uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,processedDate,sampleID,sampleCode,pHSampleID,samplingProtocolVersion,horizon,soilInWaterpH,soilInCaClpH,pHSoilInWaterMass,pHWaterVol,waterpHRatio,pHSoilInCaClMass,pHCaClVol,caclpHRatio,pHRemarks,pHMeasuredBy,pHDataQF,publicationDate,release,dpID,site_download,year_download,source_table
53093e58-2426-4271-91ab-d5c4232f7b0e,D04,LAJA,LAJA_044,LAJA_044.basePlot.bgc,2023-02-09T11:24:00Z,2023-02-09T11:24:00Z,2023-02-28,LAJA_044-M-39-20230209,A00000196453,LAJA_044-M-39-20230209-PH,NEON.DOC.014048vO,M,7.23,6.54,10.1,20,2,10.1,40,3.9,NA,0000-0002-4067-8225,NA,20251217T193910Z,RELEASE-2026,DP1.10086.001,LAJA,2023,sls_soilpH
5c93e8e1-66aa-437e-b720-54a482b25dd4,D04,LAJA,LAJA_044,LAJA_044.basePlot.bgc,2023-02-09T11:29:00Z,2023-02-09T11:29:00Z,2023-02-28,LAJA_044-M-23-20230209,A00000196456,LAJA_044-M-23-20230209-PH,NEON.DOC.014048vO,M,7.08,6.29,10.2,20,2,10.2,40,3.9,NA,0000-0002-4067-8225,NA,20251217T193910Z,RELEASE-2026,DP1.10086.001,LAJA,2023,sls_soilpH
709bda2b-bc2b-4b15-ac39-4779a60a47f4,D04,LAJA,LAJA_044,LAJA_044.basePlot.bgc,2023-02-09T11:32:00Z,2023-02-09T11:32:00Z,2023-02-28,LAJA_044-M-41-20230209,A00000196457,LAJA_044-M-41-20230209-PH,NEON.DOC.014048vO,M,7.41,6.56,10.3,20,1.9,10.3,40,3.9,NA,0000-0002-4067-8225,NA,20251217T193910Z,RELEASE-2026,DP1.10086.001,LAJA,2023,sls_soilpH
854f520e-531e-437e-bd5c-4aab8dc8a060,D04,LAJA,LAJA_044,LAJA_044.basePlot.bgc,2023-07-12T12:07:00Z,2023-07-12T12:07:00Z,2023-08-03,LAJA_044-M-21-20230712,A00000199318,LAJA_044-M-21-20230712-PH,NEON.DOC.014048vO,M,7.68,6.83,10.2,20,2,10.2,40,3.9,NA,0000-0002-4067-8225,NA,20251217T194036Z,RELEASE-2026,DP1.10086.001,LAJA,2023,sls_soilpH
e0a5a2bf-c82d-402c-8d08-9eb4376cfeff,D04,LAJA,LAJA_044,LAJA_044.basePlot.bgc,2023-07-12T12:11:00Z,2023-07-12T12:11:00Z,2023-08-03,LAJA_044-M-23-20230712,A00000199269,LAJA_044-M-23-20230712-PH,NEON.DOC.014048vO,M,7.1,6.2,10.2,20,2,10.2,40,3.9,NA,0000-0002-4067-8225,NA,20251217T194036Z,RELEASE-2026,DP1.10086.001,LAJA,2023,sls_soilpH
e3fdc2cd-ea76-4500-b6f3-e594520571d3,D04,LAJA,LAJA_044,LAJA_044.basePlot.bgc,2023-07-12T12:23:00Z,2023-07-12T12:23:00Z,2023-08-03,LAJA_044-M-39-20230712,A00000199348,LAJA_044-M-39-20230712-PH,NEON.DOC.014048vO,M,7.1,6.49,10.2,20,2,10.2,40,3.9,NA,0000-0002-4067-8225,NA,20251217T194036Z,RELEASE-2026,DP1.10086.001,LAJA,2023,sls_soilpH
d73d4715-3bc9-4e84-b417-7697171f4015,D04,LAJA,LAJA_044,LAJA_044.basePlot.bgc,2023-10-24T11:15:00Z,2023-10-24T11:15:00Z,2023-11-09,LAJA_044-M-39-20231024,A00000199821,LAJA_044-M-39-20231024-PH,NEON.DOC.014048vO,M,7.23,6.49,10.1,20,2,10.1,40,4,NA,0000-0002-4067-8225,NA,20251217T193611Z,RELEASE-2026,DP1.10086.001,LAJA,2023,sls_soilpH
441bc518-5eb0-4dc6-96d9-85499cb1e084,D04,LAJA,LAJA_044,LAJA_044.basePlot.bgc,2023-10-24T11:21:00Z,2023-10-24T11:21:00Z,2023-11-09,LAJA_044-M-23-20231024,A00000199822,LAJA_044-M-23-20231024-PH,NEON.DOC.014048vO,M,7.72,6.77,10,20,2,10,40,4,NA,0000-0002-4067-8225,NA,20251217T193611Z,RELEASE-2026,DP1.10086.001,LAJA,2023,sls_soilpH
7e2fd0e1-fe54-4507-b440-16f33fff8309,D04,LAJA,LAJA_044,LAJA_044.basePlot.bgc,2023-10-24T11:26:00Z,2023-10-24T11:26:00Z,2023-11-09,LAJA_044-M-21-20231024,A00000199823,LAJA_044-M-21-20231024-PH,NEON.DOC.014048vO,M,7.9,6.98,10.1,20,2,10.1,40,4,NA,0000-0002-4067-8225,NA,20251217T193611Z,RELEASE-2026,DP1.10086.001,LAJA,2023,sls_soilpH
f2801c8e-b4c2-4b7d-9905-c2e03bea2f4e,D04,LAJA,LAJA_044,LAJA_044.basePlot.bgc,2023-12-13T14:38:00Z,2023-12-13T14:38:00Z,2024-02-01,LAJA_044-M-23-20231213,A00000200040,LAJA_044-M-23-20231213-PH,NEON.DOC.014048vO,M,7.25,6.47,10,20,2,10,40,4,NA,0000-0002-4067-8225,NA,20251217T194007Z,RELEASE-2026,DP1.10086.001,LAJA,2023,sls_soilpH
6bd15f1b-fdc3-426c-870c-b20d9b3dbec6,D04,LAJA,LAJA_044,LAJA_044.basePlot.bgc,2023-12-13T14:40:00Z,2023-12-13T14:40:00Z,2024-02-01,LAJA_044-M-21-20231213,A00000200038,LAJA_044-M-21-20231213-PH,NEON.DOC.014048vO,M,7.26,6.63,10,20,2,10,40,4,NA,0000-0002-4067-8225,NA,20251217T194007Z,RELEASE-2026,DP1.10086.001,LAJA,2023,sls_soilpH
01eb6b7b-551c-4bb0-afa3-bc54b4b196d4,D04,LAJA,LAJA_044,LAJA_044.basePlot.bgc,2023-12-13T14:41:00Z,2023-12-13T14:41:00Z,2024-02-01,LAJA_044-M-41-20231213,A00000200039,LAJA_044-M-41-20231213-PH,NEON.DOC.014048vO,M,7.36,6.51,10.1,20,2,10.1,40,4,NA,0000-0002-4067-8225,NA,20251217T194007Z,RELEASE-2026,DP1.10086.001,LAJA,2023,sls_soilpH
