uid,namedLocation,domainID,siteID,plotID,startDate,collectDate,sampleID,sampleCode,kclSampleID,kclSampleCode,sampleCondition,ammoniumNAnalysisDate,kclAmmoniumNConc,ammoniumNRepNum,ammoniumNQF,ammoniumNRemarks,nitrateNitriteNAnalysisDate,kclNitrateNitriteNConc,nitrateNitriteNRepNum,nitrateNitriteNQF,nitrateNitriteNRemarks,laboratoryName,ammoniumNMethod,ammoniumNInstrument,ammoniumNAnalyzedBy,ammoniumNReviewedBy,nitrateNitriteNMethod,nitrateNitriteNInstrument,nitrateNitriteNAnalyzedBy,nitrateNitriteNReviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
4e608a6c-31ef-439a-ab5c-f8ca3043465c,LENO_006.basePlot.bgc,D08,LENO,LENO_006,2018-04-24T15:24:00Z,2018-04-24T15:24:00Z,LENO_006-M-19-39.5-20180424,NA,LENO_006-M-19-39.5-20180424-KCL,B00000003507,ok,2019-02-04,0.13,1,OK,NA,2019-02-06,0.101,1,OK,NA,EcoCore_CSU,Salicylate/nitroferricyanide (EPA 353.2),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,Cd reduction/sulfanilamide (DIN 38406),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,LENO,2018,ntr_externalLab
c45d07c9-a434-4b9e-87e4-d1851d521f66,LENO_006.basePlot.bgc,D08,LENO,LENO_006,2018-04-24T15:44:00Z,2018-04-24T15:44:00Z,LENO_006-M-33-10-20180424,NA,LENO_006-M-33-10-20180424-KCL,B00000003503,ok,2019-02-04,0.112,1,OK,NA,2019-02-06,0.244,1,OK,NA,EcoCore_CSU,Salicylate/nitroferricyanide (EPA 353.2),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,Cd reduction/sulfanilamide (DIN 38406),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,LENO,2018,ntr_externalLab
a1f1afdb-ae48-47a2-9bd9-851475a282ad,LENO_006.basePlot.bgc,D08,LENO,LENO_006,2018-04-24T16:12:00Z,2018-04-24T16:12:00Z,LENO_006-M-5.5-1-20180424,NA,LENO_006-M-5.5-1-20180424-KCL,B00000003511,ok,2019-02-04,0.105,1,OK,NA,2019-02-06,0.312,1,OK,NA,EcoCore_CSU,Salicylate/nitroferricyanide (EPA 353.2),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,Cd reduction/sulfanilamide (DIN 38406),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,NA,20251217T193909Z,RELEASE-2026,DP1.10086.001,LENO,2018,ntr_externalLab
57ccee22-d647-4884-a465-a1401387ad2e,LENO_006.basePlot.bgc,D08,LENO,LENO_006,2018-04-24T15:24:00Z,2018-05-14T17:27:00Z,LENO_006-M-19-39.5-20180514,NA,LENO_006-M-19-39.5-20180514-KCL,B00000003577,ok,2019-02-04,0.2,1,OK,NA,2019-02-06,0.275,1,OK,NA,EcoCore_CSU,Salicylate/nitroferricyanide (EPA 353.2),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,Cd reduction/sulfanilamide (DIN 38406),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,NA,20251217T193809Z,RELEASE-2026,DP1.10086.001,LENO,2018,ntr_externalLab
b3bea0cf-c877-4ab3-adb8-9fa51f26a756,LENO_006.basePlot.bgc,D08,LENO,LENO_006,2018-04-24T15:44:00Z,2018-05-14T17:20:00Z,LENO_006-M-33-10-20180514,NA,LENO_006-M-33-10-20180514-KCL,B00000003578,ok,2019-02-04,0.138,1,OK,NA,2019-02-06,0.347,1,OK,NA,EcoCore_CSU,Salicylate/nitroferricyanide (EPA 353.2),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,Cd reduction/sulfanilamide (DIN 38406),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,NA,20251217T193809Z,RELEASE-2026,DP1.10086.001,LENO,2018,ntr_externalLab
eb712d2d-4456-4b68-a8b2-d82efe2300bb,LENO_006.basePlot.bgc,D08,LENO,LENO_006,2018-04-24T16:12:00Z,2018-05-14T17:14:00Z,LENO_006-M-5.5-1-20180514,NA,LENO_006-M-5.5-1-20180514-KCL,B00000003579,ok,2019-02-04,0.058,1,OK,NA,2019-02-06,0.375,1,OK,NA,EcoCore_CSU,Salicylate/nitroferricyanide (EPA 353.2),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,Cd reduction/sulfanilamide (DIN 38406),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,NA,20251217T193809Z,RELEASE-2026,DP1.10086.001,LENO,2018,ntr_externalLab
d9019d41-7342-4cbc-b14a-766fc0f831f8,LENO_006.basePlot.bgc,D08,LENO,LENO_006,2018-07-09T17:13:00Z,2018-07-09T17:13:00Z,LENO_006-M-19.5-5.5-20180709,NA,LENO_006-M-19.5-5.5-20180709-KCL,B00000003795,ok,2019-02-11,0.287,1,OK,NA,2019-02-12,0.124,1,OK,NA,EcoCore_CSU,Salicylate/nitroferricyanide (EPA 353.2),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,Cd reduction/sulfanilamide (DIN 38406),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,NA,20251217T193803Z,RELEASE-2026,DP1.10086.001,LENO,2018,ntr_externalLab
536d228c-587b-45e5-be3a-91594054e61b,LENO_006.basePlot.bgc,D08,LENO,LENO_006,2018-07-09T17:13:00Z,2018-07-31T17:28:00Z,LENO_006-M-19.5-5.5-20180731,NA,LENO_006-M-19.5-5.5-20180731-KCL,B00000003943,ok,2019-02-11,0.374,1,OK,NA,2019-02-12,0.183,1,OK,NA,EcoCore_CSU,Salicylate/nitroferricyanide (EPA 353.2),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,Cd reduction/sulfanilamide (DIN 38406),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,NA,20251217T193803Z,RELEASE-2026,DP1.10086.001,LENO,2018,ntr_externalLab
203b639e-9cae-4f0f-8be8-cfc204ad510f,LENO_006.basePlot.bgc,D08,LENO,LENO_006,2018-07-09T17:26:00Z,2018-07-09T17:26:00Z,LENO_006-M-39-12.5-20180709,NA,LENO_006-M-39-12.5-20180709-KCL,B00000003784,ok,2019-02-11,0.161,1,OK,NA,2019-02-12,0.18,1,OK,NA,EcoCore_CSU,Salicylate/nitroferricyanide (EPA 353.2),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,Cd reduction/sulfanilamide (DIN 38406),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,NA,20251217T193803Z,RELEASE-2026,DP1.10086.001,LENO,2018,ntr_externalLab
41f7cda1-6f07-47db-b42b-91001d3f1f2e,LENO_006.basePlot.bgc,D08,LENO,LENO_006,2018-07-09T17:26:00Z,2018-07-31T17:36:00Z,LENO_006-M-39-12.5-20180731,NA,LENO_006-M-39-12.5-20180731-KCL,B00000003954,ok,2019-02-11,0.36,1,OK,NA,2019-02-12,0.739,1,OK,NA,EcoCore_CSU,Salicylate/nitroferricyanide (EPA 353.2),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,Cd reduction/sulfanilamide (DIN 38406),OI Analytical 3700 Automated Chemistry Analyzer,Wy/3diD3cK1DOxVNruNwvg==,RHMxnCcsszGVJJM0CIC3lw==,NA,20251217T193803Z,RELEASE-2026,DP1.10086.001,LENO,2018,ntr_externalLab
